agency_code,pct_eds
00A000,18.3
00B000,25.7
010303,50.0
010304,50.1
010308,45.1
010310,54.3
010311,
010312,36.4
010320,42.7
010324,35.6
010326,62.9
010328,30.2
010340,48.7
010346,57.6
010347,55.9
010348,73.8
010350,83.7
010351,58.4
010353,55.5
010354,66.7
010357,55.4
010358,58.3
010360,77.2
010362,44.0
010364,64.1
010372,48.5
010374,54.2
010378,74.2
010380,45.0
010384,39.1
010388,34.4
010390,39.7
010392,62.4
010394,65.2
010396,56.0
010400,29.1
010403,37.1
010406,41.8
010LEA,50.6
01B000,9.9
01C000,9.4
01D000,5.0
020302,39.9
020303,44.2
020304,33.3
020306,54.0
020308,46.4
020316,63.0
020320,66.9
020324,43.8
020328,48.9
020330,38.6
020332,47.5
020LEA,46.4
030304,58.1
030308,72.1
030316,53.9
030320,70.8
030LEA,65.2
040304,25.2
040305,61.9
040306,44.2
040308,34.7
040309,52.9
040311,75.4
040316,62.5
040324,69.5
040328,47.6
040330,73.8
040LEA,52.5
050302,51.3
050305,56.8
050310,63.9
050330,64.8
050335,56.1
050LEA,57.9
060302,58.6
060304,47.8
060310,57.8
060316,61.5
060318,56.5
060322,65.6
060328,73.6
060332,60.7
060334,68.8
060700,34.0
060701,31.1
060LEA,58.1
06A000,38.5
06B000,33.9
070302,54.3
070308,22.1
070310,77.6
070311,55.2
070325,45.2
070326,51.0
070327,57.2
070328,50.7
070329,45.6
070330,29.0
070338,47.8
070339,37.0
070340,59.1
070342,38.2
070LEA,44.9
07A000,8.4
080311,31.1
080312,54.6
080314,57.4
080348,59.4
080356,66.4
080360,66.8
080362,68.0
080LEA,58.7
08A000,74.7
090304,65.9
090315,43.0
090317,55.9
090318,51.8
090320,39.2
090324,48.5
090328,64.1
090330,36.8
090332,50.2
090333,58.6
090352,55.1
090365,44.2
090368,33.5
090LEA,46.9
09A000,45.6
09B000,24.1
100302,48.1
100304,62.6
100307,36.9
100308,76.5
100309,65.3
100310,74.3
100316,60.3
100320,81.4
100326,53.8
100332,60.6
100334,44.3
100335,51.1
100336,47.4
100338,79.9
100339,55.0
100340,56.8
100342,71.0
100344,68.3
100348,49.6
100LEA,57.9
10A000,11.5
10B000,7.5
110303,78.3
110304,40.5
110306,60.0
110308,62.8
110318,54.0
110320,51.4
110322,40.1
110323,30.2
110324,69.1
110326,32.9
110332,51.7
110336,45.5
110338,55.2
110340,61.8
110342,70.4
110348,49.9
110352,48.0
110356,39.5
110366,29.4
110368,45.6
110370,37.5
110372,58.6
110376,71.4
110379,53.5
110380,38.7
110381,47.1
110382,49.1
110384,48.0
110388,65.3
110401,60.2
110408,73.9
110410,60.6
110412,65.0
110416,35.9
110420,45.9
110422,47.7
110425,61.8
110428,41.3
110432,35.4
110436,61.6
110444,45.0
110450,47.7
110451,72.1
110500,23.8
110LEA,50.7
111302,29.7
111304,59.9
111306,32.1
111307,63.5
111312,37.6
111332,39.2
111356,39.5
111360,44.8
111369,44.2
111700,20.8
111LEA,37.5
11A000,11.5
11B000,16.0
11C000,8.7
11D000,13.0
11K000,15.9
120304,76.8
120308,76.8
120310,35.7
120312,67.0
120314,47.7
120315,57.7
120316,78.0
120318,49.3
120320,67.1
120324,69.1
120334,49.6
120338,68.1
120340,92.6
120344,63.8
120346,44.4
120350,49.6
120352,59.6
120360,60.9
120364,55.3
120368,65.7
120370,44.4
120372,48.6
120374,53.4
120376,59.3
120380,61.8
120386,67.2
120390,81.2
120LEA,59.3
12A000,15.1
130304,57.0
130307,12.2
130308,46.2
130309,31.4
130310,44.3
130311,49.3
130312,9.4
130313,44.0
130314,52.2
130315,28.3
130316,44.6
130317,50.0
130318,53.8
130319,7.6
130320,14.0
130321,52.6
130322,36.9
130323,37.8
130324,31.4
130325,39.2
130326,39.9
130327,52.2
130328,56.6
130329,66.3
130330,46.4
130331,33.4
130332,16.0
130333,42.1
130336,11.4
130337,13.2
130338,52.4
130340,44.0
130342,48.0
130344,53.1
130345,26.0
130346,21.3
130349,41.3
130350,40.2
130355,49.1
130LEA,35.7
132304,29.8
132308,40.6
132312,49.7
132314,35.7
132328,41.6
132330,38.9
132332,47.9
132336,41.7
132LEA,37.8
13A000,13.1
13B000,31.8
13C000,52.4
13D000,54.7
140304,63.0
140305,41.4
140306,58.8
140307,53.7
140308,61.0
140309,28.9
140312,74.1
140316,59.0
140324,48.0
140332,73.5
140336,47.5
140340,46.5
140344,60.5
140348,50.4
140352,59.9
140356,50.1
140360,68.5
140368,55.0
140372,43.4
140376,62.6
140384,64.2
140386,43.7
140388,67.1
140390,66.0
140392,70.1
140396,55.2
140LEA,54.8
150304,22.3
150308,30.0
150310,25.4
150312,24.6
150350,22.0
150LEA,25.6
160304,61.3
160306,48.0
160308,65.1
160309,75.0
160310,53.6
160311,27.9
160313,41.0
160314,21.4
160316,46.6
160317,44.1
160318,38.6
160322,49.4
160324,64.7
160326,59.3
160332,48.6
160344,37.1
160352,26.4
160LEA,42.4
16B000,16.3
170316,56.9
170334,54.7
170338,66.1
170339,61.7
170342,47.7
170344,48.4
170LEA,57.5
180302,53.3
180304,51.8
180308,29.4
180312,53.9
180316,48.5
180320,50.5
180323,78.9
180324,64.8
180325,40.3
180326,43.4
180332,66.6
180336,40.9
180340,36.4
180342,38.4
180343,65.4
180344,58.6
180346,43.5
180348,37.7
180352,35.0
180356,40.8
180360,64.9
180364,57.2
180368,24.3
180372,52.8
180376,44.7
180379,48.5
180380,48.7
180388,79.5
180LEA,47.8
181312,55.7
181316,70.9
181318,41.1
181322,44.8
181326,43.6
181332,57.4
181336,53.1
181342,60.1
181344,69.2
181LEA,54.8
182304,66.7
182316,56.1
182321,62.2
182322,52.7
182324,76.4
182328,78.5
182700,19.4
182LEA,61.0
190304,40.0
190308,52.5
190310,82.1
190312,87.9
190316,41.3
190328,37.0
190332,47.8
190336,72.6
190339,25.1
190340,43.9
190341,36.7
190342,24.8
190346,19.9
190348,36.5
190350,85.6
190352,38.9
190370,93.3
190501,20.6
190LEA,48.2
19A000,11.7
19B000,5.0
19C000,5.0
200304,40.8
200308,56.1
200310,31.8
200312,31.1
200314,55.1
200320,32.5
200322,44.0
200324,38.8
200328,49.6
200330,35.4
200332,39.0
200336,42.8
200350,33.3
200LEA,41.4
20A000,30.3
210304,59.1
210306,66.6
210312,55.7
210316,70.4
210LEA,62.8
220308,61.6
220310,37.6
220312,54.9
220LEA,52.9
230304,46.1
230308,57.6
230312,50.9
230316,61.1
230320,46.3
230322,54.3
230324,44.9
230328,53.7
230330,72.0
230334,71.1
230336,56.3
230340,47.5
230342,81.3
230344,55.6
230346,79.4
230348,54.1
230350,46.2
230351,59.4
230352,57.6
230355,54.7
230357,60.3
230359,45.3
230361,60.5
230362,47.1
230364,55.0
230368,62.4
230370,51.8
230376,64.6
230380,54.4
230LEA,55.4
23A000,19.2
240304,44.1
240308,52.8
240328,49.3
240330,66.0
240332,75.2
240334,32.3
240344,53.9
240352,44.3
240354,54.6
240356,43.4
240368,37.4
240370,39.4
240371,32.6
240372,59.4
240373,26.8
240376,55.6
240380,44.8
240388,43.4
240LEA,45.7
241304,45.7
241308,59.6
241312,64.9
241316,35.7
241320,64.4
241LEA,51.1
24B000,36.8
24N000,43.6
250304,50.1
250306,45.4
250308,64.7
250312,50.8
250314,33.2
250316,19.0
250320,72.4
250321,19.4
250324,43.6
250328,57.7
250332,59.9
250336,73.4
250340,37.8
250344,60.8
250348,93.4
250350,71.9
250356,43.3
250360,89.2
250362,62.5
250364,71.5
250368,31.9
250372,53.5
250376,65.8
250378,34.6
250380,43.6
250LEA,52.9
260302,39.8
260306,36.1
260308,54.7
260310,50.6
260312,39.4
260316,68.2
260318,30.1
260320,68.8
260321,63.3
260322,54.7
260325,44.3
260326,69.0
260332,34.3
260336,43.6
260338,61.0
260340,56.8
260342,42.9
260344,61.5
260347,51.5
260348,51.4
260352,69.6
260354,54.0
260356,54.1
260357,42.1
260358,68.1
260359,47.9
260361,84.6
260362,48.1
260363,52.6
260364,41.4
260365,46.9
260366,44.1
260367,51.1
260368,35.3
260369,34.3
260370,44.1
260371,65.2
260372,58.4
260373,52.5
260374,64.2
260375,45.2
260380,42.8
260382,63.0
260383,51.8
260386,72.4
260388,27.7
260396,70.6
260397,42.2
260398,39.8
260400,55.8
260401,49.2
260402,65.7
260403,51.7
260404,59.0
260405,79.4
260406,48.2
260407,36.6
260408,53.5
260410,58.0
260411,56.7
260412,41.1
260413,68.4
260414,53.9
260415,34.2
260416,51.7
260417,52.8
260418,49.0
260419,68.0
260424,65.0
260425,46.9
260426,63.2
260427,56.5
260428,61.9
260430,35.3
260432,38.1
260434,27.7
260440,61.4
260444,85.9
260446,48.4
260448,41.5
260449,56.9
260450,63.7
260452,74.3
260454,60.7
260455,48.4
260459,58.4
260700,43.2
260LEA,50.7
26B000,37.0
26C000,47.9
270304,45.7
270306,26.4
270308,42.3
270309,51.8
270310,36.5
270311,17.0
270312,41.0
270316,17.2
270318,27.0
270320,44.9
270LEA,31.6
27A000,5.0
280302,61.0
280304,50.1
280306,21.4
280308,17.8
280310,36.4
280312,58.0
280316,39.5
280320,45.5
280324,43.0
280328,26.5
280330,23.8
280LEA,38.4
290302,58.7
290306,30.3
290307,59.8
290308,41.5
290309,53.2
290310,64.6
290312,62.0
290314,70.1
290315,25.0
290316,45.0
290320,56.3
290322,47.5
290324,36.2
290328,53.3
290330,27.8
290332,59.4
290333,32.4
290334,42.8
290336,30.3
290344,34.3
290348,27.3
290349,30.9
290350,35.2
290351,29.3
290352,55.6
290356,55.1
290364,70.7
290365,46.7
290366,64.5
290367,57.0
290375,55.0
290376,53.4
290380,34.2
290384,51.2
290388,37.6
290389,30.5
290LEA,43.4
291308,68.7
291332,59.0
291336,46.4
291340,64.1
291348,64.8
291350,32.5
291352,64.0
291LEA,58.8
292316,56.5
292318,63.5
292320,54.6
292324,44.0
292LEA,55.2
298202,50.7
298203,24.1
298204,27.3
300306,68.2
300308,74.2
300310,51.9
300312,38.3
300314,44.1
300320,65.4
300325,34.5
300326,34.2
300328,15.1
300330,65.1
300336,59.7
300337,28.1
300LEA,44.8
310304,41.4
310308,37.2
310330,29.2
310336,52.9
310338,28.6
310344,29.6
310352,36.5
310356,47.6
310360,37.5
310364,26.5
310384,52.8
310388,48.8
310392,33.6
310LEA,40.7
320304,55.4
320306,73.9
320308,55.7
320309,53.8
320310,70.7
320312,37.1
320313,30.2
320314,47.8
320315,59.3
320316,67.0
320317,59.5
