agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
00A000,,33.3,,,,,33.3,,54.5,30.8,,,,,,
00B000,,40.0,,,,,40.0,,,,,,,,,
010304,,64.7,,,,62.3,64.7,,59.4,64.1,,69.4,,,,
010308,,53.6,,,,57.7,53.6,,52.9,53.6,,54.5,,,,
010310,,26.3,,,,23.8,26.3,,29.7,26.8,,24.2,,,20.0,
010312,,66.0,,88.2,,62.1,66.0,,73.9,56.7,,60.0,,,16.7,
010320,,50.0,,,,,50.0,,,,,,,,,
010324,,28.9,,,,17.9,28.9,,30.8,27.0,,28.0,,,30.8,
010326,,47.3,,,,45.9,47.3,,35.9,48.3,,55.8,,,38.1,
010340,,45.2,,,,41.0,45.2,,50.0,46.3,,42.9,,,,
010346,,45.7,,,,46.2,45.7,,37.5,45.7,,54.5,,,,
010347,,63.2,,,,60.8,63.2,,65.5,63.5,,60.7,,,50.0,
010348,,14.3,,,,14.3,14.3,,16.7,15.5,,11.1,,,13.6,
010350,,22.8,,,,20.8,22.8,,18.5,20.8,,26.7,,,28.6,
010351,,63.2,,,,45.8,63.2,,53.8,64.0,,71.0,,,38.5,
010353,,34.4,,,,36.7,34.4,,38.5,34.5,,31.6,,,25.0,
010354,,49.5,,,,45.5,49.5,,58.5,48.9,,42.6,,,18.2,
010357,,61.3,,,,54.9,61.3,,60.0,61.4,,62.3,,,39.1,
010358,,55.1,,,,36.0,55.1,,57.1,57.6,,53.7,,,60.0,
010360,,30.8,,,,33.7,30.8,,25.0,30.8,,34.2,,,25.0,
010362,,78.6,,,,81.0,78.6,,86.7,76.0,,69.2,,,,
010364,,65.6,,,,56.8,65.6,,66.7,66.1,,65.0,,,35.3,
010372,,32.4,,,,20.0,32.4,,43.8,33.3,,22.2,,,,
010374,,71.4,,,,66.7,71.4,,74.3,70.8,,69.0,,,48.0,
010380,,65.2,,,,60.9,65.2,,68.9,65.1,,62.9,,,61.5,
010384,,10.0,,,,,10.0,,,,,,,,,
010388,,18.8,,,,20.8,18.8,,10.0,17.2,,22.7,,,25.0,
010394,,23.5,,,,22.6,23.5,,25.0,26.7,,22.7,,,,
010396,,44.2,,,,47.5,44.2,,31.3,37.5,,50.0,,,,
010400,,40.0,,,,48.0,40.0,,25.0,42.9,,50.0,,,,
010403,,15.8,,,,11.8,15.8,,20.0,18.8,,,,,,
010LEA,,48.2,50.0,56.9,60.0,43.7,48.2,,48.2,47.9,41.2,48.2,,,31.8,50.0
01B000,,36.4,,,,,36.4,,,,,,,,,
020302,,21.4,,,,20.0,21.4,,,30.0,,,,,,
020316,,50.0,,,,50.0,50.0,,71.4,50.0,,33.3,,,,
020328,,50.0,,,,,50.0,,45.5,53.8,,,,,,
020LEA,,42.2,,10.0,,40.0,42.2,,48.9,47.1,,34.2,,,9.5,
030304,,50.0,,,,50.0,50.0,,,50.0,,,,,,
030308,,45.0,,,,42.1,45.0,,,45.0,,35.7,,,,
030320,,40.0,,,,40.0,40.0,,52.6,40.0,,18.2,,,36.4,
030LEA,,45.3,,,,44.4,45.3,,55.9,45.3,,33.3,,,33.3,
040306,,13.3,,,,,13.3,,,16.7,,,,,,
040309,,28.6,,,,20.0,28.6,,,30.0,,20.0,,,,
040328,,55.6,,,,,55.6,,,60.0,,50.0,,,,
040LEA,,41.3,,27.3,,28.6,41.3,,52.0,44.2,,34.2,,,25.0,
050302,,20.0,,,,16.7,20.0,,,15.8,,23.1,,,,
050330,,51.5,,,,53.1,51.5,,35.7,51.6,,63.2,,,,
050335,,23.1,,,,23.1,23.1,,,25.0,,,,,,
050LEA,,34.7,,,,34.7,34.7,,37.9,34.3,,32.6,,,23.8,
060302,,16.7,,,,16.7,16.7,,,18.2,,,,,,
060304,,72.7,,,,,72.7,,,,,,,,,
060316,,43.8,,,,40.0,43.8,,,43.8,,,,,,
060318,,11.8,,,,11.8,11.8,,,11.8,,18.2,,,,
060328,,51.4,,,,48.6,51.4,,57.9,47.1,,44.4,,,,
060LEA,,40.2,,,,38.1,40.2,,37.3,37.5,,43.1,,,32.1,
070302,,77.3,,,,,77.3,,90.0,77.3,,66.7,,,,
070308,,58.8,,,,,58.8,,,56.3,,54.5,,,,
070326,,43.3,,,,33.3,43.3,,,46.4,,47.6,,,,
070327,,29.9,,,,25.0,29.9,,33.3,31.0,,27.5,,,,
070328,,35.1,,,,25.0,35.1,,42.3,35.2,,29.0,,,,
070329,,21.7,,,,,21.7,,,21.7,,18.8,,,,
070330,,25.0,,,,,25.0,,,20.0,,,,,,
070338,,10.5,,,,18.2,10.5,,,11.1,,16.7,,,,
070342,,15.8,,,,15.4,15.8,,8.3,11.4,,19.2,,,,
070LEA,,32.4,,,,25.5,32.4,,35.2,32.2,,30.7,,,20.7,
080LEA,,28.6,,,,,28.6,,,30.8,,,,,,
090304,,41.7,,,,,41.7,,,41.7,,,,,,
090317,,53.3,,,,53.8,53.3,,,53.3,,,,,,
090318,,36.0,,,,,36.0,,46.2,36.0,,25.0,,,,
090324,,66.1,,,,57.1,66.1,,65.4,66.1,,66.7,,,,
090328,,42.9,,,,40.0,42.9,,,42.9,,,,,,
090330,,5.9,,,,,5.9,,,5.0,,8.3,,,,
