agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
00A000,N,N,Y,Y
00B000,N,Y,Y,Y
010303,N,N,N,N
010304,N,N,Y,Y
010308,N,N,Y,Y
010310,Y,N,N,N
010311,N,N,N,N
010312,N,N,Y,Y
010320,N,N,Y,Y
010324,N,N,Y,N
010326,N,N,Y,Y
010328,N,N,Y,Y
010340,N,N,Y,Y
010346,N,N,Y,Y
010347,N,N,Y,Y
010348,N,N,Y,Y
010350,N,N,Y,Y
010351,N,N,Y,Y
010353,N,N,Y,Y
010354,N,N,Y,Y
010357,N,N,Y,Y
010358,Y,N,N,N
010360,N,N,N,N
010362,N,N,Y,Y
010364,N,N,Y,Y
010372,N,N,Y,Y
010374,N,N,Y,Y
010378,N,N,Y,Y
010380,N,N,Y,Y
010384,N,N,Y,Y
010388,N,N,Y,Y
010390,N,N,Y,Y
010392,N,N,Y,Y
010394,N,N,Y,Y
010396,N,N,N,N
010400,N,N,N,N
010403,N,N,Y,Y
010406,N,N,Y,Y
01B000,N,N,Y,Y
01C000,N,N,Y,N
01D000,N,N,Y,Y
020302,N,N,N,N
020303,N,N,N,N
020304,N,N,N,N
020306,N,N,Y,Y
020308,N,N,N,N
020316,N,N,Y,Y
020320,N,N,Y,Y
020324,N,N,Y,Y
020328,N,N,N,N
020330,N,N,Y,Y
020332,N,N,Y,Y
030304,N,N,N,N
030308,N,N,Y,Y
030316,N,N,N,N
030320,N,N,Y,Y
040304,N,N,N,N
040305,N,Y,N,N
040306,N,N,Y,Y
040308,N,N,N,N
040309,N,N,Y,Y
040311,N,N,Y,Y
040316,N,N,Y,Y
040324,N,N,N,N
040328,N,N,N,N
040330,N,N,Y,Y
050302,N,N,Y,Y
050305,N,N,N,N
050310,N,N,Y,Y
050330,N,N,N,N
050335,N,N,N,N
060302,N,N,N,N
060304,N,N,N,N
060310,N,N,Y,Y
060316,N,N,N,N
060318,N,N,Y,Y
060322,N,N,N,N
060328,N,N,Y,Y
060332,N,N,N,N
060334,N,N,N,N
060700,N,N,N,N
060701,N,N,N,N
06A000,Y,N,N,N
06B000,N,N,Y,Y
070302,N,N,Y,Y
070308,N,N,Y,Y
070310,N,N,N,N
070311,N,N,N,N
070325,N,N,Y,Y
070326,N,N,N,N
070327,N,N,Y,Y
070328,N,N,Y,Y
070329,N,N,Y,Y
070330,N,N,Y,Y
070338,N,N,Y,Y
070339,N,N,N,N
070340,N,N,N,N
070342,N,N,N,N
07A000,N,N,N,N
080311,N,N,N,N
080312,N,N,Y,Y
080314,N,N,Y,Y
080348,N,N,N,N
080356,N,N,N,N
080360,N,N,Y,Y
080362,N,N,Y,Y
08A000,N,N,Y,N
090304,N,N,N,N
090315,N,N,Y,Y
090317,N,N,N,N
090318,N,N,N,N
090320,N,N,N,N
090324,N,N,N,N
090328,N,N,Y,Y
090330,N,N,Y,Y
090332,N,N,Y,Y
090333,N,N,Y,Y
090352,N,N,N,N
090365,N,N,Y,Y
090368,N,N,N,N
09A000,Y,N,N,N
09B000,N,N,Y,Y
100302,N,N,Y,Y
100304,N,N,Y,N
100307,N,N,N,N
100308,N,Y,Y,Y
100309,N,N,Y,Y
100310,N,N,Y,Y
100316,N,N,Y,Y
100320,N,N,Y,Y
100326,N,N,Y,Y
100332,N,N,Y,Y
100334,N,N,Y,Y
100335,N,N,Y,Y
100336,N,N,Y,Y
100338,N,N,Y,Y
100339,N,N,N,N
100340,N,N,N,N
100342,N,N,Y,Y
100344,N,N,Y,Y
100348,N,N,N,N
10A000,N,N,N,N
10B000,N,N,N,N
110303,N,Y,N,N
110304,N,N,N,N
110306,N,N,Y,Y
110308,N,N,N,N
110318,N,N,Y,Y
110320,N,N,N,N
110322,N,N,N,N
110323,N,N,N,N
110324,N,N,Y,Y
110326,N,N,Y,N
110332,N,N,N,N
110336,N,N,Y,N
110338,N,N,Y,Y
110340,N,N,Y,N
110342,N,N,Y,Y
110348,N,N,Y,Y
110352,N,N,Y,Y
110356,N,N,Y,Y
110366,N,N,N,N
110368,N,N,Y,N
110370,N,N,Y,Y
110372,N,N,Y,Y
110376,N,N,Y,Y
110379,N,N,N,N
110380,N,N,N,N
110381,N,N,Y,Y
110382,N,N,Y,N
110384,N,N,Y,Y
110388,N,N,N,N
110401,N,N,Y,Y
110408,N,N,Y,Y
110410,N,N,Y,Y
110412,N,N,Y,Y
110416,N,N,Y,Y
110420,N,N,Y,Y
110422,N,N,Y,Y
110425,N,N,Y,Y
110428,N,N,Y,N
110432,N,N,Y,N
110436,N,N,Y,Y
110444,N,N,N,N
110450,N,N,Y,Y
110451,N,N,Y,Y
110500,N,N,N,N
111302,N,N,N,N
111304,N,N,Y,Y
111306,N,N,Y,Y
111307,N,N,Y,Y
111312,N,N,Y,Y
111332,N,N,Y,Y
111356,N,N,Y,Y
111360,N,N,Y,Y
111369,N,N,Y,Y
111700,N,N,N,N
11A000,N,N,N,N
11B000,N,N,N,N
11C000,N,N,Y,Y
11D000,N,N,N,N
11K000,N,N,Y,Y
120304,N,N,Y,Y
