agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
00A000,44.4,29.0
00B000,37.9,27.0
010303,,73.8
010310,26.3,
010324,,45.5
010348,,15.7
010350,23.8,
010353,34.3,
010360,,13.0
010378,7.7,6.3
010388,,41.5
010390,45.4,
010394,40.4,
010396,,30.9
010400,,46.4
010403,45.8,
010406,50.3,
01B000,49.3,48.4
01C000,48.0,37.8
01D000,73.0,69.4
020302,,29.8
020303,,72.0
020306,45.0,
020330,48.5,
030304,,43.9
030308,46.7,
030316,52.9,
030320,43.1,
040304,,29.7
040305,,5.0
040306,,15.7
040308,57.9,
040309,29.1,
040328,45.7,
050302,,39.6
050310,42.6,
050330,49.4,
050335,54.7,
060302,,29.3
060310,64.8,
060318,55.2,
060701,,63.9
06B000,36.4,
070308,45.8,
070311,,64.6
070325,60.2,
070329,42.3,
070330,,29.5
070338,41.9,
070339,,26.7
070340,40.0,
070342,,25.4
07A000,53.6,55.0
080311,,50.0
080312,,18.8
080314,28.7,
08A000,27.3,
090315,33.8,
090320,62.7,
090328,20.0,
090330,,27.7
090332,34.1,
090365,31.0,
090368,,24.2
09A000,,7.1
09B000,35.7,
100307,,80.0
100308,,5.0
100309,43.0,
100316,43.8,
100326,,26.3
100332,42.6,
100334,,35.3
100335,41.4,
100344,39.0,
100348,,37.6
10A000,66.7,
110303,,5.3
110304,,51.1
110306,50.9,
110322,,61.1
110326,61.3,
110336,,49.7
110338,48.5,
110340,,25.1
110352,,38.2
110380,,49.6
110382,55.4,
110416,,54.9
110425,46.8,
110450,53.6,
110451,38.8,
110500,,95.0
111302,,42.8
111356,65.0,
111369,50.0,
111700,,64.4
11A000,83.0,
11B000,65.1,
11C000,51.4,51.4
11D000,66.7,43.6
11K000,73.7,
120314,,47.3
120315,58.4,
120318,,42.9
120334,64.3,
120346,,47.9
120350,55.6,
120370,,44.2
120376,49.4,
120390,42.6,
12A000,56.5,
130307,,65.8
130310,,33.3
130313,29.8,
130314,,31.3
130315,63.6,
130316,,36.6
130317,21.4,13.8
130318,45.0,
