agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_SWD_MCR,pct_WH7_MCR
00B000,,27.3,,,,,,,29.2,,,,,,,28.6
010303,,95.0,,,,,,,95.0,,,,,,,95.0
010324,95.0,87.7,,,83.9,81.4,,,86.6,84.4,,88.5,,90.0,40.0,89.4
010348,95.0,90.5,,,90.4,89.0,94.4,,92.5,95.0,,88.8,,90.0,37.5,77.8
010360,95.0,86.2,,,92.9,86.1,72.7,,91.8,84.3,,81.1,,,37.9,61.5
010378,,7.1,,,,,,,,,,10.0,,,5.0,
010388,95.0,85.8,,,72.0,78.9,77.8,,89.9,80.9,,81.5,,90.9,35.1,87.5
010396,95.0,91.9,,,84.9,86.7,90.9,,95.0,95.0,,88.1,,91.7,51.6,94.3
010400,95.0,92.4,,,95.0,84.2,63.6,,95.0,84.4,,89.8,,90.9,57.6,92.9
010LEA,95.0,88.4,,95.0,85.9,84.5,77.7,,91.7,88.6,95.0,85.5,,89.2,41.2,88.9
01B000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
01C000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
01D000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
020302,95.0,93.8,,,95.0,93.1,,,94.0,95.0,,93.5,,95.0,50.0,92.8
020LEA,95.0,93.8,,,95.0,93.1,,,94.0,95.0,,93.5,,95.0,50.0,92.8
030304,95.0,87.5,,,,85.1,,,90.9,95.0,,84.1,,,,85.7
030LEA,95.0,87.5,,,,85.1,,,90.9,95.0,,84.1,,,,85.7
040304,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
040305,,95.0,,,95.0,95.0,,,,,,94.7,,,,
040306,95.0,89.1,,,86.8,91.2,,,91.0,,,87.2,,,33.3,92.6
040LEA,95.0,91.8,,,90.4,93.8,,,93.6,,,90.0,,,46.7,93.6
050302,95.0,86.9,,,,84.0,,,91.8,94.1,,82.4,,,16.0,85.9
050LEA,95.0,86.9,,,,84.0,,,91.8,94.1,,82.4,,,16.0,85.9
060302,,95.0,,,,93.8,,,94.4,92.3,,95.0,,,70.0,95.0
060334,,95.0,,,,,,,,,,,,,,95.0
060700,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
060LEA,95.0,95.0,,,,95.0,,,95.0,94.1,,95.0,,,75.0,95.0
070310,,94.7,,,95.0,95.0,,,,,,90.0,,,,
070311,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
070330,95.0,95.0,,,87.5,91.3,,,95.0,,,95.0,,,70.0,95.0
070339,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,95.0,,92.3
070342,95.0,95.0,,,93.9,95.0,,,95.0,87.5,,92.3,,,68.8,95.0
