agency_code,pct_met_ACT WorkKeys_PART,pct_met_Biology_PART,pct_met_English II_PART,pct_met_High School Math_PART,pct_met_Math Grades 3-8_PART,pct_met_Reading Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_The ACT_PART,pct_met_Total Targets_PART
00A000,,0.0,100.0,0.0,14.3,57.1,33.3,0.0,34.3
00B000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
010303,,100.0,100.0,100.0,,,,100.0,100.0
010304,,,,,100.0,100.0,100.0,,100.0
010308,,,,,100.0,100.0,100.0,,100.0
010310,,,,,100.0,100.0,100.0,,100.0
010312,,,,,100.0,100.0,100.0,,100.0
010320,,,,,100.0,100.0,100.0,,100.0
010324,100.0,83.3,50.0,100.0,,,,83.3,82.1
010326,,,,,100.0,100.0,100.0,,100.0
010328,,,,,100.0,100.0,100.0,,100.0
010340,,,,,100.0,100.0,100.0,,100.0
010346,,,,,100.0,100.0,100.0,,100.0
010347,,,,,100.0,100.0,100.0,,100.0
010348,0.0,100.0,40.0,100.0,,,,100.0,73.7
010350,,,,,100.0,100.0,100.0,,100.0
010351,,,,,100.0,100.0,100.0,,100.0
010353,,,,,100.0,100.0,100.0,,100.0
010354,,,,,100.0,100.0,100.0,,100.0
010357,,,,,100.0,100.0,100.0,,100.0
010358,,,,,100.0,100.0,100.0,,100.0
010360,100.0,100.0,16.7,100.0,,,,50.0,71.4
010362,,,,,100.0,100.0,100.0,,100.0
010364,,,,,100.0,100.0,100.0,,100.0
010372,,,,,100.0,100.0,100.0,,100.0
010374,,,,,100.0,100.0,100.0,,100.0
010378,,,,,0.0,0.0,,,0.0
010380,,,,,100.0,100.0,100.0,,100.0
010384,,,,,100.0,100.0,100.0,,100.0
010388,100.0,100.0,100.0,100.0,,,,100.0,100.0
010390,,,,,100.0,100.0,100.0,,100.0
010392,,,,,100.0,100.0,100.0,,100.0
010394,,,,,100.0,100.0,100.0,,100.0
010396,100.0,100.0,100.0,83.3,,,,100.0,96.6
010400,100.0,100.0,100.0,100.0,,,,100.0,100.0
010403,,,,,100.0,100.0,80.0,,95.2
010406,,,,,100.0,100.0,100.0,,100.0
01B000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
01C000,,100.0,100.0,50.0,100.0,100.0,100.0,100.0,93.8
