agency_code,aaa_score_ALL_SPG2,aaa_score_AM7_SPG2,aaa_score_AS7_SPG2,aaa_score_BL7_SPG2,aaa_score_EDS_SPG2,aaa_score_ELS_SPG2,aaa_score_HI7_SPG2,aaa_score_MU7_SPG2,aaa_score_SWD_SPG2,aaa_score_WH7_SPG2,ach_score_ALL_SPG2,ach_score_AM7_SPG2,ach_score_AS7_SPG2,ach_score_BL7_SPG2,ach_score_EDS_SPG2,ach_score_ELS_SPG2,ach_score_HI7_SPG2,ach_score_MU7_SPG2,ach_score_SWD_SPG2,ach_score_WH7_SPG2,awa_score_ALL_SPG2,awa_score_AM7_SPG2,awa_score_AS7_SPG2,awa_score_BL7_SPG2,awa_score_EDS_SPG2,awa_score_ELS_SPG2,awa_score_HI7_SPG2,awa_score_MU7_SPG2,awa_score_SWD_SPG2,awa_score_WH7_SPG2,bi_score_ALL_SPG2,bi_score_AM7_SPG2,bi_score_AS7_SPG2,bi_score_BL7_SPG2,bi_score_EDS_SPG2,bi_score_ELS_SPG2,bi_score_HI7_SPG2,bi_score_MU7_SPG2,bi_score_SWD_SPG2,bi_score_WH7_SPG2,cgrs_score_ALL_SPG2,cgrs_score_AM7_SPG2,cgrs_score_AS7_SPG2,cgrs_score_BL7_SPG2,cgrs_score_EDS_SPG2,cgrs_score_ELS_SPG2,cgrs_score_HI7_SPG2,cgrs_score_MU7_SPG2,cgrs_score_SWD_SPG2,cgrs_score_WH7_SPG2,eg_score_ALL_SPG2,eg_score_AM7_SPG2,eg_score_AS7_SPG2,eg_score_BL7_SPG2,eg_score_EDS_SPG2,eg_score_ELS_SPG2,eg_score_HI7_SPG2,eg_score_MU7_SPG2,eg_score_SWD_SPG2,eg_score_WH7_SPG2,elp_score_ALL_SPG2,elp_score_AS7_SPG2,elp_score_BL7_SPG2,elp_score_EDS_SPG2,elp_score_ELS_SPG2,elp_score_HI7_SPG2,elp_score_SWD_SPG2,mcr_score_ALL_SPG2,mcr_score_AM7_SPG2,mcr_score_AS7_SPG2,mcr_score_BL7_SPG2,mcr_score_EDS_SPG2,mcr_score_ELS_SPG2,mcr_score_HI7_SPG2,mcr_score_MU7_SPG2,mcr_score_SWD_SPG2,mcr_score_WH7_SPG2,scgs_score_ALL_SPG2,scgs_score_AM7_SPG2,scgs_score_AS7_SPG2,scgs_score_BL7_SPG2,scgs_score_EDS_SPG2,scgs_score_ELS_SPG2,scgs_score_HI7_SPG2,scgs_score_MU7_SPG2,scgs_score_SWD_SPG2,scgs_score_WH7_SPG2,spg_score_ALL_SPG2,spg_score_AM7_SPG2,spg_score_AS7_SPG2,spg_score_BL7_SPG2,spg_score_EDS_SPG2,spg_score_ELS_SPG2,spg_score_HI7_SPG2,spg_score_MU7_SPG2,spg_score_SWD_SPG2,spg_score_WH7_SPG2
00A000,50.2,,82.5,37.6,31.2,42.1,47.6,45.6,19.8,54.5,52.3,,82.5,38.5,32.7,42.1,50.0,45.6,22.2,57.2,,,,,,,,,,,57.6,,,45.2,,,,,,66.4,,,,,,,,,,,50.0,,,59.5,53.3,,59.4,60.3,63.9,50.0,,,,,,,,,,,,,,,,,,62.9,,,41.3,42.0,,62.7,,38.1,70.8,52.0,,83.0,43.0,37.0,42.0,52.0,49.0,31.0,56.0
00B000,45.6,,,32.8,35.5,27.8,44.4,46.5,21.7,49.7,48.6,,,35.7,38.8,27.8,47.1,49.8,25.2,52.4,78.1,,,,,,,,,,48.8,,,36.4,33.3,,,,31.4,53.1,60.0,,,,,,,,,54.1,55.4,,,68.1,55.4,,75.5,79.8,76.1,54.9,,,,,,,,27.3,,,,,,,,,,66.1,,,55.1,63.4,,66.7,70.3,43.4,69.2,50.0,,,42.0,42.0,28.0,53.0,56.0,35.0,53.0
010303,85.5,,,,80.0,,,,,,88.1,,,,80.0,,,,,,,,,,,,,,,,84.4,,,,80.0,,,,,,95.0,,,,,,,,,,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,80.0,,,,,
010304,59.2,,,61.1,43.1,44.4,45.7,59.4,10.7,64.5,61.6,,,61.1,47.4,51.5,51.0,59.4,10.7,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,,80.2,81.5,76.0,,70.0,80.6,73.2,,,69.4,73.2,73.7,,,,,,,,,,,,72.5,,,,59.1,,,,,75.0,64.0,,,61.0,54.0,58.0,56.0,59.0,23.0,69.0
010308,60.2,,,30.4,43.6,35.7,42.5,,17.1,67.6,60.9,,,30.4,44.5,35.7,42.5,,17.1,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,,,76.0,86.9,83.9,85.9,,85.1,83.5,,,,,,,,,,,,,,,,,,64.3,,,,49.1,,,,,66.3,66.0,,,40.0,53.0,45.0,51.0,,31.0,71.0
010310,24.8,,,14.1,19.4,25.5,30.2,35.6,6.3,34.3,27.3,,,16.5,22.1,25.8,32.0,35.6,8.6,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,,,56.9,57.2,74.5,61.5,69.7,69.0,72.4,26.3,,,25.6,26.3,26.9,21.9,,,,,,,,,,,43.6,,,31.3,37.7,27.7,47.5,,10.3,,33.0,,,25.0,29.0,36.0,38.0,42.0,21.0,42.0
010312,65.8,,78.9,49.2,43.8,41.4,39.5,78.1,26.0,74.7,65.7,,78.9,49.2,44.9,41.4,39.5,78.1,26.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,76.0,77.6,83.6,83.2,,81.8,79.6,,,,,,,,,,,,,,,,,,65.4,,,,51.2,,,,,76.4,69.0,,79.0,55.0,51.0,50.0,48.0,78.0,37.0,76.0
010320,61.0,,,41.1,46.8,,47.1,,22.2,70.4,62.8,,,41.1,46.8,,47.1,,22.2,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,81.6,84.3,,,,,83.4,,,,,,,,,,,,,,,,,,74.5,,,,,,,,,80.0,67.0,,,49.0,54.0,,47.0,,22.0,74.0
010324,59.1,,,48.6,42.7,,46.9,37.5,8.2,68.5,71.6,,,64.1,55.4,,61.4,37.5,31.6,77.1,66.3,,,50.8,50.7,,,,,72.3,78.9,,,,55.8,,,,,83.9,84.2,,,87.7,73.1,,82.5,,68.5,83.4,67.8,,,69.8,64.4,,82.1,72.9,66.2,71.3,,,,,,,,88.0,,,83.9,81.4,,87.1,,40.0,89.4,,,,,,,,,,,71.0,,,65.0,57.0,,66.0,45.0,39.0,76.0
010326,36.7,,,32.4,28.4,32.1,40.3,,20.7,32.6,38.1,,,32.1,30.5,36.4,42.1,,20.7,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,,,81.4,82.4,81.3,81.6,,80.6,,49.4,,,50.0,49.4,51.3,,,,,,,,,,,,36.8,,,30.6,29.7,34.1,39.2,,,,47.0,,,42.0,41.0,45.0,50.0,,33.0,33.0
