agency_code,pct_AIG_WK,pct_ALL_WK,pct_AM7_WK,pct_AS7_WK,pct_BL7_WK,pct_EDS_WK,pct_ELS_WK,pct_FCS_WK,pct_FEM_WK,pct_HI7_WK,pct_HMS_WK,pct_MALE_WK,pct_MIL_WK,pct_MU7_WK,pct_SWD_WK,pct_WH7_WK
010324,91.7,69.0,,,54.5,55.9,,,51.3,81.8,,78.4,,,9.1,71.9
010348,,66.1,,,57.1,65.5,,,50.0,70.4,,80.0,,,,70.0
010360,93.8,55.6,,,46.9,55.6,46.2,,64.1,60.0,,47.6,,,,
010388,95.0,68.3,,,,53.5,,,68.5,54.5,,68.2,,,16.7,71.2
010396,95.0,63.3,,,53.2,55.7,,,58.7,63.6,,67.7,,70.0,66.7,77.8
010400,95.0,64.6,,,38.9,55.2,,,64.5,60.0,,64.6,,,9.1,68.6
010LEA,95.0,65.0,,72.7,50.0,56.3,44.7,,61.5,64.7,,68.0,,64.0,22.2,70.9
020302,94.9,64.4,,,,72.4,,,71.3,57.9,,59.8,,,25.0,68.5
020LEA,94.9,64.4,,,,72.4,,,71.3,57.9,,59.8,,,25.0,68.5
030304,,56.7,,,,57.1,,,74.1,75.0,,42.4,,,,52.2
030LEA,,56.7,,,,57.1,,,74.1,75.0,,42.4,,,,52.2
040306,86.7,48.4,,,26.8,45.7,,,52.0,,,44.4,,,,79.4
040LEA,84.4,49.0,,,27.1,43.2,,,51.9,,,46.0,,,,78.9
050302,95.0,76.7,,,,70.5,,,80.5,,,73.5,,,,77.8
050LEA,95.0,76.7,,,,70.5,,,80.5,,,73.5,,,,77.8
060302,,54.8,,,,44.4,,,35.7,,,70.6,,,,57.1
060700,95.0,94.1,,,,87.5,,,93.3,,,95.0,,,,93.9
060LEA,95.0,79.3,,,,69.0,,,75.0,,,84.2,,,,80.5
070330,,78.1,,,,,,,71.4,,,83.3,,,,80.8
070339,,61.9,,,59.1,58.3,,,63.0,60.0,,61.1,,,,68.0
070342,,56.0,,,39.4,36.7,,,63.4,,,47.1,,,,75.0
070LEA,95.0,63.4,,,46.6,51.6,,,65.1,62.5,,62.0,,54.5,20.0,75.6
080312,,38.9,,,35.9,18.8,,,40.0,,,38.1,,,,
080LEA,,40.5,,,36.9,18.8,,,40.0,,,40.9,,,,
090330,90.0,49.5,,,41.8,44.8,,,53.3,66.7,,46.2,,,,59.3
090368,88.0,47.9,,,28.0,41.3,30.0,,51.1,46.7,,44.0,,,6.3,63.5
090LEA,88.6,48.5,,,35.2,42.7,28.6,,51.9,52.4,,44.9,,,9.1,62.4
100326,,42.3,,,23.5,42.1,,,52.9,,,32.4,,,,53.3
100334,95.0,66.4,,,35.7,45.5,,,83.0,,,55.6,,,,71.0
100348,90.9,61.8,,,33.3,49.4,,,70.0,63.6,,56.3,,,8.3,67.2
100LEA,95.0,59.4,,,31.0,46.7,45.5,,69.1,52.8,,52.3,,,12.0,65.6
110304,95.0,82.3,,,68.4,76.5,,,91.0,84.2,,73.0,,,,84.7
110336,,77.9,,,,75.0,,,67.6,,,88.2,,,,77.8
110340,78.9,65.1,,,40.0,60.2,50.0,,66.3,71.8,,63.8,,,5.0,65.3
110352,89.5,70.2,,,,58.5,,,76.1,58.3,,66.2,,,,71.6
110380,93.8,80.0,,,,78.7,,,77.5,73.3,,82.6,,,,80.5
110416,95.0,70.4,,,43.5,65.3,,,69.5,72.2,,71.1,,,20.0,77.9
110500,95.0,95.0,,,,90.5,,,92.9,,,95.0,,,,95.0
110LEA,94.9,76.0,,95.0,50.0,69.1,51.6,,77.0,75.6,,75.1,,65.5,29.2,78.7
111302,90.9,63.2,,,45.5,46.2,,,63.3,,,63.0,,,,77.8
111700,90.9,89.3,,,,,,,85.0,,,,,,,88.2
111LEA,90.9,71.8,,,52.0,54.5,,,72.0,70.0,,71.4,,,,81.8
120314,95.0,80.5,,,,80.0,,,79.5,,,81.6,,,,80.0
120318,84.6,56.2,,,,50.0,,,59.6,45.5,,52.4,,,5.0,60.6
120346,,68.6,,,,61.9,,,68.2,,,69.0,,,,69.0
120370,,61.5,,,,50.0,,,50.0,,,68.8,,,,67.5
120LEA,95.0,67.0,,70.0,20.0,61.1,,,66.7,53.8,,67.4,,,10.0,70.1
130307,95.0,81.9,,91.7,73.9,73.1,,,85.4,70.0,,79.3,,95.0,,83.6
130310,95.0,71.1,,,51.2,66.7,,,71.6,66.7,,70.7,,,30.0,78.3
130314,75.0,54.5,,,33.3,46.9,38.5,,57.6,55.6,,51.6,,,20.0,62.7
130316,95.0,63.1,,,50.0,52.8,20.0,,62.9,52.2,,63.3,,,,77.6
130324,95.0,76.6,,,,66.7,,,80.5,,,73.6,,,,76.1
130326,95.0,59.6,,,53.3,54.8,26.7,,55.4,46.9,,64.7,,,,67.5
130332,95.0,83.7,,,72.5,75.9,,,87.7,,,81.2,,,,85.7
130333,,60.9,,,,54.5,,,,,,73.3,,,,61.5
130LEA,95.0,71.0,,93.9,57.4,58.9,35.2,,70.8,58.1,40.0,71.2,,74.1,27.6,77.1
132304,95.0,59.2,,,32.8,45.0,50.0,,54.2,76.3,,62.9,,,18.8,69.4
132LEA,95.0,59.2,,,32.8,45.0,50.0,,54.2,76.3,,62.9,,,18.8,69.4
140305,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
140348,95.0,59.5,,,,34.6,,,66.7,,,53.7,,,,65.0
140386,95.0,67.1,,,,58.8,,,65.8,,,68.2,,,,68.5
140390,,62.9,,,,61.7,,,66.7,,,60.0,,,,66.7
140LEA,95.0,69.3,,,23.5,59.7,,,70.7,56.0,60.0,68.2,,,26.3,72.3
150304,,79.4,,,,83.3,,,78.1,,,80.6,,,,83.0
150LEA,,80.9,,,,84.6,,,79.4,,,82.4,,,,84.3
160313,,82.4,,,,86.7,,,76.9,,,88.0,,,,84.8
160314,95.0,84.0,,,,62.5,,,80.8,,,85.7,,,,82.4
160344,93.8,78.2,,,,60.0,,,87.1,,,72.3,,,,77.4
160LEA,95.0,81.4,,,,69.6,,,81.9,,,81.0,,,40.0,81.3
170316,95.0,63.5,,,34.9,43.4,,,64.9,,,62.3,,,,78.9
170LEA,95.0,63.5,,,34.9,43.4,,,64.9,,,62.3,,,,78.9
180308,93.8,78.0,,,,63.6,,,89.8,,,66.7,,,,82.2
180320,92.9,65.5,,,,62.9,,,66.0,71.4,,64.9,,,,67.3
180340,95.0,69.3,,,,54.5,,,73.3,,,63.3,,,,67.2
180348,95.0,70.8,,,,80.0,,,82.9,,,61.8,,,,66.7
180376,94.1,69.7,,,,59.1,50.0,,76.9,58.6,,61.1,,,,78.9
180LEA,95.0,70.7,,59.3,58.8,63.6,47.4,,77.7,65.0,,63.2,,68.4,5.0,73.3
181318,,58.6,,,,27.3,,,54.5,,,,,,,81.8
181322,,43.1,,,36.8,41.9,10.0,,42.3,47.4,,43.8,,,,50.0
181LEA,,48.3,,,37.0,38.1,9.1,,47.9,52.2,,48.7,,,16.7,65.2
182316,,60.9,,,,58.1,,,56.3,66.7,,65.6,,,,59.4
