agency_code,pct_ALL_CHRON_ABSENT,pct_AM7_CHRON_ABSENT,pct_AS7_CHRON_ABSENT,pct_BL7_CHRON_ABSENT,pct_ELS_CHRON_ABSENT,pct_FEM_CHRON_ABSENT,pct_HI7_CHRON_ABSENT,pct_MALE_CHRON_ABSENT,pct_MU7_CHRON_ABSENT,pct_PI7_CHRON_ABSENT,pct_SWD_CHRON_ABSENT,pct_WH7_CHRON_ABSENT
010303,0.0104,,,,,0.0052,0.0052,0.0052,,,,0.0052
010304,0.0873,,,0.0171,0.0154,0.0342,0.0222,0.053,0.0034,,0.0136,0.0445
010308,0.1424,,,0.0096,0.0048,0.0624,0.024,0.08,0.0048,,0.0128,0.104
010310,0.2602,,0.0013,0.1321,0.0299,0.113,0.0858,0.1471,0.0136,,0.0476,0.0272
010312,0.106,,0.0041,0.0192,0.0192,0.0537,0.0289,0.0523,0.0055,,0.022,0.0482
010320,0.1428,,,0.0392,0.0084,0.056,0.0252,0.0868,0.0112,,0.0448,0.0672
010324,0.2596,0.0008,0.0008,0.049,0.0152,0.1061,0.0474,0.1535,0.0257,,0.0418,0.1358
010326,0.1982,,,0.1113,0.0365,0.1008,0.0608,0.0973,0.0086,,0.026,0.0173
010328,0.0868,,,,,0.0443,0.0035,0.0425,0.0053,,0.023,0.078
010340,0.0965,,,0.0113,0.0099,0.0482,0.0255,0.0482,0.0056,,0.0099,0.0539
010346,0.1042,,0.0026,,0.0187,0.0481,0.0213,0.0561,0.0026,,0.0133,0.0775
010347,0.1179,0.0015,0.0015,0.0245,0.0091,0.0658,0.0153,0.052000000000000005,0.0122,,0.029,0.0627
010348,0.4456,,0.0039,0.1366,0.0411,0.2148,0.1989,0.2307,0.0212,,0.0835,0.0848
010350,0.2579,,0.0015,0.0854,0.0316,0.125,0.0917,0.1329,0.0079,,0.0458,0.0712
010351,0.218,,0.002,0.1278,0.0125,0.0964,0.0293,0.1215,0.0125,,0.0398,0.0461
010353,0.1755,,,0.0309,0.0132,0.0707,0.0398,0.1047,0.0058,0.0014,0.0471,0.0973
010354,0.1568,,0.0016,0.08800000000000001,0.0176,0.0816,0.0384,0.0752,0.0064,,0.0272,0.0224
010357,0.1825,0.002,,0.0527,0.0446,0.0872,0.073,0.0953,0.0101,,0.0283,0.0446
010358,0.1487,0.0031,,0.0617,0.0094,0.0569,0.0284,0.0917,0.0142,,0.0316,0.0411
010360,0.4161,0.0011,0.0022,0.1479,0.064,0.1986,0.213,0.2174,0.0176,,0.0761,0.0342
010362,0.1031,,0.0075,0.0337,0.0037,0.0375,0.0131,0.0656,0.0056,0.0018,0.015,0.0412
010364,0.2316,,,0.1008,0.0272,0.1008,0.0517,0.1307,0.0108,,0.0544,0.0681
010372,0.2,,,0.0545,0.0327,0.0763,0.0618,0.1236,0.0036,,0.0254,0.08
010374,0.1005,,,0.043,0.0287,0.043,0.043,0.0574,0.0053,,0.0287,0.0089
010378,0.6288,,0.0103,0.268,0.0309,0.1752,0.0515,0.4536,0.0309,,0.3092,0.268
010380,0.149,,0.0036,0.0381,0.0309,0.0527,0.0418,0.0963,0.0218,,0.0363,0.0436
010384,0.0848,,0.0032,0.0272,0.0016,0.0448,0.0096,0.04,0.0096,,0.0096,0.0352
010388,0.2789,0.0006,,0.0185,0.0075,0.1336,0.0514,0.1453,0.0082,,0.0383,0.2001
010390,0.1632,,0.0013,0.0054,0.0041,0.0864,0.0233,0.0768,0.0068,,0.0356,0.1262
010392,0.1312,,,0.006999999999999999,0.0035,0.0709,0.0106,0.0602,0.006999999999999999,,0.0248,0.1063
010394,0.1152,,,0.038,0.0011,0.0552,0.0149,0.0599,0.0103,0.0011,0.0195,0.0506
010396,0.3841,0.0025,0.0041,0.14300000000000002,0.0225,0.1866,0.1004,0.1974,0.0225,0.0025,0.051,0.1087
010400,0.2401,,,0.0251,0.0159,0.1091,0.0579,0.1309,0.0075,0.0008,0.0344,0.1486
010403,0.158,,,0.012,0.0072,0.0844,0.0337,0.0735,0.0096,,0.0241,0.1025
010406,0.1162,0.0036,0.0018,0.011,0.0018,0.0719,0.0239,0.0442,0.0147,,0.0147,0.0608
010LEA,0.2015,0.0016,0.0027,0.0569,0.0183,0.0937,0.0536,0.1078,0.0112,0.0015,0.0356,0.0804
01B000,0.0432,,,0.0012,,0.0254,0.0038,0.0177,0.0012,,0.005,0.0368
01C000,0.0815,,,0.0047,0.0015,0.0423,0.0109,0.0391,,,0.0094,0.0658
01D000,0.0641,,,0.0096,,0.0256,0.0064,0.0384,0.0064,,0.0096,0.0416
020302,0.172,,,0.0069,0.0007,0.0768,0.0153,0.0952,0.0069,,0.0284,0.1428
020303,0.0277,,,0.0069,,0.0277,,,,,,0.0208
020304,0.0569,,,,0.0022,0.0296,0.0045,0.0273,,,0.0182,0.0523
020306,0.0523,,,0.0016,,0.0212,0.0032,0.031,0.0016,,0.0098,0.0458
020308,0.0845,,,0.0035,,0.0457,0.0035,0.0387,0.0035,,0.0246,0.0739
020316,0.1344,,,0.0122,0.002,0.0712,0.0122,0.0631,0.0122,,0.0244,0.0977
020320,0.1037,,,,,0.0414,0.0041,0.0622,0.0124,,0.0207,0.0871
020324,0.0528,,,0.0044,,0.0264,,0.0264,0.0044,,0.022,0.044
020328,0.1011,,,0.0037,0.0037,0.0561,0.0262,0.0449,0.0074,,0.0411,0.0636
020330,0.028,,0.0018,,,0.0224,,0.0056,,,0.0074,0.0262
