agency_code,num_concentrators_AAVC,num_concentrators_AGNR,num_concentrators_ARCH,num_concentrators_BMA,num_concentrators_EDUC,num_concentrators_FINA,num_concentrators_HLTH,num_concentrators_HOSP,num_concentrators_HUMA,num_concentrators_INFO,num_concentrators_LAW,num_concentrators_MANU,num_concentrators_MRKT,num_concentrators_STEM,num_concentrators_TRAN
010303,0,2,1,1,0,0,0,0,1,1,1,0,0,0,1
010324,13,15,24,3,0,4,6,22,1,8,0,3,0,7,8
010348,7,10,13,2,0,1,8,10,1,3,1,2,0,0,18
010360,3,18,4,10,0,5,17,33,0,2,0,5,2,5,3
010388,13,106,30,2,0,1,24,13,1,15,7,0,0,3,4
010396,33,28,19,12,0,14,27,56,3,12,0,1,5,23,3
010400,6,63,15,4,0,0,27,25,5,19,0,2,1,4,8
020302,10,124,60,11,0,0,43,32,6,22,0,9,9,4,1
030304,17,32,17,0,0,0,10,3,0,8,1,4,0,18,11
040305,0,2,1,0,0,0,0,0,0,0,9,0,0,0,0
040306,1,35,19,0,0,0,0,7,0,0,1,0,0,0,6
050302,0,20,22,2,0,0,22,3,7,2,11,11,0,6,19
060302,0,21,0,7,0,2,7,7,4,0,5,22,0,4,0
060334,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
060700,0,2,0,1,0,0,1,0,0,0,1,2,0,3,0
070310,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0
070311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
070330,0,16,12,1,0,2,8,9,0,12,0,1,0,5,5
070339,0,16,11,0,0,2,11,3,0,0,8,10,0,0,1
070342,0,19,12,9,0,0,11,10,1,7,3,3,2,0,0
080311,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
080312,14,11,7,6,0,0,2,3,1,0,10,11,1,0,1
090330,6,38,28,10,0,0,23,7,3,15,8,11,4,0,7
090368,5,91,17,7,0,0,48,19,1,6,10,29,1,0,0
100307,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100308,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0
100326,2,36,24,0,0,1,6,8,3,7,0,1,0,1,0
100334,0,31,39,29,0,1,11,24,4,3,0,4,29,1,12
100348,1,37,18,26,0,2,53,25,1,24,0,5,11,0,14
110303,0,5,1,1,0,0,1,0,0,0,1,1,0,0,0
110304,21,30,17,17,0,0,33,14,14,4,67,0,7,25,10
110323,1,1,5,0,0,0,3,0,1,1,1,1,0,1,0
110336,1,27,15,4,0,0,22,15,0,19,5,0,0,3,0
110340,0,55,41,9,0,0,41,48,12,0,33,0,14,0,2
110352,22,43,19,2,0,7,37,11,0,14,14,1,1,0,6
110380,0,40,61,10,0,0,30,1,0,15,16,13,6,0,0
