agency_code,num_credentials,num_enrollments,cred_earned_pct
010324,223,797,28
010348,87,504,17
010360,157,633,25
010388,463,1061,44
010396,246,874,28
010400,493,743,66
020302,294,938,31
030304,234,389,60
040306,428,666,64
050302,404,621,65
060302,124,444,28
060700,16,22,73
070330,214,319,67
070339,314,357,88
070342,296,671,44
080311,35,111,32
080312,62,498,12
090330,441,525,84
090368,537,634,85
100308,21,101,21
100326,346,744,47
100334,432,723,60
100348,626,974,64
110304,336,803,42
110336,216,489,44
110340,201,898,22
110352,461,798,58
110380,449,729,62
110416,343,910,38
111302,258,834,31
120314,235,660,36
120318,291,787,37
120346,189,440,43
120370,383,747,51
130307,176,1285,14
130310,402,1216,33
130314,144,863,17
130316,125,834,15
130324,318,543,59
130326,229,970,24
130332,321,1076,30
132304,686,1258,55
140305,13,212,6
140348,360,541,67
140386,662,940,70
140390,226,513,44
150304,156,353,44
160313,171,381,45
160314,286,615,47
160344,662,839,79
170316,66,662,10
180308,461,657,70
180320,514,660,78
180323,3,14,21
180340,392,717,55
180348,256,698,37
180376,425,922,46
181318,136,142,96
181322,334,649,51
182316,272,582,47
190310,9,24,38
190316,35,337,10
190336,95,688,14
190342,205,947,22
190501,6,20,30
200308,80,148,54
200314,62,159,39
200328,263,401,66
210312,387,465,83
220310,217,305,71
230312,561,657,85
230324,402,800,50
230350,668,948,70
230361,335,676,50
240334,71,283,25
240371,373,452,83
240373,28,200,14
240380,214,286,75
241316,143,462,31
250321,15,95,16
250340,436,781,56
250356,551,1056,52
250372,226,700,32
260318,1423,1502,95
260322,110,854,13
260325,713,1149,62
260357,306,1136,27
260359,220,647,34
260408,348,1235,28
260411,88,156,56
260424,362,1190,30
260427,246,1129,22
260446,135,728,19
260455,113,804,14
270306,83,660,13
270311,76,129,59
280304,34,217,16
280316,28,298,9
280330,182,325,56
290308,519,699,74
290314,13,35,37
290324,169,725,23
290336,520,799,65
290348,563,952,59
290349,233,396,59
290365,125,312,40
290388,286,653,44
290389,63,167,38
291336,138,696,20
292324,254,530,48
300312,582,1188,49
310338,1,71,1
310344,640,773,83
310352,506,496,102
310364,267,368,73
310392,403,552,73
320312,104,1196,9
320317,77,319,24
320325,92,866,11
320356,190,786,24
320365,154,1048,15
320368,137,847,16
320701,19,266,7
330328,8,163,5
330350,79,659,12
330358,25,472,5
340311,92,907,10
340330,46,300,15
340364,174,947,18
340382,101,680,15
340427,1,22,5
340454,60,750,8
340460,108,656,16
340486,96,715,13
340488,77,323,24
340495,159,850,19
340496,85,649,13
340542,166,482,34
340556,269,1048,26
350308,306,651,47
350321,410,812,50
350336,206,427,48
360310,757,844,90
360336,413,480,86
360360,421,405,104
360372,19,83,23
360378,452,670,67
360390,336,525,64
360396,542,683,79
360418,603,549,110
360428,635,829,77
360470,461,708,65
360494,409,611,67
370312,188,330,57
380308,131,213,62
390322,109,490,22
390324,65,555,12
390352,25,602,4
400308,331,568,58
410319,149,617,24
410326,85,81,105
410355,231,951,24
410358,324,906,36
410391,25,215,12
410394,221,576,38
410406,163,787,21
410407,53,106,50
410484,207,757,27
410489,201,588,34
410490,268,799,34
410508,299,814,37
410529,268,1048,26
410544,104,785,13
410545,212,197,108
410547,289,962,30
410556,433,828,52
410562,309,976,32
410589,196,477,41
410595,66,558,12
420346,172,293,59
420358,93,207,45
421316,583,743,78
422310,34,109,31
422315,113,166,68
430345,57,45,127
430346,751,1145,66
430371,1384,1323,105
430378,666,1020,65
430384,928,1072,87
440326,2,51,4
440378,154,817,19
440390,327,782,42
450316,168,661,25
450334,50,570,9
450341,418,713,59
450343,48,137,35
450352,452,767,59
460320,134,470,29
460340,11,65,17
470312,703,1243,57
470342,11,63,17
480316,17,60,28
480318,11,155,7
490307,23,97,24
490310,339,380,89
490320,120,97,124
490335,558,1241,45
490346,415,748,55
490354,177,656,27
490355,16,95,17
490362,109,888,12
490380,180,561,32
491312,632,1267,50
500302,4,95,4
500324,10,54,19
500340,239,563,42
510324,957,1327,72
510327,280,1145,24
510333,687,1412,49
510368,316,565,56
510376,239,837,29
510399,18,755,2
510402,359,860,42
510406,835,1044,80
520320,160,258,62
530336,808,1166,69
530343,757,846,89
540315,171,570,30
540324,185,715,26
540336,127,583,22
550308,4,26,15
550320,460,702,66
550332,379,585,65
550344,678,709,96
550368,361,626,58
560320,41,734,6
560350,12,74,16
570318,29,417,7
580344,175,184,95
580368,207,441,47
590330,387,1202,32
590393,36,55,65
600302,614,2102,29
600312,373,1602,23
600361,7,1409,0
600364,60,111,54
600377,148,1255,12
600386,36,240,15
600397,35,838,4
600405,75,936,8
600415,115,1114,10
600426,309,1380,22
600439,1,198,1
600445,281,1571,18
600461,1,20,5
600466,40,1764,2
600480,36,1451,2
600496,471,1428,33
600498,3,127,2
600499,6,75,8
600508,60,1250,5
600535,113,1665,7
600576,374,839,45
600579,94,1120,8
600592,116,1008,12
600693,26,351,7
600694,66,466,14
600696,9,455,2
610334,382,448,85
620310,14,15,93
620316,128,400,32
620340,270,377,72
630332,287,435,66
630336,394,1376,29
630360,150,940,16
640340,5,39,13
640346,225,734,31
640350,182,814,22
640361,321,811,40
640364,144,762,19
650326,342,1277,27
650327,624,1238,50
650340,232,65,357
650342,538,1045,51
650352,406,874,46
650355,2,56,4
650394,89,103,86
650395,80,44,182
660336,162,285,57
670320,190,642,30
670324,476,1001,48
670333,172,817,21
670340,435,741,59
670344,181,593,31
670352,436,940,46
670364,97,735,13
680310,21,776,3
680332,104,906,11
681305,85,335,25
681308,33,703,5
681314,3,648,0
681338,7,15,47
690320,111,321,35
700317,261,573,46
700319,313,613,51
710321,206,578,36
710326,229,472,49
710342,391,1084,36
720316,152,313,49
730352,597,983,61
740309,115,509,23
740333,963,1222,79
740344,209,551,38
740366,326,938,35
740374,173,668,26
740388,446,1221,37
750318,218,516,42
760318,264,552,48
760339,677,619,109
760348,651,755,86
760358,621,791,79
760380,404,559,72
760382,50,382,13
760388,469,656,71
761304,329,1070,31
770342,50,48,104
770348,955,1218,78
770351,457,349,131
780325,98,504,19
780342,503,1448,35
780385,73,125,58
780391,332,500,66
780401,316,756,42
780402,186,364,51
780420,207,1094,19
790314,172,693,25
790354,217,587,37
790366,95,484,20
790378,238,808,29
800308,1,52,2
800340,571,738,77
800361,499,891,56
800376,196,439,45
800396,339,580,58
800400,494,808,61
800408,438,798,55
810324,135,556,24
810340,196,598,33
810384,103,557,18
820348,184,448,41
820349,151,370,41
820352,340,655,52
820388,72,402,18
821308,114,689,17
830316,8,18,44
830343,715,1108,65
840302,44,295,15
840332,317,505,63
840356,151,395,38
840368,226,625,36
850332,195,300,65
850352,133,372,36
850358,236,613,38
860316,250,473,53
860336,298,719,41
860352,207,567,37
860354,1,125,1
861308,241,319,76
862312,88,374,24
870314,202,450,45
880308,352,585,60
880328,153,241,63
890304,26,122,21
900311,597,1209,49
900316,287,792,36
900336,283,915,31
900342,469,1294,36
900344,268,927,29
900348,603,983,61
900360,437,1092,40
900365,8,25,32
900366,191,754,25
900377,298,857,35
900393,332,1039,32
910364,168,530,32
910370,4,477,1
920316,489,1415,35
920317,494,1453,34
920318,285,1316,22
920348,226,1411,16
920368,464,1565,30
920411,144,995,14
920412,182,1493,12
920428,591,1455,41
920436,640,1933,33
920441,1080,1806,60
920445,461,1312,35
920455,471,1231,38
920466,45,1043,4
920473,431,1375,31
920495,265,1372,19
920500,418,1514,28
