agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
00A000,A,6885.17,0.254,0.073,0.665,0.008,0.0,0.0,,597.77,5964.02,323.38
00B000,A,6656.76,0.247,0.058,0.11,0.585,0.0,0.0,,484.46,5769.73,402.57
010LEA,,8919.42,0.613,0.218,0.081,0.08,0.008,0.0,,1952.44,5964.76,1002.22
01B000,A,7483.9,0.487,0.191,0.199,0.039,0.084,0.0,,1694.92,5672.56,116.42
01C000,A,8060.21,0.513,0.174,0.259,0.039,0.015,0.0,,1793.29,5991.77,275.15
01D000,A,8461.84,0.57,0.202,0.12,0.055,0.053,0.0,,2388.59,5928.96,144.29
020LEA,,9380.88,0.624,0.232,0.059,0.075,0.01,0.0,,1768.2,6693.75,918.93
030LEA,,12141.69,0.605,0.214,0.085,0.095,0.001,0.0,,2421.86,8156.2,1563.63
040LEA,,10600.41,0.58,0.201,0.099,0.106,0.014,0.0,,1871.17,7123.97,1605.27
050LEA,,10613.85,0.612,0.23,0.064,0.09,0.004,0.0,,2110.1,7275.62,1228.13
060LEA,,12017.57,0.625,0.233,0.077,0.063,0.002,0.0,,2493.92,8172.71,1350.94
06A000,A,30778.92,0.483,0.154,0.18600000000000005,0.013,0.16399999999999998,0.0,,17766.22,8833.91,4178.79
06B000,A,12278.01,0.648,0.177,0.037000000000000005,0.138,0.0,0.0,,1596.43,8109.07,2572.51
070LEA,,10214.95,0.59,0.213,0.083,0.102,0.012,0.0,,2483.88,6451.79,1279.28
07A000,A,8879.69,0.53,0.146,0.245,0.056,0.023,0.0,,2505.78,6231.13,142.78
080LEA,,11808.76,0.5579999999999999,0.199,0.106,0.112,0.025,0.0,,1044.51,8906.14,1858.11
08A000,E,12729.8,0.527,0.07200000000000001,0.295,0.1,0.006,0.0,,2633.72,8824.73,1271.35
090LEA,,10683.08,0.593,0.21,0.091,0.097,0.009000000000000001,0.0,,1685.1,7041.11,1956.87
09A000,T,9425.71,0.508,0.068,0.191,0.212,0.021,0.0,,1710.5,7256.75,458.46
09B000,E,9388.03,0.4920000000000001,0.106,0.311,0.071,0.02,0.0,,2415.21,6791.92,180.9
100LEA,,10043.02,0.597,0.219,0.087,0.081,0.016,0.0,,2848.87,6079.95,1114.2
10A000,I,8742.7,0.36,0.085,0.518,0.034,0.003,0.0,,2659.02,5828.95,254.73
10B000,E,9540.17,0.395,0.087,0.445,0.073,0.0,0.0,,3264.22,6034.26,241.69
110LEA,,9940.4,0.652,0.231,0.05,0.065,0.002,0.0,,2940.43,5989.09,1010.88
111LEA,,12789.91,0.62,0.215,0.096,0.066,0.003,0.0,,5676.15,6205.43,908.33
11A000,I,10306.98,0.5870000000000001,0.191,0.13,0.061,0.031,0.0,,4249.48,5730.14,327.36
11B000,I,9413.65,0.628,0.138,0.17600000000000002,0.049,0.009000000000000001,0.0,,2729.01,6308.69,375.95
11C000,A,9396.56,0.544,0.188,0.204,0.036000000000000004,0.028,0.0,,3258.39,5961.43,176.74
11D000,T,8969.36,0.595,0.134,0.172,0.049,0.05,0.0,,2486.88,6177.05,305.43
11K000,I,10853.47,0.599,0.177,0.151,0.06,0.013,0.0,,4213.61,6229.24,410.62
120LEA,,9139.28,0.599,0.219,0.108,0.068,0.006,0.0,,1539.25,6547.08,1052.95
12A000,I,8316.64,0.568,0.13,0.229,0.073,0.0,0.0,,1950.4,6075.17,291.07
130LEA,,8555.63,0.62,0.221,0.057,0.08900000000000001,0.013,0.0,,2203.23,5724.8,627.6
132LEA,,9399.95,0.605,0.215,0.099,0.069,0.012,0.0,,2194.49,6031.91,1173.55
13A000,A,7183.54,0.5429999999999999,0.199,0.198,0.059,0.001,0.0,,1589.43,5431.7,162.41
13B000,A,9149.46,0.513,0.093,0.272,0.093,0.029,0.0,,2989.13,5735.9,424.43
13C000,I,8894.65,0.425,0.106,0.255,0.113,0.08900000000000001,0.0,,2738.69,5868.92,287.04
13D000,I,9074.07,0.501,0.086,0.29600000000000004,0.094,0.023,0.0,,2965.86,5676.78,431.43
140LEA,,9779.14,0.631,0.23,0.061,0.07400000000000001,0.004,0.0,,2181.27,6654.07,943.8
150LEA,,9686.31,0.634,0.22,0.087,0.058,0.001,0.0,,1607.32,7649.54,429.45
160LEA,,9913.54,0.602,0.213,0.096,0.075,0.014,0.0,,3052.22,6031.69,829.63
16B000,E,8135.05,0.617,0.122,0.193,0.051,0.017,0.0,,2099.47,5873.41,162.17
170LEA,,10723.05,0.593,0.213,0.086,0.095,0.013,0.0,,1623.21,7799.02,1300.82
180LEA,,8435.05,0.634,0.228,0.05,0.083,0.005,0.0,,1783.07,5754.18,897.8
181LEA,,9137.88,0.608,0.219,0.103,0.069,0.001,0.0,,2032.19,6108.75,996.94
182LEA,,9659.54,0.632,0.225,0.07400000000000001,0.064,0.005,0.0,,2389.74,6176.05,1093.75
190LEA,,10436.8,0.599,0.207,0.095,0.09,0.009000000000000001,0.0,,3510.49,6123.18,803.13
19A000,A,8091.47,0.5589999999999999,0.136,0.197,0.057,0.051,0.0,,2340.02,5579.99,171.46
19B000,A,27680.18,0.206,0.048,0.726,0.014,0.006,0.0,,21631.92,5896.77,151.49
19C000,I,9455.76,0.5760000000000001,0.14,0.248,0.036000000000000004,0.0,0.0,,3633.96,5677.09,144.71
200LEA,,11182.92,0.619,0.224,0.065,0.078,0.014,0.0,,2661.75,7091.14,1430.03
20A000,I,10268.01,0.6890000000000001,0.08800000000000001,0.128,0.08800000000000001,0.006999999999999999,0.0,,2549.6,7096.21,622.2
210LEA,,11123.84,0.601,0.21600000000000005,0.08800000000000001,0.085,0.01,0.0,,2133.6,7824.83,1165.41
220LEA,,11189.81,0.602,0.229,0.08199999999999999,0.085,0.002,0.0,,1765.53,8447.23,977.05
230LEA,,9702.43,0.623,0.23,0.068,0.077,0.002,0.0,,2038.26,6477.43,1186.74
