agency_code,highqual_class_pct_A,highqual_class_pct_E,highqual_class_pct_H,highqual_class_pct_I,highqual_class_pct_M,highqual_class_pct_T
00B000,1.0,,,,,
010303,,,0.964,,,
010304,,1.0,,,,
010308,,1.0,,,,
010310,,,,,0.981,
010312,,1.0,,,,
010320,,0.952,,,,
010324,,,0.86,,,
010326,,1.0,,,,
010328,,1.0,,,,
010340,,0.971,,,,
010346,,0.924,,,,
010347,,1.0,,,,
010348,,,0.893,,,
010350,,,,,0.976,
010351,,1.0,,,,
010353,,,,,0.912,
010354,,1.0,,,,
010357,,0.966,,,,
010358,,1.0,,,,
010360,,,0.8590000000000001,,,
010362,,0.936,,,,
010364,,1.0,,,,
010372,,1.0,,,,
010374,,0.999,,,,
010378,0.722,,,,,
010380,,1.0,,,,
010384,,1.0,,,,
010388,,,0.882,,,
010390,,,,,0.897,
010392,,1.0,,,,
010394,,,,,0.974,
010396,,,0.911,,,
010400,,,0.911,,,
010403,,,,,0.975,
010406,,,,,0.914,
010LEA,0.722,0.988,0.889,,0.95,
01B000,0.882,,,,,
01C000,0.941,,,,,
01D000,,,,,,0.73
020302,,,0.955,,,
020304,,1.0,,,,
020306,,,,,0.969,
020308,,1.0,,,,
020316,,1.0,,,,
020320,,1.0,,,,
020324,,1.0,,,,
020328,,1.0,,,,
020330,,,,,0.99,
020332,,1.0,,,,
020LEA,,1.0,0.955,,0.978,
030304,,,0.836,,,
030308,,,,0.98,,
030316,,,,0.926,,
030320,,,,0.805,,
030LEA,,,0.836,0.872,,
040304,,,0.909,,,
040305,,,1.0,,,
040306,,,0.978,,,
040308,,1.0,,,,
040309,,,,,1.0,
040311,,1.0,,,,
040316,,1.0,,,,
040324,,1.0,,,,
040328,,1.0,,,,
040330,,,,,1.0,
040700,,,1.0,,,
040LEA,,1.0,0.972,,1.0,
050302,,,1.0,,,
050305,,,,,1.0,
050310,,0.987,,,,
050330,,1.0,,,,
050335,,1.0,,,,
050LEA,,0.996,1.0,,1.0,
060302,,,1.0,,,
060304,,1.0,,,,
060310,,,,,1.0,
060316,,1.0,,,,
060318,,,,,0.974,
060322,,1.0,,,,
060328,,0.983,,,,
060332,,1.0,,,,
060334,,,,,,0.8
060700,,,1.0,,,
060701,,,0.978,,,
060LEA,,0.995,0.995,,0.984,0.8
06A000,0.4,,,,,
06B000,0.643,,,,,
070302,,0.972,,,,
070308,,,,1.0,,
070310,,,,,,0.7
070311,,,1.0,,,
070325,,,,,0.957,
070326,,1.0,,,,
070327,,1.0,,,,
070328,,1.0,,,,
070329,,,,0.971,,
070330,,,0.971,,,
070338,,,,,0.968,
070339,,,0.96,,,
070340,,,,0.865,,
070342,,,0.967,,,
070LEA,,0.992,0.971,0.966,0.964,0.7
07A000,0.6509999999999999,,,,,
080311,,,1.0,,,
080312,,,0.7929999999999999,,,
080314,,,,,0.8909999999999999,
080348,,1.0,,,,
080356,,0.972,,,,
080360,,1.0,,,,
080362,,0.992,,,,
080700,,,0.7859999999999999,,,
080LEA,,0.99,0.83,,0.8909999999999999,
08A000,,0.177,,,,
090304,,1.0,,,,
090315,,,,,0.938,
090317,,0.965,,,,
090318,,1.0,,,,
090320,,,,,0.933,
090324,,1.0,,,,
090328,,,,1.0,,
090330,,,0.9,,,
090332,,,,,0.924,
090333,,0.977,,,,
090352,,1.0,,,,
090365,,,,,1.0,
090368,,,1.0,,,
090LEA,,0.986,0.947,1.0,0.946,
09A000,,,,,,0.456
100302,,1.0,,,,
100304,,0.993,,,,
100307,,,1.0,,,
100308,,,,,,0.882
100309,,,,,0.956,
100310,,1.0,,,,
100316,,,,,0.93,
100320,,0.97,,,,
100326,,,0.967,,,
100332,,,,,0.946,
100334,,,0.957,,,
100335,,,,,0.957,
100336,,1.0,,,,
100338,,0.98,,,,
100339,,1.0,,,,
100340,,1.0,,,,
100342,,1.0,,,,
100344,,,,1.0,,
100348,,,0.997,,,
100LEA,,0.993,0.979,1.0,0.946,0.882
10A000,,,,0.767,,
10B000,,0.867,,,,
110303,,,1.0,,,
110304,,,1.0,,,
110306,,,,,1.0,
110308,,1.0,,,,
110318,,1.0,,,,
110320,,1.0,,,,
110322,,,1.0,,,
110323,,,1.0,,,
110324,,1.0,,,,
110326,,,,,0.993,
110332,,1.0,,,,
110336,,,1.0,,,
110338,,,,,1.0,
110340,,,0.99,,,
110342,,,,,1.0,
110348,,1.0,,,,
110352,,,1.0,,,
110356,,1.0,,,,
110366,,1.0,,,,
110368,,1.0,,,,
110370,,1.0,,,,
110372,,1.0,,,,
110376,,1.0,,,,
110379,,1.0,,,,
110380,,,1.0,,,
110381,,,,,1.0,
110382,,,,,1.0,
110384,,1.0,,,,
110388,,1.0,,,,
110401,,,,,1.0,
110408,,1.0,,,,
110410,,1.0,,,,
110412,,1.0,,,,
110416,,,1.0,,,
110420,,,,,1.0,
110422,,1.0,,,,
110428,,1.0,,,,
110432,,1.0,,,,
110436,,1.0,,,,
110444,,1.0,,,,
110450,,,,,1.0,
110451,,,,,1.0,
110500,,,1.0,,,
110LEA,,1.0,0.999,,0.999,
111302,,,0.991,,,
111304,,0.987,,,,
111306,,1.0,,,,
111312,,1.0,,,,
111332,,0.982,,,,
111356,,,,,0.989,
111360,,1.0,,,,
111700,,,1.0,,,
111LEA,,0.993,0.992,,0.989,
11A000,,,,0.8909999999999999,,
11B000,,,,0.965,,
11C000,0.738,,,,,
11D000,,,,,,0.667
11K000,,,,1.0,,
120304,,1.0,,,,
120308,,,,,,1.0
120310,,,1.0,,,
120312,,1.0,,,,
120314,,,1.0,,,
120315,,,,,1.0,
120316,,1.0,,,,
120318,,,1.0,,,
120320,,1.0,,,,
120324,,1.0,,,,
120334,,,,,1.0,
120338,,1.0,,,,
120340,,1.0,,,,
