agency_code,pct_ib_pass,pct_ib_participation
130314,0.95,
130LEA,0.95,
181322,0.72,
181LEA,0.72,
260427,0.88,
260LEA,0.88,
320325,0.38,0.07
320LEA,0.38,
340486,0.55,
340LEA,0.55,
410394,0.76,0.14
410406,0.84,0.08
410508,0.78,0.13
410544,0.39,0.06
410LEA,0.74,
490362,0.95,0.09
490LEA,0.95,
510399,0.83,
510LEA,0.83,
530336,0.5,
530LEA,0.5,
540315,0.5,
540LEA,0.5,
600377,0.64,0.12
600405,0.28,
600466,0.77,0.1
600480,0.71,0.06
600576,0.4,
600LEA,0.68,
640361,0.74,
640LEA,0.74,
650342,0.69,0.07
650LEA,0.69,
670324,0.67,
670LEA,0.67,
680310,0.79,0.06
680LEA,0.79,
790366,0.19,0.11
790LEA,0.19,
900393,0.95,
900LEA,0.95,
920348,0.9,0.06
920412,0.84,
920436,0.62,0.06
920500,0.83,0.08
920LEA,0.78,
980318,0.86,
980336,0.95,
980342,0.95,
980LEA,0.95,
NC-SEA,0.72,
