agency_code,crime,short_term,long_term,expulsion
00A000,0.0,0.0,0.0,0.0
00B000,0.0,0.0,0.0,0.0
010303,0.66,0.66,0.0,0.0
010304,0.17,2.43,0.0,0.0
010308,0.0,3.44,0.0,0.0
010310,2.16,44.61,0.0,0.0
010311,,,,
010312,0.14,4.56,0.0,0.0
010320,0.29,11.18,0.0,0.0
010324,0.83,11.57,0.0,0.0
010326,1.3,17.66,0.0,0.0
010328,0.54,0.9,0.0,0.0
010340,0.14,2.9,0.0,0.0
010346,0.0,1.83,0.0,0.0
010347,1.0,12.3,0.0,0.0
010348,0.62,13.58,0.25,0.0
010350,3.8,58.7,0.0,0.0
010351,0.42,9.87,0.0,0.0
010353,0.47,14.49,0.0,0.0
010354,1.3,5.52,0.0,0.0
010357,0.4,20.75,0.0,0.0
010358,0.48,8.83,0.0,0.0
010360,1.78,19.29,0.11,0.0
010362,0.0,4.03,0.0,0.0
010364,0.54,10.84,0.0,0.0
010372,1.2,2.41,0.0,0.0
010374,0.5,11.43,0.0,0.0
010378,16.0,122.0,0.0,0.0
010380,0.0,14.16,0.0,0.0
010384,0.0,0.0,0.0,0.0
010388,0.86,9.86,0.2,0.0
010390,0.13,10.7,0.0,0.0
010392,0.35,5.94,0.0,0.0
010394,1.07,34.18,0.13,0.0
010396,0.44,20.35,0.0,0.0
010400,2.23,12.08,0.08,0.0
010403,1.44,9.65,0.22,0.0
010406,0.19,5.42,0.0,0.0
010LEA,16.0,122.0,0.0,0.0
010LEA,0.43,7.5,0.0,0.0
010LEA,1.12,13.71,0.1,0.0
010LEA,1.34,25.21,0.06,0.0
01B000,0.0,16.45,0.0,0.0
01C000,0.0,0.0,0.0,0.0
01D000,0.0,2.88,0.0,0.0
020302,2.29,12.23,0.0,0.0
020303,0.0,0.0,0.0,0.0
020304,0.0,0.67,0.0,0.0
020306,0.16,9.0,0.0,0.0
020308,0.33,4.92,0.0,0.0
020316,0.21,4.12,0.0,0.0
020320,0.0,7.94,0.0,0.0
020324,0.42,0.42,0.0,0.0
020328,0.0,6.67,0.0,0.0
020330,0.79,11.02,0.0,0.0
020332,2.69,4.38,0.0,0.0
020LEA,0.48,3.92,0.0,0.0
020LEA,2.2,11.76,0.0,0.0
020LEA,0.44,9.91,0.0,0.0
030304,0.0,7.76,0.0,0.0
030308,0.0,1.32,0.0,0.0
030316,0.0,2.61,0.0,0.0
030320,0.19,12.05,0.0,0.0
030LEA,0.0,7.76,0.0,0.0
030LEA,0.11,7.74,0.0,0.0
040304,0.0,0.96,0.0,0.0
040305,3.9,42.86,12.99,0.0
040306,0.95,104.93,1.11,0.0
040308,0.0,11.92,0.0,0.0
040309,1.46,87.94,2.91,0.0
040311,0.0,62.53,0.0,0.0
040316,0.0,6.31,0.0,0.0
040324,0.0,13.57,0.0,0.0
040328,0.0,8.79,0.0,0.0
