agency_code,arre_per1000_ALL,arre_per1000_AM7,arre_per1000_AS7,arre_per1000_BL7,arre_per1000_EDS,arre_per1000_ELS,arre_per1000_FEM,arre_per1000_HI7,arre_per1000_MALE,arre_per1000_MU7,arre_per1000_PI7,arre_per1000_SWD,arre_per1000_WH7,blhr_per1000_ALL,blhr_per1000_AM7,blhr_per1000_AS7,blhr_per1000_BL7,blhr_per1000_EDS,blhr_per1000_ELS,blhr_per1000_FEM,blhr_per1000_HI7,blhr_per1000_MALE,blhr_per1000_MU7,blhr_per1000_PI7,blhr_per1000_SWD,blhr_per1000_WH7,crime_per1000_ALL,crime_per1000_AM7,crime_per1000_AS7,crime_per1000_BL7,crime_per1000_EDS,crime_per1000_ELS,crime_per1000_FEM,crime_per1000_HI7,crime_per1000_MALE,crime_per1000_MU7,crime_per1000_PI7,crime_per1000_SWD,crime_per1000_WH7,exp_per1000_ALL,exp_per1000_AM7,exp_per1000_AS7,exp_per1000_BL7,exp_per1000_EDS,exp_per1000_ELS,exp_per1000_FEM,exp_per1000_HI7,exp_per1000_MALE,exp_per1000_MU7,exp_per1000_PI7,exp_per1000_SWD,exp_per1000_WH7,iss_per1000_ALL,iss_per1000_AM7,iss_per1000_AS7,iss_per1000_BL7,iss_per1000_EDS,iss_per1000_ELS,iss_per1000_FEM,iss_per1000_HI7,iss_per1000_MALE,iss_per1000_MU7,iss_per1000_PI7,iss_per1000_SWD,iss_per1000_WH7,lts_per1000_ALL,lts_per1000_AM7,lts_per1000_AS7,lts_per1000_BL7,lts_per1000_EDS,lts_per1000_ELS,lts_per1000_FEM,lts_per1000_HI7,lts_per1000_MALE,lts_per1000_MU7,lts_per1000_PI7,lts_per1000_SWD,lts_per1000_WH7,rplw_per1000_ALL,rplw_per1000_AM7,rplw_per1000_AS7,rplw_per1000_BL7,rplw_per1000_EDS,rplw_per1000_ELS,rplw_per1000_FEM,rplw_per1000_HI7,rplw_per1000_MALE,rplw_per1000_MU7,rplw_per1000_PI7,rplw_per1000_SWD,rplw_per1000_WH7,sts_per1000_ALL,sts_per1000_AM7,sts_per1000_AS7,sts_per1000_BL7,sts_per1000_EDS,sts_per1000_ELS,sts_per1000_FEM,sts_per1000_HI7,sts_per1000_MALE,sts_per1000_MU7,sts_per1000_PI7,sts_per1000_SWD,sts_per1000_WH7
00A000,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,
00B000,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.506,,,0.0,1.395,0.0,0.949,0.0,0.0,,,0.0,0.8140000000000001,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.506,,,0.0,1.395,0.0,0.949,0.0,0.0,,,0.0,0.8140000000000001,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.506,,,0.0,0.0,55.556,0.0,5.181,0.986,,,0.0,0.0
010303,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.207999999999998,,,26.316,0.0,0.0,0.0,0.0,14.706,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.207999999999998,,,0.0,10.526,,0.0,0.0,14.706,,,,11.236
010304,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,34.247,,,34.483000000000004,48.387,61.224,7.407,59.603,57.692,,,93.023,26.627
010308,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,3.2,0.0,,0.0,6.8260000000000005,0.0,6.515,,0.0,0.0,,0.0,4.566,6.4,0.0,,16.3934,10.2389,0.0,0.0,,12.7796,0.0,,16.6667,6.8493,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.6,,,0.0,3.4130000000000003,0.0,0.0,,3.195,0.0,,0.0,2.283,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,57.6,,,131.148,95.563,0.0,19.544,,95.847,142.857,,183.333,54.795
010310,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.812,,,7.843,7.2639999999999985,0.0,2.9410000000000003,7.732,10.152,0.0,,0.0,0.0,29.9728,,,47.0588,46.0048,0.0,14.7059,10.3093,43.1472,40.0,,27.027,86.2069,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,226.158,,,466.667,322.034,81.818,147.059,72.165,294.416,320.0,,324.324,189.655,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,741.1439999999999,,,1321.569,961.259,309.091,564.706,311.856,893.4010000000002,1760.0,,954.955,724.138
010312,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,33.058,,,43.79600000000001,81.27199999999998,14.085,2.817,62.5,63.889,,,233.766,30.534
010320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.102,0.0,,0.0,4.405,2.8011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.102,0.0,,0.0,4.4053,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,70.028,,,152.778,106.509,0.0,6.135,0.0,122.449,0.0,,120.0,61.674,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,176.47099999999998,,,250.0,218.935,0.0,30.675,25.0,295.918,333.333,,280.0,171.80599999999995
010324,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804,,0.0,0.0,2.041,0.0,0.0,0.0,1.412,0.0,0.0,0.0,1.359,7.2347,,0.0,7.2727,4.0816,0.0,1.7699,0.0,11.2994,30.303,0.0,6.25,6.7935,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,297.428,,181.818,349.091,493.878,557.692,187.611,428.571,372.881,681.818,,600.0,199.728,1.6077,,0.0,7.2727,2.0408,0.0,0.0,0.0,2.8249,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.54,,0.0,181.818,200.0,57.692,76.10600000000002,71.429,137.006,469.697,,243.75,62.5
010326,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.2170000000000005,,,0.0,7.2120000000000015,0.0,7.692,0.0,3.333,105.263,,0.0,21.739,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.87,,,183.246,108.173,37.037,50.0,36.545,150.0,157.895,,319.149,195.652
