agency_code,pct_fully_licensed,pct_lateral_entry
00A000,1.0,0.05
00B000,1.0,0.018000000000000002
010303,1.0,0.0
010304,1.0,0.044
010308,1.0,0.0
010310,0.882,0.13699999999999998
010311,1.0,0.14300000000000002
010312,1.0,0.022
010320,0.964,0.036000000000000004
010324,0.97,0.07400000000000001
010326,0.953,0.0
010328,1.0,0.0
010340,1.0,0.0
010346,1.0,0.058
010347,0.978,0.044
010348,0.981,0.094
010350,0.978,0.18
010351,1.0,0.0
010353,0.974,0.026
010354,1.0,0.095
010357,1.0,0.0
010358,1.0,0.025
010360,1.0,0.16899999999999998
010362,1.0,0.0
010364,0.968,0.096
010372,1.0,0.053
010374,1.0,0.0
010378,1.0,0.1
010380,0.979,0.042
010384,1.0,0.027000000000000003
010388,0.963,0.043
010390,0.976,0.071
010392,1.0,0.0
010394,0.98,0.118
010396,0.985,0.059
010400,1.0,0.038
010403,0.979,0.021
010406,1.0,0.031
010LEA,1.0,0.1
010LEA,0.992,0.026
010LEA,0.983,0.078
010LEA,0.964,0.08800000000000001
01B000,0.955,0.0
01C000,1.0,0.027000000000000003
01D000,0.68,0.08
020302,1.0,0.044
020303,1.0,0.0
020304,1.0,0.0
020306,1.0,0.026
020308,1.0,0.0
020316,1.0,0.028
020320,1.0,0.0
020324,1.0,0.0
020328,1.0,0.098
020330,1.0,0.0
020332,1.0,0.0
020LEA,1.0,0.02
020LEA,1.0,0.041
020LEA,1.0,0.014
030304,1.0,0.056
030308,1.0,0.0
030316,1.0,0.14300000000000002
030320,1.0,0.09
030LEA,1.0,0.056
030LEA,1.0,0.076
040304,1.0,0.28
040305,1.0,0.244
040306,1.0,0.268
040308,1.0,0.132
040309,1.0,0.294
040311,1.0,0.14400000000000002
040316,1.0,0.048
040324,1.0,0.068
040328,1.0,0.034
040330,1.0,0.235
040LEA,1.0,0.093
040LEA,1.0,0.27
040LEA,1.0,0.294
040LEA,1.0,0.244
050302,1.0,0.031
050305,1.0,0.0
050310,1.0,0.0
050330,1.0,0.0
050335,1.0,0.025
050LEA,1.0,0.008
050LEA,1.0,0.031
050LEA,1.0,0.0
060302,1.0,0.0
060304,1.0,0.0
060310,1.0,0.0
060316,1.0,0.0
060318,1.0,0.0
060322,1.0,0.0
060328,1.0,0.0
060332,1.0,0.0
060334,1.0,0.0
060700,0.857,0.0
060701,1.0,0.0
060LEA,1.0,0.0
060LEA,0.977,0.0
060LEA,1.0,0.0
060LEA,1.0,0.0
06A000,1.0,0.0
06B000,0.944,0.111
070302,1.0,0.022
070308,1.0,0.0
070310,1.0,0.429
070311,1.0,0.0
070325,1.0,0.192
070326,1.0,0.0
070327,1.0,0.0
070328,1.0,0.026
070329,1.0,0.028
070330,0.97,0.152
070338,1.0,0.1
070339,0.969,0.094
070340,0.941,0.059
070342,0.984,0.111
070LEA,1.0,0.012
070LEA,0.978,0.112
070LEA,0.989,0.022
070LEA,1.0,0.132
070LEA,1.0,0.429
07A000,0.743,0.0
080311,1.0,0.111
080312,0.939,0.303
080314,1.0,0.172
080348,1.0,0.333
080356,0.941,0.059
080360,1.0,0.0
080362,1.0,0.0
080LEA,0.985,0.06
080LEA,0.952,0.262
080LEA,1.0,0.172
080LEA,,
08A000,0.539,0.231
090304,1.0,0.08800000000000001
090315,1.0,0.015
090317,1.0,0.086
090318,1.0,0.098
090320,1.0,0.067
090324,1.0,0.0
090328,1.0,0.309
090330,1.0,0.202
090332,1.0,0.194
090333,1.0,0.113
090352,1.0,0.085
090365,1.0,0.061
090368,1.0,0.111
090LEA,1.0,0.083
090LEA,1.0,0.158
090LEA,1.0,0.31
090LEA,1.0,0.097
090LEA,,
09A000,0.625,0.0
09B000,0.8420000000000001,0.053
100302,1.0,0.019
100304,1.0,0.0
100307,1.0,0.154
100308,1.0,0.105
100309,1.0,0.0
100310,1.0,0.03
100316,1.0,0.038
100320,1.0,0.024
100326,0.986,0.041
100332,0.976,0.024
100334,1.0,0.026
100335,1.0,0.024
100336,1.0,0.027000000000000003
100338,1.0,0.061
100339,1.0,0.0
100340,1.0,0.0
100342,1.0,0.0
100344,1.0,0.086
100348,0.989,0.032
100LEA,1.0,0.02
100LEA,0.992,0.039
100LEA,1.0,0.086
100LEA,0.994,0.024
100LEA,1.0,0.105
10A000,0.841,0.091
10B000,0.882,0.059
110303,1.0,0.05
110304,1.0,0.076
110306,0.974,0.026
110308,1.0,0.0
110318,1.0,0.0
110320,1.0,0.0
110322,1.0,0.034
110323,1.0,0.0
110324,1.0,0.0
110326,1.0,0.013
110332,1.0,0.046
110336,1.0,0.0
110338,1.0,0.025
110340,1.0,0.047
110342,0.981,0.019
110348,1.0,0.0
110352,1.0,0.056
110356,1.0,0.0
110366,1.0,0.0
110368,1.0,0.0
110370,1.0,0.0
110372,1.0,0.02
110376,1.0,0.08800000000000001
110379,1.0,0.0
110380,1.0,0.09
110381,1.0,0.025
110382,1.0,0.025
110384,1.0,0.0
110388,1.0,0.0
110401,1.0,0.025
110408,1.0,0.0
110410,1.0,0.024
110412,1.0,0.034
110416,1.0,0.07400000000000001
110420,1.0,0.0
110422,1.0,0.0
110425,1.0,0.025
110428,1.0,0.0
110432,1.0,0.0
110436,1.0,0.0
110444,1.0,0.0
110450,1.0,0.0
110451,1.0,0.023
110500,1.0,0.111
110LEA,1.0,0.01
110LEA,1.0,0.06
110LEA,0.996,0.018000000000000002
111302,1.0,0.023
111304,1.0,0.038
111306,1.0,0.031
111307,1.0,0.0
111312,1.0,0.0
111332,1.0,0.0
111356,1.0,0.016
111360,1.0,0.0
111369,1.0,0.0
111700,1.0,0.0
111LEA,1.0,0.013
111LEA,1.0,0.02
111LEA,1.0,0.014
111LEA,,
11A000,0.938,0.0
11B000,1.0,0.0
11C000,0.8909999999999999,0.016
11D000,0.907,0.047
11K000,1.0,0.0
120304,1.0,0.061
120308,1.0,0.0
120310,1.0,0.0
120312,1.0,0.0
120314,1.0,0.102
120315,1.0,0.026
120316,1.0,0.037000000000000005
120318,1.0,0.048
120320,1.0,0.0
120324,1.0,0.0
120334,1.0,0.0
120338,1.0,0.0
120340,1.0,0.0
120344,1.0,0.0
120346,1.0,0.067
120350,1.0,0.0
120352,1.0,0.0
120360,1.0,0.0
120364,1.0,0.0
120368,1.0,0.036000000000000004
120370,1.0,0.038
120372,1.0,0.0
120374,1.0,0.0
120376,1.0,0.0
120380,1.0,0.0
120386,1.0,0.0
120390,1.0,0.097
120LEA,1.0,0.0
120LEA,1.0,0.008
120LEA,1.0,0.062
120LEA,1.0,0.025
120LEA,1.0,0.0
