agency_code,nbpts_num
00A000,
00B000,
010303,2.0
010304,5.0
010308,7.0
010310,2.0
010311,3.0
010312,4.0
010320,6.0
010324,12.0
010326,1.0
010328,8.0
010340,4.0
010346,2.0
010347,9.0
010348,1.0
010350,1.0
010351,3.0
010353,5.0
010354,1.0
010357,3.0
010358,5.0
010360,4.0
010362,7.0
010364,1.0
010372,1.0
010374,4.0
010378,5.0
010380,4.0
010384,10.0
010388,7.0
010390,4.0
010392,4.0
010394,3.0
010396,7.0
010400,6.0
010403,4.0
010406,6.0
010LEA,5.0
010LEA,4.0
010LEA,5.0
010LEA,4.0
01B000,
01C000,
01D000,
020302,22.0
020303,3.0
020304,6.0
020306,6.0
020308,10.0
020316,6.0
020320,2.0
020324,9.0
020328,5.0
020330,7.0
020332,3.0
020LEA,6.0
020LEA,13.0
020LEA,7.0
030304,4.0
030308,5.0
030316,4.0
030320,7.0
030LEA,4.0
030LEA,5.0
040304,1.0
040305,1.0
040306,2.0
040308,3.0
040309,1.0
040311,2.0
040316,1.0
040324,1.0
040328,3.0
040330,1.0
040LEA,2.0
040LEA,2.0
040LEA,1.0
040LEA,1.0
050302,9.0
050305,6.0
050310,5.0
050330,9.0
050335,4.0
050LEA,6.0
050LEA,9.0
050LEA,6.0
060302,3.0
060304,2.0
060310,1.0
060316,5.0
060318,1.0
060322,3.0
060328,2.0
060332,1.0
060334,1.0
060700,1.0
060701,1.0
060LEA,3.0
060LEA,2.0
060LEA,1.0
060LEA,1.0
06A000,
06B000,
070302,4.0
070308,6.0
070310,1.0
070311,3.0
070325,1.0
070326,9.0
070327,8.0
070328,2.0
070329,5.0
070330,3.0
070338,1.0
070339,3.0
070340,0.0
070342,9.0
070LEA,6.0
070LEA,5.0
070LEA,4.0
070LEA,1.0
070LEA,1.0
07A000,
080311,1.0
080312,1.0
080314,4.0
080348,0.0
080356,1.0
080360,1.0
080362,4.0
080LEA,2.0
080LEA,1.0
080LEA,4.0
080LEA,
08A000,
090304,0.0
090315,1.0
090317,6.0
090318,1.0
090320,3.0
090324,1.0
090328,1.0
090330,4.0
090332,1.0
090333,1.0
090352,1.0
090365,1.0
090368,1.0
090LEA,2.0
090LEA,3.0
090LEA,1.0
090LEA,2.0
090LEA,
09A000,
09B000,
100302,7.0
100304,2.0
100307,4.0
100308,3.0
100309,4.0
100310,3.0
100316,5.0
100320,3.0
100326,6.0
100332,5.0
100334,13.0
100335,10.0
100336,7.0
100338,2.0
100339,5.0
100340,10.0
100342,0.0
100344,3.0
100348,10.0
100LEA,4.0
100LEA,8.0
100LEA,3.0
100LEA,6.0
100LEA,3.0
10A000,
10B000,
110303,1.0
110304,11.0
110306,14.0
110308,2.0
110318,3.0
110320,7.0
110322,5.0
110323,1.0
110324,5.0
110326,12.0
110332,0.0
110336,20.0
110338,14.0
110340,9.0
110342,4.0
110348,4.0
110352,16.0
110356,10.0
110366,7.0
110368,10.0
110370,10.0
110372,6.0
110376,5.0
110379,11.0
110380,19.0
110381,9.0
110382,10.0
110384,4.0
110388,1.0
110401,4.0
110408,2.0
110410,9.0
110412,9.0
110416,29.0
110420,12.0
110422,10.0
110425,8.0
110428,5.0
110432,3.0
110436,9.0
110444,2.0
110450,8.0
110451,4.0
110500,4.0
110LEA,6.0
110LEA,12.0
110LEA,9.0
111302,23.0
111304,2.0
111306,12.0
111307,2.0
111312,3.0
111332,5.0
111356,11.0
111360,3.0
111369,2.0
111700,8.0
111LEA,5.0
111LEA,16.0
111LEA,7.0
111LEA,
11A000,
11B000,
11C000,
11D000,
11K000,
120304,1.0
120308,0.0
120310,2.0
120312,5.0
120314,12.0
120315,7.0
120316,4.0
120318,10.0
120320,2.0
120324,5.0
120334,7.0
120338,2.0
120340,4.0
120344,5.0
120346,4.0
120350,7.0
120352,2.0
120360,4.0
120364,8.0
120368,4.0
120370,15.0
120372,5.0
120374,9.0
120376,0.0
120380,10.0
120386,5.0
120390,4.0
120LEA,2.0
120LEA,5.0
120LEA,9.0
120LEA,5.0
120LEA,0.0
12A000,
130304,5.0
130307,9.0
130308,3.0
130309,1.0
130310,14.0
130311,6.0
130312,2.0
130313,8.0
130314,9.0
130315,5.0
130316,15.0
130317,0.0
130318,8.0
130319,12.0
130320,8.0
130321,10.0
130322,6.0
130323,4.0
130324,9.0
130325,9.0
130326,6.0
130327,9.0
130328,1.0
130329,7.0
130330,4.0
130331,8.0
130332,11.0
130333,1.0
130336,8.0
130337,4.0
130338,14.0
130340,5.0
130342,4.0
130344,5.0
130345,10.0
130346,9.0
130349,1.0
130350,2.0
130355,8.0
130LEA,6.0
130LEA,8.0
130LEA,7.0
130LEA,1.0
132304,15.0
132308,6.0
132312,3.0
132314,5.0
132328,6.0
132330,12.0
132332,5.0
132336,3.0
132LEA,5.0
132LEA,15.0
132LEA,12.0
13A000,
13B000,
13C000,
13D000,
140304,3.0
140305,5.0
140306,1.0
140307,2.0
140308,10.0
140309,5.0
140312,6.0
140316,6.0
140324,3.0
140332,7.0
140336,11.0
140340,7.0
140344,4.0
140348,11.0
140352,10.0
140356,10.0
140360,1.0
140368,3.0
140372,5.0
140376,2.0
140384,9.0
140386,23.0
140388,1.0
140390,10.0
140392,2.0
140396,8.0
140LEA,5.0
140LEA,11.0
140LEA,4.0
140LEA,8.0
140LEA,1.0
150304,7.0
150308,7.0
150310,6.0
150312,4.0
150350,2.0
150LEA,7.0
150LEA,5.0
150LEA,4.0
160304,0.0
160306,7.0
160308,7.0
160309,1.0
160310,2.0
160311,7.0
160313,7.0
160314,13.0
160316,0.0
160317,2.0
160318,8.0
160322,14.0
160324,7.0
160326,10.0
160332,1.0
160344,9.0
160352,4.0
160LEA,1.0
160LEA,5.0
160LEA,10.0
160LEA,1.0
160LEA,7.0
160LEA,
16B000,
170316,7.0
170334,1.0
170338,4.0
170339,0.0
170342,3.0
170344,2.0
170LEA,2.0
170LEA,7.0
170LEA,4.0
180302,6.0
180304,7.0
180308,8.0
180312,0.0
180316,4.0
180320,7.0
180323,0.0
180324,5.0
180325,2.0
180326,4.0
180332,5.0
180336,10.0
180340,11.0
180342,8.0
180343,8.0
180344,1.0
180346,6.0
180348,11.0
180352,5.0
180356,10.0
180360,9.0
180364,2.0
180368,5.0
180372,4.0
