agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
010304,1.0,,,0.2,1.0,0.2,0.333,0.8,0.133,,0.0,0.333
010320,1.0,,,0.2,1.0,0.4,0.2,0.6,,,0.1,0.6
010326,1.0,,,0.333,1.0,0.5329999999999999,0.5,0.467,0.067,,0.0,0.1
010340,1.0,,,0.091,1.0,0.364,0.273,0.636,,,0.0,0.636
010347,1.0,,,,1.0,0.444,0.556,0.556,,,0.0,0.444
010351,1.0,,,0.6,1.0,0.467,0.133,0.5329999999999999,0.067,,0.0,0.2
010354,1.0,,,0.233,1.0,0.5,0.633,0.5,,,0.033,0.133
010357,1.0,,,0.32,1.0,0.453,0.52,0.547,0.04,,0.04,0.12
010358,1.0,,,0.267,1.0,0.5329999999999999,0.5329999999999999,0.467,,0.067,0.067,0.133
010362,1.0,,0.067,0.067,1.0,0.467,0.467,0.5329999999999999,,,0.0,0.4
010364,1.0,,,0.125,1.0,0.5,0.5,0.5,0.25,,0.125,0.125
010372,1.0,,,0.267,1.0,0.667,0.2,0.333,,0.067,0.0,0.467
010374,1.0,,,0.35700000000000004,1.0,0.429,0.5710000000000001,0.5710000000000001,,,0.071,0.071
010380,1.0,0.02,,0.224,1.0,0.28600000000000003,0.327,0.7140000000000001,0.041,0.02,0.061,0.3670000000000001
010392,1.0,,,,1.0,0.4,0.067,0.6,,,0.0,0.933
010LEA,1.0,0.003,0.003,0.252,1.0,0.436,0.42,0.564,0.037000000000000005,0.009000000000000001,0.034,0.276
020304,1.0,,,,1.0,0.444,0.111,0.556,0.111,,0.0,0.778
020316,1.0,,,0.111,1.0,0.667,0.16699999999999998,0.333,,,0.0,0.722
020320,1.0,,,,1.0,0.4,0.333,0.6,0.2,,0.0,0.467
020328,1.0,,,0.133,1.0,0.4,0.333,0.6,,,0.0,0.5329999999999999
020332,1.0,,,,1.0,0.545,0.182,0.455,0.091,,0.0,0.727
020LEA,1.0,,,0.059,1.0,0.5,0.235,0.5,0.07400000000000001,,0.0,0.632
030308,1.0,,,,1.0,0.444,0.389,0.556,,,0.0,0.611
030316,1.0,,,,1.0,0.583,0.083,0.417,,,0.0,0.917
030320,1.0,,,,1.0,0.465,0.3720000000000001,0.535,0.047,,0.0,0.581
030LEA,1.0,,,,1.0,0.479,0.329,0.521,0.027000000000000003,,0.0,0.644
050330,1.0,0.015,,,1.0,0.523,0.123,0.477,0.015,,0.0,0.846
050LEA,1.0,0.015,,,1.0,0.523,0.123,0.477,0.015,,0.0,0.846
060304,1.0,,,,1.0,0.333,0.267,0.667,,,0.0,0.733
060316,1.0,,,,1.0,0.941,0.059,0.059,,,0.0,0.941
060322,1.0,,,,1.0,0.467,,0.5329999999999999,,,0.0,1.0
060328,1.0,,,,1.0,0.516,0.258,0.484,,,0.065,0.742
060332,1.0,,,,1.0,0.6,,0.4,,,0.0,1.0
060LEA,1.0,,,,1.0,0.57,0.14,0.43,,,0.022,0.86
070302,1.0,,0.011,0.443,1.0,0.466,0.227,0.534,0.057,,0.0,0.261
070326,1.0,,,0.212,1.0,0.5760000000000001,0.182,0.424,0.121,,0.0,0.485
070329,1.0,,,0.172,1.0,0.448,0.207,0.552,0.034,0.034,0.0,0.552
070340,1.0,,,0.556,1.0,0.556,,0.444,0.278,,0.0,0.16699999999999998
070LEA,1.0,,0.006,0.363,1.0,0.494,0.19,0.506,0.08900000000000001,0.006,0.0,0.345
080348,1.0,,,0.733,1.0,0.6,,0.4,,,0.0,0.267
080356,1.0,,,0.833,1.0,0.389,0.111,0.611,,,0.0,0.056
080360,1.0,,,0.778,1.0,0.389,0.056,0.611,,,0.0,0.16699999999999998
080362,1.0,,0.025,0.675,1.0,0.55,,0.45,0.05,,0.0,0.25
080LEA,1.0,,0.011,0.736,1.0,0.495,0.033,0.505,0.022,,0.0,0.198
090304,1.0,0.111,,0.611,1.0,0.556,0.111,0.444,,,0.0,0.16699999999999998
090317,1.0,0.058,,0.212,1.0,0.5,0.077,0.5,0.096,,0.0,0.5579999999999999
090318,1.0,0.029,,0.314,1.0,0.5710000000000001,0.28600000000000003,0.429,0.057,,0.0,0.314
090324,1.0,0.061,,0.242,1.0,0.515,0.182,0.485,,,0.0,0.515
090333,1.0,,,0.491,1.0,0.4,0.2,0.6,0.036000000000000004,,0.0,0.273
