agency_code,pct_prin_demo_BL7,pct_prin_demo_FEM,pct_prin_demo_MALE,pct_prin_demo_OTHER,pct_prin_demo_WH7
010LEA,0.139,0.583,0.417,0.028,0.833
020LEA,0.0,0.545,0.455,0.0,1.0
030LEA,0.0,0.0,1.0,0.0,1.0
040LEA,0.4,0.4,0.6,0.1,0.5
050LEA,0.0,0.4,0.6,0.0,1.0
060LEA,0.0,0.28600000000000003,0.7140000000000001,0.0,1.0
070LEA,0.14300000000000002,0.5,0.5,0.0,0.857
080LEA,0.75,0.875,0.125,0.0,0.25
090LEA,0.462,0.923,0.077,0.0,0.5379999999999999
100LEA,0.1,0.55,0.4,0.05,0.85
110LEA,0.047,0.5579999999999999,0.419,0.023,0.93
111LEA,0.222,0.556,0.444,0.0,0.778
120LEA,0.037000000000000005,0.667,0.333,0.0,0.963
130LEA,0.083,0.472,0.528,0.0,0.917
132LEA,0.0,0.333,0.667,0.0,1.0
140LEA,0.038,0.5,0.5,0.0,0.962
150LEA,0.2,0.6,0.4,0.0,0.8
160LEA,0.0,0.706,0.294,0.059,0.941
170LEA,0.5,0.667,0.333,0.0,0.5
180LEA,0.138,0.621,0.379,0.0,0.862
181LEA,0.111,0.667,0.333,0.0,0.889
182LEA,0.14300000000000002,0.7140000000000001,0.28600000000000003,0.0,0.857
190LEA,0.294,0.471,0.529,0.0,0.706
200LEA,0.0,0.615,0.385,0.0,1.0
210LEA,0.0,0.5,0.5,0.0,1.0
220LEA,0.0,0.333,0.667,0.0,1.0
230LEA,0.103,0.621,0.379,0.0,0.897
240LEA,0.056,0.444,0.556,0.111,0.833
241LEA,0.2,0.4,0.6,0.0,0.8
250LEA,0.24,0.52,0.48,0.0,0.76
260LEA,0.477,0.698,0.29100000000000004,0.023,0.5
270LEA,0.0,0.7,0.3,0.2,0.8
280LEA,0.0,0.3,0.7,0.0,1.0
290LEA,0.0,0.639,0.361,0.0,1.0
291LEA,0.5710000000000001,0.857,0.14300000000000002,0.0,0.429
292LEA,0.667,0.667,0.333,0.0,0.333
300LEA,0.0,0.917,0.083,0.0,1.0
310LEA,0.154,0.615,0.385,0.0,0.846
320LEA,0.7140000000000001,0.643,0.35700000000000004,0.0,0.28600000000000003
330LEA,0.35700000000000004,0.5,0.5,0.0,0.643
