agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
00A000,,,,,,,,,,56.0,35.0,48.0
00B000,,,,,,,,,,48.0,19.0,35.0
010303,,,,,,,,,,13.0,,16.0
010304,20.0,20.0,19.0,19.0,26.0,31.0,,,,,,
010308,21.0,16.0,19.0,21.0,27.0,26.0,,,,,,
010310,,,,,,,19.0,23.0,16.0,,,22.0
010312,20.0,20.0,19.0,20.0,22.0,26.0,,,,,,
010320,19.0,18.0,17.0,21.0,17.0,15.0,,,,,,
010324,,,,,,,,,,23.0,29.0,24.0
010326,22.0,19.0,18.0,19.0,26.0,24.0,,,,,,
010328,19.0,20.0,20.0,21.0,21.0,26.0,,,,,,
010340,20.0,18.0,20.0,19.0,23.0,22.0,,,,,,
010346,15.0,19.0,20.0,19.0,20.0,20.0,,,,,,
010347,16.0,19.0,15.0,19.0,23.0,25.0,,,,,,
010348,,,,,,,,,,13.0,19.0,20.0
010350,,,,,,,22.0,20.0,17.0,,,25.0
010351,19.0,19.0,19.0,18.0,23.0,25.0,,,,,,
010353,,,,,,,24.0,24.0,24.0,,,26.0
010354,17.0,20.0,17.0,18.0,25.0,23.0,,,,,,
010357,,,,,23.0,24.0,,,,,,
010358,21.0,20.0,20.0,20.0,22.0,,,,,,,
010360,,,,,,,,,,19.0,19.0,16.0
010362,20.0,19.0,18.0,17.0,21.0,24.0,,,,,,
010364,18.0,16.0,21.0,22.0,19.0,20.0,,,,,,
010372,18.0,16.0,17.0,18.0,24.0,21.0,,,,,,
010374,20.0,18.0,18.0,17.0,20.0,22.0,,,,,,
010378,,,,,,,,,,9.0,9.0,6.0
010380,21.0,19.0,11.0,17.0,12.0,21.0,,,,,,
010384,20.0,19.0,21.0,21.0,20.0,21.0,,,,,,
010388,,,,,,,,,,23.0,24.0,23.0
010390,,,,,,,27.0,26.0,26.0,,,32.0
010392,20.0,18.0,18.0,16.0,,16.0,,,,,,
010394,,,,,,,25.0,24.0,30.0,,,32.0
010396,,,,,,,,,,18.0,22.0,19.0
010400,,,,,,,,,,24.0,23.0,22.0
010403,,,,,,,27.0,24.0,25.0,,,30.0
010406,,,,,,,25.0,27.0,27.0,,,29.0
010LEA,19.0,19.0,18.0,19.0,22.0,23.0,24.0,24.0,24.0,15.333333333333334,17.666666666666668,19.25
01B000,,,,,,,,,,13.0,11.0,24.0
01C000,,,,,,,,,,13.0,22.0,9.0
01D000,,,,,,,,,,20.0,12.0,14.0
020302,,,,,,,,,,18.0,19.0,20.0
020303,,,,,,,,,,18.0,18.0,15.0
020304,19.0,13.0,17.0,17.0,25.0,27.0,,,,,,
020306,,,,,,,21.0,24.0,21.0,,,33.0
020308,13.0,13.0,14.0,15.0,25.0,18.0,,,,,,
020316,18.0,18.0,16.0,17.0,22.0,21.0,,,,,,
020320,18.0,19.0,20.0,14.0,20.0,19.0,,,,,,
020324,20.0,19.0,18.0,15.0,13.0,16.0,,,,,,
020328,11.0,15.0,20.0,14.0,19.0,19.0,,,,,,
020330,,,,,,,23.0,22.0,23.0,,,27.0
020332,15.0,15.0,17.0,15.0,25.0,18.0,,,,,,
020LEA,16.0,16.0,17.0,15.0,21.0,20.0,22.0,23.0,22.0,18.0,19.0,23.666666666666668
030304,,,,,,,,,,16.0,19.0,21.0
030308,13.0,13.0,23.0,21.0,16.0,12.0,15.0,21.0,23.0,,,
030316,13.0,20.0,15.0,15.0,13.0,19.0,19.0,22.0,11.0,,,
030320,18.0,19.0,16.0,16.0,20.0,20.0,22.0,15.0,19.0,,,
030LEA,15.0,17.0,18.0,17.0,16.0,17.0,19.0,19.0,18.0,16.0,19.0,21.0
040304,,,,,,,,,,23.0,19.0,23.0
040305,,,,,,,,,,8.0,8.0,6.0
040306,,,,,,,,,,15.0,16.0,18.0
040308,,,,,21.0,22.0,19.0,,,,,
040309,,,,,,,21.0,22.0,18.0,,,21.0
040311,17.0,17.0,15.0,16.0,,,,,,,,
040316,15.0,,10.0,19.0,16.0,21.0,,,,,,
040324,21.0,12.0,18.0,15.0,16.0,11.0,,,,,,
040328,17.0,14.0,19.0,19.0,19.0,11.0,14.0,,,,,
040330,,,,,22.0,24.0,,,,,,
040LEA,18.0,14.0,16.0,17.0,19.0,18.0,18.666666666666668,22.0,18.0,14.0,13.666666666666666,16.25
050302,,,,,,,,,,17.0,19.0,15.0
050305,,,,,,,,18.0,17.0,,,
050310,17.0,14.0,16.0,16.0,17.0,21.0,22.0,,,,,
050330,16.0,18.0,18.0,15.0,20.0,18.0,19.0,,,,,
