agency_code,pct_MA_3_AAPART,pct_MA_4_AAPART,pct_MA_5_AAPART,pct_MA_6_AAPART,pct_MA_7_AAPART,pct_MA_8_AAPART,pct_MA_GS_AAPART,pct_MA_HS_AAPART,pct_RD_3_AAPART,pct_RD_4_AAPART,pct_RD_5_AAPART,pct_RD_6_AAPART,pct_RD_7_AAPART,pct_RD_8_AAPART,pct_RD_GS_AAPART,pct_RD_HS_AAPART,pct_SC_5_AAPART,pct_SC_8_AAPART,pct_SC_GS_AAPART,pct_SC_HS_AAPART
120352,,,,,,,95.0,,,,,,,,95.0,,,,,
130324,,,,,,,,5.3,,,,,,,,,,,,5.2
170339,,,,,,,6.4,,,,,,,,6.4,,,,,
190312,,,,,5.7,,,,,,,,5.7,,,,,,,
230359,,,,,,,95.0,,,,,,,,95.0,,,,95.0,
250304,,,,,,,6.2,,,,,,,,6.2,,,,,
290310,95.0,,,,,,95.0,,95.0,,,,,,95.0,95.0,,,95.0,
320306,,,,,,6.7,5.0,,,,,,,6.7,5.0,,,6.7,6.7,
320323,,,,,,,,7.9,,,,,,,,,,,,7.5
320343,,,,7.6,,,5.2,,,,,7.6,,,5.2,,,,,
320354,,,,,,,11.2,,,,,,,,11.2,,,,,
330334,,,,,,,11.7,,,,,,,,11.7,,,,,
330344,,,,,,,5.5,,,,,,,,5.5,,,,,
340336,,,,,,,,95.0,,,,,,,,95.0,,,,95.0
340436,,,,95.0,95.0,95.0,95.0,,,,,95.0,95.0,95.0,95.0,,,95.0,95.0,
360394,,,,,95.0,95.0,95.0,,,,,,95.0,95.0,95.0,95.0,,95.0,95.0,
410379,,,,,,,95.0,,,,,,,,95.0,,,,,
410427,,,,,,,6.2,,,,,,,,6.2,,,,14.1,
410457,,95.0,95.0,95.0,95.0,,95.0,,,95.0,95.0,95.0,95.0,,95.0,,95.0,,95.0,
410458,,,,,,,,95.0,,,,,,,,95.0,,,,95.0
410464,,,,,,,95.0,,,,,,,,95.0,,,,,
422318,,,,,,,6.1,,,,,,,,6.1,,,,,
430358,,,8.3,,,,6.5,,,,8.3,,,,6.5,,8.3,,8.3,
460332,,,,,,,7.8,,,,,,,,7.8,,,,,
460LEA,,,5.6,,,,,,,5.0,5.6,,,,,,5.6,,,
470330,,,,,,,6.0,,,,,,,,6.0,,,,,
510399,,,,,,,,6.0,,,,,,,,,,,,6.0
530316,,,,,,,95.0,,,,,,,,95.0,,,,,
540318,,,,,,,32.3,,,,,,,,32.3,,,,,
600300,,,5.5,,,,,,,,5.5,,,,,,5.5,,5.5,
600414,,,,,,,6.3,,,,,,,,6.3,,,,,
600418,,,,,,,6.2,,,,,,,,6.2,,,,,
600442,,,5.3,,,,,,,,5.3,,,,,,5.3,,5.3,
600449,,,,,,,5.2,,,,,,,,5.2,,,,,
600451,,9.0,,,,,7.7,,,9.0,,,,,7.7,,,,,
600454,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,,95.0,95.0,95.0,95.0,,95.0,95.0,
600494,,,,,,,5.0,,,,,,,,5.2,,,,,
600501,,,,,,,6.6,,,,,,,,6.6,,,,,
600512,,,,,,,5.9,,,,,,,,5.9,,,,,
600557,6.8,,,,,,,,6.8,,,,,,,,,,,
600588,,8.6,,,,,8.2,,,8.6,,,,,8.2,,,,,
640308,,9.3,,,,,6.8,,,9.3,,,,,6.8,,,,,
650392,,,,6.1,,,5.0,,,,,6.1,,,5.0,,,,,
700308,,,,,6.9,,,,,,,,6.9,,,,,,,
700320,,,,,,,6.6,,,,,,,,6.6,,,,,
730354,,,,,,,5.6,,,,,,,,5.6,,,,,
740337,,,,,5.1,,,,,,,,5.1,,,,,,,
800315,,,,,,,6.2,,,,,,,,6.2,,,,,
800347,,,,,,,5.9,,,,,,,,5.9,,,,,
810336,,,,,,,5.6,,,,,,,,5.6,,,,,
810342,,,,,5.8,,,,,,,,5.8,,,,,,,
900392,,,,,95.0,,95.0,95.0,,,,,95.0,,95.0,,,,,95.0
920362,,,,,,,5.2,,,,,,,,5.2,,,,,
960332,95.0,,95.0,,,95.0,95.0,,95.0,,95.0,,,95.0,95.0,,95.0,95.0,95.0,
970312,,,,,,,7.5,,,,,,,,7.5,,,,,
980400,,,,,,,7.0,,,,,,,,7.0,,,,,
990304,,,,,,,10.4,,,20.8,,,,,10.9,,,,,
