agency_code,pct_AIG_AWA,pct_ALL_AWA,pct_AM7_AWA,pct_AS7_AWA,pct_BL7_AWA,pct_EDS_AWA,pct_ELS_AWA,pct_FCS_AWA,pct_FEM_AWA,pct_HI7_AWA,pct_HMS_AWA,pct_MALE_AWA,pct_MIG_AWA,pct_MIL_AWA,pct_MU7_AWA,pct_NEDS_AWA,pct_NSWD_AWA,pct_SWD_AWA,pct_WH7_AWA
00A000,84.2,63.8,,,40.9,39.1,,,60.6,80.0,,69.8,,,83.3,68.2,66.9,20.0,64.2
00B000,,56.1,,,,,,,55.2,,,58.3,,,,61.8,56.8,,55.6
010LEA,94.4,59.3,,66.7,41.7,47.8,7.0,,62.5,50.0,42.1,56.1,,,50.9,66.3,62.5,16.5,71.6
01B000,,65.5,,,,,,,58.3,,,70.6,,,,65.5,67.9,,72.2
01C000,,71.4,,,,,,,65.2,,,78.9,,,,73.7,76.3,,78.8
01D000,,89.7,,,,,,,85.0,,,94.7,,,,91.9,92.1,,89.2
020LEA,95.0,71.4,,,23.1,60.2,,,75.8,72.2,50.0,66.2,,,,76.6,76.4,13.0,74.0
030LEA,95.0,63.5,,,,51.9,,,67.7,50.0,,58.5,,,,73.0,65.5,,67.0
040LEA,90.5,42.6,,,22.7,35.7,,,45.4,50.0,,40.2,,,,47.5,45.0,13.3,77.1
050LEA,95.0,70.5,,,,55.3,,,71.6,33.3,,69.0,,,,79.8,75.4,17.6,73.1
060LEA,89.7,71.3,,,,56.9,,,78.4,,,62.9,,,,82.1,74.2,,72.4
070LEA,94.1,58.7,,,34.1,45.4,20.0,,60.7,52.6,,56.5,,,66.7,70.6,61.2,21.4,73.3
07A000,,65.0,,,,,,,,,,61.5,,,,65.0,64.7,,68.4
080LEA,95.0,41.5,,,33.3,36.5,,,43.8,,,39.2,,,,45.9,45.1,6.7,83.3
090LEA,95.0,50.3,,,24.6,44.3,15.4,,53.8,66.1,58.3,46.7,50.0,,40.0,66.3,54.7,5.0,66.4
09A000,,13.6,,,5.9,15.8,,,20.0,,,,,,,,15.0,,
100307,95.0,95.0,,,,93.3,,,95.0,,,95.0,,,,95.0,95.0,,95.0
100326,95.0,59.9,,,40.3,49.3,,,61.7,46.2,,57.8,,,,76.9,63.4,5.0,69.9
100334,95.0,70.6,,,47.6,61.7,,,77.4,60.0,41.7,65.0,,,60.0,78.5,74.5,12.5,73.7
100348,88.9,62.3,,,27.0,48.0,,,66.9,50.0,,57.9,,,52.6,78.7,63.9,36.8,71.4
100LEA,95.0,66.2,,,37.2,53.5,,,69.8,51.9,46.4,62.7,,,59.0,80.1,68.9,18.8,73.8
