agency_code,pct_ext_aig_cgr,pct_ext_all_cgr,pct_ext_am7_cgr,pct_ext_as7_cgr,pct_ext_bl7_cgr,pct_ext_eds_cgr,pct_ext_els_cgr,pct_ext_fem_cgr,pct_ext_hi7_cgr,pct_ext_hms_cgr,pct_ext_male_cgr,pct_ext_mig_cgr,pct_ext_mu7_cgr,pct_ext_neds_cgr,pct_ext_nswd_cgr,pct_ext_swd_cgr,pct_ext_wh7_cgr,pct_std_aig_cgr,pct_std_all_cgr,pct_std_am7_cgr,pct_std_as7_cgr,pct_std_bl7_cgr,pct_std_eds_cgr,pct_std_els_cgr,pct_std_fcs_cgr,pct_std_fem_cgr,pct_std_hi7_cgr,pct_std_hms_cgr,pct_std_male_cgr,pct_std_mig_cgr,pct_std_mu7_cgr,pct_std_neds_cgr,pct_std_nswd_cgr,pct_std_swd_cgr,pct_std_wh7_cgr
00A000,,15.0,,,,,,,,,8.3,,,15.4,18.8,,8.3,81.3,48.3,,,43.6,31.3,,,49.4,43.2,,46.3,,45.5,53.0,49.7,35.1,50.4
00B000,,61.8,,,,35.7,,66.7,,,52.6,,,70.7,63.5,,56.8,,60.2,,,,30.8,,,66.0,,,50.0,,50.0,73.7,61.8,53.3,63.9
010303,,95.0,,,,95.0,,95.0,,,95.0,,,95.0,95.0,,95.0,,95.0,,,,,,,95.0,,,,,,95.0,95.0,,95.0
010324,95.0,86.0,,,90.4,77.9,,89.0,85.0,45.5,83.9,,78.6,89.8,88.4,74.1,84.9,95.0,83.2,,,76.8,67.3,70.0,,88.0,79.5,,79.2,,84.2,91.6,86.5,60.0,86.6
010348,95.0,75.3,,,74.6,80.7,64.5,75.0,78.5,36.4,75.6,,55.6,66.3,77.7,60.0,75.6,94.7,68.7,,,68.3,65.4,55.2,,77.5,74.2,66.7,60.9,,70.0,73.8,74.0,41.7,53.5
010360,95.0,72.2,,,75.8,74.6,60.3,82.8,70.7,52.4,64.0,,90.0,66.7,73.7,61.8,43.8,92.1,73.6,,,76.8,73.9,61.4,,74.5,78.4,40.0,72.9,,50.0,73.0,79.7,50.0,56.8
010388,95.0,81.9,,,75.9,71.8,76.2,84.5,87.0,45.5,79.2,,80.0,86.4,86.8,49.1,81.9,95.0,85.9,,,82.4,75.8,76.2,,90.8,83.9,46.7,81.8,,,90.8,88.6,64.4,86.3
010396,95.0,84.4,,,87.4,83.2,73.3,86.6,80.0,59.1,82.5,,85.7,85.9,86.4,69.4,83.5,95.0,88.4,,,86.6,87.6,88.2,,89.7,94.2,67.9,87.4,,76.5,89.3,90.1,77.8,89.8
010400,95.0,91.0,,,93.8,86.2,78.6,88.7,82.5,62.5,92.8,,91.7,92.7,92.3,80.5,91.5,95.0,88.4,,,75.9,78.9,83.3,,90.3,86.8,50.0,86.5,,95.0,91.7,90.9,57.1,89.5
01B000,,94.3,,,,,,95.0,,,85.7,,,93.9,95.0,,93.3,,95.0,,,,,,,95.0,,,95.0,,,95.0,95.0,,95.0
01C000,,95.0,,,,,,95.0,,,95.0,,,95.0,95.0,,95.0,,95.0,,,,,,,95.0,,,95.0,,,95.0,95.0,,95.0
01D000,,88.9,,,,,,85.7,,,90.9,,,88.9,89.3,,90.0,,95.0,,,,,,,95.0,,,90.9,,,95.0,95.0,,95.0
020302,95.0,85.1,,,85.7,74.1,,88.5,87.1,73.3,82.3,,76.5,90.7,86.4,74.4,85.1,95.0,83.5,,,87.5,73.9,36.4,,90.7,64.5,82.4,76.3,,81.8,88.9,86.4,66.0,85.3
030304,95.0,92.0,,,,94.2,,95.0,88.9,,88.9,,,89.6,94.3,75.0,92.4,95.0,89.3,,,,86.9,,,94.1,95.0,,84.1,,,91.4,90.8,72.7,88.2
040304,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,,,95.0,90.0,,,95.0,,,92.9,,,95.0,95.0,,95.0
040305,,51.1,,,51.4,48.0,,53.3,,,50.0,,,55.0,50.0,,,,51.0,,,52.3,55.9,,,53.3,,,50.0,,,40.0,52.0,53.3,46.2
040306,95.0,91.0,,,93.3,85.7,,92.0,,,90.0,,,94.4,95.0,65.5,86.9,95.0,86.2,,,85.6,80.0,,,89.3,,,83.8,,,92.0,91.5,58.1,88.5
050302,95.0,89.1,,,,89.3,,89.4,89.5,70.0,88.8,,,88.9,92.2,67.9,89.3,95.0,86.0,,,,79.4,,,85.7,76.5,78.9,86.3,,,90.7,86.6,81.8,86.6
060302,,87.8,,,,88.9,90.0,92.3,92.9,,83.7,,,85.7,87.5,90.0,87.9,,94.7,,,,95.0,,,95.0,,,94.2,,,93.5,95.0,87.5,95.0
060334,,95.0,,,,,,,,,95.0,,,,95.0,,95.0,,74.5,,,,75.9,,,73.3,,,75.0,,,50.0,47.1,91.7,75.0
060700,95.0,95.0,,,,95.0,,95.0,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,95.0,,,92.3,,,94.1,95.0,,95.0
06A000,,,,,,,,,,,,,,,,,,,8.3,,,,,,,5.0,,,,,,,,,
06B000,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,60.0,,
070310,,71.4,,,71.4,73.7,,80.0,,,65.0,,,68.8,76.0,60.0,60.0,,65.5,,,64.4,77.5,,,72.7,,,61.3,,,33.3,68.2,53.6,68.6
070311,,95.0,,,,,,95.0,,,95.0,,,95.0,95.0,,95.0,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,,95.0
070330,95.0,84.8,,,81.3,77.8,,79.3,80.0,,90.7,,,87.1,90.6,50.0,85.4,95.0,83.5,,,90.9,87.5,,,85.5,90.0,,81.3,,,81.0,88.2,61.1,83.8
070339,90.0,83.7,,,87.8,81.8,,86.2,86.7,,81.6,,92.3,84.9,88.1,46.7,78.1,93.3,82.5,,,77.8,84.7,,,86.3,91.7,,79.7,,,80.3,86.5,66.7,82.1
070342,93.6,84.0,,,84.2,71.3,72.7,89.1,77.4,,78.4,,,91.1,85.3,75.0,84.7,95.0,84.5,,,84.6,81.4,71.4,,92.1,73.1,,77.9,,,87.1,86.2,74.3,89.2
07A000,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,95.0,,,95.0,95.0,,95.0
080311,,95.0,,,95.0,95.0,,95.0,,,95.0,,,95.0,95.0,,95.0,,95.0,,,95.0,,,,95.0,,,95.0,,,95.0,95.0,,95.0
080312,,81.9,,,85.6,86.1,,82.1,,,81.8,,,77.6,85.6,66.7,65.0,95.0,73.3,,,75.5,74.4,,,81.5,,,68.0,,,72.2,73.9,70.4,64.7
