agency_code,pct_eds
00A000,19.2
00B000,28.0
10303,43.8
10304,49.8
10308,46.8
10310,55.3
10311,
10312,37.7
10320,40.8
10324,36.9
10326,60.5
10328,32.2
10340,47.1
10346,59.6
10347,55.9
10348,70.8
10350,85.1
10351,60.9
10353,53.5
10354,69.1
10357,55.9
10358,57.6
10360,76.2
10362,45.5
10364,63.2
10372,52.0
10374,53.1
10378,70.2
10380,46.4
10384,41.2
10388,34.5
10390,37.0
10392,62.3
10394,65.0
10396,52.4
10400,28.6
10403,39.4
10406,46.3
010LEA,51.0
01B000,11.6
01C000,11.0
01D000,8.1
20302,38.3
20303,27.5
20304,30.9
20306,53.6
20308,41.8
20316,61.0
20320,60.3
20324,42.1
20328,42.2
20330,35.3
20332,44.3
020LEA,43.3
30304,51.9
30308,66.5
30316,49.7
30320,69.9
030LEA,61.6
40304,33.6
40305,64.5
40306,50.7
40308,42.1
40309,55.2
40311,79.3
40316,65.3
40324,76.3
40328,46.9
40330,71.9
040LEA,56.3
50302,51.5
50303,36.7
50305,55.4
50310,60.1
50330,63.4
50335,60.5
050LEA,57.3
60302,46.9
60304,52.5
60310,53.2
60316,58.5
60318,55.7
60322,65.4
60328,73.0
60332,51.6
60334,68.4
60700,27.1
60701,60.0
060LEA,55.5
06A000,50.0
06B000,74.1
70302,70.1
70308,27.7
70310,79.5
70311,53.1
70325,65.1
70326,66.6
70327,63.2
70328,65.2
70329,56.6
70330,42.1
70338,60.8
70339,58.0
70340,84.4
70342,50.2
070LEA,57.6
07A000,10.0
80311,31.4
80312,56.7
80314,58.2
80348,63.9
80356,68.9
80360,66.3
80362,65.6
080LEA,59.7
08A000,72.4
90315,74.4
90317,83.9
90318,83.5
90320,71.2
90324,85.2
90328,81.8
90330,70.7
90332,75.5
90333,83.2
90352,77.9
90365,83.9
90368,71.7
90376,74.5
090LEA,77.5
09A000,72.3
09B000,40.0
100302,55.6
100304,71.9
100307,46.8
100308,83.0
100309,75.5
100310,73.3
100316,69.4
100320,81.8
100326,62.9
100332,66.1
100334,51.6
100335,61.9
100336,55.5
100338,84.7
100339,64.6
100340,59.6
100342,75.5
100344,73.3
100348,57.3
100LEA,64.8
10A000,34.6
10B000,16.5
110303,83.1
110304,37.2
110306,59.2
110308,61.8
110318,54.9
110320,49.9
110322,39.6
110323,44.7
110324,44.2
110326,32.2
110332,53.0
110336,43.2
110338,54.9
110340,58.2
110342,68.4
110348,45.7
110352,45.6
110356,44.0
110366,32.4
110368,44.4
110370,41.1
110372,56.3
110376,69.4
110379,48.6
110380,37.9
110381,46.6
110382,47.8
110384,48.2
110388,57.3
110401,60.1
110408,71.8
110410,63.9
110412,59.7
110416,33.7
110420,45.2
110422,44.5
110425,59.9
110428,41.5
110432,42.3
110436,58.9
110444,45.5
110450,50.1
110451,73.6
110500,22.0
110LEA,49.3
111302,25.2
111304,55.1
111306,36.4
111307,53.0
111312,36.2
111332,39.4
111356,39.8
111360,44.2
111369,43.8
111700,23.9
111LEA,36.8
11A000,11.8
11B000,13.8
11C000,12.8
11D000,13.4
11K000,15.5
120308,80.5
120310,28.1
120312,65.6
120314,45.9
120315,58.1
120316,79.5
120318,51.8
120320,65.4
120324,68.7
120334,50.4
120338,64.5
120340,91.9
120344,66.3
120346,42.0
120350,48.9
120352,51.9
120354,82.6
120360,60.4
120364,54.3
120368,70.3
120370,42.1
120374,52.2
120376,58.2
120380,60.0
120386,64.5
120390,81.5
120LEA,59.3
12A000,20.0
130304,58.1
130307,10.3
130308,43.4
130309,31.2
130310,43.7
130311,47.1
130312,9.5
130313,50.5
130314,51.3
130315,35.1
130316,46.6
130317,55.0
130318,50.7
130319,6.1
130320,13.7
130321,53.3
130322,37.4
130323,34.0
130324,28.3
130325,40.3
130326,38.9
130327,52.5
130328,48.6
130329,65.2
130330,39.2
130331,31.5
130332,16.0
130333,39.6
130336,11.6
130337,12.2
130338,53.4
130340,43.6
130342,49.9
130344,54.5
130345,24.1
130346,18.9
130349,41.1
130350,36.6
130355,49.0
130LEA,35.1
132304,32.6
132308,41.7
132312,45.7
132314,30.6
132328,40.8
132330,39.7
132332,49.2
132336,43.5
132LEA,38.3
13A000,14.9
13B000,36.1
13C000,57.1
13D000,50.1
140304,60.2
140305,43.1
140306,63.9
140307,60.5
140308,62.2
140309,32.2
140312,77.2
140316,61.9
140324,48.2
140332,77.3
140336,42.3
140340,45.5
140344,61.8
140348,47.6
140352,61.9
140356,53.6
140360,64.7
140368,57.5
