agency_code,eg_index_all_aig_eg,eg_index_all_all_eg,eg_index_all_am7_eg,eg_index_all_as7_eg,eg_index_all_bl7_eg,eg_index_all_eds_eg,eg_index_all_els_eg,eg_index_all_hi7_eg,eg_index_all_mu7_eg,eg_index_all_swd_eg,eg_index_all_wh7_eg,eg_index_ma_all_eg,eg_index_rd_all_eg,eg_score_all_aig_eg,eg_score_all_all_eg,eg_score_all_am7_eg,eg_score_all_as7_eg,eg_score_all_bl7_eg,eg_score_all_eds_eg,eg_score_all_els_eg,eg_score_all_hi7_eg,eg_score_all_mu7_eg,eg_score_all_swd_eg,eg_score_all_wh7_eg,eg_score_ma_all_eg,eg_score_rd_all_eg
00A000,-7.71,-17.57,,,-6.14,-10.32,,-6.69,-6.52,-4.73,-12.97,-17.57,-17.57,53.8,50.0,,,56.4,50.0,,55.5,55.8,58.7,50.0,50.0,50.0
00B000,-4.88,-9.62,,,-5.47,-6.09,-1.2,-3.4,-3.07,0.43,-6.06,-9.62,-9.62,58.5,50.6,,,57.5,56.5,,63.0,64.6,81.0,56.5,50.6,50.6
010303,-1.09,0.15,,,0.79,0.68,,0.05,,,-0.07,,,74.5,80.3,,,,81.7,,,,,79.6,,
010304,0.37,-0.65,,,-0.77,-0.29,2.0,1.47,0.56,-0.8,-1.35,-0.65,-0.65,80.9,76.7,,,76.1,78.5,85.0,83.6,,,73.2,76.7,76.7
010308,0.46,1.71,,,0.26,0.72,0.94,1.23,,0.6,1.56,1.71,1.71,81.1,84.2,,,80.6,81.8,82.3,83.0,,81.5,83.9,84.2,84.2
010310,-2.42,-6.53,,,-3.58,-6.04,-2.77,-5.36,0.27,-1.98,-1.95,-6.53,-6.53,67.9,55.7,,,62.1,56.6,66.1,57.7,80.6,70.1,70.2,55.7,55.7
010312,1.66,-1.41,,-0.19,-0.49,-1.35,-0.73,-0.64,,-0.45,-1.76,-1.41,-1.41,84.1,72.9,,79.0,77.5,73.2,76.3,76.8,,77.7,71.2,72.9,72.9
010320,-0.12,-0.86,,,-0.59,-0.48,-0.03,0.79,,-1.08,-0.84,-0.86,-0.86,79.4,75.7,,,77.0,77.6,,81.9,,,75.8,75.7,75.7
010324,-1.32,-3.09,,,-1.75,-2.57,0.95,1.33,-0.92,-1.71,-3.44,,,73.4,64.5,,,71.2,67.1,82.3,83.3,75.4,71.4,62.8,,
010326,-0.45,-1.86,,,-2.6,-2.28,1.36,0.0,,-0.13,-0.34,-1.86,-1.86,,70.7,,,67.0,68.6,83.4,80.0,,79.3,78.3,70.7,70.7
