agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
00A000,,29.0,,,,29.0,10.0,23.0,,19.0,,,28.0,24.0,,,,20.7,,,,20.7,10.0,26.1,,26.3,,,21.4,25.0,,
00B000,,12.0,,,,12.0,,,,,,,11.0,11.0,,,,41.7,,,,41.7,,,,,,,45.5,45.5,,
010304,,85.0,,,76.0,85.0,38.0,78.0,,47.0,,,,78.0,,,,70.6,,,68.4,70.6,71.1,70.5,,70.2,,,,70.5,,
010308,,31.0,,,29.0,31.0,17.0,31.0,,14.0,,,,29.0,,,,45.2,,,44.8,45.2,52.9,45.2,,35.7,,,,44.8,,
010310,,105.0,,,45.0,105.0,45.0,103.0,,60.0,,,60.0,76.0,29.0,,,10.5,,,5.0,10.5,17.8,10.7,,5.0,,,15.0,13.2,5.0,
010312,,39.0,12.0,,22.0,39.0,15.0,23.0,,24.0,,,17.0,31.0,,,,53.8,66.7,,54.5,53.8,53.3,52.2,,54.2,,,52.9,64.5,,
010320,,11.0,,,,11.0,,10.0,,,,,,,,,,72.7,,,,72.7,,70.0,,,,,,,,
010324,,40.0,,,28.0,40.0,14.0,36.0,,26.0,,,12.0,22.0,18.0,,,25.0,,,28.6,25.0,28.6,22.2,,23.1,,,16.7,40.9,5.6,
010326,,165.0,,,70.0,165.0,63.0,157.0,,102.0,,,95.0,144.0,21.0,,,43.0,,,37.1,43.0,42.9,43.3,,43.1,,,47.4,47.9,9.5,
010340,,51.0,,,44.0,51.0,18.0,50.0,,33.0,,,,46.0,,,,56.9,,,59.1,56.9,61.1,56.0,,54.5,,,,60.9,,
010346,,44.0,,,39.0,44.0,19.0,43.0,,25.0,,,,39.0,,,,50.0,,,48.7,50.0,52.6,48.8,,48.0,,,,53.8,,
010347,,49.0,,,44.0,49.0,22.0,46.0,,27.0,,,,39.0,10.0,,,59.2,,,59.1,59.2,72.7,58.7,,48.1,,,,61.5,50.0,
010348,,66.0,,,51.0,66.0,30.0,61.0,,36.0,,,15.0,43.0,23.0,,,13.6,,,11.8,13.6,20.0,11.5,,8.3,,,20.0,20.9,5.0,
010350,,74.0,,,66.0,74.0,32.0,71.0,,42.0,,,,44.0,30.0,,,5.4,,,6.1,5.4,9.4,5.6,,5.0,,,,9.1,5.0,
010351,,55.0,,,27.0,55.0,22.0,46.0,,33.0,,,28.0,44.0,11.0,,,81.8,,,70.4,81.8,77.3,80.4,,84.8,,,92.9,81.8,81.8,
010353,,32.0,,,29.0,32.0,,29.0,,23.0,,,,17.0,15.0,,,18.8,,,13.8,18.8,,17.2,,26.1,,,,29.4,6.7,
010354,,100.0,,,47.0,100.0,44.0,96.0,,56.0,,,53.0,90.0,10.0,,,55.0,,,51.1,55.0,65.9,55.2,,46.4,,,58.5,58.9,20.0,
010357,,119.0,,,53.0,119.0,56.0,114.0,,63.0,,,66.0,94.0,25.0,,,66.4,,,62.3,66.4,76.8,65.8,,57.1,,,69.7,73.4,40.0,
010358,,78.0,,,25.0,78.0,34.0,74.0,,44.0,,,53.0,63.0,15.0,,,53.8,,,56.0,53.8,61.8,54.1,,47.7,,,52.8,57.1,40.0,
010360,,130.0,,,89.0,130.0,50.0,127.0,,80.0,,,41.0,92.0,38.0,,,13.1,,,12.4,13.1,14.0,13.4,,12.5,,,14.6,17.4,5.0,
010362,,26.0,,,23.0,26.0,15.0,25.0,,11.0,,,,17.0,,,,65.4,,,69.6,65.4,80.0,64.0,,45.5,,,,76.5,,
010364,,42.0,,,26.0,42.0,16.0,42.0,,26.0,,,16.0,29.0,13.0,,,69.0,,,69.2,69.0,81.3,69.0,,61.5,,,68.8,79.3,46.2,
010372,,39.0,,,16.0,39.0,20.0,38.0,,19.0,,,23.0,31.0,,,,51.3,,,43.8,51.3,60.0,50.0,,42.1,,,56.5,58.1,,
010374,,147.0,,,61.0,147.0,69.0,140.0,,78.0,,,86.0,117.0,30.0,,,62.6,,,63.9,62.6,69.6,60.7,,56.4,,,61.6,65.8,50.0,
010380,,136.0,,,55.0,136.0,54.0,128.0,,82.0,,,81.0,121.0,15.0,,,57.4,,,50.9,57.4,70.4,55.5,,48.8,,,61.7,60.3,33.3,
010384,,14.0,,,10.0,14.0,,,,,,,,12.0,,,,14.3,,,20.0,14.3,,,,,,,,16.7,,
010388,,44.0,,,34.0,44.0,20.0,38.0,,24.0,,,10.0,29.0,15.0,,,25.0,,,26.5,25.0,45.0,26.3,,8.3,,,20.0,27.6,20.0,
010390,,10.0,,,10.0,10.0,,10.0,,,,,,,,,,10.0,,,10.0,10.0,,10.0,,,,,,,,
010394,,46.0,,,40.0,46.0,11.0,45.0,,35.0,,,,38.0,,,,15.2,,,15.0,15.2,18.2,15.6,,14.3,,,,15.8,,
010396,,56.0,,,43.0,56.0,23.0,47.0,,33.0,,,13.0,47.0,,,,32.1,,,34.9,32.1,34.8,29.8,,30.3,,,23.1,38.3,,
010400,,30.0,,,28.0,30.0,11.0,29.0,,19.0,,,,22.0,,,,43.3,,,42.9,43.3,63.6,41.4,,31.6,,,,54.5,,
010403,,23.0,,,19.0,23.0,11.0,18.0,,12.0,,,,16.0,,,,17.4,,,10.5,17.4,36.4,16.7,,5.0,,,,18.8,,
010406,,19.0,,,13.0,19.0,,18.0,,16.0,,,,11.0,,,,5.3,,,5.0,5.3,,5.6,,6.3,,,,5.0,,
01B000,,13.0,,,,13.0,,10.0,,,,,,10.0,,,,7.7,,,,7.7,,10.0,,,,,,10.0,,
020302,,18.0,,,15.0,18.0,10.0,14.0,,,,,,,10.0,,,5.6,,,6.7,5.6,5.0,7.1,,,,,,,10.0,
020316,,43.0,,,39.0,43.0,22.0,40.0,,21.0,,,,36.0,,,,53.5,,,51.3,53.5,63.6,55.0,,42.9,,,,52.8,,
020328,,12.0,,,,12.0,,11.0,,,,,11.0,12.0,,,,83.3,,,,83.3,,81.8,,,,,81.8,83.3,,
030304,,13.0,,,11.0,13.0,10.0,13.0,,,,,,10.0,,,,15.4,,,18.2,15.4,10.0,15.4,,,,,,20.0,,
030308,,23.0,,,21.0,23.0,10.0,23.0,,13.0,,,,20.0,,,,47.8,,,52.4,47.8,60.0,47.8,,38.5,,,,50.0,,
030320,,29.0,,,29.0,29.0,15.0,29.0,,14.0,,,,16.0,13.0,,,24.1,,,24.1,24.1,33.3,24.1,,14.3,,,,25.0,23.1,
040306,,17.0,,,,17.0,,12.0,,11.0,,,13.0,13.0,,,,5.9,,,,5.9,,8.3,,9.1,,,7.7,7.7,,
040309,,10.0,,,,10.0,,,,,,,,,,,,30.0,,,,30.0,,,,,,,,,,
040324,,10.0,,,,10.0,,10.0,,,,,,10.0,,,,50.0,,,,50.0,,50.0,,,,,,50.0,,
040328,,20.0,,,,20.0,10.0,16.0,,10.0,,,16.0,18.0,,,,60.0,,,,60.0,80.0,62.5,,40.0,,,62.5,61.1,,
050302,,24.0,,,21.0,24.0,,22.0,,15.0,,,,16.0,,,,8.3,,,9.5,8.3,,9.1,,6.7,,,,12.5,,
050330,,36.0,,,34.0,36.0,13.0,35.0,,23.0,,,,31.0,,,,52.8,,,52.9,52.8,69.2,51.4,,43.5,,,,54.8,,
050335,,16.0,,,15.0,16.0,,14.0,,10.0,,,,11.0,,,,56.3,,,60.0,56.3,,50.0,,40.0,,,,63.6,,
060302,,14.0,,,14.0,14.0,,13.0,,,,,,,,,,7.1,,,7.1,7.1,,7.7,,,,,,,,
060304,,13.0,,,10.0,13.0,,,,,,,,10.0,,,,61.5,,,60.0,61.5,,,,,,,,70.0,,
060316,,19.0,,,19.0,19.0,,19.0,,10.0,,,,15.0,,,,21.1,,,21.1,21.1,,21.1,,20.0,,,,26.7,,
060318,,21.0,,,20.0,21.0,,21.0,,15.0,,,,12.0,,,,14.3,,,15.0,14.3,,14.3,,13.3,,,,16.7,,
060328,,34.0,,,33.0,34.0,16.0,33.0,,18.0,,,,26.0,,,,29.4,,,30.3,29.4,25.0,27.3,,33.3,,,,38.5,,
070302,,31.0,,,24.0,31.0,16.0,29.0,,15.0,,,,27.0,,,,64.5,,,54.2,64.5,75.0,62.1,,53.3,,,,66.7,,
070308,,19.0,,,11.0,19.0,,18.0,,10.0,,,,10.0,,,,42.1,,,36.4,42.1,,38.9,,40.0,,,,60.0,,
070326,,31.0,,,24.0,31.0,11.0,29.0,,20.0,,,,29.0,,,,38.7,,,33.3,38.7,36.4,37.9,,40.0,,,,37.9,,
070327,,70.0,,,35.0,70.0,28.0,68.0,,42.0,,,35.0,57.0,13.0,,,35.7,,,34.3,35.7,46.4,35.3,,28.6,,,37.1,36.8,30.8,
070328,,78.0,,,52.0,78.0,31.0,75.0,,47.0,,,26.0,67.0,11.0,,,24.4,,,26.9,24.4,19.4,25.3,,27.7,,,19.2,26.9,9.1,
070329,,23.0,,,14.0,23.0,,23.0,,15.0,,,,19.0,,,,30.4,,,35.7,30.4,,30.4,,13.3,,,,36.8,,
070330,,17.0,,,10.0,17.0,,17.0,,,,,,12.0,,,,11.8,,,20.0,11.8,,11.8,,,,,,16.7,,
070338,,23.0,,,15.0,23.0,12.0,21.0,,11.0,,,,13.0,10.0,,,5.0,,,6.7,5.0,8.3,5.0,,5.0,,,,5.0,10.0,
070342,,35.0,,,23.0,35.0,12.0,33.0,,23.0,,,12.0,30.0,,,,5.0,,,5.0,5.0,5.0,5.0,,5.0,,,5.0,5.0,,
090317,,22.0,,,21.0,22.0,12.0,21.0,,10.0,10.0,,,19.0,,,,45.5,,,42.9,45.5,50.0,42.9,,40.0,70.0,,,47.4,,
090318,,19.0,,,18.0,19.0,11.0,19.0,,,,,,19.0,,,,31.6,,,33.3,31.6,54.5,31.6,,,,,,31.6,,
090324,,54.0,,,54.0,54.0,30.0,53.0,,24.0,13.0,,,50.0,,,,48.1,,,48.1,48.1,56.7,47.2,,37.5,38.5,,,50.0,,
090330,,20.0,,,16.0,20.0,,12.0,,11.0,10.0,,,15.0,,,,30.0,,,31.3,30.0,,25.0,,36.4,30.0,,,26.7,,
090332,,24.0,,,20.0,24.0,,21.0,,18.0,13.0,,,19.0,,,,29.2,,,25.0,29.2,,33.3,,27.8,23.1,,,26.3,,
