agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
00A000,41.0,25.0
00B000,40.6,25.3
01B000,53.7,54.7
01C000,63.8,37.7
01D000,50.0,74.4
07A000,47.4,45.0
08A000,5.0,
09A000,9.1,14.3
09B000,34.2,
100307,,85.7
100308,,5.0
100309,37.3,
100316,47.7,
100326,,35.2
100332,57.2,
100334,,39.2
100335,40.9,
100344,39.4,
100348,,22.6
10303,,84.9
10310,23.9,
10324,,48.0
10348,,22.4
10350,25.0,
10353,42.4,
10360,,13.1
10378,,5.0
10388,,43.0
10390,40.8,
10394,29.6,
10396,,31.8
10400,,39.1
10403,46.5,
10406,43.5,
10A000,59.4,
110303,,5.0
110304,,48.3
110306,44.4,
110322,,55.9
110326,66.7,
110336,,40.5
110338,47.2,
110340,,29.9
110352,,42.5
110380,,45.3
110382,53.2,
110416,,59.2
110425,42.9,
110450,51.5,
110451,42.5,
110500,,95.0
111302,,39.9
111356,53.7,
111369,50.7,
111700,,57.1
11A000,74.5,
11B000,54.0,
11C000,51.3,40.5
11D000,47.8,45.8
11K000,62.5,
120314,,44.1
120315,56.9,
120318,,44.4
120334,55.8,
120346,,44.3
120350,58.6,
120370,,49.7
120376,43.9,
120390,36.8,
12A000,31.8,
130307,,66.2
130310,,34.4
130313,25.0,
130314,,32.6
130315,62.1,
130316,,30.6
130317,10.0,7.7
130318,40.4,
130320,67.0,
130323,48.5,
130324,,47.0
130326,,40.8
130327,33.1,
130332,,51.1
130346,60.7,
130349,,75.4
130350,,58.6
130355,46.2,
132304,,26.1
132330,38.6,
13A000,29.9,27.3
13B000,21.9,21.7
13C000,14.7,
13D000,26.8,
140305,,59.6
140306,,14.3
140308,52.9,
140309,,77.1
140332,30.2,
140336,50.5,
140344,55.6,
140348,,36.6
140356,46.7,
140360,33.3,
140368,40.5,
140386,,42.3
140390,,25.4
150304,,43.8
150310,54.4,
150350,,58.1
160310,51.6,
160311,71.8,
160313,,44.9
160314,,52.4
160318,54.4,
160326,55.2,
160332,60.4,
160343,,51.2
160344,,45.4
170316,,16.9
170338,30.9,
180304,51.6,
180308,,52.1
180312,34.2,
180316,57.1,
180320,,34.3
180324,34.4,
180325,,88.0
180326,55.7,
180332,44.4,
180336,51.4,
180340,,58.8
180343,44.0,
180344,39.5,
180348,,39.4
180356,63.9,
180360,44.1,
180368,65.2,
180372,38.3,
180376,,41.5
180379,55.8,
180380,57.3,
180388,38.3,
181312,51.9,
181316,56.3,
181318,,35.5
181322,,40.3
182316,,32.4
182321,53.9,
182700,,87.2
190304,77.4,
190308,50.0,
190312,35.3,
190316,,46.2
190328,51.9,
190332,53.1,
190336,,22.5
190339,65.5,
190340,46.4,
190342,,47.3
190352,46.5,
190501,,87.5
19A000,72.1,53.2
19B000,77.5,92.3
19C000,45.8,
200308,,53.7
200310,45.5,
200312,81.3,
200314,,68.0
200320,47.4,
200328,,57.4
200330,57.0,
200336,31.0,
200350,,68.6
20302,,40.1
20303,,65.4
20306,52.1,
20330,51.9,
20A000,29.4,
210304,50.0,
210312,,42.9
220310,,37.1
220312,38.8,
230312,,34.8
230316,44.3,
230322,,75.0
230324,,46.3
230328,47.9,
230330,18.2,5.0
230336,24.1,
230350,,45.8
230351,45.5,
230361,,37.1
23A000,51.9,47.4
240304,42.9,
240328,51.4,
240334,,23.6
240344,25.5,
240356,32.2,
240368,72.2,
240371,,28.6
240373,,36.8
240376,26.7,
240380,,27.4
240388,39.5,
241304,50.8,
241316,,35.7
24B000,,19.0
24N000,44.9,
250314,,55.3
250321,,85.4
250324,54.4,
