agency_code,lp_school,rlp_school,clpc_school
00A000,Y,N,Y
00B000,Y,N,Y
10303,N,N,N
10304,N,N,N
10308,N,N,N
10310,Y,Y,N
10311,N,N,N
10312,N,N,N
10320,N,N,N
10324,N,N,N
10326,Y,Y,N
10328,N,N,N
10340,N,N,N
10346,Y,Y,N
10347,N,N,N
10348,N,N,N
10350,Y,Y,N
10351,Y,Y,N
10353,N,N,N
10354,Y,Y,N
10357,Y,Y,N
10358,Y,Y,N
10360,N,N,N
10362,N,N,N
10364,Y,Y,N
10372,Y,N,N
10374,N,Y,N
10378,N,N,N
10380,Y,Y,N
10384,N,N,N
10388,N,N,N
10390,N,N,N
10392,Y,Y,N
10394,Y,Y,N
10396,N,N,N
10400,N,N,N
10403,N,N,N
10406,N,N,N
010LEA,,,
01B000,N,N,N
01C000,N,N,N
01D000,N,N,N
20302,N,N,N
20303,N,N,N
20304,N,N,N
20306,N,N,N
20308,N,N,N
20316,N,N,N
20320,N,N,N
20324,N,N,N
20328,N,N,N
20330,N,N,N
20332,N,N,N
020LEA,,,
30304,N,N,N
30308,N,N,N
30316,N,N,N
30320,N,N,N
030LEA,,,
40304,N,N,N
40305,N,N,N
40306,Y,Y,N
40308,N,N,N
40309,Y,Y,N
40311,N,Y,N
40316,N,Y,N
40324,Y,Y,N
40328,N,N,N
40330,Y,Y,N
040LEA,,,
50302,N,N,N
50303,N,N,N
50305,N,N,N
50310,N,N,N
50330,N,N,N
50335,N,N,N
050LEA,,,
60302,N,N,N
60304,N,N,N
60310,N,N,N
60316,N,N,N
60318,N,N,N
60322,N,N,N
60328,N,N,N
60332,N,N,N
60334,N,N,N
60700,N,N,N
60701,Y,N,N
060LEA,,,
06A000,N,N,N
06B000,Y,N,Y
70302,N,N,N
70308,N,N,N
70310,N,N,N
70311,N,N,N
70325,N,N,N
70326,N,N,N
70327,N,N,N
70328,N,N,N
70329,N,N,N
70330,N,N,N
70338,N,N,N
70339,N,N,N
70340,N,Y,N
70342,N,N,N
070LEA,,,
07A000,N,N,N
80311,N,N,N
80312,Y,Y,N
80314,Y,Y,N
80348,N,N,N
80356,Y,N,N
80360,N,N,N
80362,N,N,N
080LEA,,,
08A000,Y,N,Y
90315,N,N,N
90317,N,N,N
90318,Y,N,N
90320,N,N,N
90324,Y,N,N
90328,Y,Y,N
90330,N,N,N
90332,Y,Y,N
90333,N,N,N
90352,Y,N,N
90365,Y,Y,N
90368,N,N,N
90376,N,N,N
090LEA,,,
09A000,Y,N,Y
09B000,N,N,N
100302,N,N,N
100304,N,N,N
100307,N,N,N
100308,N,N,N
100309,N,N,N
100310,N,Y,N
100316,Y,Y,N
100320,N,N,N
100326,N,N,N
100332,N,N,N
100334,N,N,N
100335,N,N,N
100336,N,N,N
100338,Y,Y,N
100339,N,N,N
100340,N,N,N
100342,N,N,N
100344,N,N,N
100348,N,N,N
100LEA,,,
10A000,N,N,N
10B000,N,N,N
110303,N,N,N
110304,N,N,N
110306,N,N,N
110308,N,N,N
110318,N,N,N
110320,N,N,N
110322,N,N,N
110323,N,N,N
110324,N,N,N
110326,N,N,N
110332,N,N,N
110336,N,N,N
110338,N,N,N
110340,N,N,N
110342,Y,Y,N
110348,N,N,N
110352,N,N,N
110356,N,N,N
110366,N,N,N
110368,N,N,N
110370,N,N,N
110372,Y,Y,N
110376,N,N,N
110379,N,N,N
110380,N,N,N
110381,N,N,N
110382,N,N,N
110384,Y,Y,N
110388,N,N,N
110401,N,N,N
110408,N,N,N
110410,Y,N,N
110412,N,N,N
110416,N,N,N
110420,N,N,N
110422,N,N,N
110425,N,N,N
110428,N,N,N
110432,N,N,N
110436,N,N,N
110444,N,N,N
110450,N,N,N
110451,N,N,N
110500,N,N,N
110LEA,,,
111302,N,N,N
111304,N,N,N
111306,N,N,N
111307,N,N,N
111312,N,N,N
111332,N,N,N
111356,N,N,N
111360,N,N,N
111369,N,N,N
111700,N,N,N
111LEA,,,
11A000,N,N,N
11B000,N,N,N
11C000,N,N,N
11D000,N,N,N
11K000,N,N,N
120308,N,N,N
120310,N,N,N
120312,N,N,N
120314,N,N,N
120315,N,N,N
120316,N,N,N
120318,N,N,N
120320,N,N,N
120324,N,N,N
120334,N,N,N
120338,N,N,N
120340,N,N,N
120344,N,N,N
120346,N,N,N
120350,N,N,N
120352,N,N,N
120354,Y,N,N
120360,N,N,N
120364,N,N,N
120368,N,N,N
120370,N,N,N
120374,N,N,N
120376,N,N,N
120380,N,N,N
120386,N,N,N
120390,N,N,N
120LEA,,,
12A000,N,N,N
130304,N,N,N
130307,N,N,N
130308,N,N,N
130309,N,N,N
130310,N,N,N
130311,N,N,N
130312,N,N,N
130313,Y,Y,N
130314,N,N,N
130315,N,N,N
130316,N,N,N
130317,N,N,N
130318,N,N,N
130319,N,N,N
130320,N,N,N
130321,N,N,N
130322,N,N,N
130323,N,N,N
130324,N,N,N
130325,N,N,N
130326,N,N,N
130327,N,N,N
130328,Y,Y,N
130329,Y,Y,N
130330,N,N,N
130331,N,N,N
130332,N,N,N
130333,N,N,N
130336,N,N,N
130337,N,N,N
130338,N,N,N
130340,Y,Y,N
130342,N,Y,N
130344,N,N,N
130345,N,N,N
130346,N,N,N
