agency_code,pct_met_4 year graduation rate_ltg,pct_met_el progress_ltg,pct_met_math grade 11_ltg,pct_met_math grades 3-8_ltg,pct_met_reading grade 10_ltg,pct_met_reading grades 3-8_ltg,pct_met_total targets_ltg,target_assign_4 year graduation rate_ltg,target_assign_el progress_ltg,target_assign_math grade 11_ltg,target_assign_math grades 3-8_ltg,target_assign_reading grade 10_ltg,target_assign_reading grades 3-8_ltg,target_assign_total targets_ltg,target_met_4 year graduation rate_ltg,target_met_el progress_ltg,target_met_math grade 11_ltg,target_met_math grades 3-8_ltg,target_met_reading grade 10_ltg,target_met_reading grades 3-8_ltg,target_met_total targets_ltg
00A000,,,66.7,0.0,0.0,14.3,14.3,,,3.0,7.0,4.0,7.0,21.0,,,2.0,0.0,0.0,1.0,3.0
00B000,50.0,,100.0,0.0,50.0,14.3,25.0,2.0,,2.0,7.0,2.0,7.0,20.0,1.0,,2.0,0.0,1.0,1.0,5.0
010303,,,100.0,,0.0,,50.0,,,1.0,,1.0,,2.0,,,1.0,,0.0,,1.0
010304,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
010308,,,,0.0,,0.0,0.0,,,,5.0,,5.0,10.0,,,,0.0,,0.0,0.0
010310,,100.0,,14.3,,14.3,20.0,,1.0,,7.0,,7.0,15.0,,1.0,,1.0,,1.0,3.0
010312,,100.0,,0.0,,0.0,6.7,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,0.0,1.0
010320,,,,0.0,,33.3,16.7,,,,3.0,,3.0,6.0,,,,0.0,,1.0,1.0
010324,16.7,0.0,0.0,,33.3,,15.8,6.0,1.0,6.0,,6.0,,19.0,1.0,0.0,0.0,,2.0,,3.0
010326,,100.0,,0.0,,33.3,23.1,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,2.0,3.0
010328,,,,25.0,,0.0,12.5,,,,4.0,,4.0,8.0,,,,1.0,,0.0,1.0
010340,,100.0,,0.0,,0.0,7.7,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,0.0,1.0
010346,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
010347,,100.0,,0.0,,14.3,13.3,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,1.0,2.0
010348,0.0,0.0,25.0,,20.0,,12.5,6.0,1.0,4.0,,5.0,,16.0,0.0,0.0,1.0,,1.0,,2.0
010350,,0.0,,12.5,,12.5,11.8,,1.0,,8.0,,8.0,17.0,,0.0,,1.0,,1.0,2.0
010351,,100.0,,14.3,,28.6,26.7,,1.0,,7.0,,7.0,15.0,,1.0,,1.0,,2.0,4.0
010353,,0.0,,100.0,,75.0,82.4,,1.0,,8.0,,8.0,17.0,,0.0,,8.0,,6.0,14.0
010354,,100.0,,0.0,,16.7,15.4,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,1.0,2.0
010357,,100.0,,0.0,,57.1,33.3,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,4.0,5.0
010358,,100.0,,0.0,,0.0,6.7,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,0.0,1.0
010360,50.0,0.0,100.0,,0.0,,50.0,6.0,1.0,5.0,,4.0,,16.0,3.0,0.0,5.0,,0.0,,8.0
010362,,,,0.0,,80.0,40.0,,,,5.0,,5.0,10.0,,,,0.0,,4.0,4.0
010364,,100.0,,0.0,,14.3,13.3,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,1.0,2.0
010372,,100.0,,0.0,,20.0,18.2,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,1.0,2.0
010374,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
010378,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
010380,,100.0,,0.0,,16.7,15.4,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,1.0,2.0
010384,,,,16.7,,16.7,16.7,,,,6.0,,6.0,12.0,,,,1.0,,1.0,2.0
010388,66.7,100.0,0.0,,25.0,,37.5,6.0,1.0,5.0,,4.0,,16.0,4.0,1.0,0.0,,1.0,,6.0
010390,,,,16.7,,50.0,33.3,,,,6.0,,6.0,12.0,,,,1.0,,3.0,4.0
010392,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
010394,,0.0,,12.5,,25.0,17.6,,1.0,,8.0,,8.0,17.0,,0.0,,1.0,,2.0,3.0
010396,50.0,100.0,0.0,,66.7,,44.4,6.0,1.0,5.0,,6.0,,18.0,3.0,1.0,0.0,,4.0,,8.0
010400,50.0,0.0,100.0,,40.0,,60.0,4.0,1.0,5.0,,5.0,,15.0,2.0,0.0,5.0,,2.0,,9.0
010403,,,,12.5,,12.5,12.5,,,,8.0,,8.0,16.0,,,,1.0,,1.0,2.0
010406,,,,0.0,,25.0,12.5,,,,8.0,,8.0,16.0,,,,0.0,,2.0,2.0
01B000,,,100.0,0.0,0.0,0.0,7.7,,,1.0,5.0,2.0,5.0,13.0,,,1.0,0.0,0.0,0.0,1.0
01C000,100.0,,100.0,0.0,100.0,25.0,46.2,1.0,,2.0,4.0,2.0,4.0,13.0,1.0,,2.0,0.0,2.0,1.0,6.0
01D000,100.0,,,0.0,100.0,0.0,50.0,2.0,,,2.0,2.0,2.0,8.0,2.0,,,0.0,2.0,0.0,4.0
020302,0.0,,0.0,,0.0,,0.0,5.0,,4.0,,4.0,,13.0,0.0,,0.0,,0.0,,0.0
020303,,,,,0.0,,0.0,,,,,2.0,,2.0,,,,,0.0,,0.0
020304,,,,0.0,,66.7,33.3,,,,3.0,,3.0,6.0,,,,0.0,,2.0,2.0
020306,,,,28.6,,14.3,21.4,,,,7.0,,7.0,14.0,,,,2.0,,1.0,3.0
020308,,,,0.0,,33.3,16.7,,,,3.0,,3.0,6.0,,,,0.0,,1.0,1.0
020316,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
020320,,,,100.0,,66.7,83.3,,,,3.0,,3.0,6.0,,,,3.0,,2.0,5.0
020324,,,,0.0,,100.0,50.0,,,,3.0,,3.0,6.0,,,,0.0,,3.0,3.0
020328,,,,33.3,,0.0,16.7,,,,3.0,,3.0,6.0,,,,1.0,,0.0,1.0
020330,,,,75.0,,0.0,37.5,,,,4.0,,4.0,8.0,,,,3.0,,0.0,3.0
020332,,,,0.0,,100.0,50.0,,,,3.0,,3.0,6.0,,,,0.0,,3.0,3.0
030304,100.0,,33.3,,0.0,,44.4,3.0,,3.0,,3.0,,9.0,3.0,,1.0,,0.0,,4.0
030308,,,,25.0,,0.0,12.5,,,,4.0,,4.0,8.0,,,,1.0,,0.0,1.0
030316,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
030320,,,,0.0,,20.0,10.0,,,,5.0,,5.0,10.0,,,,0.0,,1.0,1.0
040304,0.0,,0.0,,0.0,,0.0,1.0,,1.0,,2.0,,4.0,0.0,,0.0,,0.0,,0.0
040305,0.0,,,,,,0.0,3.0,,,,,,3.0,0.0,,,,,,0.0
040306,25.0,,50.0,,0.0,,25.0,4.0,,4.0,,4.0,,12.0,1.0,,2.0,,0.0,,3.0
040308,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
040309,,,,16.7,,100.0,58.3,,,,6.0,,6.0,12.0,,,,1.0,,6.0,7.0
040311,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
040316,,,,100.0,,50.0,75.0,,,,4.0,,4.0,8.0,,,,4.0,,2.0,6.0
040324,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
040328,,,,100.0,,50.0,75.0,,,,4.0,,4.0,8.0,,,,4.0,,2.0,6.0
040330,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
050302,66.7,,0.0,,0.0,,22.2,3.0,,3.0,,3.0,,9.0,2.0,,0.0,,0.0,,2.0
050305,,,,80.0,,80.0,80.0,,,,5.0,,5.0,10.0,,,,4.0,,4.0,8.0
050310,,,,0.0,,100.0,50.0,,,,4.0,,4.0,8.0,,,,0.0,,4.0,4.0
050330,,0.0,,0.0,,16.7,7.7,,1.0,,6.0,,6.0,13.0,,0.0,,0.0,,1.0,1.0
050335,,,,20.0,,0.0,10.0,,,,5.0,,5.0,10.0,,,,1.0,,0.0,1.0
060302,0.0,,100.0,,100.0,,66.7,3.0,,3.0,,3.0,,9.0,0.0,,3.0,,3.0,,6.0
060304,,,,0.0,,66.7,33.3,,,,3.0,,3.0,6.0,,,,0.0,,2.0,2.0
060310,,,,100.0,,100.0,100.0,,,,3.0,,3.0,6.0,,,,3.0,,3.0,6.0
060316,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
060318,,,,100.0,,50.0,75.0,,,,6.0,,6.0,12.0,,,,6.0,,3.0,9.0
060322,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
060328,,0.0,,0.0,,0.0,0.0,,1.0,,4.0,,4.0,9.0,,0.0,,0.0,,0.0,0.0
060332,,,,0.0,,0.0,0.0,,,,2.0,,2.0,4.0,,,,0.0,,0.0,0.0
