agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIG_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_NEDS_MCR,pct_NSWD_MCR,pct_SWD_MCR,pct_WH7_MCR
00A000,95.0,88.5,,,81.3,79.4,,,86.6,94.1,,91.9,,,86.7,90.2,90.2,66.7,89.3
00B000,,25.0,,,,,,,27.6,,,20.0,,,,24.3,28.2,,23.7
010LEA,95.0,88.3,,95.0,86.7,83.1,64.8,,92.4,87.9,85.0,84.5,,,86.2,91.8,94.7,39.9,89.1
01B000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
01C000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
01D000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
020LEA,95.0,92.1,,,80.0,80.6,,,93.6,78.3,95.0,90.3,,,,95.0,95.0,47.4,93.5
030LEA,95.0,94.9,,,,92.5,,,95.0,92.0,,90.7,,,,95.0,95.0,,95.0
040LEA,95.0,92.3,,,90.0,88.8,,,95.0,95.0,,89.9,,,,94.8,95.0,46.9,95.0
050LEA,95.0,86.9,,,,79.8,,,91.2,76.9,,81.3,,,,91.7,93.7,45.2,88.1
060LEA,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,69.2,95.0
070LEA,95.0,91.2,,,88.2,91.8,95.0,,91.0,95.0,,91.5,,,95.0,90.7,95.0,42.4,90.4
07A000,,90.0,,,,,,,,,,84.6,,,,90.0,88.2,,89.5
080LEA,95.0,93.8,,,92.6,93.1,,,95.0,,,92.1,,,,94.4,95.0,52.4,95.0
090LEA,95.0,93.9,,,90.4,94.2,92.9,,94.5,95.0,95.0,93.2,95.0,,90.0,93.1,95.0,56.8,95.0
09A000,,95.0,,,94.1,94.7,,,93.3,,,,,,,,95.0,,
100307,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
100308,,94.4,,,,93.3,,,,,,90.0,,,,,95.0,,95.0
100326,95.0,93.6,,,95.0,93.4,,,95.0,87.5,,89.0,,,90.9,93.9,95.0,48.1,93.3
100334,95.0,92.4,,,87.5,89.1,,,95.0,80.0,91.7,88.4,,,90.9,95.0,95.0,25.0,93.4
100348,95.0,88.1,,,80.9,85.6,,,93.2,93.2,,83.3,,,90.5,91.1,94.1,36.8,88.1
100LEA,95.0,91.6,,95.0,89.4,89.6,78.6,,95.0,90.2,95.0,87.3,,,91.1,93.9,95.0,37.9,92.0
10303,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
10324,95.0,87.0,,,84.5,80.8,,,91.7,81.3,,82.3,,,84.6,89.4,91.1,48.0,89.6
10348,95.0,84.3,,,84.1,81.3,60.0,,91.3,86.7,,77.2,,,,88.9,94.7,33.3,79.3
10360,95.0,86.3,,,85.7,85.1,69.6,,89.5,89.5,,83.9,,,,88.6,95.0,37.8,80.0
10388,95.0,84.3,,,71.0,73.1,,,91.1,84.6,,78.3,,,,89.2,91.5,27.5,85.7
10396,95.0,91.5,,,92.6,87.3,73.3,,93.5,88.1,80.0,89.6,,,92.3,95.0,95.0,45.7,91.7
10400,95.0,94.9,,,88.0,86.9,,,94.4,95.0,,95.0,,,95.0,95.0,95.0,71.4,94.9
110303,,80.8,,,,88.9,,,,,,76.5,,,,,80.0,81.8,68.8
110304,95.0,92.7,,,95.0,88.1,,,95.0,95.0,,89.5,,,91.7,95.0,95.0,63.2,91.9
110322,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
110323,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
110336,95.0,92.1,,,,86.1,,,95.0,95.0,,86.8,,,95.0,95.0,95.0,40.9,91.2
110340,95.0,95.0,,,94.7,94.1,95.0,,95.0,95.0,,95.0,,,83.3,95.0,95.0,56.5,95.0
110352,95.0,92.9,,,,84.5,,,95.0,95.0,,91.0,,,,95.0,95.0,53.3,92.3
110380,95.0,95.0,,,,93.8,,,95.0,93.3,,93.0,,,,95.0,95.0,60.0,95.0
110416,95.0,93.5,,,92.1,89.9,,,93.9,88.9,,93.1,,,90.0,94.7,95.0,52.6,94.6
110500,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
110LEA,95.0,94.2,,95.0,92.6,90.7,94.0,,95.0,95.0,91.1,92.3,,,92.9,95.0,95.0,58.0,94.0
111302,95.0,90.6,,,79.1,78.5,,,93.4,94.4,,87.7,,,,95.0,95.0,47.4,93.3
111700,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
111LEA,95.0,93.2,,,85.2,81.8,,,95.0,95.0,90.9,90.9,,,,95.0,95.0,54.5,95.0
11C000,,95.0,,,,,,,,,,,,,,95.0,95.0,,95.0
11D000,,93.5,,,,,,,86.7,,,95.0,,,,95.0,95.0,,92.0
120308,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
120310,95.0,95.0,,95.0,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
120314,95.0,92.9,,94.4,,89.1,,,95.0,95.0,,90.4,,,,95.0,95.0,42.3,91.8
120318,95.0,94.6,,95.0,84.0,90.9,94.7,,95.0,95.0,,90.4,,,95.0,95.0,95.0,50.0,94.6
120346,95.0,95.0,,95.0,,90.5,,,95.0,,,90.9,,,,95.0,95.0,66.7,95.0
120352,,5.0,,,,5.0,,,5.0,,,5.0,,,,5.0,,5.0,5.0
120370,95.0,95.0,,,,95.0,95.0,,95.0,95.0,,95.0,,,,95.0,95.0,70.6,95.0
120LEA,95.0,93.1,,95.0,86.4,89.8,87.2,,95.0,95.0,,90.6,,,94.3,95.0,95.0,47.9,92.3
130307,95.0,95.0,,95.0,95.0,94.3,,,95.0,95.0,,95.0,,,95.0,95.0,95.0,78.9,95.0
130310,95.0,93.7,,,94.3,90.6,90.0,,94.8,95.0,,92.6,,,83.3,95.0,95.0,43.2,92.0
130314,95.0,95.0,,,95.0,95.0,94.7,,95.0,95.0,90.0,95.0,,,90.0,95.0,95.0,75.0,95.0
130316,95.0,93.8,,,87.7,92.1,90.9,,95.0,95.0,,92.8,,,,94.8,95.0,51.6,95.0
130324,95.0,94.2,,,,87.5,,,95.0,93.8,,92.2,,,,95.0,95.0,41.7,94.5
130326,95.0,95.0,,,95.0,94.6,,,95.0,95.0,,95.0,,,95.0,95.0,95.0,64.0,95.0
130332,95.0,95.0,,94.4,92.8,88.7,,,95.0,94.6,,95.0,,,95.0,95.0,95.0,60.6,95.0
130333,,94.6,,,,95.0,,,94.3,92.9,,95.0,,,,93.3,93.9,,93.5
130350,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
130LEA,95.0,95.0,95.0,95.0,95.0,92.7,86.9,,95.0,95.0,90.9,95.0,,,92.3,95.0,95.0,60.4,95.0
132304,95.0,95.0,,,94.2,95.0,95.0,,95.0,95.0,,95.0,,,95.0,95.0,95.0,63.6,95.0
132LEA,95.0,95.0,,,94.2,95.0,95.0,,95.0,95.0,,95.0,,,95.0,95.0,95.0,63.6,95.0
13A000,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
140305,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
140309,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
140348,95.0,92.0,,,90.3,93.1,,,93.9,89.5,,90.1,,,,91.2,95.0,21.4,92.2
140386,95.0,89.3,,,,83.8,,,91.1,83.3,81.3,87.4,,,,93.2,95.0,46.3,90.4
140390,95.0,94.1,,,95.0,91.8,,,95.0,87.9,,92.2,,,95.0,95.0,95.0,69.6,94.4
140LEA,95.0,92.8,,,92.3,90.5,64.7,,94.5,89.1,84.4,91.0,,,94.1,94.7,95.0,51.2,93.2
150304,95.0,94.7,,,91.7,92.3,,,95.0,,,90.7,,,,95.0,95.0,,94.4
150350,,95.0,,,,,,,95.0,,,,,,,95.0,95.0,,95.0
150LEA,95.0,95.0,,,93.8,93.1,,,95.0,,,91.9,,95.0,,95.0,95.0,40.0,95.0
160313,95.0,95.0,,,93.8,95.0,,,95.0,,,95.0,,,,95.0,95.0,75.0,95.0
160314,95.0,94.8,,,,86.7,,,92.7,95.0,95.0,95.0,,95.0,95.0,95.0,95.0,59.3,94.9
160344,95.0,94.2,,,95.0,93.6,,,95.0,87.1,94.4,91.9,,,95.0,94.7,95.0,56.0,94.9
160LEA,95.0,95.0,,,92.5,92.2,,,95.0,91.5,95.0,94.7,,95.0,95.0,95.0,95.0,60.9,95.0
170316,95.0,90.4,,,90.9,89.4,,,95.0,94.1,,86.0,,,,91.5,95.0,46.9,88.8
170LEA,95.0,90.4,,,90.9,89.4,,,95.0,94.1,,86.0,,,,91.5,95.0,46.9,88.8
180308,95.0,92.8,,,72.7,87.9,,,93.2,87.5,,92.6,,,,94.7,95.0,45.0,94.3
180320,95.0,95.0,,95.0,94.1,92.0,72.7,,95.0,92.6,,92.7,,,,95.0,95.0,66.7,95.0
180325,95.0,95.0,,95.0,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
180340,95.0,92.2,,95.0,90.0,86.6,,,94.2,79.2,,90.5,,,,94.7,95.0,21.4,94.0
180348,95.0,91.8,,90.9,92.3,90.8,,,95.0,94.1,,88.1,,,,92.4,95.0,26.7,91.9
180376,95.0,89.8,,92.9,75.0,88.1,57.9,,94.1,90.9,,85.8,,,,91.1,93.6,29.4,91.0
180LEA,95.0,93.0,,95.0,85.9,90.0,63.0,,95.0,90.9,,90.4,,,91.2,94.7,95.0,37.2,94.0
181318,,95.0,,,,95.0,,,95.0,95.0,,,,,,95.0,95.0,,95.0
181322,95.0,95.0,,95.0,90.0,92.9,80.0,,95.0,93.5,,94.9,,,94.4,95.0,95.0,66.7,95.0
181LEA,95.0,95.0,,95.0,90.6,94.0,81.8,,95.0,94.6,,95.0,,,95.0,95.0,95.0,69.2,95.0
182304,,5.0,,,,5.0,,,,,,5.0,,,,5.0,,5.0,5.0
182316,95.0,92.6,,90.0,95.0,88.4,83.3,,94.7,94.9,,90.4,,,95.0,95.0,95.0,57.9,89.4
182700,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
182LEA,95.0,86.0,,90.9,84.0,79.8,78.9,,89.9,89.4,,82.4,,,95.0,90.1,95.0,26.2,83.0
190316,95.0,95.0,,,95.0,91.7,,,95.0,95.0,,95.0,,,,95.0,95.0,78.6,94.0
190336,95.0,95.0,,,95.0,95.0,92.9,,95.0,95.0,81.8,95.0,,,,95.0,95.0,81.3,94.2
190342,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,95.0,84.8,95.0
190LEA,95.0,95.0,,90.9,95.0,95.0,91.7,,95.0,95.0,90.5,95.0,,,95.0,95.0,95.0,81.5,95.0
19A000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
19B000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
200308,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
200314,,95.0,,,,92.3,,,95.0,,,95.0,,,,95.0,95.0,,95.0
200322,,95.0,,,,,,,,,,95.0,,,,95.0,95.0,,95.0
200328,95.0,92.7,,,,85.5,,,94.5,,,91.2,,,,95.0,95.0,43.8,91.8
200350,,95.0,,,,,,,95.0,,,94.1,,,,95.0,95.0,,95.0
200LEA,95.0,95.0,,,,92.4,,,95.0,95.0,,94.4,,,,95.0,95.0,68.8,95.0
20302,95.0,92.1,,,80.0,80.6,,,93.6,78.3,95.0,90.3,,,,95.0,95.0,47.4,93.5
210312,95.0,95.0,,,89.4,92.7,,,95.0,95.0,,94.1,,,,95.0,95.0,63.2,95.0
210LEA,95.0,95.0,,,89.4,92.7,,,95.0,95.0,,94.1,,,,95.0,95.0,63.2,95.0
220310,,92.0,,,,85.7,,,93.2,,,90.3,,,,95.0,95.0,50.0,94.3
220LEA,,92.0,,,,85.7,,,93.2,,,90.3,,,,95.0,95.0,50.0,94.3
230312,95.0,95.0,,,95.0,91.3,,,95.0,94.7,,91.7,,,,95.0,95.0,65.5,94.0
230322,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
230324,95.0,95.0,,,93.8,92.3,,,94.7,93.8,,95.0,,,,95.0,95.0,67.6,95.0
230330,,88.6,,,75.0,90.9,,,95.0,,,78.6,,,,84.6,95.0,69.2,95.0
230350,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0,95.0,78.9,95.0
230359,,5.0,,,5.0,5.0,,,5.0,,,5.0,,,,5.0,,5.0,5.0
230361,95.0,92.2,,,92.5,89.0,,,94.6,92.3,80.0,89.9,,,80.0,95.0,95.0,57.1,93.4
230LEA,95.0,92.4,,95.0,89.5,90.1,73.3,,94.6,92.8,87.1,90.4,,,92.0,94.3,95.0,54.7,93.7
240334,,95.0,95.0,,91.3,94.4,,,95.0,,,92.5,,,,95.0,95.0,66.7,95.0
