agency_code,pct_met_act workkeys_part,pct_met_biology_part,pct_met_english ii_part,pct_met_high school math_part,pct_met_math grades 3-8_part,pct_met_reading grades 3-8_part,pct_met_science grades 5&8_part,pct_met_the act_part,pct_met_total targets_part,target_assign_act workkeys_part,target_assign_biology_part,target_assign_english ii_part,target_assign_high school math_part,target_assign_math grades 3-8_part,target_assign_reading grades 3-8_part,target_assign_science grades 5&8_part,target_assign_the act_part,target_assign_total targets_part,target_met_act workkeys_part,target_met_biology_part,target_met_english ii_part,target_met_high school math_part,target_met_math grades 3-8_part,target_met_reading grades 3-8_part,target_met_science grades 5&8_part,target_met_the act_part,target_met_total targets_part
00A000,,20.0,0.0,20.0,12.5,12.5,14.3,0.0,11.6,,5.0,5.0,5.0,8.0,8.0,7.0,5.0,43.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0
00B000,,100.0,100.0,0.0,100.0,100.0,100.0,100.0,90.6,,3.0,2.0,3.0,7.0,7.0,7.0,3.0,32.0,,3.0,2.0,0.0,7.0,7.0,7.0,3.0,29.0
010303,,100.0,100.0,100.0,,,,100.0,100.0,,1.0,1.0,1.0,,,,1.0,4.0,,1.0,1.0,1.0,,,,1.0,4.0
010304,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
010308,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
010310,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,6.0,,20.0,,,,,7.0,7.0,6.0,,20.0
010312,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
010320,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,2.0,,10.0,,,,,4.0,4.0,2.0,,10.0
010324,100.0,33.3,83.3,83.3,,,,83.3,73.1,2.0,6.0,6.0,6.0,,,,6.0,26.0,2.0,2.0,5.0,5.0,,,,5.0,19.0
010326,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
010328,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,2.0,,10.0,,,,,4.0,4.0,2.0,,10.0
010340,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
010346,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
010347,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
010348,0.0,80.0,83.3,80.0,,,,0.0,52.0,3.0,5.0,6.0,5.0,,,,6.0,25.0,0.0,4.0,5.0,4.0,,,,0.0,13.0
010350,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,7.0,,23.0,,,,,8.0,8.0,7.0,,23.0
010351,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
010353,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,6.0,,22.0,,,,,8.0,8.0,6.0,,22.0
010354,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
010357,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
010358,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
010360,100.0,100.0,66.7,83.3,,,,100.0,89.3,4.0,6.0,6.0,6.0,,,,6.0,28.0,4.0,6.0,4.0,5.0,,,,6.0,25.0
010362,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
010364,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,2.0,,16.0,,,,,7.0,7.0,2.0,,16.0
010372,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,2.0,,14.0,,,,,6.0,6.0,2.0,,14.0
010374,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
010378,,,,,33.3,0.0,,,16.7,,,,,3.0,3.0,,,6.0,,,,,1.0,0.0,,,1.0
010380,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
010384,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
010388,100.0,100.0,100.0,100.0,,,,50.0,87.0,3.0,5.0,4.0,5.0,,,,6.0,23.0,3.0,5.0,4.0,5.0,,,,3.0,20.0
010390,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
010392,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,3.0,,9.0,,,,,3.0,3.0,3.0,,9.0
010394,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,5.0,,21.0,,,,,8.0,8.0,5.0,,21.0
010396,100.0,100.0,83.3,100.0,,,,20.0,80.8,5.0,5.0,6.0,5.0,,,,5.0,26.0,5.0,5.0,5.0,5.0,,,,1.0,21.0
010400,100.0,100.0,100.0,100.0,,,,80.0,95.5,2.0,5.0,5.0,5.0,,,,5.0,22.0,2.0,5.0,5.0,5.0,,,,4.0,21.0
010403,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,4.0,,20.0,,,,,8.0,8.0,4.0,,20.0
010406,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,5.0,,21.0,,,,,8.0,8.0,5.0,,21.0
01B000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,1.0,2.0,1.0,6.0,6.0,2.0,1.0,19.0,,1.0,2.0,1.0,6.0,6.0,2.0,1.0,19.0
01C000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,2.0,2.0,2.0,4.0,4.0,2.0,1.0,17.0,,2.0,2.0,2.0,4.0,4.0,2.0,1.0,17.0
01D000,,,100.0,,100.0,100.0,100.0,100.0,100.0,,,2.0,,2.0,2.0,2.0,1.0,9.0,,,2.0,,2.0,2.0,2.0,1.0,9.0
020302,100.0,100.0,100.0,100.0,,,,100.0,100.0,3.0,5.0,4.0,5.0,,,,5.0,22.0,3.0,5.0,4.0,5.0,,,,5.0,22.0
020303,,100.0,100.0,100.0,,,,100.0,100.0,,1.0,2.0,1.0,,,,1.0,5.0,,1.0,2.0,1.0,,,,1.0,5.0
020304,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
020306,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,4.0,,20.0,,,,,8.0,8.0,4.0,,20.0
020308,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
020316,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
