agency_code,pct_gce_all_rta,pct_gce_rpf_rta,pct_gce_swd_rta,pct_passed_eog_rta,pct_passed_laa_rta,pct_passed_rta_rta,pct_promoted_rta,pct_retained_rta
00A000,,,,40.0,36.0,,84.0,16.0
00B000,7.0,,7.0,47.4,12.3,5.8,72.5,27.5
010304,,,,54.0,,,81.0,19.0
010308,,,,62.0,,,83.3,16.7
010312,,,,58.0,,,84.0,16.0
010320,,,,71.7,,,88.7,
010326,,,,42.3,,,76.6,23.4
010328,,,,71.4,,,93.5,
010340,,,,56.0,,,84.8,15.2
010346,,,,47.5,,,72.9,27.1
010347,,,,60.6,,,92.6,
010351,11.6,,11.6,33.7,,,86.0,14.0
010354,,,,27.1,,,61.5,38.5
010357,,,,31.5,,,71.2,28.8
010358,,,,36.2,,,71.3,28.7
010362,,,,81.2,,,92.9,
010364,,,,39.7,,,84.5,
010372,,,,59.7,,,88.1,
010374,,,,57.0,,,86.0,14.0
010380,,,,50.5,,,85.9,14.1
010384,,,,66.7,,,86.1,13.9
010392,,,,55.9,,,79.4,
01B000,19.7,14.1,,63.4,,,85.9,14.1
01C000,,,,57.4,,,95.0,
020304,,,,61.3,,,86.7,13.3
020308,,,,61.7,,,95.0,
020316,,,,56.8,,,90.1,
020320,,,,57.5,,,95.0,
020324,,,,80.6,,,94.4,
020328,,,,79.5,,,94.9,
020332,,,,76.3,,,95.0,
030308,,,,56.0,,,95.0,
030316,,,,68.4,,,95.0,
030320,,,,53.6,,,92.8,
040308,,,,57.1,,,90.5,
040311,14.3,,,26.2,,,48.8,51.2
040316,,,,51.4,,,82.9,
040324,,,,38.2,,,64.7,35.3
040328,,,,77.9,,,91.2,
050310,13.0,,,72.7,,,95.0,
050330,18.1,,13.3,53.0,,,95.0,
050335,,,,62.2,,,95.0,
060304,,,,75.0,,,95.0,
060316,27.0,,,37.8,,,78.4,
060322,32.4,,,47.1,,,91.2,
060328,38.2,,,52.9,,,95.0,
060332,,,,,,,95.0,
070308,,,,80.3,,,95.0,
070326,11.5,11.5,,70.8,,,95.0,
070327,24.0,12.6,11.1,50.4,,,87.8,12.2
070329,,,,41.5,,,82.9,
070340,,,,,,,73.9,
07A000,,,,87.8,,,95.0,
080348,,,,48.1,,,70.4,
080356,,,,28.2,,,53.8,46.2
080360,,,,48.0,,,76.0,
080362,16.4,,,35.8,,,61.2,38.8
08A000,,,,,,,,95.0
090317,14.9,,,55.4,,,86.5,13.5
090318,,,,41.0,,,56.4,43.6
090324,,,,39.3,,,89.3,
090328,,,,,,,71.4,
090333,13.0,,,35.0,,,79.0,21.0
090352,,,,41.7,,,87.5,
09B000,,,,60.3,,,87.9,
100302,20.9,12.4,,53.5,,,81.4,18.6
100304,14.5,,14.5,59.2,,,94.7,
100310,20.6,,,67.6,,,95.0,
100320,9.1,,9.1,33.6,,,60.0,40.0
100336,13.1,,,68.7,,,86.9,13.1
100338,32.3,15.2,16.2,35.4,,,79.8,20.2
100339,10.8,,,71.0,,,90.3,
100340,,,,83.0,,,95.0,
100342,17.6,14.7,,48.5,,,86.8,
100344,21.2,,,51.9,,,95.0,
10A000,,,,79.6,,,94.2,
10B000,,,,79.4,,,87.3,
110308,,,,50.0,,,72.2,27.8
110320,12.3,,,62.3,,,86.8,13.2
110324,21.2,,14.1,47.1,,,80.0,20.0
110332,,,,50.0,,,82.0,
110348,,,,39.4,,,66.7,33.3
110356,8.9,,8.9,62.5,,,86.6,13.4
110366,12.5,,,67.3,,,85.6,14.4
110368,,,,55.4,,,70.8,29.2
110370,,,,67.1,,,75.7,24.3
110372,,,,26.4,,,58.5,41.5
110376,20.3,,15.2,48.1,,,77.2,22.8
110379,16.1,,14.3,60.7,,,92.9,
110384,,,,47.7,,,67.7,32.3
110388,,,,56.1,,,85.4,
110408,15.7,,10.4,59.1,,,86.1,13.9
110410,14.4,,10.2,41.5,,,72.9,27.1
110412,13.8,,,42.5,,,67.5,32.5
110422,9.7,,9.7,61.4,,,80.7,19.3
110428,12.9,8.6,,72.4,,,90.5,9.5
110436,14.7,,11.8,57.8,,,83.3,16.7
110444,,,,58.3,,,70.8,
111304,,,,49.0,,,57.1,42.9
111306,,,,81.2,,,83.5,16.5
111312,,,,64.3,,,70.0,30.0
111332,,,,71.7,,,73.3,26.7
111360,,,,74.6,,,78.9,21.1
11A000,,,,81.3,,,95.0,
11B000,,,,81.0,,,92.9,
11C000,11.1,,,79.5,,,95.0,
11K000,,,,78.9,,,89.5,
120312,,,,57.8,,,85.9,
120316,,,,51.1,,,87.2,
120320,,,,65.3,,,91.8,
120324,,,,67.8,,,91.5,
120338,,,,52.5,,,95.0,
120340,,,,41.7,,,75.0,
120344,,,,86.7,,,95.0,
120354,,,,48.1,,,79.0,21.0
120360,,,,54.2,,,87.5,
120364,,,,48.1,,,92.6,
120368,,,,62.2,,,89.2,
120374,,,,81.8,,,95.0,
120380,,,,67.4,,,93.0,
120386,16.7,,13.9,47.2,,,94.4,
12A000,,,,71.4,,,75.5,24.5
130304,11.0,,9.7,51.6,,,69.7,30.3
130308,11.5,,11.5,55.8,,,81.7,18.3
130309,,,,46.4,,,71.0,29.0
130311,,,,59.0,,,73.5,26.5
130312,6.7,,6.2,69.4,,,90.7,9.3
130319,,,,84.0,,,95.0,
130321,,,,59.9,,,77.4,22.6
130322,,,,67.3,,,86.4,13.6
130325,9.9,,9.0,59.5,,,86.5,13.5
130328,,,,36.2,,,72.4,27.6
130329,,,,46.4,,,60.9,39.1
130330,19.6,,19.6,62.7,,,90.2,
130331,9.2,,8.5,61.4,6.5,,85.0,15.0
130337,,,,77.2,,,89.0,11.0
130338,,,,55.7,,,80.2,19.8
130340,,,,45.4,,,58.0,42.0
130342,,,,40.8,,,64.2,35.8
130344,,,,42.9,,,60.4,39.6
130345,,,,68.8,,,86.7,13.3
132308,,,,55.4,,,74.7,25.3
132312,,,,38.1,,,54.8,45.2
132314,,,,40.8,,,73.8,26.2
132328,,,,49.3,,,72.6,27.4
132332,,,,55.4,,,75.0,25.0
132336,,,,42.3,,,67.3,32.7
13A000,,,,81.2,,,89.9,
13B000,,,,59.3,,,70.9,29.1
13C000,,,,46.3,,,56.1,43.9
13D000,,,,60.0,,,68.9,31.1
140304,,,,72.3,,,84.6,15.4
140308,,,,45.0,,,90.0,
140312,,,,45.9,,,74.1,25.9
140316,,,,47.9,,,80.3,19.7
140324,,,,65.4,,,91.0,
140340,,,,68.9,,,95.0,
140344,,,,61.1,,,72.2,
140352,8.1,,,58.5,,,95.0,
140360,,,,68.4,,,84.2,
140372,,,,62.3,,,94.2,
140376,,,,88.2,,,94.1,
140384,,,,69.8,,,83.7,
140392,,,,42.0,,,76.0,24.0
140396,,,,56.1,,,82.9,
150308,,,,81.7,,,82.4,17.6
160304,,,,,,,95.0,
160306,15.2,,,69.7,,,95.0,
160308,20.0,,20.0,64.6,,,95.0,
160316,,,,70.6,,,94.1,
160322,,,,77.3,,,95.0,
160324,9.7,,9.7,46.9,,,93.8,
160332,,,,83.3,,,95.0,
160352,11.2,,8.6,67.1,,,95.0,
16B000,,,,63.3,,,80.0,
170334,,,,65.5,,,90.9,
170339,,,,45.3,,,69.8,30.2
170342,,,,67.9,,,91.1,
170344,,,,,,,65.0,
180304,,,,51.7,,,83.9,16.1
180312,,,,54.2,,,85.4,
180316,,,,63.5,,,76.5,23.5
180324,,,,41.2,,,67.6,32.4
180326,,,,67.9,,,94.3,
180332,18.0,,18.0,42.6,,,88.5,
180336,14.1,,,69.4,,,90.6,
180343,,,,50.7,,,89.9,
180344,35.4,23.1,,30.8,,,72.3,27.7
180356,11.9,,,73.8,,,90.5,
180360,,,,52.9,,,91.4,
180368,,,,67.7,,,95.0,
180372,11.2,,10.2,46.9,,,71.4,28.6
180379,,,,60.6,,,95.0,
180380,,,,62.1,,,90.9,
180388,25.5,,,35.3,,,66.7,33.3
181326,,,,56.2,,,71.2,28.8
181332,,,,55.1,,,70.1,29.9
181336,,,,59.3,,,74.1,25.9
181344,,,,46.7,,,82.7,17.3
182322,,,,71.0,,,95.0,
182324,,,,40.4,,,88.5,
182328,48.0,32.0,,36.0,,,92.0,
190304,,,,85.7,,,95.0,
190308,,,,52.9,,,88.2,
190332,,,,50.0,,,95.0,
190340,,,,69.2,,,95.0,
190341,,,,69.3,,,93.2,
190346,,,,75.4,,,85.2,14.8
190348,11.7,,,62.8,,,90.4,
190350,10.6,,,57.7,,,81.3,18.7
190352,,,,75.0,,,93.8,
190370,26.4,,14.9,34.5,,,77.0,23.0
19A000,37.5,37.5,,62.5,,,95.0,
19B000,,,,94.4,,,95.0,
19C000,,,,73.3,,,95.0,
200304,,,,63.2,,,91.2,
200312,,,,58.8,,,88.2,
200320,,,,65.0,,,90.0,
200324,17.6,,14.9,51.4,,,87.8,
200332,,,,68.2,,,90.9,
200336,,,,38.2,,,91.2,
20A000,,,,47.6,,,66.7,
210306,7.2,,,51.6,,,75.2,24.8
220308,24.1,,13.8,59.8,,,89.7,
230304,25.0,17.7,,57.3,,,92.7,
230308,20.4,12.6,,65.0,,,92.2,
230320,,,,53.7,,,95.0,
230334,37.2,,,53.5,,,93.0,
230340,,,,59.3,,,76.7,23.3
230342,27.1,,,33.3,,,72.9,27.1
230344,15.1,,,75.3,,,95.0,
230346,25.9,20.4,,46.3,,,95.0,
230348,,,,51.4,,,95.0,
230355,24.0,,,60.0,,,88.0,
230357,32.3,23.1,,41.5,,,90.8,
230364,23.6,12.4,11.2,64.0,,,93.3,
230368,24.2,17.2,,53.5,,,83.8,16.2
230370,,,,54.2,,,93.1,
230376,27.7,23.1,,61.5,,,95.0,
230380,,,,74.6,,,92.5,
23A000,,,,77.4,,,86.9,13.1
240308,,,,28.9,,,68.9,31.1
240328,,,,60.6,,,72.7,
240332,,,,48.8,,,83.7,
240344,,,,35.7,,,95.0,
240352,,,,50.0,,,90.9,
240354,33.3,,,37.5,,,93.8,
240370,,,,62.2,,,86.7,
240372,,,,35.4,,,66.2,33.8
240388,,,,51.8,,,94.6,
241308,6.8,,5.7,56.8,,,77.8,22.2
24N000,15.4,,,54.9,15.4,,85.7,14.3
250304,,,,73.8,,,93.8,
