agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
60U000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61L000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93L000,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00A000,,ALL,39.0,,D,68.0,,B,63.0,,41.0,,69.0,,45.0,,,,,,,,,,55.0,,NotMet,50.0,54.0,D,42.0,70.0,NotMet,Met,53.4,75.7
00B000,,ALL,24.0,,F,54.0,,C,54.0,,38.0,,59.0,,47.0,,67.0,,,,,,,,42.0,,NotMet,50.9,44.0,D,30.0,57.0,NotMet,NotMet,54.0,68.3
01B000,,ALL,55.0,,C,71.0,,B,78.0,,69.0,,85.0,,51.0,,63.0,,,,95.0,1.0,92.0,,67.0,,NotMet,64.7,67.0,C,57.0,73.0,NotMet,Met,64.1,80.7
01C000,,ALL,66.0,,C,65.0,,C,78.0,,79.0,,77.0,,76.0,,71.0,,,,95.0,1.0,95.0,1.0,72.0,,Met,81.1,74.0,B,67.0,68.0,Met,Met,71.6,81.2
01D000,,ALL,74.0,,B,82.0,,B,84.0,,76.0,,86.0,,76.0,,76.0,,,,91.0,,89.0,,80.0,,NotMet,64.9,77.0,B,74.0,80.0,Met,Met,73.5,71.1
06A000,,ALL,14.0,,F,29.0,,F,,,5.0,2.0,,,25.0,,,,,,,,,,16.0,,,,16.0,F,14.0,29.0,,,,
06B000,,ALL,38.0,,D,30.0,,D,57.0,,40.0,,50.0,,17.0,,40.0,,,,95.0,1.0,55.0,,41.0,,Exceeded,88.3,50.0,D,48.0,40.0,Exceeded,Met,90.5,82.8
