agency_code,pct_aig_wk,pct_all_wk,pct_am7_wk,pct_as7_wk,pct_bl7_wk,pct_eds_wk,pct_els_wk,pct_fem_wk,pct_hi7_wk,pct_hms_wk,pct_male_wk,pct_mig_wk,pct_mil_wk,pct_mu7_wk,pct_neds_wk,pct_nswd_wk,pct_swd_wk,pct_wh7_wk
010324,82.6,53.8,,,40.9,50.0,,55.3,60.0,,52.7,,,,55.4,58.3,,58.8
010348,,58.1,,,40.0,66.7,,53.3,62.5,,60.7,,,,43.8,59.5,,
010360,95.0,60.0,,,45.7,56.3,,61.8,70.0,,58.9,,,,69.2,66.3,10.0,66.7
010388,86.8,63.6,,,,51.4,,70.0,71.4,,57.6,,,,66.9,66.2,27.3,62.4
010396,86.2,60.4,,,43.4,53.4,,59.2,71.4,,61.4,,,45.5,66.3,63.7,23.1,70.4
010400,92.9,58.7,,,,55.6,,56.9,63.6,,60.4,,,,59.3,61.0,,60.8
020302,89.3,57.6,,,,53.6,,65.5,45.5,,49.4,,,,59.6,63.8,5.6,59.0
030304,94.1,59.6,,,,48.8,,68.9,50.0,,50.0,,,,69.6,61.9,,61.8
040306,90.5,41.4,,,19.4,25.0,,40.0,,,42.4,,,,54.7,43.5,,83.3
050302,95.0,78.7,,,,60.0,,81.8,,,75.6,,,,90.7,83.3,,79.5
060302,,63.6,,,,63.6,,81.3,,,53.6,,,,63.6,65.9,,59.0
060700,,95.0,,,,,,95.0,,,,,,,95.0,95.0,,95.0
070330,95.0,78.4,,,,57.1,,68.8,,,85.7,,,,91.3,82.9,,84.0
070339,,70.2,,,70.6,65.6,,60.9,,,76.5,,,,76.0,74.1,,73.3
070342,81.3,50.0,,,25.8,31.4,,51.2,57.1,,48.7,,,,64.4,51.4,,69.7
080312,,45.3,,,41.7,50.0,,54.5,,,38.7,,,,40.7,46.2,,
090330,93.8,40.9,,,32.0,38.9,,42.6,54.5,,39.1,,,,47.6,48.1,5.0,51.9
090368,90.9,50.0,,,14.6,46.3,,52.9,62.8,,47.0,54.5,,,59.6,52.2,,59.5
100326,,65.7,,,50.0,63.6,,71.9,,,60.0,,,,69.6,67.7,,70.7
100334,93.3,57.0,,,16.7,48.1,,66.7,,,50.0,,,,66.7,62.9,9.1,62.3
100348,68.2,53.5,,,28.6,45.1,,59.5,50.0,,48.4,,,36.4,61.1,53.8,,56.9
110304,94.1,65.3,,,23.1,50.0,,65.6,66.7,,65.0,,,38.5,73.8,74.0,20.0,77.4
110336,95.0,70.8,,,,84.0,,73.8,,,66.7,,,,63.8,72.1,,73.2
110340,90.5,58.5,,,45.5,51.4,,56.9,47.6,,60.0,,,,64.9,61.4,,64.8
110352,95.0,78.3,,,,70.0,,77.4,84.2,,79.0,,,,82.7,80.0,,77.2
110380,94.7,67.9,,,,61.9,,74.5,52.9,,62.3,,,,71.4,70.2,,71.0
110416,95.0,73.6,,,50.0,68.8,,78.0,61.5,,70.6,,,45.5,76.0,77.2,,84.4
110500,95.0,95.0,,,,95.0,,95.0,,,95.0,,,,95.0,95.0,,95.0
111302,95.0,70.6,,,,53.8,,75.9,,,63.6,,,,76.3,78.3,,81.1
111700,91.7,86.2,,,,,,85.7,,,86.7,,,,92.0,88.9,,88.9
120314,90.9,67.2,,,,66.7,,60.9,,,83.3,,,,67.6,69.4,,65.3
120318,95.0,68.8,,,,74.2,,75.0,54.5,,61.1,,,,65.3,71.1,,75.0
120346,92.3,64.6,,,,60.0,,60.0,,,76.9,,,,66.7,67.4,,65.0
120370,93.3,74.7,,,,66.7,,81.1,50.0,,68.4,,,,78.4,75.7,,80.6
130307,95.0,83.1,,,70.2,80.0,,79.6,88.5,,85.6,,,,83.3,85.0,,85.5
130310,93.5,66.1,,,46.2,54.1,,65.0,62.9,,67.1,,,,73.1,69.0,,75.0
130314,90.9,38.2,,,26.1,30.3,9.1,37.5,31.3,,38.8,,,,50.9,40.5,15.4,61.9
130316,95.0,56.4,,,36.4,40.4,,53.8,38.2,,58.0,,,,65.9,57.4,,70.7
130324,95.0,62.4,,,,52.2,,60.0,,,63.6,,,,65.4,63.3,,64.0
130326,95.0,53.2,,,35.9,38.1,,60.9,41.7,,46.8,,,,65.4,55.1,,69.5
130332,87.0,67.8,,,48.6,38.9,,67.1,58.3,,68.4,,,,71.2,71.3,10.0,72.4
130333,,42.9,,,,,,,,,,,,,,54.5,,
132304,95.0,57.5,,,38.0,41.0,,57.3,57.4,,57.7,,,60.0,62.1,60.9,5.0,73.0
140305,95.0,95.0,,,,95.0,,95.0,,,95.0,,,,95.0,95.0,,95.0
140348,91.7,73.2,,,72.7,63.0,,76.3,,,69.7,,,,79.5,73.9,,74.5
140386,94.1,71.8,,,,57.4,,71.9,,36.4,71.6,,,,79.8,74.0,,71.1
140390,,60.3,,,,57.5,,57.6,50.0,,62.9,,,,64.3,62.9,,65.4
150304,,57.7,,,,,,48.1,,,68.0,,,,58.1,57.7,,59.0
160313,,70.0,,,,66.7,,71.1,,,68.8,,,,74.2,74.2,,70.7
160314,,86.7,,,,85.7,,82.9,,,90.5,,,,87.1,87.3,,89.3
160344,94.4,82.3,,,,80.5,,76.2,,,87.0,,,,83.6,84.8,,88.3
170316,95.0,49.1,,,35.6,41.5,,47.9,,,50.0,,,,56.1,53.5,9.1,57.4
180308,90.0,66.7,,,,46.7,,69.2,,,64.9,,,,75.8,72.7,,67.5
180320,,49.3,,,,42.9,,57.6,,,42.9,,,,53.2,50.0,,46.3
180340,95.0,83.1,,,,88.2,,90.0,,,75.7,,,,81.7,85.3,,79.7
180348,95.0,77.5,,,,70.6,,82.4,,,73.0,,,,79.6,78.3,,83.0
180376,91.7,67.9,,,,65.5,,65.8,55.6,,69.6,,,,69.1,68.7,,75.0
181318,,62.5,,,,71.4,,66.7,,,,,,,50.0,68.2,,
181322,,49.2,,,41.2,45.8,,55.6,58.8,,44.1,,,,51.4,51.9,,60.0
182316,,50.0,,,8.3,48.0,20.0,48.9,58.1,,51.1,,,,52.5,54.3,,57.1
190316,90.0,52.5,,,,30.8,,60.0,,,40.0,,,,63.0,62.5,,59.4
190336,84.4,58.2,,,54.5,52.6,,55.6,47.8,,60.9,,,,67.6,60.7,,75.0
190342,95.0,83.7,,,64.3,71.4,,80.5,69.2,,86.3,,,,87.3,87.1,,91.7
200308,,68.2,,,,71.4,,75.0,,,60.0,,,,,70.0,,64.7
200314,,77.3,,,,,,75.0,,,80.0,,,,85.7,77.3,,85.0
200328,92.9,70.7,,,,67.7,,76.5,,,65.9,,,,72.7,74.3,,71.9
210312,,58.6,,,47.5,46.9,,62.2,,,54.8,,,,73.7,61.3,,71.1
220310,,60.7,,,,45.0,,70.6,,,45.5,,,,69.4,72.3,,60.8
230312,87.5,57.0,,,42.9,45.6,,66.1,54.5,,50.0,,,,66.2,62.3,14.3,62.6
230324,93.3,65.3,,,57.1,52.3,,64.3,,,66.7,,,,72.5,66.7,,69.2
230350,95.0,70.9,,,56.3,55.2,,83.3,70.0,,60.6,,,70.0,81.0,74.1,20.0,74.6
230361,90.0,50.5,,,45.5,49.2,,58.0,,,43.9,,,,52.4,54.2,18.2,70.0
240334,,56.7,,,,52.4,,75.0,,,44.4,,,,,63.0,,81.8
240371,,65.0,,,,60.0,,63.6,,,66.7,,,,70.0,66.7,,61.8
240373,,84.2,,,,92.3,,81.8,,,,,,,,88.9,,86.7
240380,,73.7,,,,65.2,,83.3,,,57.1,,,,86.7,73.7,,73.3
241316,,69.1,,,30.0,61.5,,69.7,,,68.2,,,,87.5,69.1,,75.0
250340,,76.6,,,78.3,69.4,,78.1,,,75.6,,,,82.9,80.3,,76.9
250356,95.0,75.5,,,54.5,56.7,,70.2,,,83.8,,,,84.4,77.8,,82.3
250372,95.0,71.9,,,56.5,65.9,,73.9,54.5,,69.8,,,,77.1,73.3,,81.1
260318,95.0,82.4,,,74.5,67.3,,80.5,95.0,,83.8,,86.8,75.0,88.7,82.6,,87.5
260322,95.0,50.4,,,44.8,42.0,,56.9,60.0,,44.3,,,50.0,68.4,55.8,13.3,57.9
260325,95.0,66.3,,,47.7,52.7,,65.0,73.1,,67.2,,78.6,50.0,77.5,74.6,17.2,75.2
260357,95.0,79.6,,,80.0,69.8,,76.5,68.8,,82.3,,94.4,95.0,86.9,83.9,20.0,78.7
260359,,58.2,,,51.2,61.0,,75.0,,,34.8,,,,50.0,63.3,,
260408,93.3,60.5,,,48.1,49.4,,63.0,58.8,,57.6,,73.7,75.0,70.2,65.4,6.7,69.2
260411,,85.7,,,85.7,75.0,,,,,91.7,,,,,89.5,,
260424,94.1,53.4,,,45.6,45.7,,57.7,62.5,,49.4,,54.5,61.1,66.7,60.0,17.4,95.0
260427,80.0,52.2,,,51.1,49.2,,56.5,42.9,,49.3,,50.0,35.7,55.8,57.3,23.5,66.7
260446,,55.0,,,41.3,45.6,,60.0,,,51.1,,,,78.3,58.9,,75.0
260455,95.0,62.8,,,59.1,51.2,,61.7,,,64.5,,,,77.1,65.3,,58.3
270306,,65.4,,,,41.2,,63.4,,,66.7,,,45.5,70.1,68.8,36.4,69.4
280304,,46.2,,,,,,,,,50.0,,,,,46.2,,46.2
280316,,51.9,,,,,,,,,56.5,,,,55.0,51.9,,73.7
280330,,58.6,,,,,,83.3,,,41.2,,,,65.2,61.5,,63.0
290308,95.0,57.7,,,,51.4,,72.6,40.0,,42.6,,,,60.5,61.6,18.2,59.0
290314,,75.0,,,,,,,,,,,,,,80.0,,75.0
290324,95.0,66.4,,,,75.8,,63.1,30.0,,69.6,,,,63.4,72.0,25.0,68.6
290336,95.0,69.1,,,,41.9,,69.3,35.7,,68.8,,,,76.9,71.0,,76.4
290348,94.9,66.0,,,,52.0,,64.6,58.3,,67.3,,,,68.0,69.7,20.0,67.6
290365,,65.0,,,,50.0,,68.2,,,63.2,,,,73.7,70.4,,67.9
290388,,66.7,,,,61.1,,68.5,60.0,,65.3,,,,68.9,66.9,,65.5
290389,,94.1,,,,,,,,,90.9,,,,92.3,94.1,,93.8
291336,85.7,63.4,,,68.2,57.1,,59.5,62.5,,69.0,,,,67.4,66.2,,
292324,,56.6,,,37.5,48.3,,54.5,55.6,,58.1,,,,61.7,58.1,,76.2
300312,95.0,79.4,,,,68.3,,92.3,53.3,,68.4,,,,84.0,84.0,20.0,82.8
310344,95.0,67.6,,,66.7,59.3,35.7,64.4,59.1,,70.8,,,,78.1,69.6,40.0,71.6
310352,,57.9,,,45.2,50.0,10.0,52.1,58.0,,62.7,,,,84.0,59.0,,92.9
310364,,81.6,,,,86.7,,87.0,70.4,,76.9,,,,73.7,81.3,,94.1
310392,,67.6,,,41.4,60.8,,71.4,69.4,,65.1,,,,83.9,71.4,,82.4
320312,95.0,61.9,,,46.3,34.5,,71.4,75.0,,52.1,,,,73.5,66.7,,82.6
320317,95.0,90.5,,,89.7,84.6,,89.6,88.0,,,,,,95.0,90.4,,
320323,,91.7,,,,,,,,,,,,,,,,
320325,,37.3,,,27.9,33.3,,44.0,,,30.8,,,,44.4,42.2,,
320356,95.0,60.0,,,42.9,50.0,,64.3,60.7,,57.4,,,,69.2,64.7,,88.9
320365,95.0,87.6,,,70.4,66.7,,88.4,81.3,,87.1,,,,95.0,87.5,,95.0
320368,76.9,49.6,,,43.8,50.0,,50.9,59.6,,48.3,,,,48.9,50.9,,
330328,,27.3,,,21.1,30.8,,33.3,,,20.0,,,,,27.3,,
330350,,39.6,,,29.5,37.8,,37.3,,,42.9,,,,40.6,42.1,,48.9
330358,,37.7,,,27.5,40.7,,41.3,,,30.4,,,,35.7,38.2,,50.0
33A000,,64.7,,,,,,,,,,,,,69.2,66.7,,63.6
340311,95.0,88.6,,,80.3,84.7,,89.3,86.2,,88.1,,,,90.1,90.3,66.7,95.0
340330,,52.4,,,50.0,36.4,,47.1,,,,,,,70.0,57.9,,
340364,94.4,76.3,,,55.0,41.7,,81.1,66.7,,72.1,,,,85.6,77.6,,83.8
340382,,78.0,,,70.6,86.4,,71.8,85.7,,90.0,,,,73.0,78.9,,76.0
340454,95.0,72.6,,,59.5,80.6,,71.4,95.0,,73.5,,,,67.9,76.6,,78.3
340460,,58.5,,,35.7,50.0,,58.8,58.3,,58.3,,,,61.5,60.8,,75.0
340486,,65.2,,,,,,,72.7,,57.1,,,,64.7,65.2,,
340488,,45.7,,,33.3,33.3,,52.4,50.0,,35.7,,,,52.2,48.4,,
340495,94.1,77.1,,,,70.0,,95.0,,,63.3,,,,78.1,82.9,,73.1
340496,,59.3,,,53.6,56.5,,53.1,72.7,,66.7,,,,61.1,63.0,,72.7
340542,,78.3,,,,73.3,,84.6,,,70.0,,,,80.6,78.6,,84.8
340556,95.0,83.1,,,76.9,75.0,,82.0,76.2,,83.8,,,,84.9,88.2,27.3,84.4
350308,95.0,74.3,,,68.8,65.6,,73.3,70.0,,75.0,,,,81.6,79.0,,78.9
350321,87.5,65.6,,,51.7,77.4,,65.3,80.0,,65.9,,,,59.7,67.8,,67.3
350336,,62.5,,,61.9,66.7,,78.3,50.0,,53.7,,,,58.8,70.9,,69.0
360310,,38.6,,,21.7,35.8,,36.7,50.0,,40.3,,,,43.5,41.2,,56.7
360336,,33.3,,,21.1,26.5,,32.4,,,34.0,,,,42.9,35.4,,40.7
360360,92.9,71.0,,,,57.6,,69.2,,,72.2,,,,78.3,73.6,,69.7
360378,83.3,61.4,,,70.0,48.5,,78.4,,,49.0,,,,69.1,63.4,,59.4
360390,,37.1,,,,61.1,,36.0,,,37.8,,,,28.8,37.7,,43.1
