agency_code,avg_student_num_adm
010303,228
010304,611
010308,622
010310,764
010312,746
010320,375
010324,1216
010326,574
010328,533
010340,730
010346,374
010347,612
010348,758
010350,704
010351,463
010353,684
010354,625
010357,495
010358,593
010360,944
010362,527
010364,350
010372,306
010374,568
010378,84
010380,571
010384,634
010388,1427
010390,737
010392,267
010394,928
010396,1163
010400,1145
010403,830
010406,583
020302,1216
020303,195
020304,448
020306,612
020308,288
020316,472
020320,246
020324,218
020328,249
020330,581
020332,281
030304,433
030308,209
030316,165
030320,540
040304,234
040305,47
040306,706
040308,175
040309,688
040311,318
040316,243
040324,183
040328,423
040330,172
050302,868
050303,60
050305,473
050310,476
050330,549
050335,552
060302,426
060304,160
060310,188
060316,206
060318,263
060322,195
060328,222
060332,113
060334,17
060700,85
060701,53
070302,502
070308,578
070310,66
070311,275
070325,409
070326,499
070327,524
070328,501
070329,430
070330,406
070338,783
070339,413
070340,161
070342,898
080311,175
080312,521
080314,486
080348,130
080356,243
080360,187
080362,374
090315,290
090317,360
090318,198
090320,253
090324,219
090328,64
090330,643
090332,415
090333,463
090352,151
090365,341
090368,692
090376,50
100302,848
100304,415
100307,384
100308,92
100309,505
100310,463
100316,933
100320,594
100326,1119
100332,645
100334,1045
100335,753
100336,568
100338,573
100339,556
100340,600
100342,498
100344,504
100348,1429
110303,132
110304,1219
110306,523
110308,166
110318,205
110320,416
110322,272
110323,64
110324,416
110326,572
110332,301
110336,738
110338,539
110340,1148
110342,707
110348,341
110352,1069
110356,722
110366,564
110368,390
110370,409
110372,245
110376,420
110379,556
110380,1046
110381,587
110382,567
110384,441
110388,164
110401,586
110408,557
110410,547
110412,454
110416,1481
110420,583
110422,724
110425,668
110428,352
110432,230
110436,570
110444,133
110450,744
110451,728
110500,388
111302,992
111304,304
111306,447
111307,77
111312,437
111332,436
111356,741
111360,396
111369,147
111700,351
120308,99
120310,138
120312,410
120314,884
120315,660
120316,288
120318,1154
120320,310
120324,349
120334,534
120338,349
120340,257
120344,287
120346,618
120350,522
120352,81
120354,563
120360,288
120364,399
120368,444
120370,825
120374,431
120376,554
120380,549
120386,384
120390,529
130304,873
130307,1863
130308,576
130309,374
130310,1626
130311,442
130312,1067
130313,860
130314,1231
130315,738
130316,1253
130317,101
130318,1047
130319,1037
130320,1422
130321,779
130322,658
130323,701
130324,863
130325,672
130326,1290
130327,915
130328,303
130329,775
130330,344
130331,891
130332,1700
130333,103
130336,716
130337,800
130338,1071
130340,771
130342,719
130344,582
130345,1108
130346,1285
130349,178
130350,244
130355,1073
132304,1611
132308,529
132312,376
132314,554
132328,433
132330,1310
132332,331
132336,295
140304,363
140305,230
140306,68
140307,36
140308,344
140309,399
140312,487
140316,438
140324,503
140332,566
140336,581
140340,593
140344,243
140348,883
140352,681
140356,674
140360,162
140368,564
140372,391
140376,121
140384,325
140386,1433
140388,144
140390,748
140392,136
140396,284
150304,427
150308,530
150310,415
150312,306
150350,184
160304,76
160306,426
160308,443
160309,25
160310,278
160311,669
160313,528
160314,852
160316,106
160317,256
160318,513
160322,577
160324,706
160326,407
160332,291
160343,50
160344,1145
160352,801
170316,766
170334,350
170338,577
170339,330
170342,276
170344,175
180302,680
180304,686
180308,850
180312,311
180316,603
180320,865
180323,18
180324,436
180325,414
180326,456
180332,411
180336,518
180340,888
180342,516
180343,501
180344,485
180346,471
180348,834
180352,404
180356,712
180360,548
180364,494
180368,515
180372,641
180376,1165
180379,537
180380,521
180388,426
181312,578
181316,445
181318,154
181322,1043
181326,391
181332,327
181336,342
181342,323
181344,484
182304,62
182316,704
182321,678
182322,440
182324,366
182328,485
182700,219
190304,176
190308,315
190310,17
190312,599
190316,413
190328,467
190332,246
190336,829
190339,683
190340,277
190341,563
190342,1399
190346,802
190348,493
190350,649
190352,344
190370,510
190501,64
200304,315
200308,210
200310,254
200312,158
200314,180
200320,185
200322,61
200324,441
200328,479
200330,325
200332,122
200336,275
200350,145
210304,458
210306,479
210312,586
210316,436
220308,472
220310,370
220312,433
230304,429
230308,527
230312,944
230316,767
230320,244
230322,217
230324,1149
230328,931
230330,134
230334,215
230336,493
230340,489
230342,205
230344,306
230346,300
230348,376
230350,1182
230351,674
230352,652
230355,254
230357,257
230359,88
230361,888
230362,442
230364,521
230368,598
230370,393
230376,382
230380,315
240304,131
240308,292
240328,321
240332,244
240334,426
240344,345
240352,115
240354,318
240356,207
240368,201
240370,231
240371,759
240372,364
240373,333
240376,192
240380,428
240388,649
241304,481
241308,533
241312,34
241316,693
241320,487
250304,445
250306,435
250308,357
250312,607
250314,218
250316,519
250320,588
250321,188
250324,590
250328,282
250332,851
250336,327
250340,1012
250344,403
250348,293
250350,415
250356,1666
250360,403
250362,345
250364,438
250368,549
250372,936
250376,756
250378,394
250380,629
260302,293
260306,423
260308,201
260310,507
260312,93
260316,233
260318,1952
260320,462
260321,553
260322,1088
260325,1436
260326,608
260332,383
260336,459
260338,646
260340,485
260342,482
260344,207
260347,260
260348,616
260352,345
260354,285
260356,252
260357,1437
260358,561
260359,903
260361,256
260362,1138
260363,238
260364,682
260365,725
260366,690
260367,781
260368,543
260369,1088
260370,679
260371,293
260372,631
260373,997
260374,127
260375,414
260380,455
260382,448
260383,1153
260386,275
260388,268
260396,448
260397,937
260398,558
260400,425
260401,560
260402,391
260403,705
260404,403
260405,265
260406,807
260407,730
260408,1586
260410,406
260411,271
260412,232
260413,14
260414,605
260415,667
260416,259
260417,395
260418,459
260419,343
260424,1403
260425,665
260426,336
260427,1631
260428,498
260430,309
260432,166
260434,943
260440,342
260444,248
260446,1180
260448,602
260449,53
260450,354
260452,542
260454,755
260455,1094
260459,308
260700,248
270304,197
270306,987
270308,369
270309,260
270310,531
270311,285
270312,78
270316,524
270318,585
270320,252
280302,305
280304,334
280306,33
280308,445
280310,549
280312,647
280316,540
280320,453
280324,317
280328,689
280330,847
290302,290
290306,504
290307,368
290308,917
290309,790
290310,93
290312,398
290314,96
290315,123
290316,462
290320,351
290322,679
290324,848
290328,531
290330,480
290332,507
290333,473
290334,711
290336,1002
290344,511
290348,1114
290349,728
290350,714
290351,689
290352,373
290356,305
290364,250
290365,374
290366,601
290367,278
290375,350
290376,631
290380,845
290384,542
290388,746
290389,178
291308,374
291332,738
291336,803
291340,390
291348,220
291350,39
291352,423
292316,375
292318,731
292320,508
292324,661
300306,16
300308,436
300310,347
300312,1760
300314,175
300320,569
300325,469
300326,514
300328,491
300330,520
300336,365
300337,467
310304,907
310308,875
310330,500
310336,778
310338,210
310344,946
310352,665
310356,583
310360,701
310364,508
310384,1130
310388,1117
310392,624
320304,662
320306,512
320308,355
320309,393
320310,507
320312,1891
320313,505
320314,605
320315,450
320316,926
320317,346
320318,462
320319,855
320320,638
320322,182
320323,1777
320324,593
320325,1319
320327,655
320328,652
320332,757
320336,9
320338,453
320339,389
320340,496
320341,22
320342,292
320343,509
320344,264
320346,626
320347,341
320348,323
320352,617
320353,188
320354,223
320355,787
320356,1470
320360,539
320362,549
320363,494
320364,798
320365,1721
320366,995
320367,330
320368,1217
320369,553
320370,636
320372,605
320374,246
320376,595
320388,432
320400,312
320701,340
330304,694
330308,653
330312,279
330326,182
330328,225
330332,129
330334,188
330340,372
330344,292
330348,336
330350,838
330354,488
330358,563
330360,603
340308,416
340311,1019
340314,418
340320,533
340326,761
340330,571
340334,682
340336,185
340344,46
340348,789
340350,1196
340351,220
340354,397
340362,270
340364,1758
340366,743
340368,508
340372,854
340376,594
340380,624
340382,1455
340384,601
340385,26
340390,648
340392,818
340398,2
340400,480
340403,552
340406,1252
340416,789
340420,735
340424,223
340426,847
340427,80
340428,592
340430,452
340432,594
340436,122
340440,837
340442,1176
340446,75
340448,606
340452,397
340453,582
340454,1518
340457,745
340460,972
340462,478
340464,938
340472,486
340476,550
340480,830
340486,1417
340488,358
340490,406
340492,475
340494,604
340495,2047
340496,1727
340504,648
340508,662
340512,676
340514,628
340516,1163
340520,482
340528,624
340530,696
340531,20
340532,541
340536,817
340540,737
340542,709
340544,712
340548,725
340556,2377
340560,604
340564,627
340568,372
350304,578
350308,857
350310,659
350312,612
350316,535
350317,189
350318,432
350321,1115
350324,228
350330,275
350331,402
350332,456
350336,541
350338,451
350339,433
350340,398
360310,1285
360320,725
360324,710
360332,432
360336,611
360337,237
360338,471
360339,204
360340,560
360344,690
360348,322
360352,411
360360,514
360364,388
360372,144
360376,413
360378,1039
360380,825
360390,874
360392,449
360394,155
360396,1145
360400,579
360408,697
360418,551
360420,349
360426,790
360428,1060
360430,342
360431,416
360432,398
360436,553
360438,426
360440,526
360448,158
360456,659
360464,492
360468,374
360470,1065
360478,507
360480,888
360482,611
360488,401
360490,615
360492,610
360494,999
360498,835
360499,396
360500,653
360504,322
360510,554
360514,668
360520,567
360526,395
360550,73
370304,259
370308,416
370312,488
370316,279
370324,220
380306,568
380308,363
380310,187
390309,470
390311,469
390312,360
390314,20
390316,333
390320,572
390321,132
390322,671
390323,211
390324,480
390331,247
390333,348
390334,407
390336,193
390352,740
390360,355
390362,417
390364,452
390368,295
390700,224
400308,753
400312,708
400315,158
400318,458
400321,365
400332,480
410304,507
410307,396
410310,445
410311,407
410313,742
410316,737
410319,701
410322,413
410325,611
410326,114
410328,466
410331,274
410334,520
410337,364
410340,369
410341,244
410343,605
410346,625
410349,483
410355,1355
410358,1300
410361,218
410364,419
410366,580
410367,719
410370,671
410373,350
410376,337
410379,58
410382,497
410385,230
410388,519
410390,130
410391,618
410394,1691
410395,199
410397,712
410398,225
410399,145
410400,539
410401,240
410402,678
410403,130
410406,1339
410407,126
410408,145
410409,512
410412,577
410415,467
410418,426
410421,1124
410423,705
410424,528
410427,443
410430,687
410436,278
410437,739
410439,298
410442,988
410448,673
410451,484
410454,227
410457,85
410458,90
410460,1051
410461,316
410462,533
410463,738
410464,74
410466,511
410469,572
410472,589
410478,278
410481,262
410483,126
410484,952
410486,689
410487,729
410488,847
410489,1344
410490,2123
410491,749
410493,1095
410496,498
410499,464
410502,739
410505,489
410508,1789
410511,305
410514,249
410517,174
410522,611
410523,417
410529,1386
410530,426
410532,703
410533,15
410534,11
410535,455
410538,504
410541,380
410542,574
410544,1305
410545,187
410547,1289
410550,982
410553,281
410556,1035
410559,920
410562,1588
410565,1250
410568,411
410569,181
410571,539
410574,685
410577,641
410578,437
410579,204
410580,505
410583,253
410586,334
410589,333
410592,434
410595,1183
410598,294
420304,211
420316,214
420324,239
420328,256
