agency_code,pct_ap_pass_ap,pct_ap_participation_ap
00A000,0.3333333333,0.0200956938
00B000,0.7142857143000001,0.012797075
010324,0.4514563107,0.1729638959
010348,0.1666666667,0.1471389646
010360,0.0476190476,0.0678148547
010388,0.412371134,0.1385714286
010396,0.4540229885,0.1528998243
010400,0.5924528302000001,0.2370304114
01B000,0.5,0.1855670103
01C000,0.4285714286,0.0368421053
01D000,0.9166666667,0.238410596
020302,0.6538461538,0.131092437
040306,1.0,0.0014492754
050302,0.523364486,0.1266272189
060302,0.5890410959000001,0.1746411483
060700,0.0,0.0117647059
070330,0.2222222222,0.0228426396
070339,0.1176470588,0.0426065163
070342,0.2222222222,0.1466821886
090330,0.0,0.0015797788
090368,0.3181818182,0.0646108664
100326,0.5857142857,0.0646352724
100334,0.7345132743,0.1119920714
100348,0.4955752212,0.08176555719999999
110304,0.6861924686,0.1996658312
110323,1.0,0.02
110336,0.6571428571,0.0964187328
110340,0.2179487179,0.0698299015
110352,0.4619883041,0.1641074856
110380,0.5693779904,0.2055063913
110416,0.5755208333,0.2646450724
110500,0.5932203389999999,0.1540469974
111302,0.7526132404000001,0.2967942089
111700,0.5702479339000001,0.3558823529
11C000,0.36,0.1953125
11D000,0.5,0.2384615385
120314,0.375,0.103286385
120318,0.6225165563,0.1326889279
120346,0.5147058824,0.1125827815
120370,0.3723849372,0.2950617284
130307,0.6025369979,0.255399568
130310,0.4955752212,0.14125
130314,0.5918367347,0.122909699
130316,0.5700934579,0.17412530510000002
130324,0.4,0.1071428571
130326,0.4837398374,0.1932443048
130332,0.6901840491,0.1938168847
132304,0.5107913668999999,0.088704531
13A000,0.0,0.0048309179
13B000,0.0,0.0166666667
140348,0.53125,0.075739645
140386,0.4097222222,0.1046511628
140390,0.16,0.0352112676
150304,0.3513513514,0.08872901679999999
160313,0.8823529412000001,0.0339321357
160314,0.8429752065999999,0.1491985203
160344,0.7959183673000001,0.0904059041
170316,0.24,0.1021798365
180308,0.4588235294,0.2043269231
180320,0.4507042254,0.0851318945
180325,1.0,0.0024449878
180340,0.5666666667,0.1033295063
180348,0.3028169014,0.1740196078
180376,0.5578231293,0.12962962960000002
181322,0.3114035088,0.2244094488
182316,0.4,0.1169590643
182700,0.4597701149,0.4027777778
190310,1.0,0.0769230769
190316,0.1395348837,0.1064356436
190336,0.5628742515,0.2039072039
190342,0.6458333333,0.1749271137
19A000,1.0,0.0051282051
19B000,0.8288288288,0.6098901099
200308,0.0,0.009569378
200328,0.34375,0.067940552
210312,0.3421052632,0.0666666667
220310,1.0,0.0110497238
230312,0.3879310345000001,0.1274725275
230324,0.5132075472,0.2385238524
230350,0.5795454545000001,0.1550660793
230361,0.4424242424,0.1934349355
23A000,0.3529411765,0.3119266055
240334,0.0666666667,0.0715990453
240371,0.1509433962,0.0732044199
240380,0.2432432432,0.0895883777
241316,0.75,0.0118518519
250340,0.2317880795,0.1563146998
250356,0.4127906977,0.107165109
250372,0.3,0.0579374276
260318,0.4989473684,0.2501316482
260322,0.1590909091,0.0428015564
260325,0.4814814815,0.13725490199999998
260357,0.2467532468,0.1652360515
260359,0.1408450704,0.080407701
260388,0.3888888889,0.2790697674
260408,0.3913043478,0.1364535267
260411,0.2173913043,0.08846153849999999
260424,0.064516129,0.0228951256
260427,0.3448275862,0.0184831103
260446,0.3430420712,0.2703412073
260455,0.0,0.0190294957
270306,0.4220183486,0.1133056133
280304,0.5555555556,0.1034482759
280316,0.3609022556,0.2533333333
280330,0.578680203,0.238210399
290308,0.314516129,0.1418764302
290324,0.7142857143000001,0.08474576269999999
290336,0.6104651163,0.17533129460000002
290348,0.6459143969,0.2390697674
290349,0.7272727273,0.1066481994
290365,0.3846153846,0.0710382514
290388,0.3956043956000001,0.1251719395
291336,0.28358208960000003,0.1698352345
292324,0.1388888889,0.1121495327
300312,0.5192878338,0.1960442118
310344,0.3857142857,0.0756756757
310364,0.4166666667,0.0383386581
310392,0.2307692308,0.0646766169
320312,0.71886121,0.3015021459
320314,0.15517241380000002,0.1926910299
320317,0.4925373134,0.3941176471
320323,0.8389610390000001,0.35191956119999995
320325,0.13414634150000002,0.1271317829
320356,0.2857142857,0.2230878187
