agency_code,dance_cat_arts,music_cat_arts,theatre_cat_arts,va_cat_arts
00A000,N,Y,N,Y
00B000,N,Y,N,Y
010303,N,Y,Y,Y
010304,N,Y,N,Y
010308,N,Y,N,Y
010310,N,Y,N,Y
010311,N,Y,N,N
010312,N,Y,N,Y
010320,N,Y,N,Y
010324,Y,Y,Y,Y
010326,N,Y,N,Y
010328,N,Y,N,Y
010340,N,Y,N,Y
010346,N,Y,N,Y
010347,Y,Y,N,Y
010348,Y,Y,Y,Y
010350,N,Y,N,Y
010351,N,Y,N,Y
010353,N,Y,N,Y
010354,N,Y,N,Y
010357,N,Y,N,Y
010358,N,Y,N,Y
010360,Y,Y,Y,Y
010362,N,Y,N,Y
010364,N,Y,Y,Y
010372,N,Y,N,Y
010374,N,Y,N,Y
010378,N,N,N,Y
010380,N,Y,N,Y
010384,N,Y,N,Y
010388,Y,Y,N,Y
010390,N,Y,N,Y
010392,Y,Y,Y,Y
010394,N,Y,Y,Y
010396,N,Y,N,Y
010400,Y,Y,Y,Y
010403,N,Y,N,Y
010406,N,Y,Y,Y
01B000,Y,Y,Y,Y
01C000,Y,Y,N,Y
01D000,N,Y,Y,Y
020302,N,Y,N,Y
020303,N,N,Y,Y
020304,N,Y,N,N
020306,N,Y,N,Y
020308,N,Y,N,N
020316,N,Y,N,N
020320,N,Y,N,N
020324,N,Y,N,N
020328,N,Y,N,N
020330,N,Y,N,Y
020332,N,Y,N,N
030304,N,Y,Y,Y
030320,N,Y,N,Y
040304,N,Y,N,Y
040305,N,Y,N,Y
040306,N,Y,N,Y
040309,N,Y,N,N
040311,N,Y,N,N
050302,N,Y,Y,Y
050303,N,Y,N,Y
050305,N,Y,N,Y
050310,N,Y,N,Y
050330,N,Y,N,Y
050335,N,Y,N,Y
060302,N,Y,Y,Y
060304,N,Y,N,Y
060310,N,Y,Y,Y
060316,N,Y,N,Y
060318,N,Y,N,Y
060322,N,Y,N,Y
060328,N,Y,N,Y
060332,N,Y,N,Y
06B000,N,Y,N,Y
070302,N,Y,N,Y
070308,Y,Y,N,Y
070325,N,Y,N,Y
070326,N,Y,N,Y
070327,N,Y,N,Y
070328,N,Y,N,Y
070329,N,Y,N,Y
070330,Y,Y,N,Y
070338,N,Y,N,Y
070339,N,Y,N,Y
070340,N,Y,N,Y
070342,N,Y,Y,Y
07A000,N,Y,N,Y
080311,N,Y,N,Y
080312,N,Y,N,Y
080314,N,Y,N,N
080362,N,Y,N,N
090315,N,Y,N,N
090317,N,Y,N,Y
090318,N,Y,N,Y
090320,N,Y,N,Y
090324,N,Y,N,Y
090328,N,Y,N,Y
090330,N,Y,N,Y
090332,N,Y,N,Y
090333,N,Y,N,Y
090352,N,Y,N,Y
090365,N,Y,N,Y
090368,N,Y,N,Y
09A000,N,Y,N,N
09B000,N,Y,N,Y
100302,N,Y,N,Y
100304,N,Y,N,Y
100307,Y,Y,N,Y
100308,N,N,N,Y
100309,N,Y,N,Y
100310,N,Y,N,Y
100316,N,Y,N,Y
100320,N,Y,N,Y
100326,Y,Y,Y,Y
100332,N,Y,N,Y
100334,Y,Y,Y,Y
100335,N,Y,N,Y
100336,N,Y,N,Y
100338,N,Y,N,Y
100339,N,Y,N,Y
100340,N,Y,N,Y
100342,N,Y,N,Y
100344,N,Y,N,Y
100348,Y,Y,Y,Y
10A000,N,Y,N,Y
110304,N,Y,Y,Y
110306,N,Y,N,Y
110308,N,Y,N,Y
110318,N,Y,N,Y
110320,N,Y,N,Y
110324,N,Y,N,Y
110326,N,Y,Y,Y
110332,N,Y,N,Y
110336,Y,Y,Y,Y
110338,N,Y,N,Y
110340,Y,Y,N,Y
110342,N,Y,N,Y
110348,N,Y,N,Y
110352,Y,Y,Y,Y
110356,N,Y,N,Y
110366,N,Y,N,Y
110368,N,Y,N,Y
110370,N,Y,N,Y
110372,N,Y,N,Y
110376,N,Y,N,Y
110379,N,Y,N,Y
110380,Y,Y,Y,Y
110381,N,Y,N,Y
110382,N,Y,N,Y
110384,N,Y,N,Y
110388,N,Y,N,Y
110401,N,Y,N,Y
110408,N,Y,N,Y
110410,N,Y,N,Y
110412,N,Y,N,Y
110416,Y,Y,Y,Y
110420,N,Y,Y,Y
110422,N,Y,N,Y
110425,N,Y,N,Y
110428,N,Y,N,Y
110432,N,Y,N,Y
110436,N,Y,N,Y
110444,N,Y,N,Y
110450,N,Y,Y,Y
110451,N,Y,N,Y
110500,N,Y,N,Y
111302,Y,Y,Y,Y
111304,N,Y,N,Y
111306,N,Y,N,Y
111307,N,Y,N,Y
111312,N,Y,Y,Y
111332,N,Y,N,Y
111356,N,Y,Y,Y
111360,N,Y,N,Y
111369,N,Y,N,Y
11A000,N,Y,N,Y
11C000,N,Y,Y,Y
11D000,N,Y,Y,Y
120310,N,Y,Y,Y
120312,N,Y,N,N
120314,Y,Y,N,Y
120315,N,Y,N,Y
120316,N,Y,N,N
120318,Y,Y,N,Y
120320,N,Y,N,N
120324,N,Y,N,N
120334,N,Y,N,Y
120338,N,Y,N,N
120340,N,Y,N,N
120344,N,Y,N,N
120346,Y,Y,N,Y
120350,N,Y,N,Y
120354,N,Y,N,Y
120360,N,Y,N,N
120364,N,Y,N,N
120368,N,Y,N,Y
120370,Y,Y,Y,Y
120374,N,Y,N,N
120376,N,Y,N,Y
120380,N,Y,N,N
120386,N,Y,N,N
120390,N,Y,N,Y
12A000,N,N,N,Y
130304,N,Y,N,Y
130307,Y,Y,Y,Y
130308,N,Y,N,Y
130309,N,Y,N,Y
130310,N,Y,Y,Y
130311,N,Y,N,Y
130312,N,Y,N,Y
130313,Y,Y,N,Y
130314,N,Y,Y,Y
130315,N,Y,N,Y
130316,N,Y,Y,Y
130318,N,Y,N,Y
130319,N,Y,N,Y
130320,N,Y,N,Y
130321,N,Y,N,Y
130322,N,Y,N,Y
130323,N,Y,Y,Y
130324,N,Y,Y,Y
130325,N,Y,N,Y
130326,N,Y,Y,Y
130327,N,Y,Y,Y
130328,N,Y,N,Y
130329,N,Y,N,Y
130330,N,Y,N,Y
130331,N,Y,N,Y
130332,N,Y,Y,Y
130333,N,Y,N,Y
130336,N,Y,N,Y
