agency_code,pct_enrolled_am7_charter,pct_enrolled_as7_charter,pct_enrolled_bl7_charter,pct_enrolled_eds_charter,pct_enrolled_els_charter,pct_enrolled_hi7_charter,pct_enrolled_mu7_charter,pct_enrolled_pi7_charter,pct_enrolled_swd_charter,pct_enrolled_wh7_charter
00A000,5.0,5.0,19.6,8.7,5.0,13.7,16.2,5.0,13.5,47.8
00B000,5.0,5.0,23.8,13.7,5.0,11.2,10.2,5.0,14.0,52.1
010000,5.0,5.0,23.8,45.6,9.3,27.3,5.3,5.0,13.1,41.7
01B000,5.0,5.0,12.5,5.0,5.0,9.6,5.4,5.0,9.4,70.5
01C000,5.0,5.0,5.0,5.0,5.0,5.8,5.0,5.0,12.7,87.3
01D000,5.0,5.0,5.0,5.0,5.0,8.3,8.9,5.0,13.9,79.1
060000,5.0,5.0,5.0,49.9,6.6,12.9,5.0,5.0,18.4,82.3
06A000,5.0,5.0,22.6,25.8,5.0,12.9,12.9,5.0,32.3,51.6
06B000,5.0,5.0,5.0,67.5,5.0,12.8,9.4,5.0,25.6,73.5
070000,5.0,5.0,31.8,51.7,5.7,16.6,5.0,5.0,15.4,46.0
07A000,5.0,5.0,5.0,5.0,5.0,5.5,7.5,5.0,13.7,82.5
080000,5.0,5.0,79.5,53.7,5.0,5.0,5.0,5.0,13.7,12.3
08A000,5.0,5.0,80.5,25.3,5.0,8.0,6.9,5.0,17.2,5.0
090000,5.0,5.0,36.1,69.2,7.1,20.7,5.8,5.0,12.4,35.2
09A000,8.0,5.0,60.0,24.0,5.0,6.0,8.7,5.0,17.3,17.3
09B000,5.0,5.0,16.8,17.7,5.0,5.0,6.8,5.0,13.8,70.1
100000,5.0,5.0,14.0,57.2,5.0,15.0,6.8,5.0,14.2,62.8
10A000,5.0,5.0,9.5,5.8,5.0,7.3,7.4,5.0,11.7,73.8
10B000,5.0,5.0,5.3,5.0,5.0,5.3,8.3,5.0,8.5,79.6
110000,5.0,5.0,6.8,43.6,7.3,18.3,7.1,5.0,14.6,65.9
111000,5.0,5.0,18.5,31.0,5.0,8.6,8.3,5.0,11.9,62.6
11A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.5,92.1
11B000,5.0,5.0,5.0,5.0,5.0,8.5,8.0,5.0,16.3,80.7
11C000,5.0,5.0,5.0,5.0,5.0,8.7,9.1,5.0,12.7,78.8
11D000,5.0,5.0,5.0,9.3,5.0,5.0,9.3,5.0,16.1,83.2
11K000,5.0,5.0,23.3,5.0,5.0,10.0,6.7,5.0,15.0,56.7
120000,5.0,5.9,5.0,52.8,8.3,17.3,5.5,5.0,15.5,66.6
12A000,5.0,5.0,5.0,5.6,5.0,5.0,6.2,5.0,12.9,83.3
130000,5.0,6.4,20.7,31.0,6.8,17.9,6.2,5.0,11.0,48.4
13A000,5.0,5.7,31.3,5.0,5.0,17.3,10.3,5.0,10.1,34.6
13B000,5.0,5.0,41.1,34.0,5.0,16.3,8.1,5.0,12.3,31.5
13C000,5.0,5.0,74.4,48.5,5.0,14.2,8.0,5.0,11.7,5.0
13D000,5.0,5.0,40.3,39.9,5.0,15.1,6.0,5.0,8.4,37.7
160000,5.0,5.0,5.6,48.3,5.0,9.8,6.7,5.0,12.6,76.2
16B000,5.0,5.0,5.0,5.0,5.0,5.8,8.7,5.0,10.7,82.0
190000,5.0,5.0,11.1,43.3,11.2,31.7,5.0,5.0,13.1,50.7
19A000,5.0,5.0,9.5,5.0,5.0,5.9,5.9,5.0,8.1,78.7
19B000,5.0,5.0,5.0,5.0,5.0,9.1,5.0,5.0,14.6,78.2
19C000,5.0,5.0,5.0,5.0,5.0,6.0,6.9,5.0,17.6,80.1
200000,5.0,5.0,5.0,40.1,5.0,6.8,6.2,5.0,17.3,83.4
20A000,5.0,5.0,5.0,33.9,5.0,6.0,6.6,5.0,15.8,83.1
230000,5.0,5.0,26.5,49.8,5.0,6.5,7.7,5.0,15.0,58.5
23A000,5.0,5.0,9.0,5.0,5.0,5.4,5.7,5.0,7.4,78.4
240000,5.0,5.0,28.3,66.6,5.0,12.3,5.0,5.0,12.8,50.9
241000,5.0,5.0,41.7,72.0,5.0,11.7,7.8,5.0,13.3,37.3
24B000,5.0,5.0,28.9,41.1,5.0,5.0,13.3,5.0,22.2,51.1
24N000,7.0,5.0,23.4,63.2,5.0,5.4,8.1,5.0,13.2,55.0
260000,5.0,5.0,44.3,52.5,5.0,14.1,9.7,5.0,13.7,28.0
26B000,5.0,5.0,58.0,12.5,5.0,16.7,11.1,5.0,7.4,11.9
26C000,5.0,5.0,38.4,49.9,5.0,11.9,14.0,5.0,13.1,34.9
270000,5.0,5.0,5.0,26.1,5.0,6.8,9.6,5.0,12.4,78.6
