agency_code,count_all_chron_absent,count_am7_chron_absent,count_as7_chron_absent,count_bl7_chron_absent,count_els_chron_absent,count_fem_chron_absent,count_hi7_chron_absent,count_male_chron_absent,count_mu7_chron_absent,count_pi7_chron_absent,count_swd_chron_absent,count_wh7_chron_absent,pct_all_chron_absent,pct_am7_chron_absent,pct_as7_chron_absent,pct_bl7_chron_absent,pct_els_chron_absent,pct_fem_chron_absent,pct_hi7_chron_absent,pct_male_chron_absent,pct_mu7_chron_absent,pct_pi7_chron_absent,pct_swd_chron_absent,pct_wh7_chron_absent
010303,1.0,,,,,1.0,,,,,,1.0,0.0044,,,,,0.0044,,,,,,0.0044
010304,48.0,,,4.0,5.0,23.0,8.0,25.0,5.0,,5.0,31.0,0.0793,,,0.0066,0.0082,0.038,0.0132,0.0413,0.0082,,0.0082,0.0512
010308,85.0,,,10.0,7.0,42.0,17.0,43.0,1.0,,14.0,57.0,0.1386,,,0.0163,0.0114,0.0685,0.0277,0.0701,0.0016,,0.0228,0.0929
010310,200.0,,,98.0,28.0,107.0,75.0,93.0,10.0,,48.0,17.0,0.2638,,,0.1292,0.0369,0.1411,0.0989,0.1226,0.0131,,0.0633,0.0224
010312,111.0,,6.0,31.0,16.0,51.0,34.0,60.0,5.0,,24.0,35.0,0.1512,,0.0081,0.0422,0.0217,0.0694,0.0463,0.0817,0.0068,,0.0326,0.0476
010320,44.0,,,12.0,2.0,20.0,3.0,24.0,5.0,,11.0,24.0,0.1189,,,0.0324,0.0054,0.054000000000000006,0.0081,0.0648,0.0135,,0.0297,0.0648
010324,348.0,1.0,,67.0,23.0,163.0,79.0,185.0,24.0,1.0,55.0,176.0,0.2921,0.0008,,0.0562,0.0193,0.1368,0.0663,0.1553,0.0201,0.0008,0.0461,0.1477
010326,152.0,1.0,,82.0,28.0,75.0,47.0,77.0,4.0,,21.0,18.0,0.2567,0.0016,,0.1385,0.0472,0.1266,0.0793,0.13,0.0067,,0.0354,0.0304
010328,60.0,,,1.0,2.0,29.0,6.0,31.0,1.0,,17.0,52.0,0.1119,,,0.0018,0.0037,0.0541,0.0111,0.0578,0.0018,,0.0317,0.097
010340,105.0,,,13.0,12.0,56.0,23.0,49.0,6.0,,7.0,63.0,0.1444,,,0.0178,0.0165,0.077,0.0316,0.0674,0.0082,,0.0096,0.0866
010346,54.0,,1.0,4.0,7.0,23.0,10.0,31.0,5.0,,5.0,34.0,0.1432,,0.0026,0.0106,0.0185,0.061,0.0265,0.0822,0.0132,,0.0132,0.0901
010347,97.0,,,19.0,11.0,45.0,21.0,52.0,8.0,,22.0,49.0,0.1592,,,0.0311,0.018000000000000002,0.0738,0.0344,0.0853,0.0131,,0.0361,0.0804
010348,253.0,,2.0,60.0,27.0,124.0,123.0,129.0,11.0,,55.0,57.0,0.3446,,0.0027,0.0817,0.0367,0.1689,0.1675,0.1757,0.0149,,0.0749,0.0776
010350,195.0,,1.0,65.0,29.0,92.0,66.0,103.0,7.0,,41.0,56.0,0.2781,,0.0014,0.0927,0.0413,0.1312,0.0941,0.1469,0.0099,,0.0584,0.0798
010351,94.0,,2.0,52.0,6.0,39.0,13.0,55.0,9.0,,13.0,18.0,0.2034,,0.0043,0.1125,0.0129,0.0844,0.0281,0.119,0.0194,,0.0281,0.0389
