agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
00B000,,1.0,20.0,1.0,,,15.0,1.0,5.0,4.0,,0.0,13.0,,0.0,16.0,3.0,,,11.0,2.0,5.0,3.0,,2.0,8.0,,,0.5555555556,,,,0.5769230769,,,,,0.6190476189999999,,,0.05,,,,0.05,,,,,
010303,1.0,,16.0,2.0,3.0,,15.0,2.0,1.0,1.0,,,10.0,0.0,,3.0,1.0,2.0,,2.0,0.0,1.0,1.0,,,1.0,,,0.8421052631999999,,,,0.8823529412000001,,,,,0.9090909091,,,,,,,,,,,,
010324,,1.0,183.0,40.0,38.0,1.0,85.0,20.0,98.0,9.0,0.0,10.0,113.0,,1.0,106.0,27.0,45.0,3.0,37.0,16.0,69.0,2.0,1.0,30.0,59.0,,,0.6332179931,0.5970149254,0.4578313253,,0.6967213115,0.5555555556,0.5868263472999999,,0.25,0.6569767442,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
010348,,3.0,75.0,25.0,48.0,2.0,41.0,28.0,34.0,5.0,,4.0,14.0,,1.0,94.0,26.0,62.0,5.0,40.0,45.0,54.0,5.0,,13.0,17.0,,,0.4437869822,0.4901960784,0.4363636364,,0.5061728395,0.3835616438,0.3863636364,,,0.4516129032,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
010360,1.0,2.0,75.0,32.0,58.0,1.0,52.0,33.0,23.0,4.0,,5.0,3.0,0.0,1.0,123.0,41.0,81.0,20.0,45.0,69.0,78.0,4.0,,19.0,8.0,,,0.3787878788,0.4383561644,0.4172661871,,0.5360824742,0.3235294118,0.2277227723,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,
010378,,,1.0,0.0,0.0,,,,1.0,,,0.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
010388,1.0,3.0,205.0,9.0,37.0,2.0,119.0,18.0,86.0,6.0,,7.0,168.0,0.0,1.0,143.0,15.0,54.0,6.0,62.0,31.0,81.0,5.0,,18.0,91.0,,,0.5890804598,,0.4065934066,,0.6574585635,0.3673469388,0.5149700599,,,0.6486486486,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
010396,0.0,7.0,153.0,44.0,66.0,2.0,81.0,32.0,72.0,6.0,,10.0,64.0,1.0,2.0,125.0,54.0,85.0,8.0,50.0,37.0,75.0,6.0,,23.0,25.0,,,0.5503597122,0.4489795918,0.4370860927,,0.6183206107,0.4637681159000001,0.4897959184,,0.303030303,0.7191011236,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
010400,,5.0,205.0,26.0,28.0,2.0,99.0,12.0,106.0,5.0,0.0,7.0,157.0,,0.0,113.0,18.0,50.0,5.0,41.0,20.0,72.0,6.0,2.0,21.0,67.0,,,0.6446540881,0.5909090909,0.358974359,,0.7071428570999999,0.375,0.595505618,,,0.7008928570999999,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
01B000,,,21.0,2.0,,,12.0,1.0,9.0,1.0,,3.0,17.0,,,12.0,1.0,,,9.0,0.0,3.0,0.0,,2.0,11.0,,,0.6363636364,,,,0.5714285714,,,,,0.6071428571,,,0.05,,,,,,,,,0.05
