agency_code,pct_ap_a_am7_course2,pct_ap_a_as7_course2,pct_ap_a_all_course2,pct_ap_a_bl7_course2,pct_ap_a_els_course2,pct_ap_a_fem_course2,pct_ap_a_hi7_course2,pct_ap_a_male_course2,pct_ap_a_mu7_course2,pct_ap_a_pi7_course2,pct_ap_a_swd_course2,pct_ap_a_wh7_course2,pct_ap_h_am7_course2,pct_ap_h_as7_course2,pct_ap_h_all_course2,pct_ap_h_bl7_course2,pct_ap_h_els_course2,pct_ap_h_fem_course2,pct_ap_h_hi7_course2,pct_ap_h_male_course2,pct_ap_h_mu7_course2,pct_ap_h_pi7_course2,pct_ap_h_swd_course2,pct_ap_h_wh7_course2,pct_ap_t_am7_course2,pct_ap_t_as7_course2,pct_ap_t_all_course2,pct_ap_t_bl7_course2,pct_ap_t_fem_course2,pct_ap_t_hi7_course2,pct_ap_t_male_course2,pct_ap_t_mu7_course2,pct_ap_t_pi7_course2,pct_ap_t_swd_course2,pct_ap_t_wh7_course2,pct_ccp_a_am7_course2,pct_ccp_a_as7_course2,pct_ccp_a_all_course2,pct_ccp_a_bl7_course2,pct_ccp_a_els_course2,pct_ccp_a_fem_course2,pct_ccp_a_hi7_course2,pct_ccp_a_male_course2,pct_ccp_a_mu7_course2,pct_ccp_a_pi7_course2,pct_ccp_a_swd_course2,pct_ccp_a_wh7_course2,pct_ccp_h_am7_course2,pct_ccp_h_as7_course2,pct_ccp_h_all_course2,pct_ccp_h_bl7_course2,pct_ccp_h_els_course2,pct_ccp_h_fem_course2,pct_ccp_h_hi7_course2,pct_ccp_h_male_course2,pct_ccp_h_mu7_course2,pct_ccp_h_pi7_course2,pct_ccp_h_swd_course2,pct_ccp_h_wh7_course2,pct_ccp_i_all_course2,pct_ccp_i_fem_course2,pct_ccp_i_hi7_course2,pct_ccp_t_am7_course2,pct_ccp_t_as7_course2,pct_ccp_t_all_course2,pct_ccp_t_bl7_course2,pct_ccp_t_els_course2,pct_ccp_t_fem_course2,pct_ccp_t_hi7_course2,pct_ccp_t_male_course2,pct_ccp_t_mu7_course2,pct_ccp_t_pi7_course2,pct_ccp_t_swd_course2,pct_ccp_t_wh7_course2,pct_ib_h_am7_course2,pct_ib_h_as7_course2,pct_ib_h_all_course2,pct_ib_h_bl7_course2,pct_ib_h_els_course2,pct_ib_h_fem_course2,pct_ib_h_hi7_course2,pct_ib_h_male_course2,pct_ib_h_mu7_course2,pct_ib_h_pi7_course2,pct_ib_h_swd_course2,pct_ib_h_wh7_course2,total_ap_a_am7_course2,total_ap_a_as7_course2,total_ap_a_all_course2,total_ap_a_bl7_course2,total_ap_a_els_course2,total_ap_a_fem_course2,total_ap_a_hi7_course2,total_ap_a_male_course2,total_ap_a_mu7_course2,total_ap_a_pi7_course2,total_ap_a_swd_course2,total_ap_a_wh7_course2,total_ap_h_am7_course2,total_ap_h_as7_course2,total_ap_h_all_course2,total_ap_h_bl7_course2,total_ap_h_els_course2,total_ap_h_fem_course2,total_ap_h_hi7_course2,total_ap_h_male_course2,total_ap_h_mu7_course2,total_ap_h_pi7_course2,total_ap_h_swd_course2,total_ap_h_wh7_course2,total_ap_t_am7_course2,total_ap_t_as7_course2,total_ap_t_all_course2,total_ap_t_bl7_course2,total_ap_t_fem_course2,total_ap_t_hi7_course2,total_ap_t_male_course2,total_ap_t_mu7_course2,total_ap_t_pi7_course2,total_ap_t_swd_course2,total_ap_t_wh7_course2,total_ccp_a_am7_course2,total_ccp_a_as7_course2,total_ccp_a_all_course2,total_ccp_a_bl7_course2,total_ccp_a_els_course2,total_ccp_a_fem_course2,total_ccp_a_hi7_course2,total_ccp_a_male_course2,total_ccp_a_mu7_course2,total_ccp_a_pi7_course2,total_ccp_a_swd_course2,total_ccp_a_wh7_course2,total_ccp_h_am7_course2,total_ccp_h_as7_course2,total_ccp_h_all_course2,total_ccp_h_bl7_course2,total_ccp_h_els_course2,total_ccp_h_fem_course2,total_ccp_h_hi7_course2,total_ccp_h_male_course2,total_ccp_h_mu7_course2,total_ccp_h_pi7_course2,total_ccp_h_swd_course2,total_ccp_h_wh7_course2,total_ccp_i_all_course2,total_ccp_i_fem_course2,total_ccp_i_hi7_course2,total_ccp_t_am7_course2,total_ccp_t_as7_course2,total_ccp_t_all_course2,total_ccp_t_bl7_course2,total_ccp_t_els_course2,total_ccp_t_fem_course2,total_ccp_t_hi7_course2,total_ccp_t_male_course2,total_ccp_t_mu7_course2,total_ccp_t_pi7_course2,total_ccp_t_swd_course2,total_ccp_t_wh7_course2,total_ib_h_am7_course2,total_ib_h_as7_course2,total_ib_h_all_course2,total_ib_h_bl7_course2,total_ib_h_els_course2,total_ib_h_fem_course2,total_ib_h_hi7_course2,total_ib_h_male_course2,total_ib_h_mu7_course2,total_ib_h_pi7_course2,total_ib_h_swd_course2,total_ib_h_wh7_course2,year_a_am7_course2,year_a_as7_course2,year_a_all_course2,year_a_bl7_course2,year_a_els_course2,year_a_fem_course2,year_a_hi7_course2,year_a_male_course2,year_a_mu7_course2,year_a_pi7_course2,year_a_swd_course2,year_a_wh7_course2,year_h_am7_course2,year_h_as7_course2,year_h_all_course2,year_h_bl7_course2,year_h_els_course2,year_h_fem_course2,year_h_hi7_course2,year_h_male_course2,year_h_mu7_course2,year_h_pi7_course2,year_h_swd_course2,year_h_wh7_course2,year_i_all_course2,year_i_fem_course2,year_i_hi7_course2,year_t_am7_course2,year_t_as7_course2,year_t_all_course2,year_t_bl7_course2,year_t_els_course2,year_t_fem_course2,year_t_hi7_course2,year_t_male_course2,year_t_mu7_course2,year_t_pi7_course2,year_t_swd_course2,year_t_wh7_course2
00A000,,3.23,100.0,25.81,,77.42,6.45,19.35,3.23,,,58.06,,,,,,,,,,,,,,,,,,,,,,,,,4.55,100.0,13.64,,86.36,4.55,13.64,,,4.55,77.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,8.0,,24.0,2.0,6.0,1.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,3.0,,19.0,1.0,3.0,,,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,40.0,,80.0,,20.0,20.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,4.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,,2019.0,,2019.0,2019.0,,,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.71,100.0,19.46,,58.37,28.05,41.63,4.98,,0.45,43.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,221.0,43.0,,129.0,62.0,92.0,11.0,,1.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,
010324,,,,,,,,,,,,,,2.02,100.0,5.05,0.51,37.37,6.06,22.73,2.02,,,44.95,,,,,,,,,,,,,,,,,,,,,,,,,1.33,100.0,21.73,2.44,43.02,14.63,56.98,5.32,0.44,13.08,56.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,198.0,10.0,1.0,74.0,12.0,45.0,4.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,451.0,98.0,11.0,194.0,66.0,257.0,24.0,2.0,59.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,
010348,,,,,,,,,,,,,,0.92,100.0,11.01,,28.44,18.35,13.76,2.75,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,1.45,100.0,23.91,7.97,28.26,52.17,71.74,3.62,,13.77,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,109.0,12.0,,31.0,20.0,15.0,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,138.0,33.0,11.0,39.0,72.0,99.0,5.0,,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,
010360,,,,,,,,,,,,,1.28,,100.0,25.64,,30.77,25.64,32.05,1.28,,,8.97,,,,,,,,,,,,,,,,,,,,,,,,0.52,1.05,100.0,31.94,10.47,64.4,53.93,35.6,3.14,,19.37,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,78.0,20.0,,24.0,20.0,25.0,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,191.0,61.0,20.0,123.0,103.0,68.0,6.0,,37.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,
010378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33.33,,16.67,16.67,83.33,16.67,,50.0,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,1.0,1.0,5.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010388,,,,,,,,,,,,,,1.57,100.0,0.79,,29.53,4.33,21.26,0.79,,0.39,43.31,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.52,100.0,5.54,1.38,45.33,11.76,54.67,2.6,,11.94,79.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,254.0,2.0,,75.0,11.0,54.0,2.0,,1.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,578.0,32.0,8.0,262.0,68.0,316.0,15.0,,69.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,2019.0,2019.0,,,,,,,,,,,,,,,
010396,,,,,,,,,,,,,,3.68,100.0,6.25,0.37,30.15,9.56,27.57,2.57,,,35.66,,,,,,,,,,,,,,,,,,,,,,,,0.27,3.76,100.0,29.3,2.96,53.76,27.15,46.24,3.76,0.27,8.87,35.48,,,,,,,,,,,,,,,,,16.67,100.0,20.0,,43.33,16.67,56.67,3.33,,,43.33,,,,,,,,,,,,,,10.0,272.0,17.0,1.0,82.0,26.0,75.0,7.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,372.0,109.0,11.0,200.0,101.0,172.0,14.0,1.0,33.0,132.0,,,,,,,,,,,,,,,,,5.0,30.0,6.0,,13.0,5.0,17.0,1.0,,,13.0,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,
010400,,,,,,,,,,,,,,2.48,100.0,2.84,,31.91,4.61,22.34,1.77,,,42.55,,,,,,,,,,,,,,,,,,,,,,,,0.71,1.06,100.0,7.77,1.41,35.34,11.31,64.66,1.77,0.35,4.95,77.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,282.0,8.0,,90.0,13.0,63.0,5.0,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,283.0,22.0,4.0,100.0,32.0,183.0,5.0,1.0,14.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,
