agency_code,pct_ap_a_as7_courses2,pct_ap_a_bl7_courses2,pct_ap_a_fem_courses2,pct_ap_a_hi7_courses2,pct_ap_a_male_courses2,pct_ap_a_mu7_courses2,pct_ap_a_swd_courses2,pct_ap_a_wh7_courses2,pct_ap_h_am7_courses2,pct_ap_h_as7_courses2,pct_ap_h_bl7_courses2,pct_ap_h_els_courses2,pct_ap_h_fem_courses2,pct_ap_h_hi7_courses2,pct_ap_h_male_courses2,pct_ap_h_mu7_courses2,pct_ap_h_swd_courses2,pct_ap_h_wh7_courses2,pct_ap_t_as7_courses2,pct_ap_t_bl7_courses2,pct_ap_t_fem_courses2,pct_ap_t_hi7_courses2,pct_ap_t_male_courses2,pct_ap_t_mu7_courses2,pct_ap_t_wh7_courses2,pct_ccp_a_am7_courses2,pct_ccp_a_as7_courses2,pct_ccp_a_bl7_courses2,pct_ccp_a_els_courses2,pct_ccp_a_fem_courses2,pct_ccp_a_hi7_courses2,pct_ccp_a_male_courses2,pct_ccp_a_mu7_courses2,pct_ccp_a_swd_courses2,pct_ccp_a_wh7_courses2,pct_ccp_h_am7_courses2,pct_ccp_h_as7_courses2,pct_ccp_h_bl7_courses2,pct_ccp_h_els_courses2,pct_ccp_h_fem_courses2,pct_ccp_h_hi7_courses2,pct_ccp_h_male_courses2,pct_ccp_h_mu7_courses2,pct_ccp_h_swd_courses2,pct_ccp_h_wh7_courses2,pct_ccp_t_bl7_courses2,pct_ccp_t_els_courses2,pct_ccp_t_fem_courses2,pct_ccp_t_hi7_courses2,pct_ccp_t_male_courses2,pct_ccp_t_mu7_courses2,pct_ccp_t_swd_courses2,pct_ccp_t_wh7_courses2,pct_ib_h_as7_courses2,pct_ib_h_bl7_courses2,pct_ib_h_fem_courses2,pct_ib_h_hi7_courses2,pct_ib_h_male_courses2,pct_ib_h_mu7_courses2,pct_ib_h_wh7_courses2,tot_num_ap_a_am7_courses2,tot_num_ap_a_as7_courses2,tot_num_ap_a_bl7_courses2,tot_num_ap_a_els_courses2,tot_num_ap_a_fem_courses2,tot_num_ap_a_hi7_courses2,tot_num_ap_a_male_courses2,tot_num_ap_a_mu7_courses2,tot_num_ap_a_other_courses2,tot_num_ap_a_pi7_courses2,tot_num_ap_a_swd_courses2,tot_num_ap_a_wh7_courses2,tot_num_ap_h_am7_courses2,tot_num_ap_h_as7_courses2,tot_num_ap_h_bl7_courses2,tot_num_ap_h_els_courses2,tot_num_ap_h_fem_courses2,tot_num_ap_h_hi7_courses2,tot_num_ap_h_male_courses2,tot_num_ap_h_mu7_courses2,tot_num_ap_h_other_courses2,tot_num_ap_h_pi7_courses2,tot_num_ap_h_swd_courses2,tot_num_ap_h_wh7_courses2,tot_num_ap_t_am7_courses2,tot_num_ap_t_as7_courses2,tot_num_ap_t_bl7_courses2,tot_num_ap_t_els_courses2,tot_num_ap_t_fem_courses2,tot_num_ap_t_hi7_courses2,tot_num_ap_t_male_courses2,tot_num_ap_t_mu7_courses2,tot_num_ap_t_other_courses2,tot_num_ap_t_pi7_courses2,tot_num_ap_t_swd_courses2,tot_num_ap_t_wh7_courses2,tot_num_ccp_a_am7_courses2,tot_num_ccp_a_as7_courses2,tot_num_ccp_a_bl7_courses2,tot_num_ccp_a_els_courses2,tot_num_ccp_a_fem_courses2,tot_num_ccp_a_hi7_courses2,tot_num_ccp_a_male_courses2,tot_num_ccp_a_mu7_courses2,tot_num_ccp_a_other_courses2,tot_num_ccp_a_pi7_courses2,tot_num_ccp_a_swd_courses2,tot_num_ccp_a_wh7_courses2,tot_num_ccp_h_am7_courses2,tot_num_ccp_h_as7_courses2,tot_num_ccp_h_bl7_courses2,tot_num_ccp_h_els_courses2,tot_num_ccp_h_fem_courses2,tot_num_ccp_h_hi7_courses2,tot_num_ccp_h_male_courses2,tot_num_ccp_h_mu7_courses2,tot_num_ccp_h_other_courses2,tot_num_ccp_h_pi7_courses2,tot_num_ccp_h_swd_courses2,tot_num_ccp_h_wh7_courses2,tot_num_ccp_i_am7_courses2,tot_num_ccp_i_as7_courses2,tot_num_ccp_i_bl7_courses2,tot_num_ccp_i_els_courses2,tot_num_ccp_i_fem_courses2,tot_num_ccp_i_hi7_courses2,tot_num_ccp_i_male_courses2,tot_num_ccp_i_mu7_courses2,tot_num_ccp_i_other_courses2,tot_num_ccp_i_pi7_courses2,tot_num_ccp_i_swd_courses2,tot_num_ccp_i_wh7_courses2,tot_num_ccp_t_am7_courses2,tot_num_ccp_t_as7_courses2,tot_num_ccp_t_bl7_courses2,tot_num_ccp_t_els_courses2,tot_num_ccp_t_fem_courses2,tot_num_ccp_t_hi7_courses2,tot_num_ccp_t_male_courses2,tot_num_ccp_t_mu7_courses2,tot_num_ccp_t_other_courses2,tot_num_ccp_t_pi7_courses2,tot_num_ccp_t_swd_courses2,tot_num_ccp_t_wh7_courses2,tot_num_ib_h_am7_courses2,tot_num_ib_h_as7_courses2,tot_num_ib_h_bl7_courses2,tot_num_ib_h_els_courses2,tot_num_ib_h_fem_courses2,tot_num_ib_h_hi7_courses2,tot_num_ib_h_male_courses2,tot_num_ib_h_mu7_courses2,tot_num_ib_h_other_courses2,tot_num_ib_h_pi7_courses2,tot_num_ib_h_swd_courses2,tot_num_ib_h_wh7_courses2,year_a_am7_courses2,year_a_as7_courses2,year_a_bl7_courses2,year_a_els_courses2,year_a_fem_courses2,year_a_hi7_courses2,year_a_male_courses2,year_a_mu7_courses2,year_a_other_courses2,year_a_pi7_courses2,year_a_swd_courses2,year_a_wh7_courses2,year_h_am7_courses2,year_h_as7_courses2,year_h_bl7_courses2,year_h_els_courses2,year_h_fem_courses2,year_h_hi7_courses2,year_h_male_courses2,year_h_mu7_courses2,year_h_other_courses2,year_h_pi7_courses2,year_h_swd_courses2,year_h_wh7_courses2,year_i_am7_courses2,year_i_as7_courses2,year_i_bl7_courses2,year_i_els_courses2,year_i_fem_courses2,year_i_hi7_courses2,year_i_male_courses2,year_i_mu7_courses2,year_i_other_courses2,year_i_pi7_courses2,year_i_swd_courses2,year_i_wh7_courses2,year_t_am7_courses2,year_t_as7_courses2,year_t_bl7_courses2,year_t_els_courses2,year_t_fem_courses2,year_t_hi7_courses2,year_t_male_courses2,year_t_mu7_courses2,year_t_other_courses2,year_t_pi7_courses2,year_t_swd_courses2,year_t_wh7_courses2
00A000,,,72.41,,27.59,,,63.79,,,,,,,,,,,,,,,,,,,,,,86.36,,,,,77.27,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46,,58.37,28.05,41.63,5.0,,43.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010324,,,,,,,,,,,10.6,,58.99,7.83,41.01,5.53,,72.81,,,,,,,,,,,,,,,,,,,,21.73,5.0,43.02,14.63,56.98,5.32,13.08,56.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010348,,,,,,,,,,,18.1,,59.05,42.86,40.95,,,30.48,,,,,,,,,,,,,,,,,,,,23.91,7.97,28.26,52.17,71.74,,13.77,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010360,,,,,,,,,,,38.24,,55.88,47.06,44.12,,,,,,,,,,,,,,,,,,,,,,,31.94,10.47,64.4,53.93,35.6,,19.37,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010388,,,,,,,,,,,6.64,,51.77,10.62,48.23,,,77.43,,,,,,,,,,,,,,,,,,,,5.54,,45.33,11.76,54.67,5.0,11.94,79.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010396,,,,,,,,,,5.0,12.24,,51.84,18.78,48.16,,,60.82,,,,,,,,,,,,,,,,,,,5.0,29.3,5.0,53.76,27.15,46.24,5.0,8.87,35.48,,,,,,,,,,,43.33,,56.67,,43.33,,,,,,,,,,,,,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
010400,,,,,,,,,,5.0,5.0,,54.82,8.97,45.18,,,81.06,,,,,,,,,,,,,,,,,,,,7.77,,35.34,11.31,64.66,,5.0,77.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,
