agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
00A000,2.0,3.0,,11.0,,,1.0,2.0,,1.0,,,5.0,1.0,
010303,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,1.0
010324,17.0,24.0,33.0,6.0,,4.0,10.0,39.0,1.0,7.0,3.0,,2.0,5.0,4.0
010348,1.0,12.0,20.0,5.0,,7.0,10.0,15.0,1.0,3.0,1.0,,,1.0,15.0
010360,3.0,25.0,18.0,8.0,,3.0,15.0,39.0,2.0,4.0,8.0,,3.0,12.0,5.0
010378,,1.0,,,,,,,,,,,,,
010388,13.0,104.0,25.0,2.0,,,35.0,21.0,,14.0,11.0,1.0,,9.0,5.0
010396,77.0,26.0,9.0,28.0,,27.0,15.0,55.0,3.0,6.0,2.0,2.0,1.0,13.0,4.0
010400,2.0,51.0,18.0,1.0,,,20.0,18.0,1.0,15.0,2.0,,1.0,1.0,7.0
020302,7.0,88.0,60.0,6.0,,,43.0,24.0,4.0,10.0,2.0,11.0,2.0,3.0,
030304,17.0,52.0,15.0,6.0,,,13.0,13.0,1.0,12.0,8.0,,,7.0,15.0
040304,,,,,,,,,,,,5.0,,,
040305,,,,,,,,,,1.0,,,,,
040306,16.0,34.0,14.0,15.0,,,21.0,11.0,,32.0,8.0,,4.0,14.0,10.0
050302,,24.0,12.0,3.0,2.0,,26.0,10.0,8.0,4.0,,14.0,,17.0,6.0
060302,,6.0,6.0,,,,12.0,4.0,,,7.0,22.0,,1.0,
060334,,1.0,,,,,,,,1.0,,,,1.0,
060700,,5.0,,,,,9.0,2.0,,,1.0,1.0,,6.0,
06B000,1.0,,,,,,,,,,,,,,
070310,,1.0,2.0,2.0,,,,4.0,1.0,,,1.0,,,
070311,,,1.0,,1.0,,,,2.0,2.0,1.0,2.0,,,
070330,,17.0,11.0,1.0,,,7.0,4.0,,6.0,1.0,1.0,,,4.0
070339,,18.0,12.0,12.0,1.0,,15.0,2.0,,,6.0,15.0,1.0,,
070342,1.0,34.0,8.0,3.0,,,12.0,32.0,1.0,12.0,,7.0,,,2.0
080311,,8.0,,,,,,,,,,,,,
080312,12.0,6.0,4.0,2.0,,,3.0,7.0,5.0,18.0,9.0,4.0,,,12.0
090330,4.0,38.0,30.0,8.0,,,19.0,14.0,8.0,3.0,6.0,13.0,7.0,,13.0
090368,7.0,93.0,16.0,10.0,,,48.0,21.0,12.0,4.0,14.0,33.0,1.0,,
09A000,1.0,1.0,,,,,,,,,,,,,
100308,,,1.0,,,,,1.0,,,,,,,
100326,9.0,46.0,15.0,2.0,1.0,,11.0,6.0,4.0,7.0,1.0,,,1.0,
100334,,28.0,38.0,19.0,,,21.0,20.0,1.0,4.0,,1.0,19.0,,7.0
100348,,47.0,29.0,21.0,,,50.0,35.0,,34.0,1.0,1.0,6.0,1.0,20.0
110303,,9.0,2.0,,,,,3.0,,1.0,,2.0,,,
110304,7.0,17.0,18.0,10.0,,,21.0,19.0,13.0,7.0,28.0,1.0,3.0,11.0,10.0
110322,,,,,,,,,1.0,,,,,,
110323,,1.0,6.0,,,,4.0,,,1.0,1.0,1.0,,1.0,
110336,17.0,20.0,16.0,,2.0,,26.0,3.0,,7.0,9.0,6.0,,3.0,
110340,1.0,74.0,38.0,2.0,,,38.0,67.0,7.0,2.0,6.0,1.0,1.0,,
110352,11.0,36.0,25.0,2.0,,1.0,47.0,15.0,,4.0,11.0,3.0,2.0,,14.0
110380,,29.0,36.0,14.0,,,39.0,4.0,1.0,16.0,6.0,15.0,6.0,1.0,
110416,5.0,22.0,14.0,11.0,,,33.0,36.0,10.0,,38.0,1.0,11.0,1.0,15.0
110500,,,,,,,,,,,,,,98.0,
111302,6.0,5.0,,4.0,,,11.0,7.0,14.0,4.0,8.0,11.0,2.0,,
111700,2.0,,,,,,7.0,,1.0,1.0,13.0,7.0,,,
11C000,,,1.0,,,,,,,,,,,,
120308,,2.0,3.0,,,,,1.0,1.0,,,,,,
120310,3.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,
120314,9.0,26.0,10.0,1.0,,,21.0,6.0,9.0,7.0,,3.0,,1.0,
120318,2.0,33.0,6.0,2.0,,,27.0,14.0,4.0,2.0,2.0,7.0,,,5.0
120346,6.0,8.0,3.0,,,,21.0,6.0,3.0,10.0,4.0,,,1.0,
120370,,23.0,4.0,5.0,,,18.0,11.0,2.0,8.0,11.0,,,6.0,13.0
130307,,68.0,27.0,20.0,,2.0,49.0,71.0,5.0,89.0,,2.0,13.0,8.0,7.0
130310,,59.0,29.0,14.0,,,42.0,16.0,6.0,7.0,1.0,1.0,3.0,39.0,
130314,,31.0,23.0,13.0,3.0,,40.0,31.0,1.0,10.0,48.0,,4.0,,
130316,7.0,22.0,21.0,9.0,,2.0,33.0,40.0,3.0,11.0,,3.0,5.0,24.0,18.0
130317,,1.0,,,,,,,,,,,,,
130324,13.0,24.0,21.0,3.0,,,19.0,18.0,1.0,8.0,2.0,2.0,,16.0,16.0
130326,2.0,61.0,10.0,5.0,1.0,,36.0,39.0,4.0,7.0,,,,10.0,20.0
130332,10.0,17.0,12.0,12.0,1.0,1.0,60.0,42.0,3.0,20.0,2.0,10.0,4.0,15.0,26.0
