agency_code,num_credentials,num_enrollments,cred_earned_pct
10303,5,,
10311,333,,
10324,1285,,
10348,951,,
10360,314,,
10388,1912,,
10396,365,,
10400,887,,
20302,1000,,
30304,792,,
40304,4,,
40306,978,,
50302,977,,
60302,176,,
60700,23,,
70311,10,,
70330,506,,
70339,1090,,
70342,626,,
80311,21,,
80312,144,,
90330,1325,,
90368,1439,,
100308,136,,
100326,660,,
100334,745,,
100348,1357,,
110303,5,,
110304,882,,
110323,6,,
110336,772,,
110340,945,,
110352,905,,
110380,996,,
110416,665,,
110500,96,,
111302,374,,
111700,40,,
120308,9,,
120310,8,,
120314,1266,,
120318,944,,
120346,1238,,
120370,1530,,
130307,529,,
130310,1289,,
130314,430,,
130316,346,,
130317,11,,
130324,730,,
130326,300,,
130332,449,,
130333,16,,
132304,1390,,
140305,45,,
140348,1165,,
140386,2575,,
140390,1191,,
150304,205,,
150350,3,,
160313,385,,
160314,326,,
160344,773,,
170316,474,,
180308,385,,
180320,542,,
180325,1,,
180340,569,,
180348,437,,
180376,351,,
181318,293,,
181322,767,,
182316,881,,
182700,6,,
190310,6,,
190316,364,,
190336,720,,
190342,767,,
200308,251,,
200314,82,,
200322,5,,
200328,212,,
200350,9,,
210312,431,,
220310,200,,
230312,2571,,
230322,7,,
230324,1062,,
230330,5,,
230350,1322,,
230361,2118,,
240334,245,,
240371,1133,,
240373,236,,
240380,595,,
241316,498,,
250314,144,,
250321,8,,
250340,866,,
250356,721,,
250372,729,,
260318,1409,,
260322,209,,
260325,1379,,
260357,639,,
260359,637,,
260374,2,,
260388,12,,
260408,773,,
260411,50,,
260424,782,,
260427,953,,
260446,145,,
260449,4,,
260455,152,,
260700,9,,
270306,640,,
270311,86,,
280304,192,,
280316,237,,
280330,830,,
290308,1843,,
290314,10,,
290315,8,,
290324,415,,
290336,1336,,
290348,843,,
290349,263,,
290365,115,,
290388,411,,
290389,99,,
291336,655,,
292324,667,,
300312,1888,,
310338,5,,
310344,655,,
310352,888,,
310364,181,,
310392,338,,
320312,397,,
320317,105,,
320322,5,,
320323,15,,
320325,135,,
320353,3,,
320356,254,,
320365,367,,
320368,397,,
320701,171,,
330328,34,,
330350,156,,
330358,115,,
340311,356,,
340330,23,,
340332,502,,
340362,1,,
340364,255,,
340382,179,,
340446,1,,
340454,130,,
340460,112,,
340486,100,,
340488,298,,
340495,179,,
340496,93,,
340542,335,,
340556,443,,
340568,4,,
350308,1422,,
350321,862,,
350336,510,,
360310,1566,,
360336,1511,,
360360,1272,,
360372,32,,
360378,812,,
360390,987,,
360396,1101,,
360418,851,,
360428,1495,,
360470,1080,,
360494,978,,
360550,4,,
370312,220,,
380308,375,,
390321,3,,
390322,132,,
390323,1,,
390324,462,,
390352,60,,
390700,25,,
400308,1076,,
410319,211,,
410326,44,,
410355,518,,
410358,397,,
410394,749,,
410399,6,,
410401,8,,
410406,223,,
410407,89,,
410408,6,,
410483,17,,
410484,304,,
410489,497,,
410490,298,,
410508,874,,
410529,367,,
410544,82,,
410545,1021,,
410547,438,,
410556,421,,
410562,469,,
410569,40,,
410579,20,,
410589,441,,
410595,168,,
420346,116,,
420358,156,,
421316,1557,,
422310,29,,
422315,87,,
430341,4,,
430345,48,,
430346,1893,,
430371,2944,,
430378,2060,,
430384,2106,,
440326,18,,
440378,372,,
440390,772,,
450316,849,,
450334,149,,
450341,1049,,
450343,373,,
450352,1468,,
450354,7,,
460320,110,,
460322,20,,
460340,52,,
470312,1536,,
470342,26,,
470443,2,,
480316,1,,
480318,20,,
490310,331,,
490320,144,,
490335,487,,
490346,411,,
490350,8,,
490354,213,,
490355,14,,
490362,196,,
490380,404,,
491312,1333,,
500302,101,,
500323,1,,
500324,81,,
500340,673,,
510324,1886,,
510325,6,,
510327,608,,
510333,1187,,
510368,314,,
510376,247,,
510399,810,,
510402,615,,
510406,1218,,
520320,223,,
530306,4,,
530335,41,,
530336,2238,,
530343,1862,,
540315,604,,
540317,4,,
540318,3,,
540324,333,,
540336,314,,
550308,11,,
550320,725,,
550332,557,,
550344,1005,,
550368,537,,
560320,213,,
560324,10,,
560329,8,,
560332,4,,
560350,22,,
570317,6,,
570318,134,,
580344,137,,
580368,198,,
590326,8,,
590330,2352,,
600302,1765,,
600312,650,,
600334,9,,
600341,10,,
600361,407,,
600364,251,,
600377,551,,
600386,106,,
600397,201,,
600404,8,,
600405,248,,
600415,581,,
600426,1092,,
600439,27,,
600443,8,,
600445,881,,
600457,98,,
600466,769,,
600480,209,,
600482,10,,
600490,546,,
600496,735,,
600498,35,,
600499,112,,
600508,365,,
600535,554,,
600567,81,,
600576,158,,
600579,612,,
600592,287,,
610332,2,,
610334,400,,
620310,12,,
620316,663,,
620340,665,,
630332,391,,
630336,1858,,
630360,1742,,
640340,5,,
640346,674,,
640347,3,,
640350,250,,
640361,947,,
640364,261,,
650326,849,,
650327,1115,,
650340,190,,
650342,659,,
650352,515,,
650355,36,,
650394,118,,
650395,77,,
660336,54,,
670320,1276,,
670324,1851,,
670333,384,,
670340,897,,
670344,1340,,
670352,1748,,
670364,1161,,
680310,144,,
680332,667,,
680335,22,,
681305,143,,
681308,323,,
681314,81,,
681338,11,,
690320,374,,
700310,6,,
700317,368,,
700319,1659,,
710321,1310,,
710326,1170,,
710327,5,,
710342,1906,,
720316,552,,
730352,2775,,
740309,678,,
740333,2201,,
740344,478,,
740366,1242,,
740374,545,,
740388,1437,,
740500,2,,
750317,1,,
750318,711,,
760318,1094,,
760339,1897,,
760348,695,,
760354,9,,
760358,2059,,
760380,265,,
760382,26,,
760388,1152,,
761304,459,,
770342,2,,
