agency_code,stu_enroll,cte_enroll,pct
00A000,1807,289,15.99
00B000,1319,23,1.74
010303,222,85,38.29
010310,755,461,61.06
010324,1186,871,73.44
010348,757,511,67.5
010350,715,318,44.48
010353,683,378,55.34
010360,976,722,73.98
010378,114,56,49.12
010388,1416,1090,76.98
010390,708,417,58.9
010394,936,408,43.59
010396,1187,936,78.85
010400,1114,778,69.84
010403,840,413,49.17
010406,592,378,63.85
01B000,389,29,7.46
01C000,338,49,14.5
01D000,270,4,1.48
020302,1165,908,77.94
020306,610,492,80.66
020330,572,461,80.59
030304,417,380,91.13
030308,68,68,100.0
030316,62,62,100.0
030320,185,161,87.03
040304,230,82,35.65
040305,42,9,21.43
040306,712,638,89.61
040309,684,669,97.81
050302,862,603,69.95
050303,60,60,100.0
050305,479,362,75.57
060302,429,336,78.32
060310,191,144,75.39
060318,269,222,82.53
060334,27,12,44.44
060700,86,63,73.26
060701,51,38,74.51
06A000,38,1,2.63
070308,197,186,94.42
070310,101,33,32.67
070311,266,70,26.32
070325,332,264,79.52
070329,159,156,98.11
070330,402,320,79.6
070338,784,678,86.48
070339,415,332,80.0
070342,893,639,71.56
07A000,180,1,0.56
080311,170,88,51.76
080312,510,400,78.43
080314,479,413,86.22
090315,235,207,88.09
090320,211,207,98.1
090330,638,505,79.15
090332,324,293,90.43
090365,261,259,99.23
090368,665,606,91.13
090376,47,2,4.26
100307,380,63,16.58
100308,99,72,72.73
100309,513,434,84.6
100316,963,626,65.01
100326,1093,755,69.08
100332,647,396,61.21
100334,1049,690,65.78
100335,754,632,83.82
100344,211,112,53.08
100348,1439,989,68.73
110303,152,77,50.66
110304,1182,803,67.94
110306,529,378,71.46
110322,270,87,32.22
110323,71,9,12.68
110326,566,313,55.3
110336,743,559,75.24
110338,530,351,66.23
110340,1106,922,83.36
110342,710,420,59.15
110352,1080,759,70.28
110380,1026,697,67.93
110381,592,418,70.61
110382,310,155,50.0
110401,582,338,58.08
110416,1494,919,61.51
110420,589,396,67.23
110425,331,125,37.76
110450,366,96,26.23
110451,358,238,66.48
110500,385,382,99.22
111302,950,657,69.16
111356,742,395,53.23
111369,146,119,81.51
111700,330,197,59.7
11D000,444,13,2.93
120308,118,78,66.1
120310,139,42,30.22
120314,839,614,73.18
120315,679,618,91.02
120318,1148,882,76.83
120334,529,511,96.6
120346,593,435,73.36
120350,530,478,90.19
120370,807,594,73.61
120376,564,525,93.09
120390,539,502,93.14
130307,1848,1320,71.43
130310,1614,1227,76.02
130313,855,458,53.57
130314,1164,829,71.22
130315,719,333,46.31
130316,1245,866,69.56
130317,168,53,31.55
130318,1060,614,57.92
130320,1430,1115,77.97
130323,691,444,64.25
130324,817,575,70.38
130326,1278,992,77.62
130327,916,513,56.0
130332,1694,1098,64.82
130333,123,60,48.78
130346,1291,804,62.28
130349,175,62,35.43
130350,235,27,11.49
130355,1088,1034,95.04
132304,1531,1187,77.53
132330,1300,919,70.69
13A000,411,127,30.9
13B000,275,7,2.55
13D000,169,126,74.56
140305,225,223,99.11
140306,73,43,58.9
140308,115,114,99.13
140309,391,149,38.11
140332,584,520,89.04
140336,574,504,87.8
140344,79,76,96.2
140348,877,589,67.16
140356,678,661,97.49
140360,53,51,96.23
140368,570,495,86.84
140376,38,37,97.37
140386,1374,966,70.31
140390,712,498,69.94
150304,432,365,84.49
150312,306,258,84.31
150350,182,100,54.95
160309,16,1,6.25
160310,280,161,57.5
160311,671,403,60.06
160313,524,409,78.05
160314,845,613,72.54
160318,527,319,60.53
160326,400,320,80.0
160332,171,130,76.02
160343,49,45,91.84
160344,1097,748,68.19
170316,735,636,86.53
170338,578,422,73.01
180302,670,613,91.49
180308,848,609,71.82
180320,836,647,77.39
180323,13,8,61.54
180325,409,46,11.25
180340,870,661,75.98
180342,511,380,74.36
180346,478,459,96.03
180348,836,632,75.6
180352,410,269,65.61
180364,487,475,97.54
180376,1141,855,74.93
181312,575,444,77.22
181316,466,331,71.03
181318,142,120,84.51
181322,1071,641,59.85
182316,699,566,80.97
182321,706,577,81.73
182700,217,47,21.66
190304,85,84,98.82
190308,113,57,50.44
190310,31,16,51.61
190312,616,577,93.67
190316,410,347,84.63
190328,358,191,53.35
190332,103,103,100.0
190336,841,645,76.69
190339,698,407,58.31
190340,105,102,97.14
190342,1387,964,69.5
190352,139,137,98.56
190501,60,35,58.33
19A000,328,87,26.52
200308,211,146,69.19
200310,175,18,10.29
200314,173,136,78.61
200320,78,54,69.23
200322,87,40,45.98
200328,479,375,78.29
200330,324,198,61.11
200336,94,94,100.0
200350,144,69,47.92
210304,455,293,64.4
210312,592,478,80.74
220310,374,295,78.88
220312,312,147,47.12
230312,930,741,79.68
230316,760,382,50.26
230322,215,152,70.7
230324,1132,828,73.14
230328,928,544,58.62
230330,191,124,64.92
230350,1162,921,79.26
230352,656,397,60.52
230361,831,686,82.55
230362,421,154,36.58
23A000,273,156,57.14
240304,127,41,32.28
240328,115,38,33.04
240334,429,270,62.94
240344,181,161,88.95
240356,204,63,30.88
240368,196,83,42.35
240371,715,482,67.41
240373,296,175,59.12
240376,190,72,37.89
240380,413,261,63.2
240388,235,109,46.38
241304,481,319,66.32
241312,43,12,27.91
241316,671,473,70.49
24B000,118,1,0.85
250314,137,72,52.55
250321,185,79,42.7
250324,598,369,61.71
250332,848,476,56.13
250340,963,777,80.69
250344,429,218,50.82
250356,1626,1108,68.14
250368,544,336,61.76
250372,896,728,81.25
250376,753,499,66.27
260318,1954,1467,75.08
260321,539,506,93.88
260322,1066,834,78.24
260325,1431,1155,80.71
260336,473,401,84.78
260347,258,2,0.78
260357,1449,1094,75.5
260358,560,509,90.89
260359,929,643,69.21
260362,1168,1121,95.98
260365,719,690,95.97
260368,558,483,86.56
260369,1117,916,82.01
260371,306,270,88.24
260372,622,604,97.11
260374,186,47,25.27
260383,1174,980,83.48
260388,263,23,8.75
260406,815,627,76.93
260408,1598,1247,78.04
260411,266,127,47.74
260413,155,116,74.84
260417,403,335,83.13
260418,446,443,99.33
260419,335,317,94.63
260424,1432,1181,82.47
260425,659,641,97.27
260427,1587,1107,69.75
260428,504,467,92.66
260446,1206,729,60.45
260449,173,121,69.94
260454,781,730,93.47
260455,1144,800,69.93
260700,243,53,21.81
26B000,237,30,12.66
270306,996,709,71.18
270308,377,313,83.02
270311,282,138,48.94
270318,609,521,85.55
280304,330,170,51.52
280306,32,9,28.13
280316,513,320,62.38
280320,455,237,52.09
280328,684,285,41.67
280330,833,404,48.5
290308,891,714,80.13
290309,780,361,46.28
290314,131,70,53.44
290315,151,19,12.58
290322,673,375,55.72
290324,842,697,82.78
290334,719,389,54.1
290336,996,804,80.72
290348,1104,935,84.69
290349,732,618,84.43
290350,711,444,62.45
290351,694,300,43.23
290365,373,322,86.33
290367,280,183,65.36
290376,628,311,49.52
290388,738,635,86.04
290389,190,159,83.68
291332,761,362,47.57
291336,804,685,85.2
292320,551,481,87.3
292324,670,535,79.85
300306,24,3,12.5
300312,1746,1217,69.7
300314,174,9,5.17
300325,482,459,95.23
300330,531,450,84.75
300337,466,431,92.49
310304,286,164,57.34
310308,306,294,96.08
310330,178,171,96.07
310336,251,246,98.01
310338,204,90,44.12
310344,904,733,81.08
310352,632,507,80.22
310356,168,138,82.14
310360,106,106,100.0
310364,500,373,74.6
310384,401,370,92.27
310388,411,347,84.43
310392,585,495,84.62
320306,523,356,68.07
320312,1846,1129,61.16
320314,594,241,40.57
320316,924,711,76.95
320317,340,304,89.41
320322,175,79,45.14
320323,1736,130,7.49
320325,1356,885,65.27
320338,449,340,75.72
320340,129,113,87.6
320341,155,125,80.65
320342,289,140,48.44
320343,508,374,73.62
320346,650,491,75.54
320353,185,70,37.84
320355,812,763,93.97
320356,1442,839,58.18
320365,1777,1055,59.37
320366,1013,633,62.49
320368,1186,777,65.51
320370,629,493,78.38
320701,333,269,80.78
32L000,720,257,35.69
330326,182,33,18.13
330328,232,189,81.47
330332,135,90,66.67
330340,366,230,62.84
330344,304,107,35.2
