digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
-,00A000,A,No,-,Yes,K:1:2:3:4:5:6:7:8:9:10:11,Yes,K:1:2:3:4:5:6:7:8:9:10:11,,,,,10.81
-,00B000,A,No,-,No,-,No,-,,,,,5.92
-,10303,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,,10,1.25,,0.91
1,10304,E,Yes,K:1:2:3:4:5,No,-,No,-,14.46,49,1.32,2004.0,0.74
0,10308,E,Yes,2:3:4:5,No,-,No,-,20.78,46,1.12,2001.0,0.69
1,10310,M,No,-,No,-,No,-,18.37,62,1.17,2003.0,0.83
92,10311,H,No,-,No,-,No,-,-,22,1.16,2009.0,-
0,10312,E,No,-,No,-,No,-,13.51,49,1.04,2007.0,1.34
1,10320,E,Yes,1:2:3:4:5,No,-,No,-,21.64,34,1.21,2000.0,1.04
0,10324,H,No,-,No,-,No,-,6.44,79,1.3,2000.0,1.12
0,10326,E,Yes,2:3:4:5,No,-,No,-,12.89,50,1.35,1999.0,0.73
2,10328,E,No,-,No,-,No,-,15.88,58,1.45,2001.0,1.06
0,10340,E,No,-,No,-,No,-,17.08,48,1.09,2000.0,1.51
0,10346,E,Yes,2:3:4:5,No,-,No,-,17.16,49,1.48,2002.0,0.85
1,10347,E,Yes,K:1:2:3:4:5,No,-,No,-,21.23,58,1.23,1999.0,0.83
0,10348,H,Yes,9:10:11:12,Yes,09:10:00,No,-,11.33,76,1.65,2000.0,0.55
5,10350,M,Yes,06:07:08,Yes,07:08:00,No,-,11.5,52,1.24,2002.0,0.88
0,10351,E,Yes,2:3:4:5,No,-,No,-,18.77,41,1.17,2001.0,0.78
1,10353,M,No,-,No,-,No,-,10.52,71,1.61,2001.0,0.75
1,10354,E,Yes,PK:K:1:2:3:4:5,No,-,No,-,20.17,52,1.16,1998.0,0.91
0,10357,E,No,-,No,-,No,-,14.24,50,1.16,2002.0,0.58
1,10358,E,Yes,2:3:4:5,No,-,No,-,17.34,48,0.96,2004.0,0.92
1,10360,H,No,-,No,-,No,-,10.73,71,1.11,1997.0,0.83
1,10362,E,No,-,No,-,No,-,30.93,50,1.16,1998.0,1.57
0,10364,E,Yes,K:1:2:3:4:5,No,-,No,-,22.3,28,0.9,1997.0,0.63
0,10372,E,Yes,PK:K:1:2:3:4:5,No,-,No,-,23.01,28,1.33,2002.0,0.76
0,10374,E,No,-,No,-,No,-,14.09,50,1.19,2000.0,0.76
-,10378,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,No,-,,41,2.16,,0.48
1,10380,E,No,-,No,-,No,-,21.38,65,1.25,2004.0,0.88
0,10384,E,No,-,No,-,No,-,15.63,47,1.42,2001.0,1.25
0,10388,H,No,-,No,-,No,-,6.8,167,2.42,1993.0,0.95
0,10390,M,No,-,No,-,No,-,11.92,59,1.11,2003.0,1.18
1,10392,E,Yes,K:1:2:3:4:5,No,-,No,-,26.01,35,1.35,2001.0,0.81
1,10394,M,No,-,No,-,No,-,9.94,66,1.22,2009.0,1.03
1,10396,H,No,-,No,-,No,-,10.42,172,2.49,2003.0,1.03
1,10400,H,No,-,No,-,No,-,7.58,84,1.42,1992.0,0.99
1,10403,M,No,-,No,-,No,-,15.37,60,1.2,2007.0,1.73
1,10406,M,Yes,06:07:08,No,-,No,-,13.67,100,2.44,2000.0,1.06
,010LEA,,,,,,,,14.27,"2,1",1.39,2001.0,0.89
0,01B000,A,Yes,8:9:10:11:12,Yes,8:9:10:11:12,No,-,12.29,30,0.65,2010.0,3.76
1,01C000,A,Yes,9:10:11:12,Yes,9:10:11:12,No,-,15.59,48,1.37,1998.0,3.08
-,01D000,A,No,-,No,-,Yes,5:6:7:8:9:10:11:12,,13,0.48,,11.14
0,20302,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,9.27,139,1.6,1999.0,0.42
-,20303,H,Yes,09:10:11,Yes,09:10:11,No,-,,10,1.25,,1.13
0,20304,E,Yes,03:04:05,No,-,No,-,27.95,48,1.33,2003.0,0.87
2,20306,M,Yes,06:07:08,Yes,06:07:08,No,-,28.95,53,1.13,2009.0,0.82
1,20308,E,Yes,03:04:05,No,-,No,-,28.14,36,1.44,1999.0,0.8
0,20316,E,Yes,03:04:05,No,-,No,-,19.48,45,1.15,2000.0,0.8
1,20320,E,Yes,03:04:05,No,-,No,-,34.95,28,1.12,1999.0,0.79
1,20324,E,Yes,03:04:05,No,-,No,-,33.72,25,1.19,1996.0,0.83
0,20328,E,Yes,03:04:05,No,-,No,-,31.76,29,1.0,2000.0,0.78
1,20330,M,Yes,06:07:08,Yes,06:07:08,No,-,17.69,52,1.13,2001.0,0.78
1,20332,E,Yes,03:04:05,No,-,No,-,38.82,35,1.17,1996.0,0.87
,020LEA,,,,,,,,22.58,500,1.27,2000.0,0.66
2,30304,H,No,-,No,-,No,-,27.07,43,1.08,2003.0,0.59
1,30308,I,No,-,No,-,Yes,3:4:5:6:7:8,77.91,21,0.91,1998.0,0.54
4,30316,I,No,-,No,-,Yes,3:4:5:6:7:8,53.07,13,1.0,1999.0,0.68
1,30320,I,No,-,No,-,Yes,3:4:5:6:7:8,30.88,36,0.82,2002.0,0.65
,030LEA,,,,,,,,39.77,113,0.94,2001.0,0.61
-,40304,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,14,1.17,,0.54
-,40305,T,Yes,9:10:11:12,No,-,No,-,,1,0.1,,0.29
3,40306,H,Yes,10:11:12,Yes,10:11:12,No,-,19.45,88,1.35,1992.0,0.47
1,40308,E,Yes,K:1:2:3:4:5,No,-,No,-,53.03,26,1.44,1997.0,0.38
1,40309,M,No,-,No,-,No,-,17.93,58,1.38,2001.0,0.64
1,40311,E,Yes,02:03:00,No,-,No,-,37.39,37,1.48,1975.0,0.55
1,40316,E,Yes,K:1:2:3:4:5,No,-,No,-,41.51,34,1.62,1997.0,0.48
2,40324,E,Yes,K:1:2:3:4:5,No,-,No,-,37.22,34,1.7,1992.0,0.33
9,40328,E,Yes,K:1:2:3:4:5,No,-,No,-,35.38,39,1.63,2002.0,0.6
1,40330,E,Yes,04:05:00,No,-,No,-,48.88,25,1.79,1996.0,0.38
,040LEA,,,,,,,,30.11,356,1.42,1994.0,0.5
,04A000,,,,,,,,,,,,-
2,50302,H,No,-,No,-,No,-,13.73,84,1.38,2005.0,0.54
-,50303,H,No,-,No,-,No,-,,6,1.5,,0.33
2,50305,M,No,-,No,-,No,-,22.6,51,1.38,2004.0,0.51
13,50310,E,No,-,No,-,No,-,19.82,50,1.16,2005.0,0.51
2,50330,E,No,-,No,-,No,-,23.25,52,1.08,2001.0,0.43
3,50335,E,No,-,No,-,No,-,30.81,55,1.41,2007.0,0.64
,050LEA,,,,,,,,21.23,298,1.28,2004.0,0.51
3,60302,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,15.52,46,1.15,2001.0,0.73
2,60304,E,Yes,K:1:2:3:4:5,No,-,No,-,43.73,22,1.69,1995.0,0.79
2,60310,M,Yes,06:07:08,Yes,06:07:08,No,-,34.62,13,0.68,2001.0,0.98
1,60316,E,Yes,K:1:2:3:4:5,No,-,No,-,28.85,30,1.15,2002.0,0.93
1,60318,M,Yes,06:07:08,Yes,06:07:08,No,-,22.98,22,1.1,1998.0,0.91
2,60322,E,Yes,K:1:2:3:4:5,No,-,No,-,41.81,24,1.2,2001.0,0.91
1,60328,E,Yes,K:1:2:3:4:5,No,-,No,-,34.85,38,1.81,1994.0,0.83
0,60332,E,Yes,K:1:2:3:4:5,No,-,No,-,22.75,18,2.57,2006.0,0.99
-,60334,T,Yes,9:10:11:12,Yes,9:10:11:12,No,-,,2,1.0,,0.55
,60700,H,,,,,,,,,,,-
,60701,H,,,,,,,,,,,-
,060LEA,,,,,,,,28.56,215,1.28,2000.0,0.91
0,06A000,A,Yes,6:7:8:9:10:11:12,No,-,No,-,68.97,3,0.75,1986.0,2.07
0,06B000,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,No,-,80.51,11,0.55,2000.0,1.2
1,70302,E,No,-,No,-,No,-,28.51,52,1.02,1997.0,1.25
0,70308,I,No,-,No,-,Yes,06:07:08,21.06,56,1.33,1998.0,0.95
-,70310,T,No,-,No,-,No,-,,24,2.67,,0.26
25,70311,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,0.1,10,1.0,1970.0,0.68
1,70325,M,Yes,5:6:7:8,No,-,No,-,20.5,41,1.52,1998.0,0.6
0,70326,E,No,-,No,-,No,-,27.83,57,1.46,1998.0,0.77
1,70327,E,No,-,No,-,No,-,25.59,50,1.11,1994.0,0.95
0,70328,E,No,-,No,-,No,-,21.54,43,1.19,1999.0,0.71
0,70329,I,No,-,No,-,Yes,5:6:7:8,44.85,66,1.2,1999.0,0.86
1,70330,H,Yes,9:10:11:12,No,-,No,-,25.3,54,1.5,1992.0,0.64
0,70338,M,No,-,No,-,No,-,17.94,68,1.15,2000.0,0.96
0,70339,H,No,-,No,-,Yes,9:10:11:12,31.8,58,1.53,1993.0,0.43
1,70340,I,No,-,No,-,Yes,06:07:08,95.02,26,1.44,1998.0,0.71
1,70342,H,No,-,No,-,No,-,10.35,76,1.17,1995.0,0.56
,070LEA,,,,,,,,24.26,681,1.28,1995.0,0.72
-,07A000,A,Yes,07:08:00,No,-,Yes,9:10:11:12,,21,0.88,,6.09
-,80311,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,33,3.3,,0.86
1,80312,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,16.66,65,1.59,2010.0,0.57
3,80314,M,Yes,06:07:08,No,-,No,-,16.74,51,1.24,2009.0,0.45
0,80348,E,Yes,03:04:05,No,-,No,-,44.82,17,1.31,1998.0,0.53
1,80356,E,Yes,2:3:4:5,No,-,No,-,28.17,25,0.89,2000.0,0.54
1,80360,E,Yes,03:04:05,No,-,No,-,29.44,23,1.35,2001.0,0.57
1,80362,E,Yes,2:3:4:5,No,-,No,-,17.11,32,1.23,2005.0,0.55
,080LEA,,,,,,,,21.32,246,1.4,2004.0,0.54
,08A000,I,,,,,,,,,,,-
1,90304,,No,-,No,-,No,-,58.1,25,1.25,1992.0,0.52
4,90315,M,Yes,5:6:7:8,No,-,No,-,24.88,34,1.31,1998.0,0.39
12,90317,E,No,-,No,-,No,-,40.85,39,1.08,1996.0,1.38
