agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
00A000,17,18,18,0.3207547069,0.3396226466,0.3396226466
00B000,12,32,32,0.1578947306,0.4210526347,0.4210526347
010303,2,1,4,0.2857142985,0.1428571492,0.571428597
010304,6,21,10,0.1621621549,0.5675675869,0.2702702582
010308,4,23,9,0.1111111119,0.6388888954999999,0.25
010310,18,18,7,0.4186046422,0.4186046422,0.1627907008
010311,2,6,5,0.1538461596,0.4615384638,0.3846153915
010312,10,23,15,0.2083333284,0.4791666567,0.3125
010320,5,13,11,0.1724137962,0.4482758641,0.3793103397
010324,15,37,12,0.234375,0.578125,0.1875
010326,4,26,10,0.1000000015,0.6499999761999999,0.25
010328,7,25,3,0.200000003,0.7142857313,0.08571428810000001
010340,8,23,15,0.17391304670000002,0.5,0.3260869682
010346,3,21,3,0.1111111119,0.7777777909999999,0.1111111119
010347,2,37,7,0.0434782617,0.8043478131,0.1521739066
010348,8,36,8,0.1538461596,0.6923077106000001,0.1538461596
010350,16,25,2,0.3720930219,0.5813953279999999,0.0465116277
010351,1,25,10,0.027777778,0.694444418,0.277777791
010353,3,23,18,0.06818182019999999,0.5227272511,0.4090909064
010354,6,27,12,0.1333333403,0.6000000238000001,0.2666666806
010357,2,33,4,0.051282052,0.8461538553,0.1025641039
010358,3,38,5,0.0652173907,0.8260869384,0.1086956486
010360,7,23,32,0.1129032224,0.3709677458,0.5161290169
010362,10,25,3,0.2631579041,0.6578947306,0.0789473653
010364,1,16,14,0.0322580636,0.5161290169,0.4516128898
010372,2,17,4,0.0869565234,0.7391304374,0.17391304670000002
010374,3,27,15,0.06666667009999999,0.6000000238000001,0.3333333433
010378,1,3,18,0.0454545468,0.1363636404,0.8181818128
010380,4,36,8,0.0833333358,0.75,0.1666666716
010384,8,19,13,0.200000003,0.474999994,0.3249999881
010388,15,52,11,0.1923076957,0.6666666864999999,0.1410256475
010390,7,22,15,0.1590909064,0.5,0.3409090936
010392,2,15,7,0.0833333358,0.625,0.2916666567
010394,12,16,4,0.375,0.5,0.125
010396,3,46,19,0.044117648200000005,0.6764705777,0.27941176300000004
010400,7,29,28,0.109375,0.453125,0.4375
010403,6,27,16,0.1224489808,0.5510203838000001,0.3265306056
010406,7,19,9,0.200000003,0.5428571701,0.2571428716
01B000,5,29,12,0.1086956486,0.6304348111,0.2608695626
020302,9,32,43,0.1071428582,0.380952388,0.5119047761
020303,0,5,3,0.0,0.625,0.375
020304,1,18,6,0.0399999991,0.7200000286,0.2399999946
020306,7,19,8,0.2058823556,0.5588235259000001,0.2352941185
020308,1,11,7,0.0526315793,0.5789473653,0.3684210479
020316,2,28,3,0.0606060624,0.8484848737999999,0.0909090936
020320,0,12,5,0.0,0.7058823705,0.2941176593
020324,2,8,3,0.1538461596,0.6153846383,0.2307692319
020328,1,13,4,0.055555556,0.7222222090000001,0.2222222239
020330,4,21,9,0.1176470593,0.6176470518,0.26470589640000003
020332,1,15,2,0.055555556,0.8333333135,0.1111111119
030304,12,15,7,0.3529411852,0.4411764741,0.2058823556
030308,2,11,5,0.1111111119,0.6111111045000001,0.277777791
030316,0,9,3,0.0,0.75,0.25
030320,7,24,12,0.1627907008,0.5581395626,0.2790697813
040304,1,13,2,0.0625,0.8125,0.125
040305,0,3,2,0.0,0.6000000238000001,0.400000006
040306,19,24,7,0.3799999952000001,0.4799999893,0.1400000006
040308,2,7,2,0.1818181872,0.6363636254999999,0.1818181872
040309,14,17,3,0.4117647111,0.5,0.0882352963
040311,4,14,2,0.200000003,0.6999999881,0.1000000015
040316,1,5,9,0.06666667009999999,0.3333333433,0.6000000238000001
040324,4,6,3,0.3076923192,0.4615384638,0.2307692319
040328,1,16,9,0.0384615399,0.6153846383,0.34615385530000004
040330,4,4,5,0.3076923192,0.3076923192,0.3846153915
050302,21,26,12,0.3559322059,0.4406779706,0.2033898234
050303,1,2,0,0.3333333433,0.6666666864999999,0.0
050305,3,25,8,0.0833333358,0.694444418,0.2222222239
050310,0,24,15,0.0,0.6153846383,0.3846153915
050330,1,22,22,0.0222222228,0.4888888896,0.4888888896
050335,1,23,16,0.0250000004,0.5749999881,0.400000006
060302,3,9,6,0.1666666716,0.5,0.3333333433
060304,0,7,5,0.0,0.5833333135000001,0.4166666567
060310,3,5,5,0.2307692319,0.3846153915,0.3846153915
060316,0,10,4,0.0,0.7142857313,0.2857142985
060318,0,11,12,0.0,0.4782608747,0.5217391253
060322,0,5,12,0.0,0.2941176593,0.7058823705
060328,0,8,12,0.0,0.400000006,0.6000000238000001
060332,0,6,6,0.0,0.5,0.5
060334,0,1,0,0.0,1.0,0.0
060700,0,2,2,0.0,0.5,0.5
060701,1,8,10,0.0526315793,0.4210526347,0.5263158083
06A000,0,1,2,0.0,0.3333333433,0.6666666864999999
06B000,0,5,6,0.0,0.4545454681,0.5454545617000001
070302,3,19,18,0.075000003,0.474999994,0.4499999881
070308,2,18,8,0.0714285746,0.6428571343,0.2857142985
070310,2,4,0,0.3333333433,0.6666666864999999,0.0
070311,0,2,7,0.0,0.2222222239,0.7777777909999999
070325,6,11,3,0.30000001190000003,0.5500000119,0.150000006
070326,2,28,4,0.0588235296,0.8235294223,0.1176470593
070327,3,20,12,0.08571428810000001,0.571428597,0.3428571522
070328,9,12,7,0.3214285672,0.4285714328,0.25
070329,2,23,11,0.055555556,0.6388888954999999,0.3055555522
070330,3,15,13,0.0967741907,0.4838709533,0.4193548262
070338,11,27,8,0.2391304374,0.586956501,0.17391304670000002
070339,3,17,7,0.1111111119,0.629629612,0.2592592537
070340,2,12,2,0.125,0.75,0.125
070342,10,29,18,0.1754385978,0.508771956,0.3157894611
07A000,0,3,0,0.0,1.0,0.0
080311,4,2,1,0.571428597,0.2857142985,0.1428571492
080312,21,14,0,0.6000000238000001,0.400000006,0.0
080314,4,18,0,0.1818181872,0.8181818128,0.0
080348,3,6,0,0.3333333433,0.6666666864999999,0.0
080356,2,15,0,0.1176470593,0.8823529481999999,0.0
080360,1,10,4,0.06666667009999999,0.6666666864999999,0.2666666806
080362,1,20,3,0.0416666679,0.8333333135,0.125
08A000,1,5,0,0.1666666716,0.8333333135,0.0
090304,0,0,4,0.0,0.0,1.0
090315,5,7,1,0.3846153915,0.5384615660000001,0.0769230798
090317,2,18,3,0.0869565234,0.7826086879,0.1304347813
090318,2,6,1,0.2222222239,0.6666666864999999,0.1111111119
090320,4,7,2,0.3076923192,0.5384615660000001,0.1538461596
090324,3,11,1,0.200000003,0.7333333492,0.06666667009999999
090328,1,8,0,0.1111111119,0.8888888954999999,0.0
090330,5,21,14,0.125,0.5249999761999999,0.349999994
090332,6,10,5,0.2857142985,0.4761904776,0.2380952388
090333,0,27,8,0.0,0.7714285851,0.2285714298
090352,2,11,0,0.1538461596,0.8461538553,0.0
090365,5,5,7,0.2941176593,0.2941176593,0.4117647111
090368,10,26,9,0.2222222239,0.5777778029,0.200000003
090376,1,4,0,0.200000003,0.8000000119,0.0
09A000,0,0,1,0.0,0.0,1.0
09B000,2,14,13,0.068965517,0.4827586114,0.4482758641
100302,2,43,11,0.0357142873,0.7678571343,0.1964285672
100304,0,25,6,0.0,0.8064516187,0.1935483813
100307,1,6,7,0.0714285746,0.4285714328,0.5
100308,2,16,0,0.1111111119,0.8888888954999999,0.0
