agency_code,adm_central expense_funds2,adm_employee benefits_funds2,adm_instructional equip._funds2,adm_other objects_funds2,adm_purchased services_funds2,adm_salaries_funds2,adm_supplies & materials_funds2,adm_total_funds2,federal_funds_central expense_funds2,federal_funds_employee benefits_funds2,federal_funds_instructional equip._funds2,federal_funds_other objects_funds2,federal_funds_purchased services_funds2,federal_funds_salaries_funds2,federal_funds_supplies & materials_funds2,federal_funds_total_funds2,federal_ppe_central expense_funds2,federal_ppe_employee benefits_funds2,federal_ppe_instructional equip._funds2,federal_ppe_other objects_funds2,federal_ppe_purchased services_funds2,federal_ppe_salaries_funds2,federal_ppe_supplies & materials_funds2,federal_ppe_total_funds2,local_funds_central expense_funds2,local_funds_employee benefits_funds2,local_funds_instructional equip._funds2,local_funds_other objects_funds2,local_funds_purchased services_funds2,local_funds_salaries_funds2,local_funds_supplies & materials_funds2,local_funds_total_funds2,local_ppe_central expense_funds2,local_ppe_employee benefits_funds2,local_ppe_instructional equip._funds2,local_ppe_other objects_funds2,local_ppe_purchased services_funds2,local_ppe_salaries_funds2,local_ppe_supplies & materials_funds2,local_ppe_total_funds2,state_funds_central expense_funds2,state_funds_employee benefits_funds2,state_funds_instructional equip._funds2,state_funds_other objects_funds2,state_funds_purchased services_funds2,state_funds_salaries_funds2,state_funds_supplies & materials_funds2,state_funds_total_funds2,state_ppe_central expense_funds2,state_ppe_employee benefits_funds2,state_ppe_instructional equip._funds2,state_ppe_other objects_funds2,state_ppe_purchased services_funds2,state_ppe_salaries_funds2,state_ppe_supplies & materials_funds2,state_ppe_total_funds2,total_funds_central expense_funds2,total_funds_employee benefits_funds2,total_funds_instructional equip._funds2,total_funds_other objects_funds2,total_funds_purchased services_funds2,total_funds_salaries_funds2,total_funds_supplies & materials_funds2,total_funds_total_funds2,total_ppe_central expense_funds2,total_ppe_employee benefits_funds2,total_ppe_instructional equip._funds2,total_ppe_other objects_funds2,total_ppe_purchased services_funds2,total_ppe_salaries_funds2,total_ppe_supplies & materials_funds2,total_ppe_total_funds2
010303,223,223,223,223,223,223,223,223,4720.91,1184.13,1973.55,0.0,8841.95,13322.02,6654.32,36694.0,21.17,5.31,8.85,0.0,39.65,59.74,29.84,164.56,62765.58,39254.69,722.52,0.0,33940.6,130243.15,10802.12,277726.0,281.46,176.03,3.24,0.0,152.2,584.05,48.44,1245.42,31304.74,259306.63,6134.73,0.0,20172.58,656068.23,113032.01,1086016.0,140.38,1162.81,27.51,0.0,90.46,2942.01,506.87,4870.04,98789,299744,8829,0,62953,799633,130488,1400436,443.01,1344.15,39.6,0.0,282.31,3585.8,585.15,6280.02
010304,605,605,605,605,605,605,605,605,12807.85,47577.2,9510.6,0.0,26323.55,141999.55,163422.6,401638.0,21.17,78.64,15.72,0.0,43.51,234.71,270.12,663.87,170283.3,140160.35,2776.95,0.0,166792.45,475651.0,55847.55,1011509.0,281.46,231.67,4.59,0.0,275.69,786.2,92.31,1671.92,84929.9,933835.65,16643.55,0.0,54728.3,2592673.05,74735.65,3757543.0,140.38,1543.53,27.51,0.0,90.46,4285.41,123.53,6210.82,268019,1121572,28929,0,247843,3210323,294004,5170690,443.01,1853.84,47.82,0.0,409.66,5306.32,485.96,8546.61
010308,613,613,613,613,613,613,613,613,12977.21,34634.5,6559.1,0.0,28786.48,95891.59,131678.53,310525.0,21.17,56.5,10.7,0.0,46.96,156.43,214.81,506.57,172534.98,147359.07,2206.8,0.0,163548.4,478403.59,73621.3,1037671.0,281.46,240.39,3.6,0.0,266.8,780.43,120.1,1692.78,86052.94,1089313.26,16863.63,0.0,55451.98,2866081.5,44037.92,4157797.0,140.38,1777.02,27.51,0.0,90.46,4675.5,71.84,6782.71,271563,1271306,25628,0,247785,3440375,249336,5505993,443.01,2073.91,41.81,0.0,404.22,5612.36,406.75,8982.06
010310,758,758,758,758,758,758,758,758,16046.86,262874.4,8588.14,0.0,92028.78,700710.36,478548.14,1558794.0,21.17,346.8,11.33,0.0,121.41,924.42,631.33,2056.46,213346.68,314183.42,7852.88,0.0,366720.4,985991.24,234146.2,2122238.0,281.46,414.49,10.36,0.0,483.8,1300.78,308.9,2799.79,106408.04,998051.02,20852.58,0.0,116186.24,2576146.38,47920.76,3865563.0,140.38,1316.69,27.51,0.0,153.28,3398.61,63.22,5099.69,335800,1575108,37292,0,574934,4262847,760614,7546595,443.01,2077.98,49.2,0.0,758.49,5623.81,1003.45,9955.94
010312,734,734,734,734,734,734,734,734,15538.78,87081.76,5820.62,0.0,32523.54,243387.06,159307.36,543656.0,21.17,118.64,7.93,0.0,44.31,331.59,217.04,740.68,206591.64,194906.36,2238.7,0.0,196066.08,633016.28,71946.68,1304763.0,281.46,265.54,3.05,0.0,267.12,862.42,98.02,1777.61,103038.92,1312120.42,20192.34,0.0,66544.44,3349609.0,85540.36,4937043.0,140.38,1787.63,27.51,0.0,90.66,4563.5,116.54,6726.22,325167,1594107,28250,0,295133,4226012,316793,6785462,443.01,2171.81,38.49,0.0,402.09,5757.51,431.6,9244.51
010320,370,370,370,370,370,370,370,370,7832.9,42513.0,16402.1,0.0,15421.6,130169.7,89884.1,302221.0,21.17,114.9,44.33,0.0,41.68,351.81,242.93,816.82,104140.2,88851.8,3792.5,0.0,110430.2,316860.6,50926.8,674999.0,281.46,240.14,10.25,0.0,298.46,856.38,137.64,1824.33,51940.6,776948.2,10178.7,0.0,33470.2,2155353.6,40914.6,3068803.0,140.38,2099.86,27.51,0.0,90.46,5825.28,110.58,8294.07,163912,908312,30372,0,159321,2602382,181724,4046023,443.01,2454.9,82.09,0.0,430.6,7033.47,491.15,10935.22
010324,1191,1191,1191,1191,1191,1191,1191,1191,25213.47,121231.89,37111.56,0.0,52511.19,310315.05,231316.02,777697.0,21.17,101.79,31.16,0.0,44.09,260.55,194.22,652.98,335218.86,309124.05,18079.38,0.0,393887.52,999915.96,166477.98,2222700.0,281.46,259.55,15.18,0.0,330.72,839.56,139.78,1866.25,167192.58,1586733.57,32764.41,0.0,120231.45,4263982.47,91659.36,6262561.0,140.38,1332.27,27.51,0.0,100.95,3580.17,76.96,5258.24,527623,2017088,87954,0,566629,5574212,489452,9262958,443.01,1693.61,73.85,0.0,475.76,4680.28,410.96,7777.47
010326,592,592,592,592,592,592,592,592,12532.64,135739.68,4516.96,0.0,51752.64,385356.48,343993.44,933888.0,21.17,229.29,7.63,0.0,87.42,650.94,581.07,1577.52,166624.32,157827.2,6855.36,0.0,156578.08,484327.04,107726.24,1079937.0,281.46,266.6,11.58,0.0,264.49,818.12,181.97,1824.22,83104.96,810625.6,16285.92,0.0,53771.36,2558393.12,14705.28,3536883.0,140.38,1369.3,27.51,0.0,90.83,4321.61,24.84,5974.47,262260,1104191,27656,0,262101,3428076,466424,5550708,443.01,1865.19,46.72,0.0,442.74,5790.67,787.88,9376.21
010328,536,536,536,536,536,536,536,536,11347.12,56505.12,5896.0,0.0,23943.12,168850.72,102027.6,368568.0,21.17,105.42,11.0,0.0,44.67,315.02,190.35,687.63,150862.56,148788.24,51959.84,0.0,159202.72,473588.16,85599.2,1069998.0,281.46,277.59,96.94,0.0,297.02,883.56,159.7,1996.27,75243.68,971671.52,14745.36,0.0,48486.56,2493616.72,18877.92,3622638.0,140.38,1812.82,27.51,0.0,90.46,4652.27,35.22,6758.66,237452,1176964,72600,0,231631,3136054,206503,5061204,443.01,2195.83,135.45,0.0,432.15,5850.85,385.27,9442.56
010340,727,727,727,727,727,727,727,727,15390.59,50817.3,26382.83,0.0,33071.23,154952.78,178253.13,458865.0,21.17,69.9,36.29,0.0,45.49,213.14,245.19,631.18,204621.42,157097.43,6295.82,0.0,197918.48,508943.62,119424.29,1194298.0,281.46,216.09,8.66,0.0,272.24,700.06,164.27,1642.78,102056.26,1030253.51,19999.77,0.0,65764.42,3083563.23,32373.31,4334008.0,140.38,1417.13,27.51,0.0,90.46,4241.49,44.53,5961.5,322067,1238167,52676,0,296753,3747458,330050,5987171,443.01,1703.12,72.46,0.0,408.19,5154.69,453.99,8235.46
