agency_code,amount_improvement
00B000,668026
010310,242739
010358,209848
040305,24998
06A000,6907
09A000,61178
100308,43746
110303,47035
120308,32891
130333,37496
140306,20722
180323,14801
230330,47364
240304,39799
24B000,33549
260374,44732
295300,151301
320306,175969
320322,54600
320338,152945
320339,137815
320341,13486
320400,120383
330312,93741
330332,40128
330354,166102
340308,157221
340330,212479
340336,54929
340351,68743
340376,206230
340385,11841
340424,76637
340427,31905
340452,111831
340490,149985
340492,161168
34Z000,184850
360372,38483
410328,136171
410364,131895
410366,187810
410398,95714
410402,213137
410403,97359
410415,156892
410583,79597
410592,113804
420324,73348
422315,63481
440326,39470
450343,62165
490350,41114
500324,30589
510390,171693
530306,16775
540318,21379
540338,76308
560350,35523
580344,80255
590393,91767
600308,169391
600364,54929
600397,590731
600405,538105
600428,344703
600439,71374
600461,29273
600489,221689
600515,130579
600520,193073
60U000,79268
60V000,91767
61L000,49008
61U000,61178
620310,13814
640302,124001
640326,118080
640334,90452
640335,121698
640396,137815
650355,35852
660336,113804
67B000,55587
74B000,85847
74Z000,48022
770342,22695
780341,132224
780410,64467
800308,22037
800346,161826
800363,182877
800373,164786
800377,158208
810386,36510
830316,13486
850324,27629
880320,28287
900365,20064
910316,159524
920324,16117
920508,33220
920556,91438
92Q000,41114
93A000,45061
93L000,62494
960318,139789
960326,103608
960390,191099
