agency_code,act_per1000_all_inc2,act_per1000_am7_inc2,act_per1000_as7_inc2,act_per1000_bl7_inc2,act_per1000_eds_inc2,act_per1000_els_inc2,act_per1000_fem_inc2,act_per1000_hi7_inc2,act_per1000_male_inc2,act_per1000_mu7_inc2,act_per1000_pi7_inc2,act_per1000_swd_inc2,act_per1000_wh7_inc2,arr_per1000_all_inc2,arr_per1000_am7_inc2,arr_per1000_as7_inc2,arr_per1000_bl7_inc2,arr_per1000_eds_inc2,arr_per1000_els_inc2,arr_per1000_fem_inc2,arr_per1000_hi7_inc2,arr_per1000_male_inc2,arr_per1000_mu7_inc2,arr_per1000_pi7_inc2,arr_per1000_swd_inc2,arr_per1000_wh7_inc2,bha_per1000_all_inc2,bha_per1000_am7_inc2,bha_per1000_as7_inc2,bha_per1000_bl7_inc2,bha_per1000_eds_inc2,bha_per1000_els_inc2,bha_per1000_fem_inc2,bha_per1000_hi7_inc2,bha_per1000_male_inc2,bha_per1000_mu7_inc2,bha_per1000_pi7_inc2,bha_per1000_swd_inc2,bha_per1000_wh7_inc2,exp_per1000_all_inc2,exp_per1000_am7_inc2,exp_per1000_as7_inc2,exp_per1000_bl7_inc2,exp_per1000_eds_inc2,exp_per1000_els_inc2,exp_per1000_fem_inc2,exp_per1000_hi7_inc2,exp_per1000_male_inc2,exp_per1000_mu7_inc2,exp_per1000_pi7_inc2,exp_per1000_swd_inc2,exp_per1000_wh7_inc2,iss_per1000_all_inc2,iss_per1000_am7_inc2,iss_per1000_as7_inc2,iss_per1000_bl7_inc2,iss_per1000_eds_inc2,iss_per1000_els_inc2,iss_per1000_fem_inc2,iss_per1000_hi7_inc2,iss_per1000_male_inc2,iss_per1000_mu7_inc2,iss_per1000_pi7_inc2,iss_per1000_swd_inc2,iss_per1000_wh7_inc2,lts_per1000_all_inc2,lts_per1000_am7_inc2,lts_per1000_as7_inc2,lts_per1000_bl7_inc2,lts_per1000_eds_inc2,lts_per1000_els_inc2,lts_per1000_fem_inc2,lts_per1000_hi7_inc2,lts_per1000_male_inc2,lts_per1000_mu7_inc2,lts_per1000_pi7_inc2,lts_per1000_swd_inc2,lts_per1000_wh7_inc2,rpt_per1000_all_inc2,rpt_per1000_am7_inc2,rpt_per1000_as7_inc2,rpt_per1000_bl7_inc2,rpt_per1000_eds_inc2,rpt_per1000_els_inc2,rpt_per1000_fem_inc2,rpt_per1000_hi7_inc2,rpt_per1000_male_inc2,rpt_per1000_mu7_inc2,rpt_per1000_pi7_inc2,rpt_per1000_swd_inc2,rpt_per1000_wh7_inc2,sts_per1000_all_inc2,sts_per1000_am7_inc2,sts_per1000_as7_inc2,sts_per1000_bl7_inc2,sts_per1000_eds_inc2,sts_per1000_els_inc2,sts_per1000_fem_inc2,sts_per1000_hi7_inc2,sts_per1000_male_inc2,sts_per1000_mu7_inc2,sts_per1000_pi7_inc2,sts_per1000_swd_inc2,sts_per1000_wh7_inc2
00A000,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,
00B000,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,
010303,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.484,,,0.0,0.0,0.0,0.0,0.0,10.526,,,,9.901,4.484,,,23.256,0.0,0.0,7.519,0.0,0.0,,,,0.0
010304,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,4.959,,,30.303,6.27,,0.0,6.172999999999999,9.119,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,29.752,,,151.515,47.022,,3.367,12.345999999999998,51.672,,,134.615,16.807000000000002
010308,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,13.050999999999998,,,28.169,16.949,,6.667000000000002,,18.634,0.0,,32.258,13.857,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,47.308,,,112.676,57.627,,10.0,,80.745,43.478,,112.903,46.18899999999999,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,34.258,,,70.423,37.288,,0.0,,65.217,43.478,,177.419,34.642
010310,13.1926,,,18.4502,13.544,8.2645,8.4034,12.1065,17.3267,0.0,,16.6667,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,19.789,,,14.76,20.316,24.793000000000006,14.005999999999998,21.792,24.752,71.429,,16.667,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,270.449,,,428.044,352.144,305.785,257.703,181.598,279.703,392.857,,366.667,68.182,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,434.037,,,808.118,564.3340000000002,239.669,308.123,191.283,542.0790000000002,857.143,,808.3330000000002,136.364
010312,2.7248,,,0.0,3.3003,0.0,0.0,0.0,5.291,0.0,,20.4082,5.1546,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.812,,,18.987,3.3,17.857,0.0,19.231,13.228,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.362,,,0.0,3.3,0.0,0.0,0.0,2.6460000000000004,0.0,,10.204,2.577,21.798,,,63.291,42.904,0.0,2.747,9.615,39.683,68.182,,91.837,5.155
010320,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.514,,,24.096,23.392,0.0,5.6179999999999986,0.0,18.182,0.0,,13.158,12.048,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,151.351,,,349.398,239.766,176.47099999999998,73.03399999999998,86.95700000000002,195.455,55.556,,171.053,88.353,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,113.514,,,277.108,181.287,0.0,28.09,0.0,168.18200000000004,0.0,,289.474,76.305
010324,14.2737,,0.0,7.2993,18.8679,40.8163,8.8968,20.5128,18.1269,42.2535,,18.5185,12.0664,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.84,,0.0,0.0,2.096,0.0,1.779,0.0,0.0,0.0,,6.172999999999999,1.508,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,344.249,,66.667,492.701,530.398,367.347,154.804,343.59,487.915,478.8730000000001,,851.852,260.935,0.8396,,0.0,0.0,2.0964,0.0,0.0,0.0,1.5106,0.0,,0.0,1.5083,0.84,,0.0,3.65,0.0,0.0,1.779,0.0,0.0,0.0,,0.0,0.0,80.605,,0.0,113.139,134.172,40.816,24.911,56.41,123.867,98.592,,172.84,70.89
010326,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,15.203,,,41.667,21.845,5.102,0.0,3.2260000000000004,28.571,0.0,,39.474,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.689,,,5.207999999999998,2.427,0.0,0.0,0.0,3.175,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,126.689,,,312.5,169.903,20.408,84.87100000000002,25.806,165.079,105.263,,355.2630000000001,79.365
