agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
010304,15.0,,,3.0,0.0,7.0,7.0,8.0,,,0.0,5.0,1.0,,,0.2,1.0,0.467,0.467,0.5329999999999999,,,0.0,0.333
010320,24.0,,,7.0,0.0,9.0,3.0,15.0,5.0,,0.0,9.0,1.0,,,0.292,1.0,0.375,0.125,0.625,0.208,,0.0,0.375
010326,30.0,,,7.0,0.0,10.0,20.0,20.0,1.0,,0.0,2.0,1.0,,,0.233,1.0,0.333,0.667,0.667,0.033,,0.0,0.067
010347,9.0,,1.0,1.0,0.0,3.0,2.0,6.0,1.0,,0.0,4.0,1.0,,0.111,0.111,1.0,0.333,0.222,0.667,0.111,,0.0,0.444
010351,15.0,,,2.0,0.0,8.0,2.0,7.0,1.0,,0.0,10.0,1.0,,,0.133,1.0,0.5329999999999999,0.133,0.467,0.067,,0.0,0.667
010354,29.0,,,10.0,0.0,16.0,14.0,13.0,1.0,,0.0,4.0,1.0,,,0.345,1.0,0.552,0.483,0.448,0.034,,0.0,0.138
010357,73.0,,1.0,26.0,1.0,36.0,24.0,37.0,5.0,,0.0,17.0,1.0,,0.014,0.35600000000000004,1.0,0.493,0.329,0.507,0.068,,0.0,0.233
010358,26.0,1.0,3.0,5.0,0.0,13.0,8.0,13.0,2.0,,0.0,7.0,1.0,0.038,0.115,0.192,1.0,0.5,0.308,0.5,0.077,,0.0,0.269
010362,15.0,,1.0,1.0,0.0,7.0,10.0,8.0,,,0.0,3.0,1.0,,0.067,0.067,1.0,0.467,0.667,0.5329999999999999,,,0.0,0.2
010364,10.0,,,4.0,0.0,4.0,5.0,6.0,,,0.0,1.0,1.0,,,0.4,1.0,0.4,0.5,0.6,,,0.0,0.1
010372,15.0,,,4.0,0.0,9.0,4.0,6.0,2.0,,0.0,5.0,1.0,,,0.267,1.0,0.6,0.267,0.4,0.133,,0.0,0.333
010374,15.0,,,2.0,0.0,10.0,10.0,5.0,1.0,,0.0,2.0,1.0,,,0.133,1.0,0.667,0.667,0.333,0.067,,0.0,0.133
010380,50.0,,,11.0,0.0,19.0,21.0,31.0,6.0,,0.0,12.0,1.0,,,0.22,1.0,0.38,0.42,0.62,0.12,,0.0,0.24
010392,15.0,,,1.0,0.0,3.0,3.0,12.0,,,0.0,11.0,1.0,,,0.067,1.0,0.2,0.2,0.8,,,0.0,0.733
020304,16.0,,,2.0,0.0,7.0,3.0,9.0,2.0,,0.0,9.0,1.0,,,0.125,1.0,0.438,0.188,0.563,0.125,,0.0,0.563
020316,16.0,,,,0.0,6.0,2.0,10.0,,,0.0,14.0,1.0,,,,1.0,0.375,0.125,0.625,,,0.0,0.875
020320,20.0,,,2.0,0.0,8.0,9.0,12.0,,,0.0,9.0,1.0,,,0.1,1.0,0.4,0.45,0.6,,,0.0,0.45
020328,16.0,,1.0,,0.0,4.0,3.0,12.0,3.0,,0.0,9.0,1.0,,0.063,,1.0,0.25,0.188,0.75,0.188,,0.0,0.563
020332,3.0,,,,0.0,2.0,1.0,1.0,1.0,,0.0,1.0,1.0,,,,1.0,0.667,0.333,0.333,0.333,,0.0,0.333
030308,18.0,,,,0.0,9.0,7.0,9.0,,,0.0,11.0,1.0,,,,1.0,0.5,0.389,0.5,,,0.0,0.611
030316,15.0,,,,0.0,9.0,1.0,6.0,,,0.0,14.0,1.0,,,,1.0,0.6,0.067,0.4,,,0.0,0.933
030320,47.0,,,,0.0,23.0,12.0,24.0,3.0,,0.0,32.0,1.0,,,,1.0,0.489,0.255,0.511,0.064,,0.0,0.6809999999999999
050330,71.0,,1.0,,8.0,33.0,15.0,38.0,2.0,,0.0,53.0,1.0,,0.014,,1.0,0.465,0.211,0.535,0.028,,0.0,0.746
060304,14.0,,,,0.0,5.0,1.0,9.0,,,0.0,13.0,1.0,,,,1.0,0.35700000000000004,0.071,0.643,,,0.0,0.929
060316,17.0,,,,3.0,7.0,3.0,10.0,,,0.0,14.0,1.0,,,,1.0,0.412,0.17600000000000002,0.588,,,0.0,0.8240000000000001
060322,14.0,,,,0.0,8.0,,6.0,,,0.0,14.0,1.0,,,,1.0,0.5710000000000001,,0.429,,,0.0,1.0
060328,17.0,,,,5.0,12.0,6.0,5.0,,,0.0,11.0,1.0,,,,1.0,0.706,0.353,0.294,,,0.0,0.647
060332,11.0,,,,0.0,5.0,,6.0,,,0.0,11.0,1.0,,,,1.0,0.455,,0.545,,,0.0,1.0
070302,78.0,,,38.0,0.0,29.0,24.0,49.0,6.0,,0.0,10.0,1.0,,,0.487,1.0,0.3720000000000001,0.308,0.628,0.077,,0.0,0.128
