agency_code,pct_prin_demo_BL7,pct_prin_demo_FEM,pct_prin_demo_MALE,pct_prin_demo_OTHER,pct_prin_demo_WH7
010LEA,0.14300000000000002,0.6,0.4,0.0,0.857
020LEA,0.0,0.455,0.545,0.0,1.0
030LEA,0.0,0.0,1.0,0.0,1.0
040LEA,0.4,0.5,0.5,0.1,0.5
050LEA,0.0,0.667,0.33299999999999996,0.0,1.0
060LEA,0.0,0.28600000000000003,0.7140000000000001,0.0,1.0
070LEA,0.14300000000000002,0.5,0.5,0.0,0.857
080LEA,0.7140000000000001,0.857,0.14300000000000002,0.0,0.28600000000000003
090LEA,0.385,0.846,0.154,0.0,0.615
100LEA,0.105,0.526,0.42100000000000004,0.053,0.8420000000000001
110LEA,0.048,0.619,0.381,0.0,0.9520000000000001
111LEA,0.4,0.7,0.3,0.0,0.6
120LEA,0.077,0.6920000000000001,0.308,0.0,0.9229999999999999
130LEA,0.105,0.474,0.526,0.0,0.895
132LEA,0.0,0.33299999999999996,0.667,0.0,1.0
140LEA,0.077,0.5379999999999999,0.462,0.0,0.9229999999999999
150LEA,0.25,0.5,0.5,0.0,0.75
160LEA,0.0,0.778,0.222,0.055999999999999994,0.9440000000000001
170LEA,0.5,0.833,0.16699999999999998,0.0,0.5
180LEA,0.069,0.552,0.44799999999999995,0.0,0.9309999999999999
181LEA,0.222,0.889,0.111,0.0,0.778
182LEA,0.0,0.5710000000000001,0.429,0.0,1.0
190LEA,0.11800000000000001,0.529,0.47100000000000003,0.0,0.882
200LEA,0.0,0.5379999999999999,0.462,0.0,1.0
210LEA,0.25,0.5,0.5,0.0,0.75
220LEA,0.0,0.667,0.33299999999999996,0.0,1.0
230LEA,0.10300000000000001,0.586,0.414,0.0,0.897
240LEA,0.059000000000000004,0.47100000000000003,0.529,0.11800000000000001,0.8240000000000001
241LEA,0.2,0.8,0.2,0.0,0.8
250LEA,0.24,0.6,0.4,0.0,0.76
260LEA,0.48200000000000004,0.682,0.306,0.024,0.494
270LEA,0.0,0.8,0.2,0.2,0.8
280LEA,0.091,0.455,0.545,0.0,0.909
290LEA,0.0,0.6940000000000001,0.306,0.0,1.0
291LEA,0.5710000000000001,0.857,0.14300000000000002,0.0,0.429
292LEA,0.75,0.75,0.25,0.0,0.25
300LEA,0.0,0.917,0.083,0.0,1.0
310LEA,0.231,0.615,0.385,0.0,0.769
320LEA,0.691,0.691,0.309,0.0,0.309
330LEA,0.35700000000000004,0.5710000000000001,0.429,0.0,0.643
340LEA,0.33299999999999996,0.603,0.397,0.0,0.667
350LEA,0.529,0.588,0.41200000000000003,0.059000000000000004,0.41200000000000003
360LEA,0.14800000000000002,0.7040000000000001,0.29600000000000004,0.0,0.852
370LEA,0.4,0.6,0.4,0.0,0.6
