agency_code,pct_ready_kea_a_cat_code,pct_ready_kea_e_cat_code,pct_ready_kea_i_cat_code,pct_ready_kea_m_cat_code
010304,,2.9,,
010308,,78.4,,
010312,,60.1,,
010320,,38.7,,
010326,,45.8,,
010328,,46.8,,
010340,,39.2,,
010346,,76.6,,
010347,,70.7,,
010351,,42.0,,
010354,,29.1,,
010357,,54.3,,
010358,,41.6,,
010362,,26.2,,
010364,,47.5,,
010372,,56.3,,
010374,,21.6,,
010380,,31.6,,
010384,,58.4,,
010392,,90.7,,
020304,,96.2,,
020308,,92.9,,
020316,,77.0,,
020320,,72.1,,
020324,,88.1,,
020328,,45.2,,
020332,,98.2,,
030308,,,79.2,
030316,,,90.0,
030320,,,54.4,
040308,,79.3,,
040311,,75.0,,
040316,,55.9,,
040324,,10.0,,
040328,,84.6,,
050310,,13.0,,
050330,,51.4,,
050335,,39.1,,
060304,,62.5,,
060316,,46.4,,
060322,,62.5,,
060328,,56.7,,
060332,,75.0,,
070302,,48.1,,
070308,,,50.0,
070326,,0.0,,
070329,,,37.1,
070340,,65.2,65.2,
080348,,0.0,,
080356,,0.0,,
080360,,65.4,,
080362,,61.5,,
090317,,42.5,,
090318,,30.2,,
090324,,76.9,,
090333,,51.6,,
090352,,45.9,,
100302,,19.3,,
100304,,3.6,,
100310,,0.0,,
100320,,28.6,,
100336,,44.0,,
100338,,1.3,,
100339,,44.3,,
100340,,18.8,,
100342,,33.3,,
100344,,,2.4,
110308,,0.0,,
110320,,53.2,,
110324,,31.8,,
110332,,65.9,,
110348,,29.9,,
110356,,74.8,,
110366,,48.2,,
110368,,31.8,,
110370,,53.1,,
110372,,11.8,,
110376,,51.1,,
110379,,55.7,,
110384,,32.5,,
110388,,37.1,,
110408,,48.5,,
110410,,38.5,,
110412,,39.0,,
110422,,53.6,,
110432,,66.0,,
110436,,26.5,,
110444,,72.0,,
111304,,77.1,,
111306,,86.4,,
111307,,37.5,,
111312,,95.3,,
111332,,84.6,,
111360,,89.8,,
