agency_code,avg_size_00_sar,avg_size_01_sar,avg_size_02_sar,avg_size_03_sar,avg_size_04_sar,avg_size_05_sar,avg_size_06_sar,avg_size_07_sar,avg_size_08_sar,avg_size_biology_sar,avg_size_english ii_sar,avg_size_nc math 1_sar,avg_size_nc math 3_sar
00A000,,,,,,,,,,42.0,44.0,60.0,49.0
00B000,,,,,,,,,,33.0,21.0,38.0,26.0
010303,,,,,,,,,,11.0,20.0,20.0,17.0
010304,18.0,18.0,18.0,20.0,23.0,23.0,,,,,,,
010308,18.0,18.0,18.0,22.0,27.0,19.0,,,,,,,
010310,,,,,,,16.0,13.0,13.0,,,21.0,
010312,15.0,22.0,18.0,19.0,20.0,22.0,,,,,,,
010320,19.0,15.0,20.0,16.0,16.0,13.0,,,,,,,
010324,,,,,,,,,,21.0,27.0,19.0,24.0
010326,19.0,14.0,16.0,16.0,24.0,29.0,,,,,,,
010328,20.0,20.0,17.0,19.0,27.0,27.0,,,,,,,
010340,21.0,21.0,18.0,18.0,19.0,24.0,,,,,,,
010346,12.0,10.0,20.0,18.0,20.0,22.0,,,,,,,
010347,16.0,15.0,20.0,18.0,21.0,22.0,,,,,,,
010348,,,,,,,,,,13.0,19.0,22.0,22.0
010350,,,,,,,15.0,18.0,21.0,,,24.0,
010351,17.0,17.0,16.0,17.0,25.0,27.0,,,,,,,
010353,,,,,,,18.0,19.0,22.0,,,26.0,
010354,20.0,18.0,21.0,18.0,21.0,22.0,,,,,,,
010357,,,,,19.0,14.0,,,,,,,
010358,18.0,16.0,17.0,18.0,19.0,22.0,,,,,,,
010360,,,,,,,,,,20.0,23.0,20.0,22.0
010362,20.0,16.0,20.0,17.0,21.0,17.0,,,,,,,
010364,20.0,18.0,16.0,19.0,20.0,22.0,,,,,,,
010372,16.0,16.0,15.0,22.0,25.0,16.0,,,,,,,
010374,19.0,21.0,14.0,16.0,17.0,20.0,,,,,,,
010378,,,,,,,,,6.0,5.0,5.0,10.0,
010380,18.0,13.0,17.0,19.0,24.0,21.0,,,,,,,
010384,20.0,20.0,20.0,21.0,22.0,23.0,,,,,,,
010388,,,,,,,,,,24.0,22.0,21.0,25.0
010390,,,,,,,23.0,22.0,23.0,,,29.0,
010392,21.0,18.0,14.0,17.0,22.0,20.0,,,,,,,
010394,,,,,,,19.0,21.0,19.0,,,24.0,
010396,,,,,,,,,,19.0,20.0,17.0,25.0
010400,,,,,,,,,,23.0,23.0,26.0,25.0
010403,,,,,,,19.0,24.0,24.0,,,28.0,
010406,,,,,,,31.0,16.0,17.0,,,25.0,
01B000,,,,,,,,,,10.0,11.0,24.0,15.0
01C000,,,,,,,,,,11.0,24.0,12.0,14.0
01D000,,,,,,,,,,18.0,12.0,18.0,13.0
020302,,,,,,,,,,19.0,19.0,16.0,19.0
020303,,,,,,,,,,25.0,15.0,20.0,13.0
020304,13.0,17.0,15.0,18.0,23.0,20.0,,,,,,,
020306,,,,,,,24.0,20.0,22.0,,,,
020308,12.0,10.0,13.0,22.0,24.0,17.0,,,,,,,
020316,12.0,14.0,16.0,39.0,20.0,21.0,,,,,,,
020320,21.0,19.0,20.0,13.0,21.0,19.0,,,,,,,
020324,22.0,23.0,18.0,18.0,19.0,16.0,,,,,,,
020328,13.0,13.0,11.0,20.0,19.0,20.0,,,,,,,
020330,,,,,,,22.0,23.0,26.0,,,,
020332,14.0,22.0,12.0,38.0,23.0,9.0,,,,,,,
030304,,,,,,,,,,17.0,17.0,16.0,16.0
030308,,,,,23.0,16.0,28.0,18.0,22.0,,,,
030316,,,,,14.0,14.0,22.0,18.0,22.0,,,,
030320,,,,,16.0,20.0,19.0,23.0,17.0,,,,
040304,,,,,,,,,,17.0,21.0,16.0,19.0
040305,,,,,,,,,,,6.0,,12.0
040306,,,,,,,,,,16.0,20.0,14.0,22.0
040308,8.0,16.0,6.0,,26.0,12.0,,,,,,,
040309,,,,,,,21.0,21.0,19.0,,,21.0,
040311,11.0,12.0,15.0,17.0,,,,,,,,,
040316,15.0,14.0,9.0,11.0,22.0,13.0,,,,,,,
040324,10.0,10.0,11.0,9.0,15.0,15.0,,,,,,,
040328,15.0,12.0,12.0,11.0,16.0,17.0,,,,,,,
040330,,,,,18.0,18.0,,,,,,,
050302,,,,,,,,,,14.0,16.0,11.0,21.0
050303,,,,,,,,,,,16.0,15.0,14.0
050305,,,,,,,,19.0,17.0,,,,
050310,15.0,14.0,14.0,20.0,15.0,17.0,19.0,,,,,,
050330,17.0,16.0,16.0,21.0,17.0,15.0,23.0,,,,,,
050335,13.0,18.0,17.0,15.0,18.0,23.0,10.0,,,,,,
060302,,,,,,,,,,19.0,20.0,18.0,22.0
060304,16.0,17.0,14.0,12.0,21.0,23.0,,,,,,,
060310,,,,,,,19.0,24.0,17.0,,,14.0,
