agency_code,avg_sat_score,pct_sat_participation
00A000,1059.0,0.168
00B000,,
10303,1111.0,0.609
10324,1077.0,0.405
10348,929.0,0.648
10360,982.0,0.308
10388,1088.0,0.366
10396,1046.0,0.5329999999999999
10400,1099.0,0.5710000000000001
010LEA,1050.0,0.462
01B000,1065.0,0.483
01C000,1047.0,0.72
01D000,1233.0,0.619
20302,1066.0,0.198
020LEA,1066.0,0.198
30304,1007.0,0.17800000000000002
030LEA,1007.0,0.17800000000000002
40304,1019.0,0.557
40306,900.0,0.606
040LEA,931.0,0.5670000000000001
50302,1087.0,0.391
050LEA,1087.0,0.391
60302,1113.0,0.281
60700,,
060LEA,1103.0,0.019
06A000,,
06B000,,
70311,1164.0,0.146
70330,1027.0,0.115
70339,1031.0,0.364
70342,984.0,0.395
070LEA,1017.0,0.282
07A000,,
80311,917.0,0.068
80312,872.0,0.551
080LEA,887.0,0.589
90330,983.0,0.293
90368,970.0,0.203
090LEA,977.0,0.244
09A000,884.0,0.652
100307,1232.0,0.09300000000000001
100308,,
100326,1022.0,0.341
100334,1100.0,0.289
100348,1059.0,0.315
100LEA,1065.0,0.284
110304,1118.0,0.49700000000000005
110322,1139.0,0.168
110323,,
110336,1082.0,0.41200000000000003
110340,1038.0,0.166
110352,1086.0,0.426
110380,1135.0,0.33899999999999997
110416,1155.0,0.513
110500,1270.0,0.765
110LEA,1133.0,0.40399999999999997
111302,1147.0,0.675
111700,1159.0,0.078
111LEA,1151.0,0.7040000000000001
11C000,,
11D000,,
120310,1100.0,0.02
120314,1085.0,0.126
120318,1114.0,0.188
120346,,
120370,1147.0,0.21899999999999997
120LEA,1122.0,0.147
130307,1127.0,0.72
130310,1079.0,0.466
130314,1109.0,0.042
130316,1070.0,0.040999999999999995
130324,1106.0,0.345
130326,1075.0,0.42100000000000004
130332,1110.0,0.642
130333,,
130350,1180.0,0.754
130LEA,1104.0,0.514
132304,994.0,0.28600000000000003
132LEA,994.0,0.28600000000000003
13A000,1025.0,0.354
140305,1071.0,0.332
140309,1164.0,0.489
140348,1016.0,0.45299999999999996
140386,1089.0,0.28600000000000003
140390,1034.0,0.278
140LEA,1076.0,0.354
150304,1094.0,0.311
150350,1123.0,0.342
150LEA,1102.0,0.319
160313,1136.0,0.228
160314,1203.0,0.444
160344,1165.0,0.324
160LEA,1177.0,0.342
170316,1005.0,0.42200000000000004
170LEA,1005.0,0.42200000000000004
180308,1083.0,0.424
180320,1013.0,0.28600000000000003
180325,1228.0,0.248
180340,1117.0,0.41700000000000004
180348,1082.0,0.43700000000000006
180376,1094.0,0.337
180LEA,1092.0,0.366
181318,,
181322,1110.0,0.604
181LEA,1102.0,0.562
182316,1049.0,0.293
182700,1165.0,0.685
182LEA,1099.0,0.354
190310,,
190316,1019.0,0.568
190336,1003.0,0.552
190342,1144.0,0.615
190LEA,1083.0,0.588
19A000,1121.0,0.684
19B000,1280.0,0.889
200308,,0.094
200328,1076.0,0.233
200350,,
200LEA,1110.0,0.128
210312,1020.0,0.493
210LEA,1020.0,0.493
220310,1039.0,0.382
220LEA,1039.0,0.382
230312,1022.0,0.344
230322,1155.0,0.40700000000000003
230324,1060.0,0.371
230350,1098.0,0.024
230361,986.0,0.456
230LEA,1047.0,0.332
240334,907.0,0.484
240371,1005.0,0.573
240373,1069.0,0.163
240380,977.0,0.528
240LEA,982.0,0.45799999999999996
241316,1046.0,0.299
241LEA,1046.0,0.28800000000000003
24B000,,
250314,,
250321,1104.0,0.172
250340,1047.0,0.326
250356,1084.0,0.313
250372,1028.0,0.23199999999999998
250LEA,1067.0,0.27399999999999997
260318,1120.0,0.465
260322,934.0,0.33899999999999997
260325,1064.0,0.359
260347,1066.0,0.48100000000000004
260354,1186.0,0.175
260357,1037.0,0.354
260359,909.0,0.305
260374,,
260388,1043.0,0.41700000000000004
