agency_code,welcome_url
140LEA,https://www.caldwellschools.com/Page/2218
630LEA,https://www.ncmcs.org/SchoolReportCards
13A000,https://www.ciscomets.com/accountability-performance
620LEA,https://www.montgomery.k12.nc.us/Page/7884
960LEA,http://www.waynecountyschools.org/srcwelcomemessage.aspx
040LEA,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
310LEA,https://www.duplinschools.net/Page/19
850LEA,http://www.stokes.k12.nc.us/srcwelcome/letter.html
510LEA,https://www.johnston.k12.nc.us/welcomeletter
230LEA,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
500LEA,https://www.jcpsnc.org/academics/src
291LEA,http://www.lexcs.org/district_information/district___school_report_cards
350LEA,https://www.fcschools.net/domain/56
68C000,https://docs.google.com/document/d/14zs360I7ohIfLwjD4Oxb0LlehnKxZXj6qQTi8zxqpGE/edit?usp=sharing
182LEA,https://4.files.edl.io/267b/09/06/19/204925-92e60b67-ea98-420c-8408-f21519cf0dc9.pdf
26C000,https://www.capitolencoreacademy.org/wp-content/uploads/2019/09/SRC-Welcome-Letter-2019.pdf
491LEA,https://resources.finalsite.net/images/v1568057608/mooresvillesd/yems6bjulzfm7cm9ql8g/MGSD2018-2019SchoolReportCardLetter.pdf
470LEA,https://www.google.com/url?q=https%3A%2F%2Fsites.google.com%2Fhcs.k12.nc.us%2Fsuptwelcomeletter%2Fhome&sa=D&sntz=1&usg=AFQjCNGVEpjIxkuFhkJD2rrt9E25GDOIVQ
11K000,http://fdnsc.net/wp-content/uploads/2015/02/cover-letter-for-report-card-2015.pdf
340LEA,https://www.wsfcs.k12.nc.us/Page/55
760LEA,https://drive.google.com/open?id=1Bsam5gDpIX3KBsmCgM1b5ZxYzaHRgLZH
821LEA,https://docs.google.com/document/d/1EJEhXWk6sqQfRvmoDdDzT1N1_wyoQkaFRX8hMahixtg/preview
180LEA,http://www.catawbaschools.net/srcwelcome
150LEA,https://ccsnc.org/information/report-card/
32L000,https://www.voyageracademy.net/accountability/school-report-card/
980LEA,https://drive.google.com/file/d/1VrH6Ndu2OA5uIqF5mB4iS4vlEgWpGedU/view
681LEA,https://docs.google.com/document/d/1i4YKY7SuJXak67GPhejsOVv6bHDsSEiF5_IQxVjsUwo/edit
430LEA,https://www.harnett.k12.nc.us/testing
820LEA,https://www.sampson.k12.nc.us/cms/lib/NC01911190/Centricity/Domain/4//Report%20Card/2019-2020%20SCS%20School%20Report%20Card%20Letter.pdf
320LEA,https://www.dpsnc.net/DPS-Report-Card-2019
460LEA,https://www.hertford.k12.nc.us/cms/lib/NC02214545/Centricity/Domain/50/SRC%20Welcome%20Letter%20for%202019.pdf
360LEA,https://docs.google.com/document/d/1upe_OItF1VvSvaeM-3KABPfkZju1o6A20X2QSOZLk_Q/edit
00B000,https://k12inc-my.sharepoint.com/:b:/g/personal/ebrown_ncvacademy_org/EWQGoZZ6UjNIj_S6RGm1cTMBdeF3bHWw9UIcfTsELWNNRQ?e=fgKp2f
240LEA,http://www2.columbus.k12.nc.us/main/testing-and-accountability/
220LEA,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
880LEA,https://www.tcsnc.org/departments/testing_and_accountability/nc_school_report_cards
300LEA,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
730LEA,https://www.pcsnc.org/site/default.aspx?PageID=507
080LEA,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
260LEA,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
691LEA,https://www.pamlicoschools.org/
250LEA,https://www.cravenk12.org/Page/1458
60D000,https://docs.google.com/document/d/1Yz-Et3rhUK_Dzr8t0yGD1Bs_LlMWVokyWeV-UVQ_C4I/edit
720LEA,https://drive.google.com/file/d/1OkAxvbktUPp7dmpYmp5Jaajz9lCKIbqW/view?usp=sharing
410LEA,https://www.gcsnc.com/cms/lib/NC01910393/Centricity/shared/report%20card%20letter/GCS%20School%20Report%20Cards%20Welcome%20Letter%202019.pdf
32N000,https://docs.wixstatic.com/ugd/6db512_0fe4c287f3914926b387ff5aa287127a.pdf
550LEA,https://www.lcsnc.org/Page/12720
440LEA,http://www.haywood.k12.nc.us/accountability/nc-school-report-card/
181LEA,https://docs.google.com/document/d/1SUSM6R5Lsq-wFCzhHgBYq7zzWvh9KgpqvrfN-o5hik4/edit?usp=sharing
900LEA,https://www.ucps.k12.nc.us/domain/141
970LEA,https://www.wilkescountyschools.org/apps/pages/index.jsp?uREC_ID=428352&type=d&pREC_ID=1773121
23A000,https://www.pinnacleclassicalacademy.com/nc-school-report-card-2018-19
940LEA,https://drive.google.com/file/d/19xJDHL37Bhi1HhEqDu-FDSCVdnqXJPQ2/view?usp=sharing
710LEA,https://dochub.com/sherylkimbro/Q236wRb/pcs-welcome-letter-fall-2019-eng-and-span-pdf
761LEA,http://www.asheboro.k12.nc.us/SchoolReportCard.aspx
90A000,https://docs.google.com/document/d/1rE91LXjudZLNXzohF7QTApixfp2KYM-aqZ18gNtGLFw/edit?usp=sharing
010LEA,https://www.abss.k12.nc.us/Page/43983
280LEA,https://www.daretolearn.org/about/school-report-cards
60J000,https://docs.wixstatic.com/ugd/287e90_08dc5eafa0fb4da0bedaf706fe07e9e8.pdf
700LEA,http://www.ecpps.k12.nc.us/srcwelcome/letter
070LEA,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
660LEA,http://www.northampton.k12.nc.us/UserFiles/Servers/Server_1005942/File/2019-2020%20CalendarsNewFolder/School%20Report%20Card%20Superintendent%202019.pdf  
10303,https://www.abss.k12.nc.us/Page/43983
10304,https://www.abss.k12.nc.us/Page/43983
10308,https://www.abss.k12.nc.us/Page/43983
10310,https://www.abss.k12.nc.us/Page/43983
10311,https://www.abss.k12.nc.us/Page/43983
10312,https://www.abss.k12.nc.us/Page/43983
10320,https://www.abss.k12.nc.us/Page/43983
10324,https://www.abss.k12.nc.us/Page/43983
10326,https://www.abss.k12.nc.us/Page/43983
10328,https://www.abss.k12.nc.us/Page/43983
10340,https://www.abss.k12.nc.us/Page/43983
10346,https://www.abss.k12.nc.us/Page/43983
10347,https://www.abss.k12.nc.us/Page/43983
10348,https://www.abss.k12.nc.us/Page/43983
10350,https://www.abss.k12.nc.us/Page/43983
10351,https://www.abss.k12.nc.us/Page/43983
10353,https://www.abss.k12.nc.us/Page/43983
10354,https://www.abss.k12.nc.us/Page/43983
10357,https://www.abss.k12.nc.us/Page/43983
10358,https://www.abss.k12.nc.us/Page/43983
10360,https://www.abss.k12.nc.us/Page/43983
10362,https://www.abss.k12.nc.us/Page/43983
10364,https://www.abss.k12.nc.us/Page/43983
10372,https://www.abss.k12.nc.us/Page/43983
10374,https://www.abss.k12.nc.us/Page/43983
10378,https://www.abss.k12.nc.us/Page/43983
10380,https://www.abss.k12.nc.us/Page/43983
10384,https://www.abss.k12.nc.us/Page/43983
10388,https://www.abss.k12.nc.us/Page/43983
10390,https://www.abss.k12.nc.us/Page/43983
10392,https://www.abss.k12.nc.us/Page/43983
10394,https://www.abss.k12.nc.us/Page/43983
10396,https://www.abss.k12.nc.us/Page/43983
10400,https://www.abss.k12.nc.us/Page/43983
10403,https://www.abss.k12.nc.us/Page/43983
10406,https://www.abss.k12.nc.us/Page/43983
40304,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40305,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40306,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40308,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40309,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40311,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40316,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40324,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40328,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
40330,https://ansonschools.org/files/user/4/file/NC%20SRC%20Welcome%20Letter%2018-19%20data.pdf
70302,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70308,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70310,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70311,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70325,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70326,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70327,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70328,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70329,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70330,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70338,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70339,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70340,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
70342,https://drive.google.com/open?id=1eRwljswiOklmNl3XECsGLSqsTTDpDy1R
80311,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80312,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80314,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80348,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80356,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80360,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
80362,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/2019_Welcome_Letter_use.pdf
140304,https://www.caldwellschools.com/Page/2218
140305,https://www.caldwellschools.com/Page/2218
140306,https://www.caldwellschools.com/Page/2218
140307,https://www.caldwellschools.com/Page/2218
140308,https://www.caldwellschools.com/Page/2218
140309,https://www.caldwellschools.com/Page/2218
140312,https://www.caldwellschools.com/Page/2218
140316,https://www.caldwellschools.com/Page/2218
140324,https://www.caldwellschools.com/Page/2218
140332,https://www.caldwellschools.com/Page/2218
140336,https://www.caldwellschools.com/Page/2218
140340,https://www.caldwellschools.com/Page/2218
140344,https://www.caldwellschools.com/Page/2218
140348,https://www.caldwellschools.com/Page/2218
140352,https://www.caldwellschools.com/Page/2218
140356,https://www.caldwellschools.com/Page/2218
140360,https://www.caldwellschools.com/Page/2218
140368,https://www.caldwellschools.com/Page/2218
140372,https://www.caldwellschools.com/Page/2218
140376,https://www.caldwellschools.com/Page/2218
