year,LEA,____LEA Name____,School,___School Name___,Indian Male,Indian Female,Asian Male,Asian Female,Hispanic Male,Hispanic Female,Black Male,Black Female,White Male,White Female,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Total,agency_code
2020,010,Alamance-Burlington Schools,303,ABSS Early College at ACC,1,0,4,2,26,47,12,24,53,52,0,0,3,7,231,010303
2020,010,Alamance-Burlington Schools,304,Alexander Wilson Elementary,1,0,5,7,85,73,29,24,187,160,1,0,10,21,603,010304
2020,010,Alamance-Burlington Schools,308,Altamahaw-Ossipee Elementary,1,0,0,0,35,54,29,33,227,198,0,0,23,16,616,010308
2020,010,Alamance-Burlington Schools,310,Broadview Middle,2,1,2,2,226,216,145,132,37,29,0,1,12,10,815,010310
2020,010,Alamance-Burlington Schools,312,Highland Elementary,2,0,28,16,46,38,60,82,165,185,0,0,25,14,661,010312
2020,010,Alamance-Burlington Schools,320,E M Yoder Elementary,0,0,0,3,22,19,38,29,119,108,0,0,5,11,354,010320
2020,010,Alamance-Burlington Schools,324,Eastern Alamance High,2,3,7,8,115,93,147,129,335,273,2,1,38,39,"1,192",010324
2020,010,Alamance-Burlington Schools,326,Eastlawn Elementary,0,1,0,0,167,117,99,89,35,25,0,0,11,16,560,010326
2020,010,Alamance-Burlington Schools,328,Edwin M Holt Elementary,1,1,1,2,34,26,19,11,265,227,0,0,12,14,613,010328
2020,010,Alamance-Burlington Schools,340,Elon Elementary,1,2,3,6,82,65,62,50,206,219,0,1,33,30,760,010340
2020,010,Alamance-Burlington Schools,346,B. Everett Jordan Elementary,0,0,1,1,46,38,17,23,128,101,0,0,9,6,370,010346
2020,010,Alamance-Burlington Schools,347,Audrey W. Garrett Elementary,1,1,3,4,70,67,52,59,151,151,0,0,22,19,600,010347
2020,010,Alamance-Burlington Schools,348,Graham High,2,3,6,8,193,202,107,115,95,56,0,0,23,24,834,010348
2020,010,Alamance-Burlington Schools,350,Graham Middle,4,5,3,6,181,161,91,92,60,61,0,0,16,17,697,010350
2020,010,Alamance-Burlington Schools,351,Grove Park Elementary,1,1,4,3,54,50,111,90,48,42,1,1,20,19,445,010351
2020,010,Alamance-Burlington Schools,353,Hawfields Middle,2,0,10,11,94,80,66,57,177,177,0,0,20,22,716,010353
2020,010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,1,1,3,1,113,120,123,119,34,40,0,1,13,11,580,010354
2020,010,Alamance-Burlington Schools,357,Haw River Elementary,0,1,0,1,112,104,58,68,48,39,0,0,11,9,451,010357
2020,010,Alamance-Burlington Schools,358,Hillcrest Elementary,2,3,3,4,97,80,152,132,45,36,1,0,14,25,594,010358
2020,010,Alamance-Burlington Schools,360,Hugh M Cummings High,1,0,6,3,256,281,173,178,36,28,0,1,16,15,994,010360
2020,010,Alamance-Burlington Schools,362,Marvin B Smith Elementary,0,0,4,6,60,53,50,58,136,108,0,2,20,21,518,010362
2020,010,Alamance-Burlington Schools,364,North Graham Elementary,0,1,0,1,69,63,70,83,38,20,0,0,18,20,383,010364
2020,010,Alamance-Burlington Schools,372,Pleasant Grove Elementary,0,2,0,1,38,37,53,58,51,52,0,0,9,8,309,010372
2020,010,Alamance-Burlington Schools,374,R Homer Andrews Elementary,0,2,2,2,167,150,84,75,19,18,1,0,11,10,541,010374
2020,010,Alamance-Burlington Schools,378,Ray Street Academy,0,0,0,0,1,0,11,2,24,5,0,0,3,2,48,010378
2020,010,Alamance-Burlington Schools,380,South Graham Elementary,2,1,3,7,121,103,75,60,72,52,0,0,21,17,534,010380
2020,010,Alamance-Burlington Schools,384,South Mebane Elementary,1,3,11,10,44,38,95,107,127,125,0,0,39,27,627,010384
2020,010,Alamance-Burlington Schools,388,Southern Alamance High,2,3,5,9,125,121,62,39,539,460,0,0,26,20,"1,411",010388
2020,010,Alamance-Burlington Schools,390,Southern Alamance Middle,0,2,3,1,35,53,25,21,289,304,0,0,11,20,764,010390
2020,010,Alamance-Burlington Schools,392,Sylvan Elementary,0,0,0,0,15,14,8,3,109,104,0,0,5,8,266,010392
2020,010,Alamance-Burlington Schools,394,Turrentine Middle,0,0,14,16,139,112,199,196,148,140,1,0,31,30,"1,026",010394
2020,010,Alamance-Burlington Schools,396,Walter M Williams High,0,1,18,18,167,139,172,195,213,177,1,1,28,33,"1,163",010396
2020,010,Alamance-Burlington Schools,400,Western Alamance High,1,4,6,8,92,71,72,60,420,356,5,0,17,16,"1,128",010400
2020,010,Alamance-Burlington Schools,403,Western Alamance Middle,1,1,5,6,61,86,54,49,266,274,1,2,14,17,837,010403
2020,010,Alamance-Burlington Schools,406,Woodlawn Middle,1,0,1,4,57,38,79,86,144,150,0,0,22,28,610,010406
2020,020,Alexander County Schools,302,Alexander Central High,2,1,5,5,65,50,26,28,496,467,0,0,33,27,"1,205",020302
2020,020,Alexander County Schools,303,Alexander Early College,0,0,6,5,19,20,1,1,69,102,0,0,5,2,230,020303
2020,020,Alexander County Schools,304,Bethlehem Elementary,0,0,4,7,8,17,4,4,198,191,0,1,4,11,449,020304
2020,020,Alexander County Schools,306,East Alexander Middle,0,0,1,3,44,38,22,19,237,207,0,0,23,15,609,020306
2020,020,Alexander County Schools,308,Ellendale Elementary,0,1,0,0,4,4,7,2,118,114,0,0,5,8,263,020308
2020,020,Alexander County Schools,316,Hiddenite Elementary,0,0,7,1,52,40,8,10,170,147,0,2,9,7,453,020316
2020,020,Alexander County Schools,320,Stony Point Elementary,0,0,0,0,17,17,2,5,103,70,0,0,14,5,233,020320
2020,020,Alexander County Schools,324,Sugar Loaf Elementary,0,0,0,0,8,5,6,3,97,86,0,0,15,11,231,020324
2020,020,Alexander County Schools,328,Taylorsville Elementary,0,0,2,2,16,24,19,7,74,69,0,0,12,12,237,020328
2020,020,Alexander County Schools,330,West Alexander Middle,0,0,4,4,24,17,5,4,225,230,0,0,14,13,540,020330
2020,020,Alexander County Schools,332,Wittenburg Elementary,0,0,1,0,6,15,4,2,137,108,0,0,5,10,288,020332
2020,030,Alleghany County Schools,304,Alleghany High,0,2,1,0,44,42,2,0,153,153,0,0,4,6,407,030304
2020,030,Alleghany County Schools,308,Glade Creek Elementary,0,0,0,0,40,34,0,0,73,66,0,0,6,8,227,030308
2020,030,Alleghany County Schools,316,Piney Creek Elementary,0,0,0,0,10,10,0,0,68,81,0,0,4,3,176,030316
2020,030,Alleghany County Schools,320,Sparta Elementary,1,0,0,1,72,89,2,2,204,171,0,0,12,6,560,030320
2020,040,Anson County Schools,304,Anson Co. Early College High,0,0,3,6,2,7,31,54,58,82,0,0,3,8,254,040304
2020,040,Anson County Schools,305,Anson Academy,0,1,0,0,0,0,13,9,1,0,0,0,2,0,26,040305
2020,040,Anson County Schools,306,Anson High School,0,2,9,3,18,20,185,195,114,80,0,0,20,8,654,040306
2020,040,Anson County Schools,308,Ansonville Elementary,1,0,0,2,6,5,33,27,44,40,0,0,3,3,164,040308
2020,040,Anson County Schools,309,Anson Middle,4,0,7,3,22,25,197,194,125,122,0,0,14,19,732,040309
2020,040,Anson County Schools,311,Wadesboro Primary,0,0,2,1,4,3,121,114,16,14,0,0,9,6,290,040311
2020,040,Anson County Schools,316,Lilesville Elementary,1,1,1,2,6,2,72,60,54,39,0,0,6,8,252,040316
2020,040,Anson County Schools,324,Morven Elementary,0,0,2,2,10,14,87,58,4,6,0,0,3,1,187,040324
2020,040,Anson County Schools,328,Peachland-Polkton Elem,0,0,3,6,15,20,66,73,120,104,0,0,9,14,430,040328
2020,040,Anson County Schools,330,Wadesboro Elementary,0,1,1,1,2,1,66,63,7,11,0,0,3,2,158,040330
2017,040,Anson County Schools,700,Anson New Tech High,0,0,1,1,5,3,31,26,28,25,0,0,3,0,123,040700
2020,050,Ashe County Schools,302,Ashe County High,0,0,2,2,54,37,3,1,374,324,0,0,5,7,809,050302
2020,050,Ashe County Schools,303,Ashe County Early College High,0,0,0,0,5,11,0,0,38,47,0,0,0,0,101,050303
2020,050,Ashe County Schools,305,Ashe County Middle,0,0,1,2,36,30,1,2,216,219,0,0,5,4,516,050305
2020,050,Ashe County Schools,310,Blue Ridge Elementary,0,0,1,0,17,14,0,2,199,180,0,0,16,13,442,050310
2020,050,Ashe County Schools,330,Mountain View Elementary,0,0,4,0,44,37,3,0,224,205,0,0,6,6,529,050330
2020,050,Ashe County Schools,335,Westwood Elementary,1,1,1,1,47,31,0,1,207,183,0,0,30,33,536,050335
2020,060,Avery County Schools,302,Avery County High,1,0,1,2,33,26,1,1,240,226,1,1,8,2,543,060302
2020,060,Avery County Schools,304,Banner Elk Elementary,0,0,0,0,6,14,0,0,77,53,0,0,5,4,159,060304
2020,060,Avery County Schools,310,Cranberry Middle,0,0,0,2,8,5,0,0,98,86,0,0,6,4,209,060310
2020,060,Avery County Schools,316,Crossnore Elementary,0,0,0,0,17,7,0,0,75,70,0,0,3,8,180,060316
2020,060,Avery County Schools,318,Avery Middle,0,2,1,4,26,25,0,1,110,96,0,0,3,3,271,060318
2020,060,Avery County Schools,322,Freedom Trail Elementary,0,0,0,1,3,4,0,0,85,91,0,0,1,4,189,060322
2020,060,Avery County Schools,328,Newland Elementary,0,1,1,1,29,27,0,0,94,66,0,0,5,5,229,060328
2020,060,Avery County Schools,332,Riverside Elementary,0,0,0,0,0,1,0,0,54,43,0,0,0,2,100,060332
2020,060,Avery County Schools,334,Blue Ridge Academy,0,0,0,0,0,1,0,0,10,1,0,0,0,0,12,060334
2017,060,Avery County Schools,700,Avery High STEM Academy,0,0,2,0,3,6,0,1,51,89,0,0,0,1,153,060700
2017,060,Avery County Schools,701,Avery High Viking Academy,0,0,0,0,0,3,0,1,27,33,0,0,0,0,64,060701
