year,agency_code,subject,subgroup,den,pct,masking
2019,00A000,ACCO,AIG,37,95.0,1.0
2019,00A000,ACCO,ALL,226,59.7,
2019,00A000,ACCO,BL7,38,36.8,
2019,00A000,ACCO,EDS,31,35.5,
2019,00A000,ACCO,FEM,156,60.9,
2019,00A000,ACCO,HI7,29,41.4,
2019,00A000,ACCO,MALE,70,57.1,
2019,00A000,ACCO,MU7,13,61.5,
2019,00A000,ACCO,NEDS,195,63.6,
2019,00A000,ACCO,NSWD,210,61.9,
2019,00A000,ACCO,SWD,16,31.3,
2019,00A000,ACCO,WH7,139,68.3,
2019,00A000,ACALL,AIG,185,61.6,
2019,00A000,ACALL,ALL,1129,32.9,
2019,00A000,ACALL,AS7,30,63.3,
2019,00A000,ACALL,BL7,189,21.2,
2019,00A000,ACALL,EDS,155,18.1,
2019,00A000,ACALL,FEM,779,34.5,
2019,00A000,ACALL,HI7,145,22.8,
2019,00A000,ACALL,MALE,350,29.1,
2019,00A000,ACALL,MIL,10,30.0,
2019,00A000,ACALL,MU7,65,27.7,
2019,00A000,ACALL,NEDS,974,35.2,
2019,00A000,ACALL,NSWD,1049,34.1,
2019,00A000,ACALL,SWD,80,16.3,
2019,00A000,ACALL,WH7,695,37.3,
2019,00A000,ACEN,AIG,37,81.1,
2019,00A000,ACEN,ALL,226,45.1,
2019,00A000,ACEN,BL7,38,31.6,
2019,00A000,ACEN,EDS,31,25.8,
2019,00A000,ACEN,FEM,156,44.9,
2019,00A000,ACEN,HI7,29,24.1,
2019,00A000,ACEN,MALE,70,45.7,
2019,00A000,ACEN,MU7,13,53.8,
2019,00A000,ACEN,NEDS,195,48.2,
2019,00A000,ACEN,NSWD,210,46.7,
2019,00A000,ACEN,SWD,16,25.0,
2019,00A000,ACEN,WH7,139,51.1,
2019,00A000,ACMA,AIG,37,51.4,
2019,00A000,ACMA,ALL,226,19.5,
2019,00A000,ACMA,BL7,38,15.8,
2019,00A000,ACMA,EDS,31,9.7,
2019,00A000,ACMA,FEM,156,18.6,
2019,00A000,ACMA,HI7,29,13.8,
2019,00A000,ACMA,MALE,70,21.4,
