year,agency_code,pct_eds,pct_eds_masking
2019,00A000,19.2,
2019,00B000,28.0,
2019,010303,43.8,
2019,010304,49.8,
2019,010308,46.8,
2019,010310,55.3,
2019,010311,,3.0
2019,010312,37.7,
2019,010320,40.8,
2019,010324,36.9,
2019,010326,60.5,
2019,010328,32.2,
2019,010340,47.1,
2019,010346,59.6,
2019,010347,55.9,
2019,010348,70.8,
2019,010350,85.1,
2019,010351,60.9,
2019,010353,53.5,
2019,010354,69.1,
2019,010357,55.9,
2019,010358,57.6,
2019,010360,76.2,
2019,010362,45.5,
2019,010364,63.2,
2019,010372,52.0,
2019,010374,53.1,
2019,010378,70.2,
2019,010380,46.4,
2019,010384,41.2,
2019,010388,34.5,
2019,010390,37.0,
2019,010392,62.3,
2019,010394,65.0,
2019,010396,52.4,
2019,010400,28.6,
2019,010403,39.4,
2019,010406,46.3,
2019,01B000,11.6,
2019,01C000,11.0,
2019,01D000,8.1,
2019,020302,38.3,
2019,020303,27.5,
2019,020304,30.9,
2019,020306,53.6,
2019,020308,41.8,
2019,020316,61.0,
2019,020320,60.3,
2019,020324,42.1,
2019,020328,42.2,
2019,020330,35.3,
2019,020332,44.3,
2019,030304,51.9,
2019,030308,66.5,
2019,030316,49.7,
2019,030320,69.9,
2019,040304,33.6,
2019,040305,64.5,
2019,040306,50.7,
2019,040308,42.1,
2019,040309,55.2,
2019,040311,79.3,
2019,040316,65.3,
2019,040324,76.3,
2019,040328,46.9,
2019,040330,71.9,
2019,050302,51.5,
2019,050303,36.7,
2019,050305,55.4,
2019,050310,60.1,
2019,050330,63.4,
2019,050335,60.5,
2019,060302,46.9,
2019,060304,52.5,
2019,060310,53.2,
2019,060316,58.5,
2019,060318,55.7,
2019,060322,65.4,
2019,060328,73.0,
2019,060332,51.6,
2019,060334,68.4,
2019,060700,27.1,
2019,060701,60.0,
2019,06A000,50.0,
2019,06B000,74.1,
2019,070302,70.1,
2019,070308,27.7,
2019,070310,79.5,
2019,070311,53.1,
2019,070325,65.1,
2019,070326,66.6,
2019,070327,63.2,
2019,070328,65.2,
2019,070329,56.6,
2019,070330,42.1,
2019,070338,60.8,
2019,070339,58.0,
2019,070340,84.4,
2019,070342,50.2,
2019,07A000,10.0,
2019,080311,31.4,
2019,080312,56.7,
2019,080314,58.2,
2019,080348,63.9,
2019,080356,68.9,
2019,080360,66.3,
2019,080362,65.6,
