year,agency_code,subject,subgroup,eg_status,eg_index,eg_score
2019,00A000,ALL,AIG,NotMet,-7.71,53.8
2019,00A000,ALL,ALL,NotMet,-17.57,50.0
2019,00A000,RD,ALL,NotMet,-17.57,50.0
2019,00A000,MA,ALL,NotMet,-17.57,50.0
2019,00A000,ALL,BL7,NotMet,-6.14,56.4
2019,00A000,ALL,EDS,NotMet,-10.32,50.0
2019,00A000,ALL,HI7,NotMet,-6.69,55.5
2019,00A000,ALL,MU7,NotMet,-6.52,55.8
2019,00A000,ALL,SWD,NotMet,-4.73,58.7
2019,00A000,ALL,WH7,NotMet,-12.97,50.0
2019,00B000,ALL,AIG,NotMet,-4.88,58.5
2019,00B000,ALL,ALL,NotMet,-9.62,50.6
2019,00B000,RD,ALL,NotMet,-9.62,50.6
2019,00B000,MA,ALL,NotMet,-9.62,50.6
2019,00B000,ALL,BL7,NotMet,-5.47,57.5
2019,00B000,ALL,EDS,NotMet,-6.09,56.5
2019,00B000,ALL,ELS,Met,-1.2,
2019,00B000,ALL,HI7,NotMet,-3.4,63.0
2019,00B000,ALL,MU7,NotMet,-3.07,64.6
2019,00B000,ALL,SWD,Met,0.43,81.0
2019,00B000,ALL,WH7,NotMet,-6.06,56.5
2019,010303,ALL,AIG,Met,-1.09,74.5
2019,010303,ALL,ALL,Met,0.15,80.3
2019,010303,ALL,BL7,Met,0.79,
2019,010303,ALL,EDS,Met,0.68,81.7
2019,010303,ALL,HI7,Met,0.05,
2019,010303,ALL,WH7,Met,-0.07,79.6
2019,010304,ALL,AIG,Met,0.37,80.9
2019,010304,ALL,ALL,Met,-0.65,76.7
2019,010304,RD,ALL,Met,-0.65,76.7
2019,010304,MA,ALL,Met,-0.65,76.7
2019,010304,ALL,BL7,Met,-0.77,76.1
2019,010304,ALL,EDS,Met,-0.29,78.5
2019,010304,ALL,ELS,Exceeded,2.0,85.0
2019,010304,ALL,HI7,Met,1.47,83.6
2019,010304,ALL,MU7,Met,0.56,
2019,010304,ALL,SWD,Met,-0.8,
2019,010304,ALL,WH7,Met,-1.35,73.2
2019,010308,ALL,AIG,Met,0.46,81.1
2019,010308,ALL,ALL,Met,1.71,84.2
2019,010308,RD,ALL,Met,1.71,84.2
2019,010308,MA,ALL,Met,1.71,84.2
2019,010308,ALL,BL7,Met,0.26,80.6
2019,010308,ALL,EDS,Met,0.72,81.8
2019,010308,ALL,ELS,Met,0.94,82.3
2019,010308,ALL,HI7,Met,1.23,83.0
