year,agency_code,subgroup,den,pct,masking
2019,00A000,ALL,29,20.7,
2019,00A000,ELS,29,20.7,
2019,00A000,FEM,10,10.0,
2019,00A000,HI7,23,26.1,
2019,00A000,MALE,19,26.3,
2019,00A000,NEDS,28,21.4,
2019,00A000,NSWD,24,25.0,
2019,00B000,ALL,12,41.7,
2019,00B000,ELS,12,41.7,
2019,00B000,NEDS,11,45.5,
2019,00B000,NSWD,11,45.5,
2019,10304,ALL,85,70.6,
2019,10304,EDS,76,68.4,
2019,10304,ELS,85,70.6,
2019,10304,FEM,38,71.1,
2019,10304,HI7,78,70.5,
2019,10304,MALE,47,70.2,
2019,10304,NSWD,78,70.5,
2019,10308,ALL,31,45.2,
2019,10308,EDS,29,44.8,
2019,10308,ELS,31,45.2,
2019,10308,FEM,17,52.9,
2019,10308,HI7,31,45.2,
2019,10308,MALE,14,35.7,
2019,10308,NSWD,29,44.8,
2019,10310,ALL,105,10.5,
2019,10310,EDS,45,5.0,2.0
2019,10310,ELS,105,10.5,
2019,10310,FEM,45,17.8,
2019,10310,HI7,103,10.7,
2019,10310,MALE,60,5.0,
2019,10310,NEDS,60,15.0,
2019,10310,NSWD,76,13.2,
2019,10310,SWD,29,5.0,2.0
2019,10312,ALL,39,53.8,
2019,10312,AS7,12,66.7,
2019,10312,EDS,22,54.5,
2019,10312,ELS,39,53.8,
2019,10312,FEM,15,53.3,
2019,10312,HI7,23,52.2,
2019,10312,MALE,24,54.2,
2019,10312,NEDS,17,52.9,
2019,10312,NSWD,31,64.5,
2019,10320,ALL,11,72.7,
2019,10320,ELS,11,72.7,
2019,10320,HI7,10,70.0,
2019,10324,ALL,40,25.0,
2019,10324,EDS,28,28.6,
2019,10324,ELS,40,25.0,
2019,10324,FEM,14,28.6,
2019,10324,HI7,36,22.2,
2019,10324,MALE,26,23.1,
2019,10324,NEDS,12,16.7,
2019,10324,NSWD,22,40.9,
2019,10324,SWD,18,5.6,
2019,10326,ALL,165,43.0,
2019,10326,EDS,70,37.1,
2019,10326,ELS,165,43.0,
2019,10326,FEM,63,42.9,
2019,10326,HI7,157,43.3,
2019,10326,MALE,102,43.1,
2019,10326,NEDS,95,47.4,
2019,10326,NSWD,144,47.9,
