year,agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
2019,00A000,N,N,Y,Y
2019,00B000,N,Y,Y,Y
2019,010303,N,N,N,N
2019,010304,N,N,Y,Y
2019,010308,N,N,Y,Y
2019,010310,Y,N,N,N
2019,010311,N,N,N,N
2019,010312,N,N,Y,Y
2019,010320,N,N,Y,Y
2019,010324,N,N,Y,N
2019,010326,N,N,Y,Y
2019,010328,N,N,Y,Y
2019,010340,N,N,Y,Y
2019,010346,N,N,Y,Y
2019,010347,N,N,Y,Y
2019,010348,N,N,Y,Y
2019,010350,N,N,Y,Y
2019,010351,N,N,Y,Y
2019,010353,N,N,Y,Y
2019,010354,N,N,Y,Y
2019,010357,N,N,Y,Y
2019,010358,Y,N,N,N
2019,010360,N,N,N,N
2019,010362,N,N,Y,Y
2019,010364,N,N,Y,Y
2019,010372,N,N,Y,Y
2019,010374,N,N,Y,Y
2019,010378,N,N,Y,Y
2019,010380,N,N,Y,Y
2019,010384,N,N,Y,Y
2019,010388,N,N,Y,Y
2019,010390,N,N,Y,Y
2019,010392,N,N,Y,Y
2019,010394,N,N,Y,Y
2019,010396,N,N,N,N
2019,010400,N,N,N,N
2019,010403,N,N,Y,Y
2019,010406,N,N,Y,Y
2019,01B000,N,N,N,Y
2019,01C000,N,N,Y,N
2019,01D000,N,N,Y,Y
2019,020302,N,N,N,N
2019,020303,N,N,N,N
2019,020304,N,N,N,N
2019,020306,N,N,Y,Y
2019,020308,N,N,N,N
2019,020316,N,N,Y,Y
2019,020320,N,N,Y,Y
2019,020324,N,N,N,Y
2019,020328,N,N,N,N
2019,020330,N,N,N,Y
2019,020332,N,N,Y,Y
2019,030304,N,N,N,N
2019,030308,N,N,Y,Y
2019,030316,N,N,N,N
2019,030320,N,N,Y,Y
2019,040304,N,N,N,N
2019,040305,N,Y,N,N
2019,040306,N,N,Y,Y
2019,040308,N,N,N,N
2019,040309,N,N,Y,Y
2019,040311,N,N,Y,Y
2019,040316,N,N,Y,Y
2019,040324,N,N,N,N
2019,040328,N,N,N,N
2019,040330,N,N,Y,Y
2019,050302,N,N,N,Y
2019,050303,N,N,N,N
2019,050305,N,N,N,N
2019,050310,N,N,N,Y
2019,050330,N,N,N,N
2019,050335,N,N,N,N
2019,060302,N,N,N,N
2019,060304,N,N,N,N
2019,060310,N,N,N,Y
2019,060316,N,N,N,N
2019,060318,N,N,N,Y
2019,060322,N,N,N,N
2019,060328,N,N,Y,Y
2019,060332,N,N,N,N
2019,060334,N,N,N,N
2019,060700,N,N,N,N
2019,060701,N,N,N,N
2019,06A000,Y,N,N,N
2019,06B000,N,N,Y,Y
2019,070302,N,N,Y,Y
2019,070308,N,N,Y,Y
2019,070310,N,N,N,N
2019,070311,N,N,N,N
2019,070325,N,N,Y,Y
2019,070326,N,N,N,N
2019,070327,N,N,Y,Y
2019,070328,N,N,Y,Y
2019,070329,N,N,Y,Y
2019,070330,N,N,Y,Y
2019,070338,N,N,Y,Y
2019,070339,N,N,N,N
2019,070340,N,N,N,N
2019,070342,N,N,N,N
2019,07A000,N,N,N,N
2019,080311,N,N,N,N
2019,080312,N,N,Y,Y
2019,080314,N,N,Y,Y
2019,080348,N,N,N,N
2019,080356,N,N,N,N
2019,080360,N,N,N,Y
2019,080362,N,N,Y,Y
2019,08A000,N,N,Y,N
2019,090315,N,N,Y,Y
2019,090317,N,N,N,N
2019,090318,N,N,N,N
2019,090320,N,N,N,N
2019,090324,N,N,N,N
2019,090328,N,N,N,Y
2019,090330,N,N,Y,Y
2019,090332,N,N,Y,Y
2019,090333,N,N,Y,Y
2019,090352,N,N,N,N
2019,090365,N,N,Y,Y
