year,agency_code,target,pct_met,target_met,target_assign
2019,00A000,The ACT,0.0,0,5
2019,00A000,Total Targets,11.6,5,43
2019,00A000,Math Grades 3-8,12.5,1,8
2019,00A000,High School Math,20.0,1,5
2019,00A000,Reading Grades 3-8,12.5,1,8
2019,00A000,English II,0.0,0,5
2019,00A000,Science Grades 5&8,14.3,1,7
2019,00A000,Biology,20.0,1,5
2019,00B000,The ACT,100.0,3,3
2019,00B000,Total Targets,90.6,29,32
2019,00B000,Math Grades 3-8,100.0,7,7
2019,00B000,High School Math,0.0,0,3
2019,00B000,Reading Grades 3-8,100.0,7,7
2019,00B000,English II,100.0,2,2
2019,00B000,Science Grades 5&8,100.0,7,7
2019,00B000,Biology,100.0,3,3
2019,10303,The ACT,100.0,1,1
2019,10303,Total Targets,100.0,4,4
2019,10303,High School Math,100.0,1,1
2019,10303,English II,100.0,1,1
2019,10303,Biology,100.0,1,1
2019,10304,Total Targets,100.0,15,15
2019,10304,Math Grades 3-8,100.0,6,6
2019,10304,Reading Grades 3-8,100.0,6,6
2019,10304,Science Grades 5&8,100.0,3,3
2019,10308,Total Targets,100.0,13,13
2019,10308,Math Grades 3-8,100.0,5,5
2019,10308,Reading Grades 3-8,100.0,5,5
2019,10308,Science Grades 5&8,100.0,3,3
2019,10310,Total Targets,100.0,20,20
2019,10310,Math Grades 3-8,100.0,7,7
2019,10310,Reading Grades 3-8,100.0,7,7
2019,10310,Science Grades 5&8,100.0,6,6
2019,10312,Total Targets,100.0,17,17
2019,10312,Math Grades 3-8,100.0,7,7
2019,10312,Reading Grades 3-8,100.0,7,7
2019,10312,Science Grades 5&8,100.0,3,3
2019,10320,Total Targets,100.0,10,10
2019,10320,Math Grades 3-8,100.0,4,4
2019,10320,Reading Grades 3-8,100.0,4,4
2019,10320,Science Grades 5&8,100.0,2,2
2019,10324,The ACT,83.3,5,6
2019,10324,Total Targets,73.1,19,26
2019,10324,High School Math,83.3,5,6
2019,10324,English II,83.3,5,6
2019,10324,Biology,33.3,2,6
2019,10324,ACT WorkKeys,100.0,2,2
2019,10326,Total Targets,100.0,19,19
2019,10326,Math Grades 3-8,100.0,7,7
2019,10326,Reading Grades 3-8,100.0,7,7
2019,10326,Science Grades 5&8,100.0,5,5
2019,10328,Total Targets,100.0,10,10
2019,10328,Math Grades 3-8,100.0,4,4
2019,10328,Reading Grades 3-8,100.0,4,4
2019,10328,Science Grades 5&8,100.0,2,2
2019,10340,Total Targets,100.0,15,15
2019,10340,Math Grades 3-8,100.0,6,6
2019,10340,Reading Grades 3-8,100.0,6,6
2019,10340,Science Grades 5&8,100.0,3,3
2019,10346,Total Targets,100.0,13,13
2019,10346,Math Grades 3-8,100.0,5,5
2019,10346,Reading Grades 3-8,100.0,5,5
2019,10346,Science Grades 5&8,100.0,3,3
2019,10347,Total Targets,100.0,17,17
2019,10347,Math Grades 3-8,100.0,7,7
2019,10347,Reading Grades 3-8,100.0,7,7
2019,10347,Science Grades 5&8,100.0,3,3
2019,10348,The ACT,0.0,0,6
2019,10348,Total Targets,52.0,13,25
2019,10348,High School Math,80.0,4,5
2019,10348,English II,83.3,5,6
2019,10348,Biology,80.0,4,5
2019,10348,ACT WorkKeys,0.0,0,3
2019,10350,Total Targets,100.0,23,23
2019,10350,Math Grades 3-8,100.0,8,8
2019,10350,Reading Grades 3-8,100.0,8,8
2019,10350,Science Grades 5&8,100.0,7,7
2019,10351,Total Targets,100.0,17,17
2019,10351,Math Grades 3-8,100.0,7,7
2019,10351,Reading Grades 3-8,100.0,7,7
2019,10351,Science Grades 5&8,100.0,3,3
2019,10353,Total Targets,100.0,22,22
2019,10353,Math Grades 3-8,100.0,8,8
2019,10353,Reading Grades 3-8,100.0,8,8
2019,10353,Science Grades 5&8,100.0,6,6
2019,10354,Total Targets,100.0,16,16
2019,10354,Math Grades 3-8,100.0,6,6
2019,10354,Reading Grades 3-8,100.0,6,6
2019,10354,Science Grades 5&8,100.0,4,4
2019,10357,Total Targets,100.0,18,18
2019,10357,Math Grades 3-8,100.0,7,7
2019,10357,Reading Grades 3-8,100.0,7,7
2019,10357,Science Grades 5&8,100.0,4,4
2019,10358,Total Targets,100.0,18,18
2019,10358,Math Grades 3-8,100.0,7,7
2019,10358,Reading Grades 3-8,100.0,7,7
2019,10358,Science Grades 5&8,100.0,4,4
2019,10360,The ACT,100.0,6,6
2019,10360,Total Targets,89.3,25,28
2019,10360,High School Math,83.3,5,6
2019,10360,English II,66.7,4,6
2019,10360,Biology,100.0,6,6
2019,10360,ACT WorkKeys,100.0,4,4
2019,10362,Total Targets,100.0,13,13
2019,10362,Math Grades 3-8,100.0,5,5
2019,10362,Reading Grades 3-8,100.0,5,5
2019,10362,Science Grades 5&8,100.0,3,3
2019,10364,Total Targets,100.0,16,16
2019,10364,Math Grades 3-8,100.0,7,7
2019,10364,Reading Grades 3-8,100.0,7,7
2019,10364,Science Grades 5&8,100.0,2,2
2019,10372,Total Targets,100.0,14,14
2019,10372,Math Grades 3-8,100.0,6,6
2019,10372,Reading Grades 3-8,100.0,6,6
2019,10372,Science Grades 5&8,100.0,2,2
2019,10374,Total Targets,100.0,14,14
2019,10374,Math Grades 3-8,100.0,5,5
2019,10374,Reading Grades 3-8,100.0,5,5
2019,10374,Science Grades 5&8,100.0,4,4
2019,10378,Total Targets,16.7,1,6
2019,10378,Math Grades 3-8,33.3,1,3
2019,10378,Reading Grades 3-8,0.0,0,3
2019,10380,Total Targets,100.0,16,16
2019,10380,Math Grades 3-8,100.0,6,6
2019,10380,Reading Grades 3-8,100.0,6,6
2019,10380,Science Grades 5&8,100.0,4,4
2019,10384,Total Targets,100.0,18,18
2019,10384,Math Grades 3-8,100.0,7,7
2019,10384,Reading Grades 3-8,100.0,7,7
2019,10384,Science Grades 5&8,100.0,4,4
2019,10388,The ACT,50.0,3,6
